赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393619.0,93.0,2018/11/13 23:00,791.0,5281.0,,,非洲杯,CAF NC,44_布基纳法索,Burkina Faso,100_毛里塔尼亚,Mauritania,0.0,0.0,,,,,
1393617.0,93.0,2018/10/16 23:00,5281.0,920.0,,,非洲杯,CAF NC,100_毛里塔尼亚,Mauritania,149_博茨瓦纳,Botswana,0.0,0.0,,,,,
1393615.0,93.0,2018/09/11 23:00,5281.0,804.0,,,非洲杯,CAF NC,100_毛里塔尼亚,Mauritania,142_安哥拉,Angola,0.0,0.0,,,,,
1393611.0,93.0,2018/09/07 23:00,5281.0,791.0,,,非洲杯,CAF NC,100_毛里塔尼亚,Mauritania,44_布基纳法索,Burkina Faso,0.0,0.0,,,,,
1393613.0,93.0,2018/09/03 23:00,804.0,5281.0,,,非洲杯,CAF NC,142_安哥拉,Angola,100_毛里塔尼亚,Mauritania,0.0,0.0,,,,,
1524747.0,1366.0,2018/03/25 01:00,5281.0,812.0,2-0,0-0,国际友谊,INT FRL,100_毛里塔尼亚,Mauritania,66_几内亚,Guinea,0.0,1.0,,,,,胜
1490660.0,1052.0,2018/01/22 03:00,5281.0,812.0,0-1,0-1,非国锦标,CAF SC,100_毛里塔尼亚,Mauritania,66_几内亚,Guinea,0.0,0.0,,受让半球|-0.5,输,小,负
1490658.0,1052.0,2018/01/18 03:30,792.0,5281.0,1-0,1-0,非国锦标,CAF SC,124_苏丹,Sudan,100_毛里塔尼亚,Mauritania,0.0,0.0,,半球/一球|0.5/1,输,小,负
1490655.0,1052.0,2018/01/14 03:30,813.0,5281.0,4-0,0-0,非国锦标,CAF SC,39_摩洛哥,Morocco,100_毛里塔尼亚,Mauritania,0.0,0.0,,一球|1,输,大,负
1469202.0,41.0,2017/10/06 22:00,5281.0,6675.0,0-1,0-0,球会友谊,INT CF,100_毛里塔尼亚,Mauritania,130_科摩罗,Comoros,0.0,0.0,,,,,负
1461013.0,1023.0,2017/09/11 23:00,817.0,5281.0,3-1,1-1,西非杯,WAFU,71_马里,Mali,100_毛里塔尼亚,Mauritania,0.0,0.0,,,,,负
1457451.0,1366.0,2017/09/06 01:00,789.0,5281.0,2-0,0-0,国际友谊,INT FRL,51_尼日利亚,Nigeria,100_毛里塔尼亚,Mauritania,0.0,0.0,,,,,负
1453580.0,1366.0,2017/08/31 23:59,921.0,5281.0,1-1,0-0,国际友谊,INT FRL,105_肯尼亚,Kenya,100_毛里塔尼亚,Mauritania,0.0,0.0,,,,,平
1443881.0,1052.0,2017/08/20 00:30,817.0,5281.0,0-1,0-1,非国锦标,CAF SC,71_马里,Mali,100_毛里塔尼亚,Mauritania,1.0,0.0,,,,,胜
1443875.0,1052.0,2017/08/13 01:00,5281.0,817.0,2-2,2-2,非国锦标,CAF SC,100_毛里塔尼亚,Mauritania,71_马里,Mali,0.0,0.0,,,,,平
1421496.0,1052.0,2017/07/24 01:00,5281.0,814.0,0-1,0-1,非国锦标,CAF SC,100_毛里塔尼亚,Mauritania,133_利比里亚,Liberia,0.0,0.0,,,,,负
1380946.0,1052.0,2017/07/16 23:59,814.0,5281.0,0-2,0-1,非国锦标,CAF SC,133_利比里亚,Liberia,100_毛里塔尼亚,Mauritania,0.0,0.0,,,,,胜
1392558.0,93.0,2017/06/10 21:30,920.0,5281.0,0-1,0-0,非洲杯,CAF NC,149_博茨瓦纳,Botswana,100_毛里塔尼亚,Mauritania,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1391056.0,1366.0,2017/06/04 21:00,5296.0,5281.0,1-0,1-0,国际友谊,INT FRL,145_莱索托,Lesotho,100_毛里塔尼亚,Mauritania,0.0,0.0,,,,,负
1387131.0,41.0,2017/05/12 01:00,815.0,5281.0,2-0,0-0,球会友谊,INT CF,24_塞内加尔,Senegal,100_毛里塔尼亚,Mauritania,0.0,0.0,,,,,负
1372188.0,1366.0,2017/03/28 01:00,5281.0,806.0,2-1,1-1,国际友谊,INT FRL,100_毛里塔尼亚,Mauritania,96_刚果,Congo,0.0,0.0,,,,,胜
1372538.0,1366.0,2017/03/25 01:00,5281.0,808.0,1-0,0-0,国际友谊,INT FRL,100_毛里塔尼亚,Mauritania,81_贝宁,Benin,0.0,0.0,,,,,胜
1339023.0,1366.0,2017/01/10 23:59,18406.0,5281.0,6-0,0-0,国际友谊,INT FRL,57_阿尔及利亚,Algeria,100_毛里塔尼亚,Mauritania,0.0,0.0,,,,,负
1339024.0,1366.0,2017/01/07 23:59,18406.0,5281.0,3-1,0-1,国际友谊,INT FRL,57_阿尔及利亚,Algeria,100_毛里塔尼亚,Mauritania,0.0,0.0,,球半|1.5,输,大,负
1329788.0,1366.0,2016/11/15 22:00,823.0,5281.0,0-0,0-0,国际友谊,INT FRL,23_突尼斯,Tunisia,100_毛里塔尼亚,Mauritania,1.0,1.0,,一球/球半|1/1.5,赢,小,平
1319014.0,1366.0,2016/10/07 03:00,795.0,5281.0,4-0,0-0,国际友谊,INT FRL,95_加拿大,Canada,100_毛里塔尼亚,Mauritania,0.0,0.0,,平手/半球|0/0.5,输,大,负
1129731.0,93.0,2016/09/03 01:00,803.0,5281.0,1-1,1-1,非洲杯,CAF NC,78_南非,South Africa,100_毛里塔尼亚,Mauritania,0.0,1.0,,一球|1,赢,小,平
1129729.0,93.0,2016/06/04 01:00,5281.0,793.0,0-1,0-1,非洲杯,CAF NC,100_毛里塔尼亚,Mauritania,45_喀麦隆,Cameroon,1.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1243492.0,1366.0,2016/05/28 22:30,788.0,5281.0,0-2,0-0,国际友谊,INT FRL,93_加蓬,Gabon,100_毛里塔尼亚,Mauritania,0.0,0.0,,,,,胜
1129726.0,93.0,2016/03/30 00:30,5039.0,5281.0,0-0,0-0,非洲杯,CAF NC,163_冈比亚,Gambia,100_毛里塔尼亚,Mauritania,0.0,0.0,,半球|0.5,赢,小,平
1129725.0,93.0,2016/03/26 00:30,5281.0,5039.0,2-1,1-0,非洲杯,CAF NC,100_毛里塔尼亚,Mauritania,163_冈比亚,Gambia,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1196508.0,651.0,2015/11/18 01:00,823.0,5281.0,2-1,0-0,非洲预选,WCPAF,23_突尼斯,Tunisia,100_毛里塔尼亚,Mauritania,0.0,0.0,,球半|1.5,赢,大,负
1196538.0,651.0,2015/11/14 01:00,5281.0,823.0,1-2,1-0,非洲预选,WCPAF,100_毛里塔尼亚,Mauritania,23_突尼斯,Tunisia,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1194102.0,1052.0,2015/10/24 23:59,5281.0,817.0,1-1,1-1,非国锦标,CAF SC,100_毛里塔尼亚,Mauritania,71_马里,Mali,0.0,1.0,,,,,平
