赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542742.0,95.0,2019/01/18 01:00,825.0,902.0,,,亚洲杯,AFC,114_土库曼斯坦,Turkmenistan,101_阿曼,Oman,0.0,0.0,,,,,
1542741.0,95.0,2019/01/13 22:00,903.0,902.0,,,亚洲杯,AFC,56_日本,Japan,101_阿曼,Oman,0.0,0.0,,,,,
1542739.0,95.0,2019/01/10 01:00,902.0,875.0,,,亚洲杯,AFC,101_阿曼,Oman,77_乌兹别克,Uzbekistan,0.0,0.0,,,,,
1371545.0,95.0,2018/03/27 23:00,902.0,879.0,1-0,0-0,亚洲杯,AFC,101_阿曼,Oman,75_巴勒斯坦,Palestine,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1488140.0,161.0,2018/01/05 22:30,902.0,887.0,0-0,0-0,海湾运,GC,101_阿曼,Oman,78_阿联酋,United Arab Emirates,0.0,0.0,"90,0-0;;1,0-0;5-4;1",平手|0,走,小,平
1487273.0,161.0,2018/01/02 22:15,902.0,900.0,1-0,1-0,海湾运,GC,101_阿曼,Oman,122_巴林,Bahrain,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1485911.0,161.0,2017/12/28 23:30,891.0,902.0,0-2,0-0,海湾运,GC,65_沙特阿拉伯,Saudi Arabia,101_阿曼,Oman,0.0,0.0,,平手/半球|0/0.5,赢,走,胜
1486654.0,161.0,2017/12/26 01:00,895.0,902.0,0-1,0-0,海湾运,GC,174_科威特,Kuwait,101_阿曼,Oman,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1485907.0,161.0,2017/12/23 02:10,902.0,887.0,0-1,0-1,海湾运,GC,101_阿曼,Oman,78_阿联酋,United Arab Emirates,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1485221.0,1366.0,2017/12/15 20:30,902.0,877.0,1-0,0-0,国际友谊,INT FRL,101_阿曼,Oman,138_也门,Yemen,0.0,0.0,,一球/球半|1/1.5,输,小,胜
1371543.0,95.0,2017/11/14 20:00,7818.0,902.0,2-4,0-0,亚洲杯,AFC,188_不丹,Bhutan,101_阿曼,Oman,0.0,0.0,,,,,胜
1371541.0,95.0,2017/10/10 23:59,882.0,902.0,1-3,1-2,亚洲杯,AFC,150_马尔代夫,Maldives,101_阿曼,Oman,0.0,0.0,,受让两球|-2,走,大,胜
1468700.0,1366.0,2017/10/04 22:45,881.0,902.0,1-1,1-0,国际友谊,INT FRL,113_约旦,Jordan,101_阿曼,Oman,0.0,0.0,,平手|0,走,小,平
1371540.0,95.0,2017/09/05 23:15,902.0,882.0,5-0,1-0,亚洲杯,AFC,101_阿曼,Oman,150_马尔代夫,Maldives,0.0,0.0,,两球|2,赢,大,胜
1449133.0,1366.0,2017/08/30 23:15,902.0,6651.0,2-0,1-0,国际友谊,INT FRL,101_阿曼,Oman,148_阿富汗,Afghanistan,0.0,0.0,,一球/球半|1/1.5,赢,小,胜
1371538.0,95.0,2017/06/14 04:00,879.0,902.0,2-1,2-1,亚洲杯,AFC,75_巴勒斯坦,Palestine,101_阿曼,Oman,0.0,0.0,,平手|0,输,大,负
1389643.0,1366.0,2017/06/03 02:30,902.0,899.0,1-1,0-0,国际友谊,INT FRL,101_阿曼,Oman,76_叙利亚,Syrian,0.0,0.0,,平手/半球|0/0.5,输,走,平
1371535.0,95.0,2017/03/28 23:00,902.0,7818.0,14-0,7-0,亚洲杯,AFC,101_阿曼,Oman,188_不丹,Bhutan,0.0,0.0,,四球半|4.5,赢,大,胜
1327480.0,1366.0,2016/11/14 18:30,1563.0,902.0,0-3,0-1,国际友谊,INT FRL,140_缅甸联邦,Myanmar,101_阿曼,Oman,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1327399.0,1366.0,2016/11/11 18:20,903.0,902.0,4-0,2-0,国际友谊,INT FRL,56_日本,Japan,101_阿曼,Oman,0.0,0.0,,球半/两球|1.5/2,输,大,负
1320292.0,1366.0,2016/10/11 23:00,902.0,900.0,2-2,0-1,国际友谊,INT FRL,101_阿曼,Oman,122_巴林,Bahrain,0.0,0.0,,平手/半球|0/0.5,输,大,平
1319008.0,1366.0,2016/10/07 23:00,902.0,881.0,1-1,1-1,国际友谊,INT FRL,101_阿曼,Oman,113_约旦,Jordan,0.0,0.0,,平手/半球|0/0.5,输,小,平
1305622.0,1366.0,2016/09/01 02:45,630.0,902.0,4-0,3-0,国际友谊,INT FRL,32_爱尔兰,Ireland,101_阿曼,Oman,0.0,0.0,,一球/球半|1/1.5,输,大,负
1302829.0,41.0,2016/08/24 01:45,324.0,902.0,1-1,1-1,球会友谊,INT CF,220_弱鸡,Cork City,101_阿曼,Oman,0.0,0.0,,,,,平
1289737.0,1366.0,2016/08/08 23:30,902.0,825.0,1-0,1-0,国际友谊,INT FRL,101_阿曼,Oman,114_土库曼斯坦,Turkmenistan,0.0,0.0,,一球/球半|1/1.5,输,小,胜
1124670.0,648.0,2016/03/29 22:30,783.0,902.0,2-0,2-0,亚洲预选,FIFA WCQL,34_伊朗,Iran,101_阿曼,Oman,0.0,0.0,,一球/球半|1/1.5,输,小,负
1124672.0,648.0,2016/03/24 23:00,902.0,5769.0,1-0,0-0,亚洲预选,FIFA WCQL,101_阿曼,Oman,192_关岛,Guam Island,0.0,0.0,,两球半|2.5,输,小,胜
1124674.0,648.0,2015/11/17 21:00,825.0,902.0,2-1,1-0,亚洲预选,FIFA WCQL,114_土库曼斯坦,Turkmenistan,101_阿曼,Oman,0.0,0.0,,受让一球|-1,输,大,负
1196758.0,1366.0,2015/11/12 22:00,902.0,2363.0,0-1,0-1,国际友谊,INT FRL,101_阿曼,Oman,120_新西兰,New Zealand,0.0,0.0,,平手/半球|0/0.5,输,小,负
1124678.0,648.0,2015/10/13 22:30,902.0,893.0,3-0,0-0,亚洲预选,FIFA WCQL,101_阿曼,Oman,102_印度,India,0.0,0.0,,两球/两球半|2/2.5,赢,小,胜
1124679.0,648.0,2015/10/08 22:30,902.0,783.0,1-1,0-0,亚洲预选,FIFA WCQL,101_阿曼,Oman,34_伊朗,Iran,0.0,0.0,,受让半球|-0.5,赢,小,平
1191904.0,1366.0,2015/10/02 22:30,902.0,899.0,2-1,0-0,国际友谊,INT FRL,101_阿曼,Oman,76_叙利亚,Syrian,0.0,0.0,,,,,胜
1191301.0,1366.0,2015/09/27 21:45,902.0,879.0,2-0,0-0,国际友谊,INT FRL,101_阿曼,Oman,75_巴勒斯坦,Palestine,0.0,0.0,,,,,胜
1124681.0,648.0,2015/09/08 14:00,5769.0,902.0,0-0,0-0,亚洲预选,FIFA WCQL,192_关岛,Guam Island,101_阿曼,Oman,0.0,0.0,,受让两球|-2,输,小,平
1124684.0,648.0,2015/09/03 23:00,902.0,825.0,3-1,2-0,亚洲预选,FIFA WCQL,101_阿曼,Oman,114_土库曼斯坦,Turkmenistan,0.0,0.0,,两球/两球半|2/2.5,输,大,胜
1180913.0,1366.0,2015/08/28 23:00,902.0,877.0,1-0,1-0,国际友谊,INT FRL,101_阿曼,Oman,138_也门,Yemen,0.0,0.0,,一球/球半|1/1.5,输,小,胜
1124687.0,648.0,2015/06/11 21:30,893.0,902.0,1-2,1-2,亚洲预选,FIFA WCQL,102_印度,India,101_阿曼,Oman,0.0,0.0,,受让一球|-1,走,大,胜
1129023.0,1366.0,2015/06/05 23:15,902.0,899.0,1-2,0-2,国际友谊,INT FRL,101_阿曼,Oman,76_叙利亚,Syrian,0.0,0.0,,半球|0.5,输,大,负
1128888.0,1366.0,2015/05/31 01:00,900.0,902.0,0-0,0-0,国际友谊,INT FRL,122_巴林,Bahrain,101_阿曼,Oman,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1111680.0,1366.0,2015/03/30 22:00,902.0,18406.0,1-4,0-2,国际友谊,INT FRL,101_阿曼,Oman,57_阿尔及利亚,Algeria,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1110326.0,1366.0,2015/03/26 22:45,902.0,889.0,6-0,2-0,国际友谊,INT FRL,101_阿曼,Oman,175_马来西亚,Malaysia,0.0,1.0,,球半/两球|1.5/2,赢,大,胜
978734.0,95.0,2015/01/17 17:00,902.0,895.0,1-0,0-0,亚洲杯,AFC,101_阿曼,Oman,174_科威特,Kuwait,0.0,0.0,,半球|0.5,赢,小,胜
978733.0,95.0,2015/01/13 17:00,913.0,902.0,4-0,3-0,亚洲杯,AFC,36_澳大利亚,Australia,101_阿曼,Oman,0.0,0.0,,一球/球半|1/1.5,输,大,负
978731.0,95.0,2015/01/10 13:00,898.0,902.0,1-0,1-0,亚洲杯,AFC,59_韩国,Korea Republic,101_阿曼,Oman,0.0,0.0,,半球/一球|0.5/1,输,小,负
1078613.0,1366.0,2015/01/03 14:00,896.0,902.0,4-1,2-1,国际友谊,INT FRL,70_中国,China,101_阿曼,Oman,0.0,0.0,,,,,负
1077285.0,1366.0,2014/12/31 15:25,904.0,902.0,2-2,0-2,国际友谊,INT FRL,103_卡塔尔,Qatar,101_阿曼,Oman,0.0,0.0,,,,,平
1070996.0,161.0,2014/11/25 22:45,887.0,902.0,1-0,0-0,海湾运,GC,78_阿联酋,United Arab Emirates,101_阿曼,Oman,0.0,0.0,,平手/半球|0/0.5,输,小,负
1070888.0,161.0,2014/11/23 22:45,902.0,904.0,1-3,1-1,海湾运,GC,101_阿曼,Oman,103_卡塔尔,Qatar,0.0,0.0,,平手|0,输,大,负
1069596.0,161.0,2014/11/21 00:45,895.0,902.0,0-5,0-2,海湾运,GC,174_科威特,Kuwait,101_阿曼,Oman,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1069595.0,161.0,2014/11/18 01:15,874.0,902.0,1-1,1-0,海湾运,GC,82_伊拉克,Iraq,101_阿曼,Oman,0.0,0.0,,平手/半球|0/0.5,赢,走,平
1069592.0,161.0,2014/11/14 22:45,887.0,902.0,0-0,0-0,海湾运,GC,78_阿联酋,United Arab Emirates,101_阿曼,Oman,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1068839.0,1366.0,2014/11/07 22:30,902.0,877.0,2-0,1-0,国际友谊,INT FRL,101_阿曼,Oman,138_也门,Yemen,0.0,0.0,,一球|1,赢,小,胜
1063923.0,1366.0,2014/10/13 22:30,902.0,767.0,0-3,0-0,国际友谊,INT FRL,101_阿曼,Oman,22_乌拉圭,Uruguay,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,负
1062994.0,1366.0,2014/10/10 22:30,902.0,914.0,3-4,1-2,国际友谊,INT FRL,101_阿曼,Oman,27_哥斯达黎加,Costa Rica,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1051055.0,1366.0,2014/09/04 02:45,630.0,902.0,2-0,1-0,国际友谊,INT FRL,32_爱尔兰,Ireland,101_阿曼,Oman,0.0,0.0,,球半|1.5,输,小,负
1051653.0,1366.0,2014/08/30 23:59,902.0,879.0,4-4,0-0,国际友谊,INT FRL,101_阿曼,Oman,75_巴勒斯坦,Palestine,0.0,0.0,,,,,平
1016175.0,41.0,2014/07/27 02:00,6408.0,902.0,0-0,0-0,球会友谊,INT CF,220_弱鸡,Al Nasr Dubai,101_阿曼,Oman,0.0,0.0,,,,,平
