赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542712.0,95.0,2019/01/15 01:00,893.0,900.0,,,亚洲杯,AFC,102_印度,India,122_巴林,Bahrain,0.0,0.0,,,,,
1542711.0,95.0,2019/01/11 01:00,887.0,893.0,,,亚洲杯,AFC,78_阿联酋,United Arab Emirates,102_印度,India,0.0,0.0,,,,,
1542709.0,95.0,2019/01/06 19:00,886.0,893.0,,,亚洲杯,AFC,129_泰国,Thailand,102_印度,India,0.0,0.0,,,,,
1550218.0,1366.0,2018/06/10 22:30,893.0,921.0,2-0,2-0,国际友谊,INT FRL,102_印度,India,105_肯尼亚,Kenya,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1548654.0,1366.0,2018/06/07 22:30,893.0,2363.0,1-2,0-0,国际友谊,INT FRL,102_印度,India,120_新西兰,New Zealand,0.0,0.0,,半球|0.5,输,大,负
1547567.0,1366.0,2018/06/04 22:30,893.0,921.0,3-0,0-0,国际友谊,INT FRL,102_印度,India,105_肯尼亚,Kenya,0.0,0.0,,平手|0,赢,大,胜
1547375.0,1366.0,2018/06/01 22:30,893.0,5288.0,5-0,2-0,国际友谊,INT FRL,102_印度,India,134_中国台北,Chinese Taipei,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1371509.0,95.0,2018/03/27 22:00,885.0,893.0,2-1,1-0,亚洲杯,AFC,116_吉尔吉斯斯坦,Kyrgyzstan,102_印度,India,0.0,0.0,,半球/一球|0.5/1,输,大,负
1371508.0,95.0,2017/11/14 22:30,893.0,1563.0,2-2,1-2,亚洲杯,AFC,102_印度,India,140_缅甸联邦,Myanmar,0.0,0.0,,半球|0.5,输,大,平
1371505.0,95.0,2017/10/11 22:00,893.0,3325.0,4-1,1-1,亚洲杯,AFC,102_印度,India,186_中国澳门,Macau of China,0.0,0.0,,两球半/三球|2.5/3,赢,大,胜
1371503.0,95.0,2017/09/05 19:30,3325.0,893.0,0-2,0-0,亚洲杯,AFC,186_中国澳门,Macau of China,102_印度,India,0.0,0.0,,受让球半|-1.5,赢,小,胜
1449129.0,1366.0,2017/08/24 22:30,893.0,821.0,1-1,1-0,国际友谊,INT FRL,102_印度,India,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,半球/一球|0.5/1,输,小,平
1447989.0,1366.0,2017/08/19 22:30,893.0,4638.0,2-1,1-1,国际友谊,INT FRL,102_印度,India,157_毛里求斯,Mauritius,0.0,0.0,,,,,胜
1371502.0,95.0,2017/06/13 22:30,893.0,885.0,1-0,0-0,亚洲杯,AFC,102_印度,India,116_吉尔吉斯斯坦,Kyrgyzstan,0.0,0.0,,平手|0,赢,小,胜
1392658.0,1366.0,2017/06/06 21:30,893.0,6650.0,2-0,0-0,国际友谊,INT FRL,102_印度,India,165_尼泊尔,Nepal,0.0,1.0,,球半|1.5,赢,小,胜
1371500.0,95.0,2017/03/28 19:30,1563.0,893.0,0-1,0-0,亚洲杯,AFC,140_缅甸联邦,Myanmar,102_印度,India,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1371332.0,1366.0,2017/03/22 19:30,1565.0,893.0,2-3,1-1,国际友谊,INT FRL,172_柬埔寨,Cambodia,102_印度,India,0.0,0.0,,受让半球|-0.5,赢,大,胜
1309704.0,1366.0,2016/09/03 22:30,893.0,7492.0,4-1,3-1,国际友谊,INT FRL,102_印度,India,166_波多黎各,Puerto Rico,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1291818.0,41.0,2016/08/13 18:00,7818.0,893.0,0-3,0-3,球会友谊,INT CF,188_不丹,Bhutan,102_印度,India,0.0,0.0,,,,,胜
