赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542737.0,95.0,2019/01/17 22:00,891.0,904.0,,,亚洲杯,AFC,65_沙特阿拉伯,Saudi Arabia,103_卡塔尔,Qatar,0.0,0.0,,,,,
1542735.0,95.0,2019/01/13 20:00,876.0,904.0,,,亚洲杯,AFC,119_朝鲜,Korea DPR,103_卡塔尔,Qatar,0.0,0.0,,,,,
1542733.0,95.0,2019/01/09 19:00,904.0,897.0,,,亚洲杯,AFC,103_卡塔尔,Qatar,84_黎巴嫩,Lebanon,0.0,0.0,,,,,
1521861.0,1366.0,2018/03/24 23:59,904.0,899.0,2-2,0-0,国际友谊,INT FRL,103_卡塔尔,Qatar,76_叙利亚,Syrian,0.0,0.0,,平手|0,走,大,平
1521856.0,1366.0,2018/03/21 23:59,874.0,904.0,2-3,1-2,国际友谊,INT FRL,82_伊拉克,Iraq,103_卡塔尔,Qatar,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1485916.0,161.0,2017/12/29 23:30,904.0,900.0,1-1,1-0,海湾运,GC,103_卡塔尔,Qatar,122_巴林,Bahrain,1.0,0.0,,平手/半球|0/0.5,输,走,平
1485915.0,161.0,2017/12/27 01:00,874.0,904.0,2-1,1-1,海湾运,GC,82_伊拉克,Iraq,103_卡塔尔,Qatar,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1485912.0,161.0,2017/12/23 22:30,904.0,877.0,4-0,3-0,海湾运,GC,103_卡塔尔,Qatar,138_也门,Yemen,0.0,0.0,,一球|1,赢,大,胜
1484484.0,1366.0,2017/12/14 22:30,904.0,764.0,1-2,1-1,国际友谊,INT FRL,103_卡塔尔,Qatar,182_列支敦士登,Liechtenstein,0.0,1.0,,两球|2,输,小,负
1477405.0,1366.0,2017/11/15 00:30,904.0,756.0,1-1,0-1,国际友谊,INT FRL,103_卡塔尔,Qatar,20_冰岛,Iceland,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,平
1477176.0,1366.0,2017/11/12 00:30,904.0,747.0,0-1,0-1,国际友谊,INT FRL,103_卡塔尔,Qatar,48_捷克,Czech,0.0,0.0,,受让半球|-0.5,输,小,负
1468703.0,1366.0,2017/10/10 23:59,904.0,17976.0,1-2,1-1,国际友谊,INT FRL,103_卡塔尔,Qatar,84_库拉索,Curacao,0.0,0.0,,,,,负
1468566.0,1366.0,2017/10/05 23:59,904.0,892.0,3-1,1-0,国际友谊,INT FRL,103_卡塔尔,Qatar,173_新加坡,Singapore,0.0,0.0,,球半|1.5,赢,大,胜
1237355.0,648.0,2017/09/05 23:00,904.0,896.0,1-2,0-0,亚洲预选,FIFA WCQL,103_卡塔尔,Qatar,70_中国,China,0.0,1.0,,平手|0,输,大,负
1237359.0,648.0,2017/08/31 20:00,899.0,904.0,3-1,1-1,亚洲预选,FIFA WCQL,76_叙利亚,Syrian,103_卡塔尔,Qatar,0.0,0.0,,平手|0,输,大,负
1449953.0,1366.0,2017/08/24 01:00,904.0,825.0,2-1,1-0,国际友谊,INT FRL,103_卡塔尔,Qatar,114_土库曼斯坦,Turkmenistan,0.0,0.0,,一球/球半|1/1.5,输,大,胜
1237366.0,648.0,2017/06/14 03:00,904.0,898.0,3-2,1-0,亚洲预选,FIFA WCQL,103_卡塔尔,Qatar,59_韩国,Korea Republic,0.0,0.0,,受让半球|-0.5,赢,大,胜
1392720.0,1366.0,2017/06/07 03:00,904.0,876.0,2-2,1-0,国际友谊,INT FRL,103_卡塔尔,Qatar,119_朝鲜,Korea DPR,1.0,0.0,,半球|0.5,输,大,平
1237372.0,648.0,2017/03/28 21:00,875.0,904.0,1-0,0-0,亚洲预选,FIFA WCQL,77_乌兹别克,Uzbekistan,103_卡塔尔,Qatar,0.0,0.0,,半球|0.5,输,小,负
1237378.0,648.0,2017/03/23 23:59,904.0,783.0,0-1,0-0,亚洲预选,FIFA WCQL,103_卡塔尔,Qatar,34_伊朗,Iran,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1367393.0,1366.0,2017/03/09 23:59,904.0,758.0,1-2,0-0,国际友谊,INT FRL,103_卡塔尔,Qatar,118_阿塞拜疆,Azerbaijan,0.0,0.0,,半球|0.5,输,大,负
1343282.0,1366.0,2017/01/17 23:00,904.0,751.0,1-1,1-1,国际友谊,INT FRL,103_卡塔尔,Qatar,166_摩尔多瓦,Moldova,0.0,0.0,,一球/球半|1/1.5,输,小,平
1237388.0,648.0,2016/11/15 19:35,896.0,904.0,0-0,0-0,亚洲预选,FIFA WCQL,70_中国,China,103_卡塔尔,Qatar,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1327396.0,1366.0,2016/11/10 23:59,904.0,746.0,2-1,1-1,国际友谊,INT FRL,103_卡塔尔,Qatar,62_俄罗斯,Russia,0.0,0.0,,受让半球|-0.5,赢,大,胜
1237391.0,648.0,2016/10/11 23:59,904.0,899.0,1-0,1-0,亚洲预选,FIFA WCQL,103_卡塔尔,Qatar,76_叙利亚,Syrian,0.0,0.0,,一球/球半|1/1.5,输,小,胜
1237399.0,648.0,2016/10/06 19:00,898.0,904.0,3-2,1-2,亚洲预选,FIFA WCQL,59_韩国,Korea Republic,103_卡塔尔,Qatar,1.0,0.0,,球半|1.5,赢,大,负
1319642.0,1366.0,2016/09/29 23:59,904.0,642.0,3-0,3-0,国际友谊,INT FRL,103_卡塔尔,Qatar,37_塞尔维亚,Serbia,0.0,0.0,,半球|0.5,赢,大,胜
1237402.0,648.0,2016/09/06 23:59,904.0,875.0,0-1,0-0,亚洲预选,FIFA WCQL,103_卡塔尔,Qatar,77_乌兹别克,Uzbekistan,0.0,0.0,,平手/半球|0/0.5,输,小,负
1237407.0,648.0,2016/09/02 00:30,783.0,904.0,2-0,0-0,亚洲预选,FIFA WCQL,34_伊朗,Iran,103_卡塔尔,Qatar,0.0,0.0,,一球|1,输,小,负
1302990.0,1366.0,2016/08/25 23:59,904.0,886.0,3-0,1-0,国际友谊,INT FRL,103_卡塔尔,Qatar,129_泰国,Thailand,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1295121.0,1366.0,2016/08/18 23:30,881.0,904.0,2-3,1-1,国际友谊,INT FRL,113_约旦,Jordan,103_卡塔尔,Qatar,0.0,0.0,,平手|0,赢,大,胜
1287423.0,1366.0,2016/08/08 23:59,904.0,874.0,2-1,1-0,国际友谊,INT FRL,103_卡塔尔,Qatar,82_伊拉克,Iraq,0.0,0.0,,半球|0.5,赢,大,胜
1243455.0,1366.0,2016/05/29 23:30,761.0,904.0,3-1,2-1,国际友谊,INT FRL,60_阿尔巴尼亚,Albania,103_卡塔尔,Qatar,0.0,0.0,,半球|0.5,输,大,负
1124650.0,648.0,2016/03/29 20:15,896.0,904.0,2-0,0-0,亚洲预选,FIFA WCQL,70_中国,China,103_卡塔尔,Qatar,0.0,0.0,,半球/一球|0.5/1,输,小,负
1124651.0,648.0,2016/03/24 23:59,904.0,888.0,2-0,1-0,亚洲预选,FIFA WCQL,103_卡塔尔,Qatar,144_中国香港,Hong Kong,0.0,0.0,,球半/两球|1.5/2,赢,小,胜
1124653.0,648.0,2015/11/17 20:00,7818.0,904.0,0-3,0-2,亚洲预选,FIFA WCQL,188_不丹,Bhutan,103_卡塔尔,Qatar,0.0,0.0,,受让7.25球|-7.25,输,小,胜
1196761.0,1366.0,2015/11/14 01:30,904.0,762.0,1-2,1-0,国际友谊,INT FRL,103_卡塔尔,Qatar,41_土耳其,Turkey,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1124657.0,648.0,2015/10/13 23:30,904.0,882.0,4-0,1-0,亚洲预选,FIFA WCQL,103_卡塔尔,Qatar,150_马尔代夫,Maldives,0.0,0.0,,三球半|3.5,赢,走,胜
1124659.0,648.0,2015/10/08 23:30,904.0,896.0,1-0,1-0,亚洲预选,FIFA WCQL,103_卡塔尔,Qatar,70_中国,China,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1124661.0,648.0,2015/09/08 20:00,888.0,904.0,2-3,0-1,亚洲预选,FIFA WCQL,144_中国香港,Hong Kong,103_卡塔尔,Qatar,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,胜
1124664.0,648.0,2015/09/03 23:59,904.0,7818.0,15-0,8-0,亚洲预选,FIFA WCQL,103_卡塔尔,Qatar,188_不丹,Bhutan,0.0,0.0,,6.25球|6.25,赢,大,胜
1180347.0,1366.0,2015/08/28 23:59,904.0,892.0,4-0,0-0,国际友谊,INT FRL,103_卡塔尔,Qatar,173_新加坡,Singapore,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
1176030.0,41.0,2015/08/17 23:30,1069.0,904.0,2-2,1-1,球会友谊,INT CF,220_弱鸡,LASK Linz,103_卡塔尔,Qatar,0.0,0.0,,,,,平
1172500.0,1366.0,2015/08/13 23:35,568.0,904.0,1-1,0-0,国际友谊,INT FRL,220_弱鸡,Olympiakos Piraeus,103_卡塔尔,Qatar,0.0,0.0,,球半|1.5,赢,小,平
1124667.0,648.0,2015/06/11 23:59,882.0,904.0,0-1,0-0,亚洲预选,FIFA WCQL,150_马尔代夫,Maldives,103_卡塔尔,Qatar,0.0,0.0,,受让球半|-1.5,输,小,胜
1129014.0,1366.0,2015/06/06 02:45,641.0,904.0,1-0,1-0,国际友谊,INT FRL,32_苏格兰,Scotland,103_卡塔尔,Qatar,0.0,0.0,,一球|1,走,小,负
1128941.0,1366.0,2015/05/31 23:59,759.0,904.0,1-1,0-0,国际友谊,INT FRL,25_北爱尔兰,Northern Ireland,103_卡塔尔,Qatar,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1110168.0,1366.0,2015/03/30 23:59,904.0,632.0,1-0,0-0,国际友谊,INT FRL,103_卡塔尔,Qatar,64_斯洛文尼亚,Slovenia,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1110370.0,1366.0,2015/03/26 23:59,904.0,18406.0,1-0,1-0,国际友谊,INT FRL,103_卡塔尔,Qatar,57_阿尔及利亚,Algeria,0.0,0.0,,受让半球|-0.5,赢,小,胜
978747.0,95.0,2015/01/19 17:00,904.0,900.0,1-2,0-1,亚洲杯,AFC,103_卡塔尔,Qatar,122_巴林,Bahrain,0.0,0.0,,平手/半球|0/0.5,输,大,负
978745.0,95.0,2015/01/15 17:00,904.0,783.0,0-1,0-0,亚洲杯,AFC,103_卡塔尔,Qatar,34_伊朗,Iran,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
978742.0,95.0,2015/01/11 15:00,887.0,904.0,4-1,1-1,亚洲杯,AFC,78_阿联酋,United Arab Emirates,103_卡塔尔,Qatar,0.0,0.0,,平手|0,输,大,负
1077285.0,1366.0,2014/12/31 15:25,904.0,902.0,2-2,0-2,国际友谊,INT FRL,103_卡塔尔,Qatar,101_阿曼,Oman,0.0,0.0,,,,,平
1076200.0,1366.0,2014/12/27 22:30,904.0,636.0,3-0,3-0,国际友谊,INT FRL,103_卡塔尔,Qatar,88_爱沙尼亚,Estonia,0.0,0.0,,半球|0.5,赢,大,胜
1070997.0,161.0,2014/11/27 00:45,891.0,904.0,1-2,1-1,海湾运,GC,65_沙特阿拉伯,Saudi Arabia,103_卡塔尔,Qatar,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1070888.0,161.0,2014/11/23 22:45,902.0,904.0,1-3,1-1,海湾运,GC,101_阿曼,Oman,103_卡塔尔,Qatar,0.0,0.0,,平手|0,赢,大,胜
1069590.0,161.0,2014/11/20 00:45,900.0,904.0,0-0,0-0,海湾运,GC,122_巴林,Bahrain,103_卡塔尔,Qatar,0.0,0.0,,受让半球|-0.5,输,小,平
1069588.0,161.0,2014/11/16 22:45,877.0,904.0,0-0,0-0,海湾运,GC,138_也门,Yemen,103_卡塔尔,Qatar,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,平
1069586.0,161.0,2014/11/13 23:59,891.0,904.0,1-1,1-0,海湾运,GC,65_沙特阿拉伯,Saudi Arabia,103_卡塔尔,Qatar,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1068267.0,1366.0,2014/11/06 23:59,904.0,876.0,3-1,0-0,国际友谊,INT FRL,103_卡塔尔,Qatar,119_朝鲜,Korea DPR,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
