赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502195.0,1864.0,2018/11/20 01:00,901.0,763.0,,,欧国联,UEFA  NL,104_格鲁吉亚,Georgia,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,,,,
1502194.0,1864.0,2018/11/17 03:45,894.0,901.0,,,欧国联,UEFA  NL,136_安道尔,Andorra,104_格鲁吉亚,Georgia,0.0,0.0,,,,,
1502192.0,1864.0,2018/10/17 02:45,631.0,901.0,,,欧国联,UEFA  NL,131_拉脱维亚,Latvia,104_格鲁吉亚,Georgia,0.0,0.0,,,,,
1502190.0,1864.0,2018/10/13 23:59,901.0,894.0,,,欧国联,UEFA  NL,104_格鲁吉亚,Georgia,136_安道尔,Andorra,0.0,0.0,,,,,
1502187.0,1864.0,2018/09/09 23:59,901.0,631.0,,,欧国联,UEFA  NL,104_格鲁吉亚,Georgia,131_拉脱维亚,Latvia,0.0,0.0,,,,,
1502185.0,1864.0,2018/09/06 22:00,763.0,901.0,,,欧国联,UEFA  NL,135_哈萨克斯坦,Kazakhstan,104_格鲁吉亚,Georgia,0.0,0.0,,,,,
1543763.0,1366.0,2018/06/06 02:00,749.0,901.0,1-0,0-0,国际友谊,INT FRL,84_卢森堡,Luxembourg,104_格鲁吉亚,Georgia,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1543754.0,1366.0,2018/06/02 01:00,901.0,755.0,1-0,0-0,国际友谊,INT FRL,104_格鲁吉亚,Georgia,185_马耳他,Malta,1.0,0.0,,一球|1,走,小,胜
1521487.0,1366.0,2018/03/27 23:00,901.0,636.0,2-0,2-0,国际友谊,INT FRL,104_格鲁吉亚,Georgia,88_爱沙尼亚,Estonia,0.0,0.0,,半球|0.5,赢,小,胜
1519567.0,1366.0,2018/03/24 23:00,901.0,905.0,4-0,4-0,国际友谊,INT FRL,104_格鲁吉亚,Georgia,147_立陶宛,Lithuania,0.0,0.0,,半球|0.5,赢,大,胜
