赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393589.0,93.0,2018/11/13 23:00,810.0,921.0,,,非洲杯,CAF NC,50_加纳,Ghana,105_肯尼亚,Kenya,0.0,0.0,,,,,
1393587.0,93.0,2018/10/16 23:00,921.0,5290.0,,,非洲杯,CAF NC,105_肯尼亚,Kenya,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,
1393585.0,93.0,2018/09/11 23:00,921.0,4637.0,,,非洲杯,CAF NC,105_肯尼亚,Kenya,137_埃塞俄比亚,Ethiopia,0.0,0.0,,,,,
1393581.0,93.0,2018/09/07 23:00,921.0,810.0,,,非洲杯,CAF NC,105_肯尼亚,Kenya,50_加纳,Ghana,0.0,0.0,,,,,
1393583.0,93.0,2018/09/03 23:00,4637.0,921.0,,,非洲杯,CAF NC,137_埃塞俄比亚,Ethiopia,105_肯尼亚,Kenya,0.0,0.0,,,,,
1550218.0,1366.0,2018/06/10 22:30,893.0,921.0,2-0,2-0,国际友谊,INT FRL,102_印度,India,105_肯尼亚,Kenya,0.0,0.0,,平手/半球|0/0.5,输,小,负
1548655.0,1366.0,2018/06/08 22:30,5288.0,921.0,0-4,0-0,国际友谊,INT FRL,134_中国台北,Chinese Taipei,105_肯尼亚,Kenya,0.0,0.0,,受让一球/球半|-1/-1.5,赢,大,胜
1547567.0,1366.0,2018/06/04 22:30,893.0,921.0,3-0,0-0,国际友谊,INT FRL,102_印度,India,105_肯尼亚,Kenya,0.0,0.0,,平手|0,输,大,负
1546995.0,1366.0,2018/06/02 22:30,921.0,2363.0,2-1,1-1,国际友谊,INT FRL,105_肯尼亚,Kenya,120_新西兰,New Zealand,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1546687.0,1366.0,2018/05/28 20:00,921.0,5286.0,1-0,0-0,国际友谊,INT FRL,105_肯尼亚,Kenya,141_赤道几内亚,Equatorial Guinea,0.0,0.0,,半球|0.5,赢,小,胜
1545734.0,1366.0,2018/05/25 20:00,921.0,4636.0,0-1,0-0,国际友谊,INT FRL,105_肯尼亚,Kenya,132_斯威士兰,Swaziland,0.0,0.0,,半球|0.5,输,小,负
1524871.0,1366.0,2018/03/27 23:00,921.0,8025.0,2-3,1-1,国际友谊,INT FRL,105_肯尼亚,Kenya,121_中非共和国,Central African Republic,1.0,0.0,,半球|0.5,输,大,负
1524052.0,1366.0,2018/03/24 23:59,921.0,6675.0,2-2,1-1,国际友谊,INT FRL,105_肯尼亚,Kenya,130_科摩罗,Comoros,0.0,0.0,,一球|1,输,大,平
1485482.0,581.0,2017/12/17 20:35,921.0,7183.0,1-1,1-0,中东非杯,CECAFA Cup,105_肯尼亚,Kenya,220_弱鸡,Zanzibar,0.0,0.0,"90,1-1;;1,2-2;3-2;1",半球/一球|0.5/1,输,小,平
1484600.0,581.0,2017/12/14 20:05,921.0,5294.0,0-0,0-0,中东非杯,CECAFA Cup,105_肯尼亚,Kenya,143_布隆迪,Burundi,0.0,0.0,"90,0-0;;1,1-0;;1",半球/一球|0.5/1,输,小,平
1482708.0,581.0,2017/12/11 21:05,921.0,4937.0,1-0,1-0,中东非杯,CECAFA Cup,105_肯尼亚,Kenya,146_坦桑尼亚,Tanzania,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1483861.0,581.0,2017/12/09 21:10,921.0,7183.0,0-0,0-0,中东非杯,CECAFA Cup,105_肯尼亚,Kenya,220_弱鸡,Zanzibar,0.0,0.0,,半球/一球|0.5/1,输,小,平
1482084.0,581.0,2017/12/05 21:10,921.0,734.0,0-0,0-0,中东非杯,CECAFA Cup,105_肯尼亚,Kenya,89_利比亚,Libya,0.0,0.0,,平手/半球|0/0.5,输,小,平
1482440.0,581.0,2017/12/03 19:00,921.0,922.0,2-0,2-0,中东非杯,CECAFA Cup,105_肯尼亚,Kenya,116_卢旺达,Rwanda,0.0,1.0,,,,,胜
1466907.0,1366.0,2017/10/08 20:30,886.0,921.0,1-0,0-0,国际友谊,INT FRL,129_泰国,Thailand,105_肯尼亚,Kenya,0.0,0.0,,平手/半球|0/0.5,输,小,负
1466902.0,1366.0,2017/10/05 23:59,874.0,921.0,2-1,2-0,国际友谊,INT FRL,82_伊拉克,Iraq,105_肯尼亚,Kenya,0.0,0.0,,半球/一球|0.5/1,输,大,负
