赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393598.0,93.0,2018/11/13 23:00,14862.0,806.0,,,非洲杯,CAF NC,106_津巴布韦,Zimbabwe,96_刚果,Congo,0.0,0.0,,,,,
1393597.0,93.0,2018/10/16 23:00,814.0,14862.0,,,非洲杯,CAF NC,133_利比里亚,Liberia,106_津巴布韦,Zimbabwe,0.0,0.0,,,,,
1393594.0,93.0,2018/09/11 23:00,14862.0,811.0,,,非洲杯,CAF NC,106_津巴布韦,Zimbabwe,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,,,,
1393590.0,93.0,2018/09/07 23:00,806.0,14862.0,,,非洲杯,CAF NC,96_刚果,Congo,106_津巴布韦,Zimbabwe,0.0,0.0,,,,,
1393592.0,93.0,2018/09/03 23:00,811.0,14862.0,,,非洲杯,CAF NC,43_刚果民主共和国,Democratic Rep Congo,106_津巴布韦,Zimbabwe,0.0,0.0,,,,,
1549037.0,1311.0,2018/06/09 21:00,807.0,14862.0,2-2,1-1,南非洲杯,SACC,72_赞比亚,Zambia,106_津巴布韦,Zimbabwe,0.0,0.0,"90,2-2;;1,2-4;;2",平手/半球|0/0.5,赢,大,平
1548487.0,1311.0,2018/06/07 01:30,5296.0,14862.0,0-0,0-0,南非洲杯,SACC,145_莱索托,Lesotho,106_津巴布韦,Zimbabwe,0.0,0.0,"90,0-0;;1,0-0;1-3;",受让半球/一球|-0.5/-1,输,小,平
1548219.0,1311.0,2018/06/03 23:30,14862.0,920.0,1-1,1-0,南非洲杯,SACC,106_津巴布韦,Zimbabwe,149_博茨瓦纳,Botswana,0.0,0.0,"90,1-1;;;3-1;1",平手/半球|0/0.5,输,走,平
1534315.0,1366.0,2018/04/18 22:00,14862.0,920.0,0-1,0-1,国际友谊,INT FRL,106_津巴布韦,Zimbabwe,149_博茨瓦纳,Botswana,0.0,0.0,,,,,负
1524203.0,1366.0,2018/03/24 20:10,804.0,14862.0,2-2,1-1,国际友谊,INT FRL,142_安哥拉,Angola,106_津巴布韦,Zimbabwe,0.0,0.0,"90,2-2;;1,2-4;;2",平手|0,走,大,平
