赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393647.0,93.0,2018/11/13 23:00,6680.0,5292.0,,,非洲杯,CAF NC,83_几内亚比绍,Guinea Bissau,108_莫桑比克,Mozambique,0.0,0.0,,,,,
1393644.0,93.0,2018/10/16 23:00,5292.0,807.0,,,非洲杯,CAF NC,108_莫桑比克,Mozambique,72_赞比亚,Zambia,0.0,0.0,,,,,
1393643.0,93.0,2018/09/11 23:00,4494.0,5292.0,,,非洲杯,CAF NC,111_纳米比亚,Namibia,108_莫桑比克,Mozambique,0.0,0.0,,,,,
1393639.0,93.0,2018/09/07 23:00,5292.0,6680.0,,,非洲杯,CAF NC,108_莫桑比克,Mozambique,83_几内亚比绍,Guinea Bissau,0.0,0.0,,,,,
1393640.0,93.0,2018/09/03 23:00,5292.0,4494.0,,,非洲杯,CAF NC,108_莫桑比克,Mozambique,111_纳米比亚,Namibia,0.0,0.0,,,,,
1545772.0,1311.0,2018/05/31 23:30,5292.0,5289.0,2-1,1-0,南非洲杯,SACC,108_莫桑比克,Mozambique,192_塞舌尔,Seychelles,0.0,0.0,,一球|1,走,大,胜
1545769.0,1311.0,2018/05/29 23:00,5292.0,6675.0,3-0,2-0,南非洲杯,SACC,108_莫桑比克,Mozambique,130_科摩罗,Comoros,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1545767.0,1311.0,2018/05/27 20:00,5295.0,5292.0,2-1,1-0,南非洲杯,SACC,109_马达加斯加,Madagascar,108_莫桑比克,Mozambique,0.0,0.0,,平手/半球|0/0.5,输,大,负
1470366.0,1366.0,2017/10/10 22:10,790.0,5292.0,0-1,0-1,国际友谊,INT FRL,63_佛得角,Cape Verde,108_莫桑比克,Mozambique,0.0,0.0,,,,,胜
1456519.0,1366.0,2017/09/02 23:59,5292.0,921.0,1-1,0-0,国际友谊,INT FRL,108_莫桑比克,Mozambique,105_肯尼亚,Kenya,0.0,0.0,,,,,平
1421499.0,1052.0,2017/07/23 21:00,5292.0,5295.0,0-2,0-0,非国锦标,CAF SC,108_莫桑比克,Mozambique,109_马达加斯加,Madagascar,0.0,0.0,,,,,负
1414974.0,1052.0,2017/07/16 19:30,5295.0,5292.0,2-2,1-1,非国锦标,CAF SC,109_马达加斯加,Madagascar,108_莫桑比克,Mozambique,0.0,0.0,,,,,平
1404276.0,1311.0,2017/06/30 23:00,5292.0,5295.0,1-4,1-2,南非洲杯,SACC,108_莫桑比克,Mozambique,109_马达加斯加,Madagascar,1.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1404216.0,1311.0,2017/06/29 01:30,5289.0,5292.0,1-2,0-0,南非洲杯,SACC,192_塞舌尔,Seychelles,108_莫桑比克,Mozambique,0.0,0.0,,平手|0,赢,大,胜
1402588.0,1311.0,2017/06/26 23:00,5292.0,14862.0,0-4,0-1,南非洲杯,SACC,108_莫桑比克,Mozambique,106_津巴布韦,Zimbabwe,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1392578.0,93.0,2017/06/10 21:00,807.0,5292.0,0-1,0-0,非洲杯,CAF NC,72_赞比亚,Zambia,108_莫桑比克,Mozambique,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1374025.0,1366.0,2017/03/29 01:00,5292.0,5296.0,1-0,0-0,国际友谊,INT FRL,108_莫桑比克,Mozambique,145_莱索托,Lesotho,0.0,0.0,,,,,胜
1372320.0,1366.0,2017/03/26 02:00,5292.0,804.0,2-0,0-0,国际友谊,INT FRL,108_莫桑比克,Mozambique,142_安哥拉,Angola,0.0,0.0,,,,,胜
1330086.0,1366.0,2016/11/16 01:00,5292.0,803.0,1-1,1-0,国际友谊,INT FRL,108_莫桑比克,Mozambique,78_南非,South Africa,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1328729.0,1366.0,2016/11/12 21:00,921.0,5292.0,1-0,1-0,国际友谊,INT FRL,105_肯尼亚,Kenya,108_莫桑比克,Mozambique,0.0,0.0,,半球/一球|0.5/1,输,小,负
1319009.0,1366.0,2016/10/09 23:59,816.0,5292.0,2-0,1-0,国际友谊,INT FRL,127_多哥,Togo,108_莫桑比克,Mozambique,0.0,0.0,,,,,负
1129677.0,93.0,2016/09/04 01:30,5292.0,4638.0,1-0,0-0,非洲杯,CAF NC,108_莫桑比克,Mozambique,157_毛里求斯,Mauritius,0.0,0.0,,,,,胜
1251078.0,41.0,2016/06/22 02:30,4494.0,5292.0,3-0,0-0,球会友谊,INT CF,111_纳米比亚,Namibia,108_莫桑比克,Mozambique,0.0,1.0,,平手/半球|0/0.5,输,大,负
1248730.0,1366.0,2016/06/20 00:30,811.0,5292.0,1-0,1-0,国际友谊,INT FRL,43_刚果民主共和国,Democratic Rep Congo,108_莫桑比克,Mozambique,0.0,0.0,,半球|0.5,输,小,负
1129675.0,93.0,2016/06/04 21:30,922.0,5292.0,2-3,1-2,非洲杯,CAF NC,116_卢旺达,Rwanda,108_莫桑比克,Mozambique,0.0,0.0,,一球|1,赢,大,胜
1129672.0,93.0,2016/03/27 21:00,5292.0,810.0,0-0,0-0,非洲杯,CAF NC,108_莫桑比克,Mozambique,50_加纳,Ghana,0.0,0.0,,受让一球|-1,赢,小,平
1129670.0,93.0,2016/03/24 23:30,810.0,5292.0,3-1,1-0,非洲杯,CAF NC,50_加纳,Ghana,108_莫桑比克,Mozambique,0.0,0.0,,两球|2,走,大,负
