赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393539.0,93.0,2018/11/13 23:00,815.0,5295.0,,,非洲杯,CAF NC,24_塞内加尔,Senegal,109_马达加斯加,Madagascar,0.0,0.0,,,,,
1393537.0,93.0,2018/10/16 23:00,5295.0,792.0,,,非洲杯,CAF NC,109_马达加斯加,Madagascar,124_苏丹,Sudan,0.0,0.0,,,,,
1393535.0,93.0,2018/09/11 23:00,5295.0,5286.0,,,非洲杯,CAF NC,109_马达加斯加,Madagascar,141_赤道几内亚,Equatorial Guinea,0.0,0.0,,,,,
1393531.0,93.0,2018/09/07 23:00,5295.0,815.0,,,非洲杯,CAF NC,109_马达加斯加,Madagascar,24_塞内加尔,Senegal,0.0,0.0,,,,,
1393533.0,93.0,2018/09/03 23:00,5286.0,5295.0,,,非洲杯,CAF NC,141_赤道几内亚,Equatorial Guinea,109_马达加斯加,Madagascar,0.0,0.0,,,,,
1549036.0,1311.0,2018/06/09 01:30,5295.0,5296.0,0-1,0-1,南非洲杯,SACC,109_马达加斯加,Madagascar,145_莱索托,Lesotho,0.0,0.0,,平手/半球|0/0.5,输,小,负
1548477.0,1311.0,2018/06/06 23:00,807.0,5295.0,1-0,1-0,南非洲杯,SACC,72_赞比亚,Zambia,109_马达加斯加,Madagascar,0.0,1.0,,平手/半球|0/0.5,输,小,负
1548034.0,1311.0,2018/06/03 21:00,803.0,5295.0,0-0,0-0,南非洲杯,SACC,78_南非,South Africa,109_马达加斯加,Madagascar,0.0,0.0,"90,0-0;;1,0-0;3-4;2",半球/一球|0.5/1,赢,小,平
1545771.0,1311.0,2018/05/31 23:30,5295.0,6675.0,1-0,1-0,南非洲杯,SACC,109_马达加斯加,Madagascar,130_科摩罗,Comoros,0.0,0.0,,一球|1,走,小,胜
1545770.0,1311.0,2018/05/30 01:30,5289.0,5295.0,1-1,1-1,南非洲杯,SACC,192_塞舌尔,Seychelles,109_马达加斯加,Madagascar,0.0,1.0,,受让半球|-0.5,输,小,平
1545767.0,1311.0,2018/05/27 20:00,5295.0,5292.0,2-1,1-0,南非洲杯,SACC,109_马达加斯加,Madagascar,108_莫桑比克,Mozambique,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1521862.0,1366.0,2018/03/25 02:00,5764.0,5295.0,1-0,0-0,国际友谊,INT FRL,178_科索沃,Kosovo,109_马达加斯加,Madagascar,0.0,0.0,,,,,负
1520304.0,1366.0,2018/03/22 02:00,816.0,5295.0,0-0,0-0,国际友谊,INT FRL,127_多哥,Togo,109_马达加斯加,Madagascar,0.0,0.0,,,,,平
1476839.0,1366.0,2017/11/11 22:00,6675.0,5295.0,1-1,0-1,国际友谊,INT FRL,130_科摩罗,Comoros,109_马达加斯加,Madagascar,0.0,0.0,,,,,平
1468712.0,1366.0,2017/10/04 21:00,802.0,5295.0,1-2,1-0,国际友谊,INT FRL,73_乌干达,Uganda,109_马达加斯加,Madagascar,0.0,0.0,,,,,胜
1443878.0,1052.0,2017/08/19 23:30,804.0,5295.0,1-0,0-0,非国锦标,CAF SC,142_安哥拉,Angola,109_马达加斯加,Madagascar,0.0,0.0,,,,,负
1440173.0,1052.0,2017/08/13 19:30,5295.0,804.0,0-0,0-0,非国锦标,CAF SC,109_马达加斯加,Madagascar,142_安哥拉,Angola,0.0,0.0,,,,,平
1421499.0,1052.0,2017/07/23 21:00,5292.0,5295.0,0-2,0-0,非国锦标,CAF SC,108_莫桑比克,Mozambique,109_马达加斯加,Madagascar,0.0,0.0,,,,,胜
1414974.0,1052.0,2017/07/16 19:30,5295.0,5292.0,2-2,1-1,非国锦标,CAF SC,109_马达加斯加,Madagascar,108_莫桑比克,Mozambique,0.0,0.0,,,,,平
1404276.0,1311.0,2017/06/30 23:00,5292.0,5295.0,1-4,1-2,南非洲杯,SACC,108_莫桑比克,Mozambique,109_马达加斯加,Madagascar,1.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1404215.0,1311.0,2017/06/28 23:00,14862.0,5295.0,0-0,0-0,南非洲杯,SACC,106_津巴布韦,Zimbabwe,109_马达加斯加,Madagascar,0.0,0.0,,半球|0.5,赢,小,平
1402592.0,1311.0,2017/06/27 01:30,5295.0,5289.0,2-0,1-0,南非洲杯,SACC,109_马达加斯加,Madagascar,192_塞舌尔,Seychelles,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1392575.0,93.0,2017/06/10 03:00,792.0,5295.0,1-3,0-1,非洲杯,CAF NC,124_苏丹,Sudan,109_马达加斯加,Madagascar,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1380943.0,1052.0,2017/04/29 18:00,969.0,5295.0,0-1,0-0,非国锦标,CAF SC,124_马拉维,Malawi,109_马达加斯加,Madagascar,0.0,0.0,,,,,胜
1380666.0,1052.0,2017/04/22 19:30,5295.0,969.0,1-0,0-0,非国锦标,CAF SC,109_马达加斯加,Madagascar,124_马拉维,Malawi,0.0,0.0,,,,,胜
1371443.0,93.0,2017/03/26 19:30,5295.0,18477.0,3-2,2-1,非洲杯,CAF NC,109_马达加斯加,Madagascar,179_圣多美与普林西比,Sao Tome   Principe,0.0,0.0,,,,,胜
1371440.0,93.0,2017/03/22 23:30,18477.0,5295.0,0-1,0-0,非洲杯,CAF NC,179_圣多美与普林西比,Sao Tome   Principe,109_马达加斯加,Madagascar,0.0,0.0,,,,,胜
1129603.0,93.0,2016/09/03 23:00,804.0,5295.0,1-1,0-1,非洲杯,CAF NC,142_安哥拉,Angola,109_马达加斯加,Madagascar,0.0,0.0,,,,,平
1247579.0,1366.0,2016/06/15 23:59,4636.0,5295.0,1-0,0-0,国际友谊,INT FRL,132_斯威士兰,Swaziland,109_马达加斯加,Madagascar,0.0,0.0,,,,,负
1245974.0,1366.0,2016/06/14 02:30,5295.0,14862.0,0-0,0-0,国际友谊,INT FRL,109_马达加斯加,Madagascar,106_津巴布韦,Zimbabwe,0.0,0.0,,,,,平
1245823.0,41.0,2016/06/12 00:30,5289.0,5295.0,0-1,0-1,球会友谊,INT CF,192_塞舌尔,Seychelles,109_马达加斯加,Madagascar,0.0,0.0,,,,,胜
1129602.0,93.0,2016/06/05 19:30,5295.0,811.0,1-6,0-3,非洲杯,CAF NC,109_马达加斯加,Madagascar,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,,,,负
1129600.0,93.0,2016/03/28 22:00,8025.0,5295.0,2-1,0-1,非洲杯,CAF NC,121_中非共和国,Central African Republic,109_马达加斯加,Madagascar,0.0,0.0,,半球|0.5,输,大,负
1129598.0,93.0,2016/03/24 19:30,5295.0,8025.0,1-1,0-0,非洲杯,CAF NC,109_马达加斯加,Madagascar,121_中非共和国,Central African Republic,0.0,0.0,,半球|0.5,输,走,平
1196504.0,651.0,2015/11/18 03:00,815.0,5295.0,3-0,1-0,非洲预选,WCPAF,24_塞内加尔,Senegal,109_马达加斯加,Madagascar,0.0,0.0,,球半/两球|1.5/2,输,大,负
1196532.0,651.0,2015/11/13 19:30,5295.0,815.0,2-2,1-0,非洲预选,WCPAF,109_马达加斯加,Madagascar,24_塞内加尔,Senegal,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,平
1190102.0,651.0,2015/10/13 19:30,5295.0,8025.0,2-2,2-2,非洲预选,WCPAF,109_马达加斯加,Madagascar,121_中非共和国,Central African Republic,0.0,0.0,,,,,平
1190115.0,651.0,2015/10/10 19:30,8025.0,5295.0,0-3,0-2,非洲预选,WCPAF,121_中非共和国,Central African Republic,109_马达加斯加,Madagascar,0.0,0.0,,,,,胜
1129596.0,93.0,2015/09/06 19:30,5295.0,804.0,0-0,0-0,非洲杯,CAF NC,109_马达加斯加,Madagascar,142_安哥拉,Angola,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1168038.0,1366.0,2015/08/05 22:00,5295.0,882.0,4-0,0-0,国际友谊,INT FRL,109_马达加斯加,Madagascar,150_马尔代夫,Maldives,0.0,0.0,,,,,胜
1129594.0,93.0,2015/06/14 22:30,811.0,5295.0,2-1,0-0,非洲杯,CAF NC,43_刚果民主共和国,Democratic Rep Congo,109_马达加斯加,Madagascar,0.0,0.0,,一球/球半|1/1.5,赢,大,负
1128880.0,1366.0,2015/05/30 21:00,5295.0,920.0,2-1,2-0,国际友谊,INT FRL,109_马达加斯加,Madagascar,149_博茨瓦纳,Botswana,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1128793.0,1311.0,2015/05/28 23:00,4494.0,5295.0,3-2,2-2,南非洲杯,SACC,111_纳米比亚,Namibia,109_马达加斯加,Madagascar,0.0,0.0,,平手/半球|0/0.5,输,大,负
1128561.0,1311.0,2015/05/25 23:00,810.0,5295.0,1-2,1-1,南非洲杯,SACC,50_加纳,Ghana,109_马达加斯加,Madagascar,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
