赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1543812.0,1366.0,2018/06/09 02:45,637.0,780.0,2-2,2-1,国际友谊,INT FRL,7_波兰,Poland,10_智利,Chile,0.0,0.0,,半球|0.5,赢,大,平
1543811.0,1366.0,2018/06/05 02:00,642.0,780.0,0-1,0-0,国际友谊,INT FRL,37_塞尔维亚,Serbia,10_智利,Chile,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1543809.0,1366.0,2018/05/31 22:00,635.0,780.0,3-2,1-1,国际友谊,INT FRL,40_罗马尼亚,Romania,10_智利,Chile,0.0,1.0,,受让平手/半球|-0/-0.5,输,大,负
1521492.0,1366.0,2018/03/28 02:00,638.0,780.0,0-0,0-0,国际友谊,INT FRL,12_丹麦,Denmark,10_智利,Chile,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1521052.0,1366.0,2018/03/25 01:00,644.0,780.0,1-2,1-1,国际友谊,INT FRL,18_瑞典,Sweden,10_智利,Chile,0.0,0.0,,平手|0,赢,大,胜
1197773.0,652.0,2017/10/11 07:30,778.0,780.0,3-0,0-0,南美预选,WCPSA,2_巴西,Brazil,10_智利,Chile,0.0,0.0,,半球|0.5,输,大,负
1197766.0,652.0,2017/10/06 07:30,780.0,779.0,2-1,1-0,南美预选,WCPSA,10_智利,Chile,68_厄瓜多尔,Ecuador,0.0,0.0,,一球/球半|1/1.5,输,大,胜
1197759.0,652.0,2017/09/06 04:00,773.0,780.0,1-0,0-0,南美预选,WCPSA,49_玻利维亚,Bolivia,10_智利,Chile,1.0,0.0,,受让半球|-0.5,输,小,负
1197754.0,652.0,2017/09/01 06:30,780.0,776.0,0-3,0-1,南美预选,WCPSA,10_智利,Chile,31_巴拉圭,Paraguay,0.0,0.0,,一球|1,输,大,负
1406552.0,88.0,2017/07/03 02:00,780.0,650.0,0-1,0-1,洲际杯,FICC,10_智利,Chile,1_德国,Germany,0.0,0.0,,平手|0,输,小,负
1404061.0,88.0,2017/06/29 02:00,765.0,780.0,0-0,0-0,洲际杯,FICC,3_葡萄牙,Portugal,10_智利,Chile,0.0,0.0,"90,0-0;;1,0-0;0-3;2",平手/半球|0/0.5,赢,小,平
1361103.0,88.0,2017/06/25 23:00,780.0,913.0,1-1,0-1,洲际杯,FICC,10_智利,Chile,36_澳大利亚,Australia,0.0,0.0,,一球/球半|1/1.5,输,小,平
1361102.0,88.0,2017/06/23 02:00,650.0,780.0,1-1,1-1,洲际杯,FICC,1_德国,Germany,10_智利,Chile,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1361099.0,88.0,2017/06/19 02:00,793.0,780.0,0-2,0-0,洲际杯,FICC,45_喀麦隆,Cameroon,10_智利,Chile,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1392394.0,1366.0,2017/06/14 02:00,635.0,780.0,3-2,1-2,国际友谊,INT FRL,40_罗马尼亚,Romania,10_智利,Chile,0.0,1.0,,受让半球|-0.5,输,大,负
1391088.0,1366.0,2017/06/09 23:59,746.0,780.0,1-1,0-0,国际友谊,INT FRL,62_俄罗斯,Russia,10_智利,Chile,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,平
1389652.0,1366.0,2017/06/03 08:30,780.0,791.0,3-0,1-0,国际友谊,INT FRL,10_智利,Chile,44_布基纳法索,Burkina Faso,0.0,1.0,,球半|1.5,赢,大,胜
1197750.0,652.0,2017/03/29 06:00,780.0,777.0,3-1,3-0,南美预选,WCPSA,10_智利,Chile,52_委内瑞拉,Venezuela,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
1197746.0,652.0,2017/03/24 07:30,766.0,780.0,1-0,1-0,南美预选,WCPSA,4_阿根廷,Argentina,10_智利,Chile,0.0,0.0,,半球/一球|0.5/1,输,小,负
1341519.0,1726.0,2017/01/15 15:35,756.0,780.0,0-1,0-1,中国杯,China Cup,20_冰岛,Iceland,10_智利,Chile,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1338848.0,1726.0,2017/01/11 19:35,780.0,768.0,1-1,1-0,中国杯,China Cup,10_智利,Chile,15_克罗地亚,Croatia,0.0,0.0,"90,1-1;;;4-1;1",半球|0.5,输,小,平
1197742.0,652.0,2016/11/16 07:30,780.0,767.0,3-1,1-1,南美预选,WCPSA,10_智利,Chile,22_乌拉圭,Uruguay,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
