赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1536800.0,1366.0,2018/04/27 08:00,821.0,799.0,1-3,0-3,国际友谊,INT FRL,110_圣基茨和尼维斯,St. Kitts and Nevis,55_牙买加,Jamaica,0.0,0.0,,,,,负
1524258.0,1366.0,2018/03/26 05:00,7538.0,821.0,2-1,0-0,国际友谊,INT FRL,160_多米尼加共和国,Dominican Republic,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,负
1482112.0,1366.0,2017/12/03 08:00,821.0,7296.0,1-0,0-0,国际友谊,INT FRL,110_圣基茨和尼维斯,St. Kitts and Nevis,159_格瑞那达,Grenada,0.0,0.0,,,,,胜
1449129.0,1366.0,2017/08/24 22:30,893.0,821.0,1-1,1-0,国际友谊,INT FRL,102_印度,India,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1449598.0,1366.0,2017/08/22 20:00,821.0,4638.0,1-1,0-1,国际友谊,INT FRL,110_圣基茨和尼维斯,St. Kitts and Nevis,157_毛里求斯,Mauritius,0.0,0.0,,,,,平
1391063.0,1366.0,2017/06/07 23:59,901.0,821.0,3-0,0-0,国际友谊,INT FRL,104_格鲁吉亚,Georgia,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,球半/两球|1.5/2,输,大,负
1391047.0,1366.0,2017/06/04 23:59,748.0,821.0,5-0,3-0,国际友谊,INT FRL,90_阿美尼亚,Armenia,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,球半|1.5,输,大,负
1386357.0,41.0,2017/05/07 08:00,821.0,1992.0,2-1,1-1,球会友谊,INT CF,110_圣基茨和尼维斯,St. Kitts and Nevis,155_巴巴多斯,Barbados,0.0,0.0,,,,,胜
1331091.0,1366.0,2016/11/20 08:00,821.0,636.0,1-1,1-1,国际友谊,INT FRL,110_圣基茨和尼维斯,St. Kitts and Nevis,88_爱沙尼亚,Estonia,0.0,0.0,,,,,平
1320732.0,188.0,2016/11/14 08:00,821.0,909.0,0-0,0-0,美加杯,CGC CZ,110_圣基茨和尼维斯,St. Kitts and Nevis,87_海地,Haiti,1.0,0.0,"90,0-0;;1,0-2;;2",,,,平
1320731.0,188.0,2016/10/09 07:00,20412.0,821.0,1-0,0-0,美加杯,CGC CZ,220_弱鸡,French Guiana,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,负
1306843.0,41.0,2016/09/01 08:30,5091.0,821.0,0-0,0-0,球会友谊,INT CF,115_尼加拉瓜,Nicaragua,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,平
1244350.0,188.0,2016/06/08 03:30,1494.0,821.0,0-1,0-1,美加杯,CGC CZ,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,胜
1244348.0,188.0,2016/06/02 08:00,821.0,8027.0,1-0,1-0,美加杯,CGC CZ,110_圣基茨和尼维斯,St. Kitts and Nevis,160_苏利南共和国,Suriname,0.0,0.0,,,,,胜
1229849.0,188.0,2016/03/30 08:00,821.0,8028.0,1-0,0-0,美加杯,CGC CZ,110_圣基茨和尼维斯,St. Kitts and Nevis,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,胜
1229848.0,188.0,2016/03/27 08:00,7300.0,821.0,0-2,0-2,美加杯,CGC CZ,180_阿鲁巴,Aruba,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,胜
1220007.0,41.0,2016/02/22 08:00,821.0,5293.0,3-0,1-0,球会友谊,INT CF,110_圣基茨和尼维斯,St. Kitts and Nevis,184_百慕大群岛,Bermuda,0.0,0.0,,,,,胜
1198190.0,1366.0,2015/11/18 01:00,636.0,821.0,3-0,1-0,国际友谊,INT FRL,88_爱沙尼亚,Estonia,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,一球/球半|1/1.5,输,大,负
1197324.0,1366.0,2015/11/13 02:00,894.0,821.0,0-1,0-1,国际友谊,INT FRL,136_安道尔,Andorra,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,胜
1129432.0,653.0,2015/06/17 09:00,796.0,821.0,4-1,1-0,北美预选,WCPCA,90_萨尔瓦多,El Salvador,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,球半|1.5,输,大,负
1129420.0,653.0,2015/06/12 08:00,821.0,796.0,2-2,0-1,北美预选,WCPCA,110_圣基茨和尼维斯,St. Kitts and Nevis,90_萨尔瓦多,El Salvador,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,平
1126852.0,1366.0,2015/05/11 07:30,1992.0,821.0,1-3,1-1,国际友谊,INT FRL,155_巴巴多斯,Barbados,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,胜
1110380.0,653.0,2015/03/27 07:00,7298.0,821.0,2-6,2-3,北美预选,WCPCA,202_特克斯和凯科斯群岛,Turks Caicos Islands,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,胜
1110160.0,653.0,2015/03/24 08:00,821.0,7298.0,6-2,3-1,北美预选,WCPCA,110_圣基茨和尼维斯,St. Kitts and Nevis,202_特克斯和凯科斯群岛,Turks Caicos Islands,1.0,0.0,,,,,胜
1064647.0,188.0,2014/10/13 05:00,909.0,821.0,0-0,0-0,美加杯,CGC CZ,87_海地,Haiti,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,平
1064644.0,188.0,2014/10/11 05:00,20412.0,821.0,1-2,0-1,美加杯,CGC CZ,220_弱鸡,French Guiana,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,1.0,,,,,胜
1064642.0,188.0,2014/10/09 05:00,821.0,1992.0,2-3,1-3,美加杯,CGC CZ,110_圣基茨和尼维斯,St. Kitts and Nevis,155_巴巴多斯,Barbados,0.0,0.0,,,,,负
1053729.0,188.0,2014/09/08 08:30,821.0,8029.0,2-0,0-0,美加杯,CGC CZ,110_圣基茨和尼维斯,St. Kitts and Nevis,164_圭亚那,Guyana,0.0,0.0,,,,,胜
1053726.0,188.0,2014/09/06 08:30,821.0,7293.0,5-0,3-0,美加杯,CGC CZ,110_圣基茨和尼维斯,St. Kitts and Nevis,168_多米尼克,Dominica,0.0,0.0,,,,,胜
1053725.0,188.0,2014/09/04 08:30,821.0,8026.0,0-0,0-0,美加杯,CGC CZ,110_圣基茨和尼维斯,St. Kitts and Nevis,175_圣路西亚,St. Lucia,0.0,0.0,,,,,平
777686.0,188.0,2012/10/15 08:30,821.0,20412.0,0-3,0-2,美加杯,CGC CZ,110_圣基茨和尼维斯,St. Kitts and Nevis,220_弱鸡,French Guiana,0.0,0.0,,,,,负
794179.0,188.0,2012/10/13 08:00,821.0,912.0,0-1,0-0,美加杯,CGC CZ,110_圣基茨和尼维斯,St. Kitts and Nevis,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,,,,负
777684.0,188.0,2012/10/11 08:00,821.0,7297.0,2-0,2-0,美加杯,CGC CZ,110_圣基茨和尼维斯,St. Kitts and Nevis,206_安圭拉,Anguilla,0.0,0.0,,,,,胜
679628.0,41.0,2012/03/04 06:00,8028.0,821.0,0-1,0-0,球会友谊,INT CF,139_安提瓜和巴布达,Antigua   Barbuda,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,胜
646970.0,653.0,2011/11/16 08:00,795.0,821.0,4-0,3-0,北美预选,WCPCA,95_加拿大,Canada,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,大,负
647168.0,653.0,2011/11/12 08:00,821.0,795.0,0-0,0-0,北美预选,WCPCA,110_圣基茨和尼维斯,St. Kitts and Nevis,95_加拿大,Canada,0.0,0.0,,,,,平
640267.0,653.0,2011/10/12 08:00,821.0,8026.0,1-1,0-0,北美预选,WCPCA,110_圣基茨和尼维斯,St. Kitts and Nevis,175_圣路西亚,St. Lucia,0.0,0.0,,,,,平
637924.0,653.0,2011/10/08 08:00,7492.0,821.0,1-1,1-0,北美预选,WCPCA,166_波多黎各,Puerto Rico,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,平
621671.0,653.0,2011/09/07 06:00,8026.0,821.0,2-4,0-4,北美预选,WCPCA,175_圣路西亚,St. Lucia,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,胜
619697.0,653.0,2011/09/03 08:00,821.0,7492.0,0-0,0-0,北美预选,WCPCA,110_圣基茨和尼维斯,St. Kitts and Nevis,166_波多黎各,Puerto Rico,0.0,0.0,,,,,平
540847.0,41.0,2011/04/03 10:00,7296.0,821.0,1-0,0-0,球会友谊,INT CF,159_格瑞那达,Grenada,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,负
489591.0,188.0,2010/10/27 02:00,7492.0,821.0,0-1,0-0,美加杯,CGC CZ,166_波多黎各,Puerto Rico,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,胜
489590.0,188.0,2010/10/25 05:00,7296.0,821.0,2-0,2-0,美加杯,CGC CZ,159_格瑞那达,Grenada,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,负
489587.0,188.0,2010/10/23 03:00,5691.0,821.0,2-1,1-0,美加杯,CGC CZ,220_弱鸡,Guadeloupe,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,负
479400.0,188.0,2010/10/11 06:00,821.0,7304.0,3-0,3-0,美加杯,CGC CZ,110_圣基茨和尼维斯,St. Kitts and Nevis,199_蒙塞拉特岛,Montserrat,0.0,0.0,,,,,胜
479399.0,188.0,2010/10/09 08:30,1494.0,821.0,1-1,0-1,美加杯,CGC CZ,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,平
479396.0,188.0,2010/10/07 07:00,1992.0,821.0,1-1,1-1,美加杯,CGC CZ,155_巴巴多斯,Barbados,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,平
185409.0,653.0,2008/03/27 07:00,821.0,5092.0,1-1,0-1,北美预选,WCPCA,110_圣基茨和尼维斯,St. Kitts and Nevis,171_伯利兹,Belize,0.0,0.0,,,,,平
177683.0,653.0,2008/02/07 05:00,5092.0,821.0,3-1,3-1,北美预选,WCPCA,171_伯利兹,Belize,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,负
9040.0,653.0,2004/11/18 11:00,819.0,821.0,8-0,2-0,北美预选,WCPCA,17_墨西哥,Mexico,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,负
8711.0,653.0,2004/11/14 09:30,821.0,819.0,0-5,0-2,北美预选,WCPCA,110_圣基茨和尼维斯,St. Kitts and Nevis,17_墨西哥,Mexico,0.0,0.0,,,,,负
5176.0,80.0,2004/10/14 08:00,821.0,818.0,0-3,0-1,外围赛,Qualifier,110_圣基茨和尼维斯,St. Kitts and Nevis,220_弱鸡,Saint Vincent the Grenadine,0.0,0.0,,,,,负
4248.0,653.0,2004/10/11 03:30,912.0,821.0,5-1,2-1,北美预选,WCPCA,80_特立尼达和多巴哥,Trinidad   Tobago,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,负
