赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393646.0,93.0,2018/11/13 23:00,807.0,4494.0,,,非洲杯,CAF NC,72_赞比亚,Zambia,111_纳米比亚,Namibia,0.0,0.0,,,,,
1393645.0,93.0,2018/10/16 23:00,4494.0,6680.0,,,非洲杯,CAF NC,111_纳米比亚,Namibia,83_几内亚比绍,Guinea Bissau,0.0,0.0,,,,,
1393643.0,93.0,2018/09/11 23:00,4494.0,5292.0,,,非洲杯,CAF NC,111_纳米比亚,Namibia,108_莫桑比克,Mozambique,0.0,0.0,,,,,
1393638.0,93.0,2018/09/07 23:00,4494.0,807.0,,,非洲杯,CAF NC,111_纳米比亚,Namibia,72_赞比亚,Zambia,0.0,0.0,,,,,
1393640.0,93.0,2018/09/03 23:00,5292.0,4494.0,,,非洲杯,CAF NC,108_莫桑比克,Mozambique,111_纳米比亚,Namibia,0.0,0.0,,,,,
1548494.0,1311.0,2018/06/05 23:00,803.0,4494.0,4-1,3-1,南非洲杯,SACC,78_南非,South Africa,111_纳米比亚,Namibia,0.0,0.0,,半球/一球|0.5/1,输,大,负
1546996.0,1311.0,2018/06/02 21:00,807.0,4494.0,0-0,0-0,南非洲杯,SACC,72_赞比亚,Zambia,111_纳米比亚,Namibia,0.0,0.0,"90,0-0;;;4-3;1",平手/半球|0/0.5,赢,小,平
1524878.0,1366.0,2018/03/28 02:00,4494.0,5296.0,2-1,0-1,国际友谊,INT FRL,111_纳米比亚,Namibia,145_莱索托,Lesotho,0.0,0.0,,,,,胜
1496260.0,1052.0,2018/01/28 00:30,813.0,4494.0,2-0,1-0,非国锦标,CAF SC,39_摩洛哥,Morocco,111_纳米比亚,Namibia,0.0,0.0,,一球|1,输,小,负
1490666.0,1052.0,2018/01/23 03:00,4494.0,807.0,1-1,1-1,非国锦标,CAF SC,111_纳米比亚,Namibia,72_赞比亚,Zambia,0.0,0.0,,受让半球|-0.5,赢,走,平
1490664.0,1052.0,2018/01/19 03:30,802.0,4494.0,0-1,0-0,非国锦标,CAF SC,73_乌干达,Uganda,111_纳米比亚,Namibia,1.0,0.0,,平手|0,赢,小,胜
1490661.0,1052.0,2018/01/15 00:30,809.0,4494.0,0-1,0-0,非国锦标,CAF SC,61_科特迪瓦,Cote D Ivoire,111_纳米比亚,Namibia,0.0,0.0,,半球|0.5,赢,小,胜
1476842.0,1366.0,2017/11/11 22:00,4494.0,14862.0,3-1,3-1,国际友谊,INT FRL,111_纳米比亚,Namibia,106_津巴布韦,Zimbabwe,0.0,0.0,,,,,胜
1443882.0,1052.0,2017/08/20 22:00,4494.0,6675.0,2-0,0-0,非国锦标,CAF SC,111_纳米比亚,Namibia,130_科摩罗,Comoros,0.0,0.0,,半球|0.5,赢,走,胜
1440172.0,1052.0,2017/08/13 20:00,6675.0,4494.0,2-1,2-0,非国锦标,CAF SC,130_科摩罗,Comoros,111_纳米比亚,Namibia,0.0,0.0,,,,,负
1421497.0,1052.0,2017/07/23 21:05,14862.0,4494.0,1-0,1-0,非国锦标,CAF SC,106_津巴布韦,Zimbabwe,111_纳米比亚,Namibia,0.0,0.0,"90,1-0;1-1;;4-5;2",一球|1,走,小,负
1414976.0,1052.0,2017/07/16 22:00,4494.0,14862.0,1-0,0-0,非国锦标,CAF SC,111_纳米比亚,Namibia,106_津巴布韦,Zimbabwe,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1410245.0,1311.0,2017/07/07 23:00,803.0,4494.0,1-0,1-0,南非洲杯,SACC,78_南非,South Africa,111_纳米比亚,Namibia,0.0,0.0,,一球|1,走,小,负
1409745.0,1311.0,2017/07/05 01:30,4494.0,4636.0,1-0,0-0,南非洲杯,SACC,111_纳米比亚,Namibia,132_斯威士兰,Swaziland,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1404123.0,1311.0,2017/07/01 23:30,4494.0,5296.0,0-0,0-0,南非洲杯,SACC,111_纳米比亚,Namibia,145_莱索托,Lesotho,0.0,0.0,,平手/半球|0/0.5,输,小,平
