赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542731.0,95.0,2019/01/16 20:00,877.0,883.0,,,亚洲杯,AFC,138_也门,Yemen,112_越南,Vietnam,0.0,0.0,,,,,
1542728.0,95.0,2019/01/12 20:00,783.0,883.0,,,亚洲杯,AFC,34_伊朗,Iran,112_越南,Vietnam,0.0,0.0,,,,,
1542727.0,95.0,2019/01/08 22:00,883.0,874.0,,,亚洲杯,AFC,112_越南,Vietnam,82_伊拉克,Iraq,0.0,0.0,,,,,
1371533.0,95.0,2018/03/27 23:00,881.0,883.0,1-1,0-1,亚洲杯,AFC,113_约旦,Jordan,112_越南,Vietnam,0.0,0.0,,一球/球半|1/1.5,赢,小,平
1371531.0,95.0,2017/11/14 20:00,883.0,6651.0,0-0,0-0,亚洲杯,AFC,112_越南,Vietnam,148_阿富汗,Afghanistan,0.0,0.0,,球半|1.5,输,小,平
1371529.0,95.0,2017/10/10 20:00,883.0,1565.0,5-0,1-0,亚洲杯,AFC,112_越南,Vietnam,172_柬埔寨,Cambodia,0.0,0.0,,两球/两球半|2/2.5,赢,大,胜
1371528.0,95.0,2017/09/05 19:30,1565.0,883.0,1-2,1-1,亚洲杯,AFC,172_柬埔寨,Cambodia,112_越南,Vietnam,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,胜
1371525.0,95.0,2017/06/13 20:00,883.0,881.0,0-0,0-0,亚洲杯,AFC,112_越南,Vietnam,113_约旦,Jordan,0.0,0.0,,受让半球|-0.5,赢,小,平
1371524.0,95.0,2017/03/28 22:00,6651.0,883.0,1-1,0-0,亚洲杯,AFC,148_阿富汗,Afghanistan,112_越南,Vietnam,0.0,0.0,,受让半球|-0.5,输,小,平
1371325.0,1366.0,2017/03/22 19:00,883.0,5288.0,1-1,0-0,国际友谊,INT FRL,112_越南,Vietnam,134_中国台北,Chinese Taipei,0.0,0.0,,两球|2,输,小,平
1332640.0,1124.0,2016/12/07 20:00,883.0,890.0,2-1,0-0,东南锦,AFF Cup,112_越南,Vietnam,160_印度尼西亚,Indonesia,1.0,0.0,"90,2-1;3-3;1,2-2;;2",一球|1,走,大,胜
1332642.0,1124.0,2016/12/03 20:00,890.0,883.0,2-1,1-1,东南锦,AFF Cup,160_印度尼西亚,Indonesia,112_越南,Vietnam,0.0,0.0,,平手|0,输,大,负
1328484.0,1124.0,2016/11/26 19:30,883.0,1565.0,2-1,1-0,东南锦,AFF Cup,112_越南,Vietnam,172_柬埔寨,Cambodia,1.0,0.0,,球半|1.5,输,小,胜
1328486.0,1124.0,2016/11/23 16:30,889.0,883.0,0-1,0-0,东南锦,AFF Cup,175_马来西亚,Malaysia,112_越南,Vietnam,0.0,0.0,,受让一球|-1,走,小,胜
1328487.0,1124.0,2016/11/20 19:30,1563.0,883.0,1-2,0-1,东南锦,AFF Cup,140_缅甸联邦,Myanmar,112_越南,Vietnam,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1329332.0,41.0,2016/11/12 19:00,883.0,1547.0,0-0,0-0,球会友谊,INT CF,112_越南,Vietnam,220_弱鸡,Avispa Fukuoka,0.0,0.0,,平手/半球|0/0.5,输,小,平
1327405.0,1366.0,2016/11/08 20:00,883.0,890.0,3-2,1-1,国际友谊,INT FRL,112_越南,Vietnam,160_印度尼西亚,Indonesia,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1322062.0,1366.0,2016/10/09 17:45,890.0,883.0,2-2,2-2,国际友谊,INT FRL,160_印度尼西亚,Indonesia,112_越南,Vietnam,0.0,0.0,,平手|0,走,大,平
1319017.0,1366.0,2016/10/06 19:00,883.0,876.0,5-2,1-1,国际友谊,INT FRL,112_越南,Vietnam,119_朝鲜,Korea DPR,0.0,0.0,,受让半球|-0.5,赢,大,胜
1245032.0,428.0,2016/06/06 19:30,883.0,892.0,0-0,0-0,四国赛,INT FRLW,112_越南,Vietnam,173_新加坡,Singapore,0.0,0.0,"90,0-0;;1,3-0;;1",平手/半球|0/0.5,输,小,平
1244136.0,1366.0,2016/06/03 16:30,883.0,888.0,2-2,0-0,国际友谊,INT FRL,112_越南,Vietnam,144_中国香港,Hong Kong,0.0,0.0,"90,2-2;;;4-3;1",半球/一球|0.5/1,输,大,平
1243499.0,1366.0,2016/05/31 19:00,883.0,899.0,2-0,2-0,国际友谊,INT FRL,112_越南,Vietnam,76_叙利亚,Syrian,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1124710.0,648.0,2016/03/29 22:00,874.0,883.0,1-0,1-0,亚洲预选,FIFA WCQL,82_伊拉克,Iraq,112_越南,Vietnam,0.0,0.0,,球半/两球|1.5/2,赢,小,负
1124711.0,648.0,2016/03/24 20:00,883.0,5288.0,4-1,3-1,亚洲预选,FIFA WCQL,112_越南,Vietnam,134_中国台北,Chinese Taipei,0.0,0.0,,两球/两球半|2/2.5,赢,大,胜
1124714.0,648.0,2015/11/09 20:00,890.0,883.0,取消,,亚洲预选,FIFA WCQL,160_印度尼西亚,Indonesia,112_越南,Vietnam,0.0,0.0,,,,,
1124718.0,648.0,2015/10/13 20:00,883.0,886.0,0-3,0-1,亚洲预选,FIFA WCQL,112_越南,Vietnam,129_泰国,Thailand,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1124719.0,648.0,2015/10/08 20:00,883.0,874.0,1-1,1-0,亚洲预选,FIFA WCQL,112_越南,Vietnam,82_伊拉克,Iraq,0.0,0.0,,受让一球|-1,赢,小,平
1124722.0,648.0,2015/09/08 19:00,5288.0,883.0,1-2,0-0,亚洲预选,FIFA WCQL,134_中国台北,Chinese Taipei,112_越南,Vietnam,0.0,0.0,,受让球半|-1.5,输,大,胜
1124723.0,648.0,2015/09/03 20:00,883.0,890.0,取消,,亚洲预选,FIFA WCQL,112_越南,Vietnam,160_印度尼西亚,Indonesia,0.0,0.0,,,,,
1158835.0,41.0,2015/07/27 21:10,883.0,26.0,1-8,0-4,球会友谊,INT CF,112_越南,Vietnam,220_弱鸡,Manchester City,0.0,0.0,,受让两球半|-2.5,输,大,负
1124728.0,648.0,2015/05/24 20:00,886.0,883.0,1-0,0-0,亚洲预选,FIFA WCQL,129_泰国,Thailand,112_越南,Vietnam,0.0,1.0,,半球/一球|0.5/1,输,小,负
1127872.0,1366.0,2015/05/17 20:00,883.0,876.0,1-1,0-0,国际友谊,INT FRL,112_越南,Vietnam,119_朝鲜,Korea DPR,0.0,0.0,,半球|0.5,输,小,平
1072891.0,1124.0,2014/12/11 20:00,883.0,889.0,2-4,1-4,东南锦,AFF Cup,112_越南,Vietnam,175_马来西亚,Malaysia,0.0,0.0,,半球/一球|0.5/1,输,大,负
1072759.0,1124.0,2014/12/07 20:00,889.0,883.0,1-2,1-1,东南锦,AFF Cup,175_马来西亚,Malaysia,112_越南,Vietnam,0.0,0.0,,平手|0,赢,大,胜
1070659.0,1124.0,2014/11/28 20:00,883.0,1562.0,3-1,1-0,东南锦,AFF Cup,112_越南,Vietnam,123_菲律宾,Philippines,0.0,0.0,,半球|0.5,赢,大,胜
1070657.0,1124.0,2014/11/25 20:00,883.0,880.0,3-0,1-0,东南锦,AFF Cup,112_越南,Vietnam,183_老挝,Laos,0.0,0.0,,两球|2,赢,小,胜
1070655.0,1124.0,2014/11/22 20:00,883.0,890.0,2-2,1-1,东南锦,AFF Cup,112_越南,Vietnam,160_印度尼西亚,Indonesia,0.0,0.0,,半球/一球|0.5/1,输,大,平
1068921.0,1366.0,2014/11/16 18:00,883.0,889.0,3-1,0-1,国际友谊,INT FRL,112_越南,Vietnam,175_马来西亚,Malaysia,0.0,1.0,,半球|0.5,赢,大,胜
1069010.0,1366.0,2014/11/09 18:00,883.0,879.0,1-3,0-0,国际友谊,INT FRL,112_越南,Vietnam,75_巴勒斯坦,Palestine,0.0,0.0,,平手/半球|0/0.5,输,大,负
1068356.0,41.0,2014/11/04 19:00,883.0,17741.0,3-0,3-0,球会友谊,INT CF,112_越南,Vietnam,220_弱鸡,Korea Republic University,0.0,0.0,,,,,胜
1067829.0,1366.0,2014/10/29 19:00,883.0,5202.0,3-0,1-0,国际友谊,INT FRL,112_越南,Vietnam,220_弱鸡,Bahrain U23,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1054116.0,1366.0,2014/09/06 18:00,883.0,888.0,3-1,1-0,国际友谊,INT FRL,112_越南,Vietnam,144_中国香港,Hong Kong,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1053287.0,1366.0,2014/09/02 18:00,883.0,5190.0,3-1,0-1,国际友谊,INT FRL,112_越南,Vietnam,220_弱鸡,Vietnam U23,0.0,0.0,,,,,胜
995498.0,1366.0,2014/07/02 20:00,883.0,1563.0,6-0,4-0,国际友谊,INT FRL,112_越南,Vietnam,140_缅甸联邦,Myanmar,0.0,0.0,,球半|1.5,赢,大,胜
813759.0,95.0,2014/03/05 22:00,883.0,888.0,3-1,1-0,亚洲杯,AFC,112_越南,Vietnam,144_中国香港,Hong Kong,0.0,0.0,,半球|0.5,赢,大,胜
813757.0,95.0,2013/11/19 23:30,887.0,883.0,5-0,4-0,亚洲杯,AFC,78_阿联酋,United Arab Emirates,112_越南,Vietnam,0.0,1.0,,两球半|2.5,输,大,负
813755.0,95.0,2013/11/15 20:00,883.0,875.0,0-3,0-1,亚洲杯,AFC,112_越南,Vietnam,77_乌兹别克,Uzbekistan,1.0,0.0,,受让一球/球半|-1/-1.5,输,大,负
813753.0,95.0,2013/10/15 21:00,875.0,883.0,3-1,0-0,亚洲杯,AFC,77_乌兹别克,Uzbekistan,112_越南,Vietnam,0.0,0.0,,两球/两球半|2/2.5,赢,大,负
931518.0,41.0,2013/10/10 00:35,904.0,883.0,1-2,1-2,球会友谊,INT CF,103_卡塔尔,Qatar,112_越南,Vietnam,0.0,0.0,,球半|1.5,赢,走,胜
876652.0,41.0,2013/07/17 20:15,883.0,19.0,1-7,0-3,球会友谊,INT CF,112_越南,Vietnam,220_弱鸡,Arsenal,1.0,0.0,,受让两球半/三球|-2.5/-3,输,大,负
813751.0,95.0,2013/03/22 20:00,888.0,883.0,1-0,0-0,亚洲杯,AFC,144_中国香港,Hong Kong,112_越南,Vietnam,0.0,0.0,,,,小,负
