赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542719.0,95.0,2019/01/15 22:00,879.0,881.0,,,亚洲杯,AFC,75_巴勒斯坦,Palestine,113_约旦,Jordan,0.0,0.0,,,,,
1542716.0,95.0,2019/01/10 22:00,881.0,899.0,,,亚洲杯,AFC,113_约旦,Jordan,76_叙利亚,Syrian,0.0,0.0,,,,,
1542714.0,95.0,2019/01/06 22:00,913.0,881.0,,,亚洲杯,AFC,36_澳大利亚,Australia,113_约旦,Jordan,0.0,0.0,,,,,
1544135.0,1366.0,2018/05/21 04:00,881.0,753.0,3-0,2-0,国际友谊,INT FRL,113_约旦,Jordan,92_塞浦路斯,Cyprus,0.0,0.0,,平手|0,赢,大,胜
1371533.0,95.0,2018/03/27 23:00,881.0,883.0,1-1,0-1,亚洲杯,AFC,113_约旦,Jordan,112_越南,Vietnam,0.0,0.0,,一球/球半|1/1.5,输,小,平
1519555.0,1366.0,2018/03/21 23:00,881.0,895.0,1-0,1-0,国际友谊,INT FRL,113_约旦,Jordan,174_科威特,Kuwait,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1493358.0,1366.0,2018/01/15 21:00,881.0,638.0,3-2,1-0,国际友谊,INT FRL,113_约旦,Jordan,12_丹麦,Denmark,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1490679.0,1366.0,2018/01/11 20:30,881.0,736.0,1-2,0-1,国际友谊,INT FRL,113_约旦,Jordan,68_芬兰,Finland,0.0,0.0,,受让半球|-0.5,输,大,负
1486266.0,1366.0,2017/12/25 23:00,881.0,734.0,1-1,0-0,国际友谊,INT FRL,113_约旦,Jordan,89_利比亚,Libya,0.0,0.0,,半球|0.5,输,走,平
1371532.0,95.0,2017/11/14 19:30,1565.0,881.0,0-1,0-1,亚洲杯,AFC,172_柬埔寨,Cambodia,113_约旦,Jordan,0.0,0.0,,受让两球半|-2.5,输,小,胜
1371530.0,95.0,2017/10/10 18:00,6651.0,881.0,3-3,1-2,亚洲杯,AFC,148_阿富汗,Afghanistan,113_约旦,Jordan,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,平
1468700.0,1366.0,2017/10/04 22:45,881.0,902.0,1-1,1-0,国际友谊,INT FRL,113_约旦,Jordan,101_阿曼,Oman,0.0,0.0,,平手|0,走,小,平
1371527.0,95.0,2017/09/06 01:00,881.0,6651.0,4-1,3-0,亚洲杯,AFC,113_约旦,Jordan,148_阿富汗,Afghanistan,0.0,0.0,,球半|1.5,赢,大,胜
1449131.0,1366.0,2017/08/29 23:59,900.0,881.0,0-0,0-0,国际友谊,INT FRL,122_巴林,Bahrain,113_约旦,Jordan,0.0,0.0,,平手|0,走,小,平
