赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542742.0,95.0,2019/01/18 01:00,825.0,902.0,,,亚洲杯,AFC,114_土库曼斯坦,Turkmenistan,101_阿曼,Oman,0.0,0.0,,,,,
1542740.0,95.0,2019/01/13 19:00,875.0,825.0,,,亚洲杯,AFC,77_乌兹别克,Uzbekistan,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,,
1542738.0,95.0,2019/01/09 22:00,825.0,903.0,,,亚洲杯,AFC,114_土库曼斯坦,Turkmenistan,56_日本,Japan,0.0,0.0,,,,,
1371557.0,95.0,2018/03/27 23:59,900.0,825.0,4-0,2-0,亚洲杯,AFC,122_巴林,Bahrain,114_土库曼斯坦,Turkmenistan,0.0,0.0,,半球|0.5,输,大,负
1371556.0,95.0,2017/11/14 18:00,825.0,5288.0,2-1,2-0,亚洲杯,AFC,114_土库曼斯坦,Turkmenistan,134_中国台北,Chinese Taipei,0.0,0.0,,球半|1.5,输,走,胜
1371553.0,95.0,2017/10/10 19:30,825.0,892.0,2-1,1-1,亚洲杯,AFC,114_土库曼斯坦,Turkmenistan,173_新加坡,Singapore,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1371551.0,95.0,2017/09/05 19:30,892.0,825.0,1-1,0-0,亚洲杯,AFC,173_新加坡,Singapore,114_土库曼斯坦,Turkmenistan,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,平
1449953.0,1366.0,2017/08/24 01:00,904.0,825.0,2-1,1-0,国际友谊,INT FRL,103_卡塔尔,Qatar,114_土库曼斯坦,Turkmenistan,0.0,0.0,,一球/球半|1/1.5,赢,大,负
1371550.0,95.0,2017/06/13 21:00,825.0,900.0,1-2,0-0,亚洲杯,AFC,114_土库曼斯坦,Turkmenistan,122_巴林,Bahrain,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1371548.0,95.0,2017/03/26 18:05,5288.0,825.0,1-3,1-2,亚洲杯,AFC,134_中国台北,Chinese Taipei,114_土库曼斯坦,Turkmenistan,0.0,1.0,,受让半球|-0.5,赢,大,胜
1327400.0,1366.0,2016/11/09 20:00,884.0,825.0,3-0,2-0,国际友谊,INT FRL,126_塔吉克斯坦,Tajikistan,114_土库曼斯坦,Turkmenistan,1.0,0.0,,平手/半球|0/0.5,输,大,负
1320294.0,1366.0,2016/10/11 22:30,885.0,825.0,1-0,0-0,国际友谊,INT FRL,116_吉尔吉斯斯坦,Kyrgyzstan,114_土库曼斯坦,Turkmenistan,0.0,0.0,,平手/半球|0/0.5,输,小,负
1311533.0,1366.0,2016/09/06 20:00,888.0,825.0,0-0,0-0,国际友谊,INT FRL,144_中国香港,Hong Kong,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,,平
1289737.0,1366.0,2016/08/08 23:30,902.0,825.0,1-0,1-0,国际友谊,INT FRL,101_阿曼,Oman,114_土库曼斯坦,Turkmenistan,0.0,0.0,,一球/球半|1/1.5,赢,小,负
1124669.0,648.0,2016/03/29 20:30,893.0,825.0,1-2,1-0,亚洲预选,FIFA WCQL,102_印度,India,114_土库曼斯坦,Turkmenistan,0.0,0.0,,平手|0,赢,大,胜
1124674.0,648.0,2015/11/17 21:00,825.0,902.0,2-1,1-0,亚洲预选,FIFA WCQL,114_土库曼斯坦,Turkmenistan,101_阿曼,Oman,0.0,0.0,,受让一球|-1,赢,大,胜
1124676.0,648.0,2015/11/12 19:30,783.0,825.0,3-1,1-0,亚洲预选,FIFA WCQL,34_伊朗,Iran,114_土库曼斯坦,Turkmenistan,0.0,0.0,,两球半|2.5,赢,大,负
1196743.0,1366.0,2015/11/05 22:15,887.0,825.0,5-1,2-0,国际友谊,INT FRL,78_阿联酋,United Arab Emirates,114_土库曼斯坦,Turkmenistan,0.0,0.0,,两球半|2.5,输,大,负
1124688.0,648.0,2015/10/13 21:00,825.0,5769.0,1-0,1-0,亚洲预选,FIFA WCQL,114_土库曼斯坦,Turkmenistan,192_关岛,Guam Island,0.0,0.0,,球半|1.5,输,小,胜
1124680.0,648.0,2015/10/08 21:00,825.0,893.0,2-1,1-1,亚洲预选,FIFA WCQL,114_土库曼斯坦,Turkmenistan,102_印度,India,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1124684.0,648.0,2015/09/03 23:00,902.0,825.0,3-1,2-0,亚洲预选,FIFA WCQL,101_阿曼,Oman,114_土库曼斯坦,Turkmenistan,0.0,0.0,,两球/两球半|2/2.5,赢,大,负
1124686.0,648.0,2015/06/16 21:00,825.0,783.0,1-1,1-1,亚洲预选,FIFA WCQL,114_土库曼斯坦,Turkmenistan,34_伊朗,Iran,0.0,0.0,,受让球半|-1.5,赢,小,平
1124677.0,648.0,2015/06/11 14:15,5769.0,825.0,1-0,1-0,亚洲预选,FIFA WCQL,192_关岛,Guam Island,114_土库曼斯坦,Turkmenistan,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
983663.0,251.0,2014/05/24 19:00,825.0,1562.0,0-2,0-0,亚挑杯,AFC CC,114_土库曼斯坦,Turkmenistan,123_菲律宾,Philippines,1.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
983661.0,251.0,2014/05/22 23:59,6651.0,825.0,3-1,1-0,亚挑杯,AFC CC,148_阿富汗,Afghanistan,114_土库曼斯坦,Turkmenistan,0.0,2.0,,受让半球|-0.5,输,大,负
983658.0,251.0,2014/05/20 19:00,825.0,880.0,5-1,1-1,亚挑杯,AFC CC,114_土库曼斯坦,Turkmenistan,183_老挝,Laos,0.0,0.0,,两球/两球半|2/2.5,赢,大,胜
952229.0,41.0,2014/02/05 23:59,4847.0,825.0,0-0,0-0,球会友谊,INT CF,220_弱鸡,Universitaea Cluj,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,,平
824298.0,251.0,2013/03/26 19:30,1562.0,825.0,1-0,0-0,亚挑杯,AFC CC,123_菲律宾,Philippines,114_土库曼斯坦,Turkmenistan,1.0,0.0,,,,小,负
824295.0,251.0,2013/03/24 16:30,3627.0,825.0,0-3,0-0,亚挑杯,AFC CC,190_文莱,Brunei Darussalam,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,,胜
824293.0,251.0,2013/03/22 16:30,825.0,1565.0,7-0,4-0,亚挑杯,AFC CC,114_土库曼斯坦,Turkmenistan,172_柬埔寨,Cambodia,0.0,0.0,,,,大,胜
796930.0,41.0,2012/10/28 17:30,825.0,880.0,4-2,2-0,球会友谊,INT CF,114_土库曼斯坦,Turkmenistan,183_老挝,Laos,0.0,0.0,,,,大,胜
796661.0,41.0,2012/10/26 17:30,5196.0,825.0,4-0,1-0,球会友谊,INT CF,220_弱鸡,Korea U23,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,大,负
795662.0,41.0,2012/10/24 20:00,883.0,825.0,0-1,0-0,球会友谊,INT CF,112_越南,Vietnam,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,小,胜
683717.0,251.0,2012/03/19 20:45,825.0,876.0,1-2,1-1,亚挑杯,AFC CC,114_土库曼斯坦,Turkmenistan,119_朝鲜,Korea DPR,0.0,0.0,,,,大,负
683139.0,251.0,2012/03/16 16:45,825.0,1562.0,2-1,0-1,亚挑杯,AFC CC,114_土库曼斯坦,Turkmenistan,123_菲律宾,Philippines,0.0,1.0,,,,大,胜
680689.0,251.0,2012/03/12 17:15,6650.0,825.0,0-3,0-1,亚挑杯,AFC CC,165_尼泊尔,Nepal,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,大,胜
680686.0,251.0,2012/03/10 17:15,879.0,825.0,0-0,0-0,亚挑杯,AFC CC,75_巴勒斯坦,Palestine,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,小,平
680684.0,251.0,2012/03/08 17:15,825.0,882.0,3-1,1-1,亚挑杯,AFC CC,114_土库曼斯坦,Turkmenistan,150_马尔代夫,Maldives,0.0,1.0,,,,大,胜
676132.0,41.0,2012/02/27 23:00,825.0,5997.0,0-3,0-0,球会友谊,INT CF,114_土库曼斯坦,Turkmenistan,220_弱鸡,Concordia Chiajna,0.0,0.0,,,,,负
667339.0,41.0,2012/01/29 22:15,3071.0,825.0,0-1,0-0,球会友谊,INT CF,220_弱鸡,Petrolul Ploiesti,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,,胜
667039.0,41.0,2012/01/28 01:00,635.0,825.0,4-0,1-0,球会友谊,INT CF,40_罗马尼亚,Romania,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,大,负
666976.0,41.0,2012/01/26 23:00,825.0,659.0,1-4,0-3,球会友谊,INT CF,114_土库曼斯坦,Turkmenistan,220_弱鸡,Legia Warszawa,0.0,0.0,,,,,负
574342.0,648.0,2011/07/28 20:00,890.0,825.0,4-3,3-0,亚洲预选,FIFA WCQL,160_印度尼西亚,Indonesia,114_土库曼斯坦,Turkmenistan,0.0,1.0,,,,大,负
574329.0,648.0,2011/07/23 21:30,825.0,890.0,1-1,1-1,亚洲预选,FIFA WCQL,114_土库曼斯坦,Turkmenistan,160_印度尼西亚,Indonesia,1.0,0.0,,,,小,平
573110.0,41.0,2011/07/16 21:00,2437.0,825.0,1-0,0-0,球会友谊,INT CF,220_弱鸡,FC Torpedo Zhodino,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,,负
531511.0,251.0,2011/03/25 16:00,825.0,893.0,1-1,0-0,亚挑杯,AFC CC,114_土库曼斯坦,Turkmenistan,102_印度,India,0.0,0.0,,,,大,平
531508.0,251.0,2011/03/23 19:30,5288.0,825.0,0-2,0-0,亚挑杯,AFC CC,134_中国台北,Chinese Taipei,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,小,胜
531507.0,251.0,2011/03/21 16:00,825.0,3353.0,3-0,1-0,亚挑杯,AFC CC,114_土库曼斯坦,Turkmenistan,201_巴基斯坦,Pakistan,0.0,0.0,,,,大,胜
371448.0,251.0,2010/02/27 21:30,825.0,876.0,1-1,1-0,亚挑杯,AFC CC,114_土库曼斯坦,Turkmenistan,119_朝鲜,Korea DPR,0.0,1.0,,,,小,平
370944.0,251.0,2010/02/24 18:00,825.0,884.0,2-0,2-0,亚挑杯,AFC CC,114_土库曼斯坦,Turkmenistan,126_塔吉克斯坦,Tajikistan,0.0,0.0,,,,小,胜
369767.0,251.0,2010/02/21 17:30,825.0,885.0,1-0,0-0,亚挑杯,AFC CC,114_土库曼斯坦,Turkmenistan,116_吉尔吉斯斯坦,Kyrgyzstan,0.0,0.0,,,,小,胜
369765.0,251.0,2010/02/19 21:30,825.0,893.0,1-0,1-0,亚挑杯,AFC CC,114_土库曼斯坦,Turkmenistan,102_印度,India,0.0,1.0,,,,小,胜
369763.0,251.0,2010/02/17 21:30,876.0,825.0,1-1,0-1,亚挑杯,AFC CC,119_朝鲜,Korea DPR,114_土库曼斯坦,Turkmenistan,0.0,1.0,,,,小,平
346555.0,41.0,2009/10/24 15:00,825.0,12113.0,6-8,1-3,球会友谊,INT CF,114_土库曼斯坦,Turkmenistan,220_弱鸡,Korea Republic University XI,0.0,0.0,,,,大,负
346293.0,41.0,2009/10/22 17:05,892.0,825.0,4-2,2-1,球会友谊,INT CF,173_新加坡,Singapore,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,大,负
345908.0,41.0,2009/10/20 19:20,883.0,825.0,1-0,0-0,球会友谊,INT CF,112_越南,Vietnam,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,小,负
274526.0,251.0,2009/04/18 19:00,825.0,1562.0,5-0,1-0,亚挑杯,AFC CC,114_土库曼斯坦,Turkmenistan,123_菲律宾,Philippines,0.0,0.0,,,,,胜
274525.0,251.0,2009/04/16 23:59,825.0,7818.0,7-0,2-0,亚挑杯,AFC CC,114_土库曼斯坦,Turkmenistan,188_不丹,Bhutan,0.0,0.0,,,,,胜
274522.0,251.0,2009/04/14 19:00,825.0,882.0,3-1,1-0,亚挑杯,AFC CC,114_土库曼斯坦,Turkmenistan,150_马尔代夫,Maldives,0.0,0.0,,,,,胜
257139.0,41.0,2009/01/20 23:00,895.0,825.0,2-0,1-0,球会友谊,INT CF,174_科威特,Kuwait,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,小,负
257106.0,41.0,2009/01/18 23:00,825.0,899.0,1-5,0-0,球会友谊,INT CF,114_土库曼斯坦,Turkmenistan,76_叙利亚,Syrian,0.0,0.0,,,,,负
245447.0,41.0,2008/10/05 20:20,883.0,825.0,2-3,1-1,球会友谊,INT CF,112_越南,Vietnam,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,大,胜
245076.0,41.0,2008/10/03 18:00,1563.0,825.0,1-2,0-0,球会友谊,INT CF,140_缅甸联邦,Myanmar,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,大,胜
244911.0,41.0,2008/10/01 18:35,898.0,825.0,1-3,1-3,球会友谊,INT CF,59_韩国,Korea Republic,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,大,胜
