赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1524453.0,1366.0,2018/03/26 07:30,5091.0,1991.0,3-3,2-1,国际友谊,INT FRL,115_尼加拉瓜,Nicaragua,181_古巴,cuba,0.0,0.0,,,,,平
1523248.0,1366.0,2018/03/23 08:30,5091.0,1991.0,3-1,2-1,国际友谊,INT FRL,115_尼加拉瓜,Nicaragua,181_古巴,cuba,0.0,0.0,,,,,胜
1478590.0,1366.0,2017/11/12 04:00,7538.0,5091.0,1-0,0-0,国际友谊,INT FRL,160_多米尼加共和国,Dominican Republic,115_尼加拉瓜,Nicaragua,0.0,0.0,,,,,负
1477885.0,1366.0,2017/11/09 08:30,5091.0,7538.0,0-3,0-1,国际友谊,INT FRL,115_尼加拉瓜,Nicaragua,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,负
1406487.0,232.0,2017/07/16 07:05,797.0,5091.0,3-0,1-0,美金杯,CGC,25_美国,USA,115_尼加拉瓜,Nicaragua,0.0,1.0,,两球|2,输,走,负
1406484.0,232.0,2017/07/13 06:35,5091.0,798.0,1-2,0-0,美金杯,CGC,115_尼加拉瓜,Nicaragua,53_巴拿马,Panama,0.0,0.0,,受让球半|-1.5,赢,大,负
1406470.0,232.0,2017/07/09 07:20,16239.0,5091.0,2-0,1-0,美金杯,CGC,220_弱鸡,Martinique,115_尼加拉瓜,Nicaragua,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1392401.0,1366.0,2017/06/18 04:00,17976.0,5091.0,0-0,0-0,国际友谊,INT FRL,84_库拉索,Curacao,115_尼加拉瓜,Nicaragua,0.0,0.0,,,,,平
1391062.0,1366.0,2017/06/08 05:00,773.0,5091.0,3-2,1-2,国际友谊,INT FRL,49_玻利维亚,Bolivia,115_尼加拉瓜,Nicaragua,0.0,0.0,,球半/两球|1.5/2,赢,大,负
1389644.0,1366.0,2017/06/03 08:30,5091.0,773.0,0-1,0-0,国际友谊,INT FRL,115_尼加拉瓜,Nicaragua,49_玻利维亚,Bolivia,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1372523.0,232.0,2017/03/29 09:00,5091.0,909.0,3-0,0-0,美金杯,CGC,115_尼加拉瓜,Nicaragua,87_海地,Haiti,1.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1372522.0,232.0,2017/03/25 07:05,909.0,5091.0,3-1,2-0,美金杯,CGC,87_海地,Haiti,115_尼加拉瓜,Nicaragua,0.0,0.0,,,,,负
1370179.0,1366.0,2017/03/17 06:00,794.0,5091.0,2-0,1-0,国际友谊,INT FRL,67_洪都拉斯,Honduras,115_尼加拉瓜,Nicaragua,0.0,0.0,,,,,负
1339707.0,424.0,2017/01/23 02:30,796.0,5091.0,1-0,0-0,中美杯,UNCAFNC,90_萨尔瓦多,El Salvador,115_尼加拉瓜,Nicaragua,0.0,0.0,,半球|0.5,输,小,负
1339703.0,424.0,2017/01/21 05:00,5091.0,5092.0,3-1,1-0,中美杯,UNCAFNC,115_尼加拉瓜,Nicaragua,171_伯利兹,Belize,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1339701.0,424.0,2017/01/18 07:35,914.0,5091.0,0-0,0-0,中美杯,UNCAFNC,27_哥斯达黎加,Costa Rica,115_尼加拉瓜,Nicaragua,0.0,0.0,,两球|2,赢,小,平
1339699.0,424.0,2017/01/16 07:00,798.0,5091.0,2-1,2-1,中美杯,UNCAFNC,53_巴拿马,Panama,115_尼加拉瓜,Nicaragua,0.0,0.0,,一球/球半|1/1.5,赢,大,负
1338963.0,424.0,2017/01/14 05:00,794.0,5091.0,2-1,1-1,中美杯,UNCAFNC,67_洪都拉斯,Honduras,115_尼加拉瓜,Nicaragua,0.0,0.0,,一球|1,走,大,负
1337562.0,1366.0,2016/12/31 08:30,5091.0,912.0,1-3,1-1,国际友谊,INT FRL,115_尼加拉瓜,Nicaragua,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,平手/半球|0/0.5,输,大,负
1337454.0,1366.0,2016/12/28 08:30,5091.0,912.0,2-1,1-0,国际友谊,INT FRL,115_尼加拉瓜,Nicaragua,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,半球|0.5,赢,大,胜
1306843.0,41.0,2016/09/01 08:30,5091.0,821.0,0-0,0-0,球会友谊,INT CF,115_尼加拉瓜,Nicaragua,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,平
1302988.0,1366.0,2016/08/25 05:30,794.0,5091.0,1-0,0-0,国际友谊,INT FRL,67_洪都拉斯,Honduras,115_尼加拉瓜,Nicaragua,0.0,0.0,,,,,负
1228185.0,1366.0,2016/03/16 09:30,5091.0,798.0,1-0,0-0,国际友谊,INT FRL,115_尼加拉瓜,Nicaragua,53_巴拿马,Panama,0.0,1.0,,受让半球/一球|-0.5/-1,赢,小,胜
1225753.0,1366.0,2016/03/10 09:30,5091.0,796.0,1-1,1-0,国际友谊,INT FRL,115_尼加拉瓜,Nicaragua,90_萨尔瓦多,El Salvador,1.0,1.0,,,,,平
