赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542724.0,95.0,2019/01/17 01:00,1562.0,885.0,,,亚洲杯,AFC,123_菲律宾,Philippines,116_吉尔吉斯斯坦,Kyrgyzstan,0.0,0.0,,,,,
1542722.0,95.0,2019/01/11 22:00,885.0,898.0,,,亚洲杯,AFC,116_吉尔吉斯斯坦,Kyrgyzstan,59_韩国,Korea Republic,0.0,0.0,,,,,
1542721.0,95.0,2019/01/07 19:30,896.0,885.0,,,亚洲杯,AFC,70_中国,China,116_吉尔吉斯斯坦,Kyrgyzstan,0.0,0.0,,,,,
1545724.0,1366.0,2018/05/29 23:59,758.0,885.0,3-0,1-0,国际友谊,INT FRL,118_阿塞拜疆,Azerbaijan,116_吉尔吉斯斯坦,Kyrgyzstan,0.0,0.0,,一球|1,输,大,负
1371509.0,95.0,2018/03/27 22:00,885.0,893.0,2-1,1-0,亚洲杯,AFC,116_吉尔吉斯斯坦,Kyrgyzstan,102_印度,India,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1371504.0,95.0,2018/03/22 14:00,885.0,1563.0,5-1,2-0,亚洲杯,AFC,116_吉尔吉斯斯坦,Kyrgyzstan,140_缅甸联邦,Myanmar,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1481568.0,1366.0,2017/12/02 17:00,885.0,5768.0,3-0,1-0,国际友谊,INT FRL,116_吉尔吉斯斯坦,Kyrgyzstan,189_蒙古,Mongolia,0.0,0.0,,,,,胜
1371507.0,95.0,2017/11/14 19:30,3325.0,885.0,3-4,0-2,亚洲杯,AFC,186_中国澳门,Macau of China,116_吉尔吉斯斯坦,Kyrgyzstan,0.0,0.0,,受让两球|-2,输,大,胜
1371506.0,95.0,2017/10/10 20:30,1563.0,885.0,2-2,0-1,亚洲杯,AFC,140_缅甸联邦,Myanmar,116_吉尔吉斯斯坦,Kyrgyzstan,0.0,0.0,,平手/半球|0/0.5,赢,大,平
1451817.0,1366.0,2017/08/25 23:00,875.0,885.0,5-0,2-0,国际友谊,INT FRL,77_乌兹别克,Uzbekistan,116_吉尔吉斯斯坦,Kyrgyzstan,0.0,0.0,,,,,负
