赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393609.0,93.0,2018/11/13 23:00,809.0,922.0,,,非洲杯,CAF NC,61_科特迪瓦,Cote D Ivoire,116_卢旺达,Rwanda,0.0,0.0,,,,,
1393607.0,93.0,2018/10/16 23:00,922.0,8025.0,,,非洲杯,CAF NC,116_卢旺达,Rwanda,121_中非共和国,Central African Republic,0.0,0.0,,,,,
1393605.0,93.0,2018/09/11 23:00,922.0,812.0,,,非洲杯,CAF NC,116_卢旺达,Rwanda,66_几内亚,Guinea,0.0,0.0,,,,,
1393601.0,93.0,2018/09/07 23:00,922.0,809.0,,,非洲杯,CAF NC,116_卢旺达,Rwanda,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,,,,
1393603.0,93.0,2018/09/03 23:00,812.0,922.0,,,非洲杯,CAF NC,66_几内亚,Guinea,116_卢旺达,Rwanda,0.0,0.0,,,,,
1490671.0,1052.0,2018/01/24 03:00,922.0,734.0,0-1,0-0,非国锦标,CAF SC,116_卢旺达,Rwanda,89_利比亚,Libya,0.0,0.0,,受让半球|-0.5,输,小,负
1490670.0,1052.0,2018/01/20 03:30,922.0,5286.0,1-0,0-0,非国锦标,CAF SC,116_卢旺达,Rwanda,141_赤道几内亚,Equatorial Guinea,0.0,0.0,,半球|0.5,赢,小,胜
1490668.0,1052.0,2018/01/16 03:30,789.0,922.0,0-0,0-0,非国锦标,CAF SC,51_尼日利亚,Nigeria,116_卢旺达,Rwanda,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1483860.0,581.0,2017/12/09 19:00,922.0,4937.0,2-1,1-1,中东非杯,CECAFA Cup,116_卢旺达,Rwanda,146_坦桑尼亚,Tanzania,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1482090.0,581.0,2017/12/07 21:15,922.0,734.0,0-0,0-0,中东非杯,CECAFA Cup,116_卢旺达,Rwanda,89_利比亚,Libya,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,平
1482441.0,581.0,2017/12/05 18:55,7183.0,922.0,3-1,1-0,中东非杯,CECAFA Cup,220_弱鸡,Zanzibar,116_卢旺达,Rwanda,0.0,0.0,,受让一球|-1,输,大,负
1482440.0,581.0,2017/12/03 19:00,921.0,922.0,2-0,2-0,中东非杯,CECAFA Cup,105_肯尼亚,Kenya,116_卢旺达,Rwanda,0.0,1.0,,,,,负
1476855.0,1052.0,2017/11/12 21:30,922.0,4637.0,0-0,0-0,非国锦标,CAF SC,116_卢旺达,Rwanda,137_埃塞俄比亚,Ethiopia,0.0,0.0,,,,,平
1477146.0,1052.0,2017/11/05 21:30,4637.0,922.0,2-3,1-0,非国锦标,CAF SC,137_埃塞俄比亚,Ethiopia,116_卢旺达,Rwanda,0.0,0.0,,,,,胜
1443879.0,1052.0,2017/08/19 21:30,922.0,802.0,2-0,2-0,非国锦标,CAF SC,116_卢旺达,Rwanda,73_乌干达,Uganda,0.0,0.0,,,,,胜
1443460.0,1052.0,2017/08/12 21:00,802.0,922.0,3-0,2-0,非国锦标,CAF SC,73_乌干达,Uganda,116_卢旺达,Rwanda,0.0,0.0,,,,,负
1437881.0,1366.0,2017/08/07 21:30,922.0,792.0,2-1,1-1,国际友谊,INT FRL,116_卢旺达,Rwanda,124_苏丹,Sudan,0.0,0.0,,,,,胜
1424402.0,1052.0,2017/07/22 21:30,922.0,4937.0,0-0,0-0,非国锦标,CAF SC,116_卢旺达,Rwanda,146_坦桑尼亚,Tanzania,0.0,0.0,,,,,平
1414979.0,1052.0,2017/07/15 21:00,4937.0,922.0,1-1,1-1,非国锦标,CAF SC,146_坦桑尼亚,Tanzania,116_卢旺达,Rwanda,0.0,0.0,,,,,平
1392579.0,93.0,2017/06/11 22:00,8025.0,922.0,2-1,0-0,非洲杯,CAF NC,121_中非共和国,Central African Republic,116_卢旺达,Rwanda,0.0,0.0,,半球|0.5,输,大,负
1392381.0,1366.0,2017/06/04 21:45,922.0,813.0,3-0,3-0,国际友谊,INT FRL,116_卢旺达,Rwanda,39_摩洛哥,Morocco,0.0,0.0,,,,,胜
1392072.0,1366.0,2017/06/02 22:30,922.0,813.0,2-0,1-0,国际友谊,INT FRL,116_卢旺达,Rwanda,39_摩洛哥,Morocco,0.0,0.0,,,,,胜
1129676.0,93.0,2016/09/03 23:30,810.0,922.0,1-1,1-0,非洲杯,CAF NC,50_加纳,Ghana,116_卢旺达,Rwanda,0.0,0.0,,一球/球半|1/1.5,赢,小,平
1129675.0,93.0,2016/06/04 21:30,922.0,5292.0,2-3,1-2,非洲杯,CAF NC,116_卢旺达,Rwanda,108_莫桑比克,Mozambique,0.0,0.0,,一球|1,输,大,负
1243466.0,1366.0,2016/05/28 21:30,922.0,815.0,0-2,0-2,国际友谊,INT FRL,116_卢旺达,Rwanda,24_塞内加尔,Senegal,0.0,0.0,,受让平手/半球|-0/-0.5,输,走,负
1129673.0,93.0,2016/03/29 21:30,922.0,4638.0,5-0,3-0,非洲杯,CAF NC,116_卢旺达,Rwanda,157_毛里求斯,Mauritius,0.0,0.0,,球半|1.5,赢,大,胜
1129671.0,93.0,2016/03/26 19:00,4638.0,922.0,1-0,0-0,非洲杯,CAF NC,157_毛里求斯,Mauritius,116_卢旺达,Rwanda,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1209616.0,1052.0,2016/01/30 21:00,922.0,811.0,1-1,0-1,非国锦标,CAF SC,116_卢旺达,Rwanda,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,"90,1-1;;1,1-2;;2",平手|0,走,走,平
1207439.0,1052.0,2016/01/24 22:00,922.0,813.0,1-4,1-4,非国锦标,CAF SC,116_卢旺达,Rwanda,39_摩洛哥,Morocco,0.0,0.0,,平手|0,输,大,负
1205271.0,1052.0,2016/01/20 21:00,922.0,788.0,2-1,1-0,非国锦标,CAF SC,116_卢旺达,Rwanda,93_加蓬,Gabon,0.0,1.0,,平手/半球|0/0.5,赢,大,胜
1205273.0,1052.0,2016/01/16 21:00,922.0,809.0,1-0,1-0,非国锦标,CAF SC,116_卢旺达,Rwanda,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,平手|0,赢,小,胜
1204940.0,1366.0,2016/01/10 23:59,922.0,811.0,1-0,0-0,国际友谊,INT FRL,116_卢旺达,Rwanda,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,平手|0,赢,小,胜
1204457.0,1366.0,2016/01/06 22:10,922.0,793.0,1-1,1-0,国际友谊,INT FRL,116_卢旺达,Rwanda,45_喀麦隆,Cameroon,0.0,0.0,,,,,平
1201044.0,581.0,2015/12/05 20:45,802.0,922.0,1-0,1-0,中东非杯,CECAFA Cup,73_乌干达,Uganda,116_卢旺达,Rwanda,0.0,0.0,,,,,负
1200952.0,581.0,2015/12/03 17:45,792.0,922.0,0-0,0-0,中东非杯,CECAFA Cup,124_苏丹,Sudan,116_卢旺达,Rwanda,1.0,1.0,"90,0-0;;1,1-1;2-4;2",受让平手/半球|-0/-0.5,输,小,平
1200597.0,581.0,2015/12/01 20:30,921.0,922.0,0-0,0-0,中东非杯,CECAFA Cup,105_肯尼亚,Kenya,116_卢旺达,Rwanda,0.0,0.0,"90,0-0;;;3-5;2",受让平手/半球|-0/-0.5,输,小,平
1198898.0,581.0,2015/11/27 18:30,922.0,6976.0,3-0,1-0,中东非杯,CECAFA Cup,116_卢旺达,Rwanda,206_索马里,Somalia,0.0,0.0,,,,,胜
1198896.0,581.0,2015/11/24 20:30,922.0,4937.0,1-2,0-1,中东非杯,CECAFA Cup,116_卢旺达,Rwanda,146_坦桑尼亚,Tanzania,0.0,0.0,,半球|0.5,输,大,负
1198894.0,581.0,2015/11/21 22:15,4637.0,922.0,0-1,0-0,中东非杯,CECAFA Cup,137_埃塞俄比亚,Ethiopia,116_卢旺达,Rwanda,0.0,0.0,,,,,胜
1196513.0,651.0,2015/11/17 21:30,922.0,734.0,1-3,1-1,非洲预选,WCPAF,116_卢旺达,Rwanda,89_利比亚,Libya,0.0,0.0,,平手/半球|0/0.5,输,大,负
1196539.0,651.0,2015/11/13 21:30,734.0,922.0,1-0,0-0,非洲预选,WCPAF,89_利比亚,Libya,116_卢旺达,Rwanda,0.0,0.0,,平手/半球|0/0.5,输,小,负
1185969.0,1366.0,2015/09/12 21:30,922.0,788.0,0-1,0-1,国际友谊,INT FRL,116_卢旺达,Rwanda,93_加蓬,Gabon,0.0,0.0,,,,,负
