赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502220.0,1864.0,2018/11/21 03:45,5764.0,758.0,,,欧国联,UEFA  NL,178_科索沃,Kosovo,118_阿塞拜疆,Azerbaijan,0.0,0.0,,,,,
1502217.0,1864.0,2018/11/18 01:00,758.0,754.0,,,欧国联,UEFA  NL,118_阿塞拜疆,Azerbaijan,97_法罗群岛,Faroe Islands,0.0,0.0,,,,,
1502215.0,1864.0,2018/10/14 23:59,758.0,755.0,,,欧国联,UEFA  NL,118_阿塞拜疆,Azerbaijan,185_马耳他,Malta,0.0,0.0,,,,,
1502213.0,1864.0,2018/10/12 02:45,754.0,758.0,,,欧国联,UEFA  NL,97_法罗群岛,Faroe Islands,118_阿塞拜疆,Azerbaijan,0.0,0.0,,,,,
1502211.0,1864.0,2018/09/11 02:45,755.0,758.0,,,欧国联,UEFA  NL,185_马耳他,Malta,118_阿塞拜疆,Azerbaijan,0.0,0.0,,,,,
1502209.0,1864.0,2018/09/07 23:59,758.0,5764.0,,,欧国联,UEFA  NL,118_阿塞拜疆,Azerbaijan,178_科索沃,Kosovo,0.0,0.0,,,,,
1543759.0,1366.0,2018/06/09 23:00,631.0,758.0,1-3,0-1,国际友谊,INT FRL,131_拉脱维亚,Latvia,118_阿塞拜疆,Azerbaijan,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1547565.0,1366.0,2018/06/05 22:00,763.0,758.0,3-0,2-0,国际友谊,INT FRL,135_哈萨克斯坦,Kazakhstan,118_阿塞拜疆,Azerbaijan,0.0,0.0,,平手/半球|0/0.5,输,大,负
1545724.0,1366.0,2018/05/29 23:59,758.0,885.0,3-0,1-0,国际友谊,INT FRL,118_阿塞拜疆,Azerbaijan,116_吉尔吉斯斯坦,Kyrgyzstan,0.0,0.0,,一球|1,赢,大,胜
1521491.0,1366.0,2018/03/27 23:59,758.0,770.0,1-1,1-1,国际友谊,INT FRL,118_阿塞拜疆,Azerbaijan,73_马其顿,FYR Macedonia,0.0,0.0,,受让平手/半球|-0/-0.5,赢,走,平
1518985.0,1366.0,2018/03/23 23:59,758.0,750.0,0-1,0-1,国际友谊,INT FRL,118_阿塞拜疆,Azerbaijan,93_白俄罗斯,Belarus,0.0,0.0,,平手|0,输,小,负
1496200.0,1366.0,2018/01/30 23:59,758.0,751.0,0-0,0-0,国际友谊,INT FRL,118_阿塞拜疆,Azerbaijan,166_摩尔多瓦,Moldova,0.0,0.0,,平手/半球|0/0.5,输,小,平
1198468.0,650.0,2017/10/09 02:45,650.0,758.0,5-1,1-1,欧洲预选,WCPEU,1_德国,Germany,118_阿塞拜疆,Azerbaijan,0.0,0.0,,三球半|3.5,输,大,负
1198464.0,650.0,2017/10/05 23:59,758.0,747.0,1-2,0-1,欧洲预选,WCPEU,118_阿塞拜疆,Azerbaijan,48_捷克,Czech,0.0,0.0,,受让半球|-0.5,输,大,负
