赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1482839.0,75.0,2018/06/26 22:00,913.0,774.0,0-2,0-1,世界杯,World Cup,36_澳大利亚,Australia,11_秘鲁,Peru,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1482837.0,75.0,2018/06/21 23:00,649.0,774.0,1-0,1-0,世界杯,World Cup,9_法国,France,11_秘鲁,Peru,0.0,0.0,,一球/球半|1/1.5,赢,小,负
1482836.0,75.0,2018/06/16 23:59,774.0,638.0,0-1,0-0,世界杯,World Cup,11_秘鲁,Peru,12_丹麦,Denmark,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1543775.0,1366.0,2018/06/10 01:15,644.0,774.0,0-0,0-0,国际友谊,INT FRL,18_瑞典,Sweden,11_秘鲁,Peru,0.0,0.0,,半球|0.5,赢,小,平
1543778.0,1366.0,2018/06/04 02:10,891.0,774.0,0-3,0-2,国际友谊,INT FRL,65_沙特阿拉伯,Saudi Arabia,11_秘鲁,Peru,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1543736.0,1366.0,2018/05/30 09:05,774.0,641.0,2-0,1-0,国际友谊,INT FRL,11_秘鲁,Peru,32_苏格兰,Scotland,0.0,0.0,,球半|1.5,赢,小,胜
1521509.0,1366.0,2018/03/28 08:10,756.0,774.0,1-3,1-1,国际友谊,INT FRL,20_冰岛,Iceland,11_秘鲁,Peru,0.0,0.0,,平手|0,赢,大,胜
1519564.0,1366.0,2018/03/24 08:30,774.0,768.0,2-0,1-0,国际友谊,INT FRL,11_秘鲁,Peru,15_克罗地亚,Croatia,1.0,0.0,,受让半球|-0.5,赢,小,胜
1470789.0,892.0,2017/11/16 10:15,774.0,2363.0,2-0,1-0,世界杯附,WCP-PO,11_秘鲁,Peru,120_新西兰,New Zealand,0.0,0.0,,球半|1.5,赢,小,胜
1470657.0,892.0,2017/11/11 11:15,2363.0,774.0,0-0,0-0,世界杯附,WCP-PO,120_新西兰,New Zealand,11_秘鲁,Peru,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,平
1197771.0,652.0,2017/10/11 07:30,774.0,775.0,1-1,0-0,南美预选,WCPSA,11_秘鲁,Peru,13_哥伦比亚,Colombia,0.0,0.0,,平手|0,走,小,平
1197764.0,652.0,2017/10/06 07:30,766.0,774.0,0-0,0-0,南美预选,WCPSA,4_阿根廷,Argentina,11_秘鲁,Peru,0.0,0.0,,球半/两球|1.5/2,赢,小,平
1197761.0,652.0,2017/09/06 05:00,779.0,774.0,1-2,0-0,南美预选,WCPSA,68_厄瓜多尔,Ecuador,11_秘鲁,Peru,0.0,1.0,,一球|1,赢,大,胜
1197755.0,652.0,2017/09/01 10:15,774.0,773.0,2-1,0-0,南美预选,WCPSA,11_秘鲁,Peru,49_玻利维亚,Bolivia,0.0,0.0,,一球/球半|1/1.5,输,大,胜
1392395.0,1366.0,2017/06/14 08:30,774.0,799.0,3-1,2-0,国际友谊,INT FRL,11_秘鲁,Peru,55_牙买加,Jamaica,0.0,0.0,,一球|1,赢,大,胜
1391070.0,1366.0,2017/06/09 05:00,774.0,776.0,1-0,0-0,国际友谊,INT FRL,11_秘鲁,Peru,31_巴拉圭,Paraguay,0.0,1.0,,半球|0.5,赢,小,胜
1197752.0,652.0,2017/03/29 10:15,774.0,767.0,2-1,1-1,南美预选,WCPSA,11_秘鲁,Peru,22_乌拉圭,Uruguay,0.0,1.0,,受让平手/半球|-0/-0.5,赢,大,胜
1197744.0,652.0,2017/03/24 07:30,777.0,774.0,2-2,2-0,南美预选,WCPSA,52_委内瑞拉,Venezuela,11_秘鲁,Peru,0.0,0.0,,平手/半球|0/0.5,赢,大,平
1197743.0,652.0,2016/11/16 10:15,774.0,778.0,0-2,0-0,南美预选,WCPSA,11_秘鲁,Peru,2_巴西,Brazil,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1197734.0,652.0,2016/11/11 07:30,776.0,774.0,1-4,1-0,南美预选,WCPSA,31_巴拉圭,Paraguay,11_秘鲁,Peru,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1197729.0,652.0,2016/10/12 07:30,780.0,774.0,2-1,1-0,南美预选,WCPSA,10_智利,Chile,11_秘鲁,Peru,0.0,0.0,,球半|1.5,赢,大,负
1197725.0,652.0,2016/10/07 10:15,774.0,766.0,2-2,0-1,南美预选,WCPSA,11_秘鲁,Peru,4_阿根廷,Argentina,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,平
1197720.0,652.0,2016/09/07 10:15,774.0,779.0,2-1,1-1,南美预选,WCPSA,11_秘鲁,Peru,68_厄瓜多尔,Ecuador,0.0,1.0,,平手/半球|0/0.5,赢,大,胜
1197716.0,652.0,2016/09/02 04:00,773.0,774.0,0-3,1-0,南美预选,WCPSA,49_玻利维亚,Bolivia,11_秘鲁,Peru,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1246971.0,224.0,2016/06/18 08:00,774.0,775.0,0-0,0-0,美洲杯,AMEC,11_秘鲁,Peru,13_哥伦比亚,Colombia,0.0,0.0,"90,0-0;;;2-4;2",受让半球|-0.5,赢,小,平
1223660.0,224.0,2016/06/13 08:55,778.0,774.0,0-1,0-0,美洲杯,AMEC,2_巴西,Brazil,11_秘鲁,Peru,0.0,0.0,,一球|1,赢,小,胜
1223657.0,224.0,2016/06/09 10:00,779.0,774.0,2-2,1-2,美洲杯,AMEC,68_厄瓜多尔,Ecuador,11_秘鲁,Peru,1.0,0.0,,平手/半球|0/0.5,赢,大,平
1223656.0,224.0,2016/06/05 07:30,774.0,909.0,1-0,0-0,美洲杯,AMEC,11_秘鲁,Peru,87_海地,Haiti,0.0,0.0,,球半/两球|1.5/2,输,小,胜
1243469.0,1366.0,2016/05/29 08:10,774.0,796.0,3-1,1-0,国际友谊,INT FRL,11_秘鲁,Peru,90_萨尔瓦多,El Salvador,0.0,0.0,,一球|1,赢,大,胜
1242859.0,1366.0,2016/05/24 09:35,774.0,912.0,4-0,2-0,国际友谊,INT FRL,11_秘鲁,Peru,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,1.0,,一球/球半|1/1.5,赢,大,胜
1197713.0,652.0,2016/03/30 07:00,767.0,774.0,1-0,0-0,南美预选,WCPSA,22_乌拉圭,Uruguay,11_秘鲁,Peru,0.0,0.0,,一球/球半|1/1.5,赢,小,负
1197707.0,652.0,2016/03/25 10:15,774.0,777.0,2-2,0-1,南美预选,WCPSA,11_秘鲁,Peru,52_委内瑞拉,Venezuela,0.0,0.0,,半球/一球|0.5/1,输,大,平
1190056.0,652.0,2015/11/18 08:00,778.0,774.0,3-0,1-0,南美预选,WCPSA,2_巴西,Brazil,11_秘鲁,Peru,0.0,0.0,,球半|1.5,输,大,负
1190053.0,652.0,2015/11/14 10:15,774.0,776.0,1-0,1-0,南美预选,WCPSA,11_秘鲁,Peru,31_巴拉圭,Paraguay,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1190048.0,652.0,2015/10/14 10:15,774.0,780.0,3-4,2-3,南美预选,WCPSA,11_秘鲁,Peru,10_智利,Chile,1.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1190040.0,652.0,2015/10/09 04:30,775.0,774.0,2-0,1-0,南美预选,WCPSA,13_哥伦比亚,Colombia,11_秘鲁,Peru,0.0,0.0,,一球|1,输,小,负
1182532.0,1366.0,2015/09/09 08:10,775.0,774.0,1-1,1-0,国际友谊,INT FRL,13_哥伦比亚,Colombia,11_秘鲁,Peru,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1180837.0,1366.0,2015/09/05 07:30,797.0,774.0,2-1,0-1,国际友谊,INT FRL,25_美国,USA,11_秘鲁,Peru,0.0,0.0,,半球|0.5,输,大,负
1141609.0,224.0,2015/07/04 07:30,776.0,774.0,0-2,0-0,美洲杯,AMEC,31_巴拉圭,Paraguay,11_秘鲁,Peru,0.0,0.0,,平手|0,赢,小,胜
1137075.0,224.0,2015/06/30 07:30,780.0,774.0,2-1,1-0,美洲杯,AMEC,10_智利,Chile,11_秘鲁,Peru,0.0,1.0,,一球|1,走,大,负
1133234.0,224.0,2015/06/26 07:30,773.0,774.0,1-3,0-2,美洲杯,AMEC,49_玻利维亚,Bolivia,11_秘鲁,Peru,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
