赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1548654.0,1366.0,2018/06/07 22:30,893.0,2363.0,1-2,0-0,国际友谊,INT FRL,102_印度,India,120_新西兰,New Zealand,0.0,0.0,,半球|0.5,赢,大,胜
1548205.0,1366.0,2018/06/05 22:30,5288.0,2363.0,0-1,0-1,国际友谊,INT FRL,134_中国台北,Chinese Taipei,120_新西兰,New Zealand,0.0,0.0,,受让球半|-1.5,输,小,胜
1546995.0,1366.0,2018/06/02 22:30,921.0,2363.0,2-1,1-1,国际友谊,INT FRL,105_肯尼亚,Kenya,120_新西兰,New Zealand,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1520459.0,1366.0,2018/03/24 23:00,795.0,2363.0,1-0,0-0,国际友谊,INT FRL,95_加拿大,Canada,120_新西兰,New Zealand,0.0,0.0,,平手|0,输,小,负
1470789.0,892.0,2017/11/16 10:15,774.0,2363.0,2-0,1-0,世界杯附,WCP-PO,11_秘鲁,Peru,120_新西兰,New Zealand,0.0,0.0,,球半|1.5,输,小,负
1470657.0,892.0,2017/11/11 11:15,2363.0,774.0,0-0,0-0,世界杯附,WCP-PO,120_新西兰,New Zealand,11_秘鲁,Peru,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,平
1466906.0,220.0,2017/10/06 18:20,903.0,2363.0,2-1,0-0,麒麟杯,KIR Cup,56_日本,Japan,120_新西兰,New Zealand,0.0,0.0,,球半/两球|1.5/2,赢,走,负
1453637.0,649.0,2017/09/05 11:00,2865.0,2363.0,2-2,1-2,大洋预选,WCPO,151_所罗门群岛,Solomon Islands,120_新西兰,New Zealand,0.0,0.0,,,,,平
1453057.0,649.0,2017/09/01 15:35,2363.0,2865.0,6-1,3-0,大洋预选,WCPO,120_新西兰,New Zealand,151_所罗门群岛,Solomon Islands,0.0,0.0,,两球/两球半|2/2.5,赢,大,胜
1361098.0,88.0,2017/06/24 23:00,2363.0,765.0,0-4,0-2,洲际杯,FICC,120_新西兰,New Zealand,3_葡萄牙,Portugal,0.0,0.0,,受让两球半|-2.5,输,大,负
1361096.0,88.0,2017/06/22 02:00,819.0,2363.0,2-1,0-1,洲际杯,FICC,17_墨西哥,Mexico,120_新西兰,New Zealand,0.0,0.0,,两球/两球半|2/2.5,赢,走,负
1361093.0,88.0,2017/06/17 23:00,746.0,2363.0,2-0,1-0,洲际杯,FICC,62_俄罗斯,Russia,120_新西兰,New Zealand,0.0,0.0,,球半|1.5,输,小,负
1392393.0,1366.0,2017/06/12 23:59,750.0,2363.0,1-0,0-0,国际友谊,INT FRL,93_白俄罗斯,Belarus,120_新西兰,New Zealand,0.0,0.0,,半球|0.5,输,小,负
1392924.0,41.0,2017/06/07 02:00,24345.0,2363.0,2-5,2-3,球会友谊,INT CF,220_弱鸡,Cabinteely FC,120_新西兰,New Zealand,0.0,0.0,,,,,胜
1389651.0,1366.0,2017/06/03 02:45,759.0,2363.0,1-0,1-0,国际友谊,INT FRL,25_北爱尔兰,Northern Ireland,120_新西兰,New Zealand,0.0,0.0,,一球|1,走,小,负
1328456.0,649.0,2017/03/28 14:35,2363.0,6124.0,2-0,1-0,大洋预选,WCPO,120_新西兰,New Zealand,168_斐济,Fiji,0.0,0.0,,两球|2,走,小,胜
1328455.0,649.0,2017/03/25 09:00,6124.0,2363.0,0-2,0-0,大洋预选,WCPO,168_斐济,Fiji,120_新西兰,New Zealand,0.0,0.0,,受让球半/两球|-1.5/-2,赢,小,胜
1328454.0,649.0,2016/11/15 14:00,6662.0,2363.0,0-0,0-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,120_新西兰,New Zealand,1.0,0.0,,受让球半|-1.5,输,小,平
1328453.0,649.0,2016/11/12 10:00,2363.0,6662.0,2-0,1-0,大洋预选,WCPO,120_新西兰,New Zealand,154_新喀里多尼亚,New Caledonia,0.0,0.0,,球半/两球|1.5/2,赢,小,胜
1319203.0,1366.0,2016/10/12 08:00,797.0,2363.0,1-1,1-0,国际友谊,INT FRL,25_美国,USA,120_新西兰,New Zealand,0.0,0.0,,球半|1.5,赢,小,平
1319886.0,1366.0,2016/10/09 06:40,819.0,2363.0,2-1,1-0,国际友谊,INT FRL,17_墨西哥,Mexico,120_新西兰,New Zealand,0.0,0.0,,球半/两球|1.5/2,赢,走,负
1245976.0,649.0,2016/06/11 14:10,2363.0,8031.0,0-0,0-0,大洋预选,WCPO,120_新西兰,New Zealand,158_巴布亚新几内亚,Papua New Guinea,0.0,0.0,"90,0-0;;1,0-0;4-2;1",,,,平
1245791.0,649.0,2016/06/08 14:10,2363.0,6662.0,1-0,0-0,大洋预选,WCPO,120_新西兰,New Zealand,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,胜
1243604.0,649.0,2016/06/04 17:00,2363.0,2865.0,1-0,0-0,大洋预选,WCPO,120_新西兰,New Zealand,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,胜
1243601.0,649.0,2016/05/31 14:00,6661.0,2363.0,0-5,0-5,大洋预选,WCPO,156_瓦努阿图,Vanuatu,120_新西兰,New Zealand,0.0,0.0,,,,,胜
1243599.0,649.0,2016/05/28 14:10,2363.0,6124.0,3-1,2-1,大洋预选,WCPO,120_新西兰,New Zealand,168_斐济,Fiji,0.0,0.0,,,,,胜
1196758.0,1366.0,2015/11/12 22:00,902.0,2363.0,0-1,0-1,国际友谊,INT FRL,101_阿曼,Oman,120_新西兰,New Zealand,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1185095.0,1366.0,2015/09/07 19:30,1563.0,2363.0,1-1,0-1,国际友谊,INT FRL,140_缅甸联邦,Myanmar,120_新西兰,New Zealand,0.0,0.0,,受让球半|-1.5,输,小,平
1109701.0,1366.0,2015/03/31 19:00,898.0,2363.0,1-0,0-0,国际友谊,INT FRL,59_韩国,Korea Republic,120_新西兰,New Zealand,0.0,0.0,,球半|1.5,赢,小,负
1070644.0,1366.0,2014/11/18 19:30,886.0,2363.0,2-0,1-0,国际友谊,INT FRL,129_泰国,Thailand,120_新西兰,New Zealand,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1068355.0,1366.0,2014/11/14 19:35,896.0,2363.0,1-1,1-0,国际友谊,INT FRL,70_中国,China,120_新西兰,New Zealand,0.0,0.0,,半球|0.5,赢,小,平
1053079.0,1366.0,2014/09/08 22:00,875.0,2363.0,3-1,1-0,国际友谊,INT FRL,77_乌兹别克,Uzbekistan,120_新西兰,New Zealand,0.0,0.0,,半球/一球|0.5/1,输,大,负
984721.0,1366.0,2014/05/30 15:30,2363.0,803.0,0-0,0-0,国际友谊,INT FRL,120_新西兰,New Zealand,78_南非,South Africa,0.0,0.0,,平手|0,走,小,平
959548.0,220.0,2014/03/05 18:40,903.0,2363.0,4-2,4-1,麒麟杯,KIR Cup,56_日本,Japan,120_新西兰,New Zealand,0.0,0.0,,球半|1.5,输,大,负
936902.0,892.0,2013/11/20 14:00,2363.0,819.0,2-4,0-3,世界杯附,WCP-PO,120_新西兰,New Zealand,17_墨西哥,Mexico,0.0,0.0,,受让一球|-1,输,大,负
933773.0,892.0,2013/11/14 04:30,819.0,2363.0,5-1,2-0,世界杯附,WCP-PO,17_墨西哥,Mexico,120_新西兰,New Zealand,0.0,0.0,,两球|2,输,大,负
932926.0,41.0,2013/10/16 07:15,912.0,2363.0,0-0,0-0,球会友谊,INT CF,80_特立尼达和多巴哥,Trinidad   Tobago,120_新西兰,New Zealand,0.0,0.0,,半球|0.5,赢,小,平
