赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393608.0,93.0,2018/11/13 23:00,8025.0,812.0,,,非洲杯,CAF NC,121_中非共和国,Central African Republic,66_几内亚,Guinea,0.0,0.0,,,,,
1393607.0,93.0,2018/10/16 23:00,922.0,8025.0,,,非洲杯,CAF NC,116_卢旺达,Rwanda,121_中非共和国,Central African Republic,0.0,0.0,,,,,
1393604.0,93.0,2018/09/11 23:00,8025.0,809.0,,,非洲杯,CAF NC,121_中非共和国,Central African Republic,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,,,,
1393600.0,93.0,2018/09/07 23:00,812.0,8025.0,,,非洲杯,CAF NC,66_几内亚,Guinea,121_中非共和国,Central African Republic,0.0,0.0,,,,,
1393602.0,93.0,2018/09/03 23:00,809.0,8025.0,,,非洲杯,CAF NC,61_科特迪瓦,Cote D Ivoire,121_中非共和国,Central African Republic,0.0,0.0,,,,,
1546789.0,1366.0,2018/05/31 04:00,8025.0,802.0,1-0,1-0,国际友谊,INT FRL,121_中非共和国,Central African Republic,73_乌干达,Uganda,0.0,0.0,,,,,胜
1546688.0,1366.0,2018/05/28 04:00,5302.0,8025.0,3-3,1-2,国际友谊,INT FRL,106_尼日尔,Niger,121_中非共和国,Central African Republic,0.0,0.0,,,,,平
1524871.0,1366.0,2018/03/27 23:00,921.0,8025.0,2-3,1-1,国际友谊,INT FRL,105_肯尼亚,Kenya,121_中非共和国,Central African Republic,1.0,0.0,,半球|0.5,赢,大,胜
1522301.0,1366.0,2018/03/24 01:00,5039.0,8025.0,1-1,0-0,国际友谊,INT FRL,163_冈比亚,Gambia,121_中非共和国,Central African Republic,0.0,0.0,,半球|0.5,赢,走,平
1477413.0,1366.0,2017/11/15 03:30,18406.0,8025.0,3-0,1-0,国际友谊,INT FRL,57_阿尔及利亚,Algeria,121_中非共和国,Central African Republic,0.0,0.0,,球半|1.5,输,大,负
1392579.0,93.0,2017/06/11 22:00,8025.0,922.0,2-1,0-0,非洲杯,CAF NC,121_中非共和国,Central African Republic,116_卢旺达,Rwanda,0.0,0.0,,半球|0.5,赢,大,胜
1372168.0,1366.0,2017/03/27 22:30,8025.0,5039.0,1-2,1-1,国际友谊,INT FRL,121_中非共和国,Central African Republic,163_冈比亚,Gambia,0.0,0.0,,,,,负
1372573.0,1366.0,2017/03/24 23:59,31116.0,8025.0,2-1,1-0,国际友谊,INT FRL,220_弱鸡,Morocco B,121_中非共和国,Central African Republic,0.0,0.0,,,,,负
1129604.0,93.0,2016/09/05 01:30,811.0,8025.0,4-1,1-0,非洲杯,CAF NC,43_刚果民主共和国,Democratic Rep Congo,121_中非共和国,Central African Republic,0.0,0.0,,一球|1,输,大,负
1129601.0,93.0,2016/06/05 22:00,8025.0,804.0,3-1,2-0,非洲杯,CAF NC,121_中非共和国,Central African Republic,142_安哥拉,Angola,0.0,0.0,,,,,胜
1129600.0,93.0,2016/03/28 22:00,8025.0,5295.0,2-1,0-1,非洲杯,CAF NC,121_中非共和国,Central African Republic,109_马达加斯加,Madagascar,0.0,0.0,,半球|0.5,赢,大,胜
