赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542712.0,95.0,2019/01/15 01:00,893.0,900.0,,,亚洲杯,AFC,102_印度,India,122_巴林,Bahrain,0.0,0.0,,,,,
1542710.0,95.0,2019/01/10 19:00,900.0,886.0,,,亚洲杯,AFC,122_巴林,Bahrain,129_泰国,Thailand,0.0,0.0,,,,,
1542708.0,95.0,2019/01/06 01:00,887.0,900.0,,,亚洲杯,AFC,78_阿联酋,United Arab Emirates,122_巴林,Bahrain,0.0,0.0,,,,,
1371557.0,95.0,2018/03/27 23:59,900.0,825.0,4-0,2-0,亚洲杯,AFC,122_巴林,Bahrain,114_土库曼斯坦,Turkmenistan,0.0,0.0,,半球|0.5,赢,大,胜
1519557.0,1366.0,2018/03/22 23:59,900.0,879.0,0-0,0-0,国际友谊,INT FRL,122_巴林,Bahrain,75_巴勒斯坦,Palestine,0.0,0.0,,平手/半球|0/0.5,输,小,平
1487273.0,161.0,2018/01/02 22:15,902.0,900.0,1-0,1-0,海湾运,GC,101_阿曼,Oman,122_巴林,Bahrain,0.0,0.0,,平手/半球|0/0.5,输,小,负
1485916.0,161.0,2017/12/29 23:30,904.0,900.0,1-1,1-0,海湾运,GC,103_卡塔尔,Qatar,122_巴林,Bahrain,1.0,0.0,,平手/半球|0/0.5,赢,走,平
1485914.0,161.0,2017/12/26 22:30,877.0,900.0,0-1,0-1,海湾运,GC,138_也门,Yemen,122_巴林,Bahrain,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,胜
1485913.0,161.0,2017/12/24 01:00,900.0,874.0,1-1,0-0,海湾运,GC,122_巴林,Bahrain,82_伊拉克,Iraq,0.0,0.0,,受让半球|-0.5,赢,走,平
1485809.0,1366.0,2017/12/18 23:00,900.0,895.0,0-0,0-0,国际友谊,INT FRL,122_巴林,Bahrain,174_科威特,Kuwait,0.0,0.0,,半球|0.5,输,小,平
1371555.0,95.0,2017/11/14 19:30,892.0,900.0,0-3,0-0,亚洲杯,AFC,173_新加坡,Singapore,122_巴林,Bahrain,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1477017.0,1366.0,2017/11/09 20:00,888.0,900.0,0-2,0-0,国际友谊,INT FRL,144_中国香港,Hong Kong,122_巴林,Bahrain,0.0,0.0,,受让半球|-0.5,赢,小,胜
1371554.0,95.0,2017/10/10 18:00,5288.0,900.0,2-1,0-1,亚洲杯,AFC,134_中国台北,Chinese Taipei,122_巴林,Bahrain,0.0,0.0,,受让一球|-1,输,小,负
1371552.0,95.0,2017/09/05 23:59,900.0,5288.0,5-0,2-0,亚洲杯,AFC,122_巴林,Bahrain,134_中国台北,Chinese Taipei,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
1449131.0,1366.0,2017/08/29 23:59,900.0,881.0,0-0,0-0,国际友谊,INT FRL,122_巴林,Bahrain,113_约旦,Jordan,0.0,0.0,,平手|0,走,小,平
1424502.0,41.0,2017/07/22 23:59,2533.0,900.0,3-0,1-0,球会友谊,INT CF,220_弱鸡,Vysocina jihlava,122_巴林,Bahrain,0.0,0.0,,半球/一球|0.5/1,输,大,负
1417578.0,41.0,2017/07/15 21:00,2712.0,900.0,1-1,0-1,球会友谊,INT CF,220_弱鸡,Sport Podbrezova,122_巴林,Bahrain,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1414994.0,41.0,2017/07/12 22:40,945.0,900.0,3-0,2-0,球会友谊,INT CF,220_弱鸡,Teplice,122_巴林,Bahrain,0.0,0.0,,半球|0.5,输,大,负
1371550.0,95.0,2017/06/13 21:00,825.0,900.0,1-2,0-0,亚洲杯,AFC,114_土库曼斯坦,Turkmenistan,122_巴林,Bahrain,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1391055.0,1366.0,2017/06/07 03:00,900.0,879.0,0-2,0-0,国际友谊,INT FRL,122_巴林,Bahrain,75_巴勒斯坦,Palestine,0.0,0.0,,半球/一球|0.5/1,输,小,负
1371547.0,95.0,2017/03/28 23:59,900.0,892.0,0-0,0-0,亚洲杯,AFC,122_巴林,Bahrain,173_新加坡,Singapore,0.0,0.0,,一球/球半|1/1.5,输,小,平
1371888.0,1366.0,2017/03/23 23:59,900.0,884.0,1-1,0-1,国际友谊,INT FRL,122_巴林,Bahrain,126_塔吉克斯坦,Tajikistan,0.0,0.0,,一球/球半|1/1.5,输,小,平
1328247.0,1366.0,2016/11/15 23:00,900.0,885.0,0-0,0-0,国际友谊,INT FRL,122_巴林,Bahrain,116_吉尔吉斯斯坦,Kyrgyzstan,0.0,0.0,,一球|1,输,小,平
1328597.0,1366.0,2016/11/09 23:20,887.0,900.0,2-0,1-0,国际友谊,INT FRL,78_阿联酋,United Arab Emirates,122_巴林,Bahrain,0.0,0.0,,一球|1,输,小,负
1320292.0,1366.0,2016/10/11 23:00,902.0,900.0,2-2,0-1,国际友谊,INT FRL,101_阿曼,Oman,122_巴林,Bahrain,0.0,0.0,,平手/半球|0/0.5,赢,大,平
1319011.0,1366.0,2016/10/07 20:00,1562.0,900.0,1-3,0-1,国际友谊,INT FRL,123_菲律宾,Philippines,122_巴林,Bahrain,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1306158.0,1366.0,2016/09/05 00:15,900.0,881.0,0-0,0-0,国际友谊,INT FRL,122_巴林,Bahrain,113_约旦,Jordan,0.0,0.0,,平手|0,走,小,平
1306159.0,1366.0,2016/09/02 00:15,900.0,892.0,3-1,1-1,国际友谊,INT FRL,122_巴林,Bahrain,173_新加坡,Singapore,0.0,0.0,,球半|1.5,赢,大,胜
