赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542724.0,95.0,2019/01/17 01:00,1562.0,885.0,,,亚洲杯,AFC,123_菲律宾,Philippines,116_吉尔吉斯斯坦,Kyrgyzstan,0.0,0.0,,,,,
1542723.0,95.0,2019/01/12 01:00,896.0,1562.0,,,亚洲杯,AFC,70_中国,China,123_菲律宾,Philippines,0.0,0.0,,,,,
1542720.0,95.0,2019/01/07 17:00,898.0,1562.0,,,亚洲杯,AFC,59_韩国,Korea Republic,123_菲律宾,Philippines,0.0,0.0,,,,,
1371569.0,95.0,2018/03/27 19:30,1562.0,884.0,2-1,0-0,亚洲杯,AFC,123_菲律宾,Philippines,126_塔吉克斯坦,Tajikistan,1.0,1.0,,平手/半球|0/0.5,赢,大,胜
1520448.0,1366.0,2018/03/22 19:30,1562.0,6124.0,3-2,1-0,国际友谊,INT FRL,123_菲律宾,Philippines,168_斐济,Fiji,0.0,0.0,,球半/两球|1.5/2,输,大,胜
1481960.0,428.0,2017/12/05 16:00,1564.0,1562.0,1-0,0-0,四国赛,INT FRLW,191_东帝汶,Timor Leste,123_菲律宾,Philippines,0.0,0.0,,受让球半/两球|-1.5/-2,输,小,负
1481824.0,428.0,2017/12/03 19:00,5288.0,1562.0,3-0,1-0,四国赛,INT FRLW,134_中国台北,Chinese Taipei,123_菲律宾,Philippines,0.0,1.0,,受让平手/半球|-0/-0.5,输,大,负
1481076.0,428.0,2017/12/01 16:00,880.0,1562.0,1-3,0-1,四国赛,INT FRLW,183_老挝,Laos,123_菲律宾,Philippines,0.0,0.0,,受让两球|-2,走,大,胜
1371567.0,95.0,2017/11/14 16:15,6650.0,1562.0,0-0,0-0,亚洲杯,AFC,165_尼泊尔,Nepal,123_菲律宾,Philippines,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,平
1371566.0,95.0,2017/10/10 23:00,877.0,1562.0,1-1,0-0,亚洲杯,AFC,138_也门,Yemen,123_菲律宾,Philippines,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1371564.0,95.0,2017/09/05 19:30,1562.0,877.0,2-2,1-1,亚洲杯,AFC,123_菲律宾,Philippines,138_也门,Yemen,0.0,0.0,,一球|1,输,大,平
1371562.0,95.0,2017/06/13 23:59,884.0,1562.0,3-4,0-2,亚洲杯,AFC,126_塔吉克斯坦,Tajikistan,123_菲律宾,Philippines,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1391066.0,1366.0,2017/06/07 19:35,896.0,1562.0,8-1,3-1,国际友谊,INT FRL,70_中国,China,123_菲律宾,Philippines,0.0,0.0,,球半|1.5,输,大,负
1371559.0,95.0,2017/03/28 20:00,1562.0,6650.0,4-1,3-1,亚洲杯,AFC,123_菲律宾,Philippines,165_尼泊尔,Nepal,0.0,1.0,,球半/两球|1.5/2,赢,大,胜
1371287.0,1366.0,2017/03/22 19:30,1562.0,889.0,0-0,0-0,国际友谊,INT FRL,123_菲律宾,Philippines,175_马来西亚,Malaysia,0.0,0.0,,半球|0.5,输,小,平
1328477.0,1124.0,2016/11/25 20:00,1562.0,886.0,0-1,0-0,东南锦,AFF Cup,123_菲律宾,Philippines,129_泰国,Thailand,0.0,0.0,,平手|0,输,小,负
1328479.0,1124.0,2016/11/22 20:00,890.0,1562.0,2-2,1-1,东南锦,AFF Cup,160_印度尼西亚,Indonesia,123_菲律宾,Philippines,0.0,0.0,,平手|0,走,大,平
1328481.0,1124.0,2016/11/19 20:00,1562.0,892.0,0-0,0-0,东南锦,AFF Cup,123_菲律宾,Philippines,173_新加坡,Singapore,0.0,1.0,,平手/半球|0/0.5,输,小,平
1327394.0,1366.0,2016/11/09 20:00,1562.0,885.0,1-0,0-0,国际友谊,INT FRL,123_菲律宾,Philippines,116_吉尔吉斯斯坦,Kyrgyzstan,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1320293.0,1366.0,2016/10/10 20:00,1562.0,876.0,1-3,0-2,国际友谊,INT FRL,123_菲律宾,Philippines,119_朝鲜,Korea DPR,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1319011.0,1366.0,2016/10/07 20:00,1562.0,900.0,1-3,0-1,国际友谊,INT FRL,123_菲律宾,Philippines,122_巴林,Bahrain,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1306163.0,1366.0,2016/09/06 22:30,885.0,1562.0,1-2,0-1,国际友谊,INT FRL,116_吉尔吉斯斯坦,Kyrgyzstan,123_菲律宾,Philippines,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1124751.0,648.0,2016/03/29 20:00,1562.0,876.0,3-2,1-1,亚洲预选,FIFA WCQL,123_菲律宾,Philippines,119_朝鲜,Korea DPR,0.0,0.0,,受让一球/球半|-1/-1.5,赢,大,胜
1124753.0,648.0,2016/03/24 21:00,875.0,1562.0,1-0,0-0,亚洲预选,FIFA WCQL,77_乌兹别克,Uzbekistan,123_菲律宾,Philippines,0.0,1.0,,两球/两球半|2/2.5,赢,小,负
1124758.0,648.0,2015/11/12 20:00,1562.0,877.0,0-1,0-0,亚洲预选,FIFA WCQL,123_菲律宾,Philippines,138_也门,Yemen,0.0,0.0,,半球/一球|0.5/1,输,小,负
1124763.0,648.0,2015/10/13 23:00,900.0,1562.0,2-0,0-0,亚洲预选,FIFA WCQL,122_巴林,Bahrain,123_菲律宾,Philippines,0.0,0.0,,一球/球半|1/1.5,输,小,负
1124767.0,648.0,2015/10/08 15:30,876.0,1562.0,0-0,0-0,亚洲预选,FIFA WCQL,119_朝鲜,Korea DPR,123_菲律宾,Philippines,0.0,0.0,,球半/两球|1.5/2,赢,小,平
1124770.0,648.0,2015/09/08 20:00,1562.0,875.0,1-5,0-3,亚洲预选,FIFA WCQL,123_菲律宾,Philippines,77_乌兹别克,Uzbekistan,0.0,0.0,,受让一球|-1,输,大,负
1180843.0,1366.0,2015/09/03 20:00,1562.0,882.0,2-0,0-0,国际友谊,INT FRL,123_菲律宾,Philippines,150_马尔代夫,Maldives,0.0,0.0,,一球/球半|1/1.5,赢,小,胜
1124779.0,648.0,2015/06/16 23:59,877.0,1562.0,0-2,0-0,亚洲预选,FIFA WCQL,138_也门,Yemen,123_菲律宾,Philippines,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1124781.0,648.0,2015/06/11 20:00,1562.0,900.0,2-1,0-0,亚洲预选,FIFA WCQL,123_菲律宾,Philippines,122_巴林,Bahrain,0.0,0.0,,受让半球|-0.5,赢,大,胜
1111226.0,1366.0,2015/03/30 23:30,900.0,1562.0,2-1,2-0,国际友谊,INT FRL,122_巴林,Bahrain,123_菲律宾,Philippines,0.0,0.0,,球半|1.5,赢,大,负
1072890.0,1124.0,2014/12/10 20:00,886.0,1562.0,3-0,1-0,东南锦,AFF Cup,129_泰国,Thailand,123_菲律宾,Philippines,0.0,1.0,,一球/球半|1/1.5,输,大,负
1072758.0,1124.0,2014/12/06 20:00,1562.0,886.0,0-0,0-0,东南锦,AFF Cup,123_菲律宾,Philippines,129_泰国,Thailand,0.0,1.0,,受让半球|-0.5,赢,小,平
1070659.0,1124.0,2014/11/28 20:00,883.0,1562.0,3-1,1-0,东南锦,AFF Cup,112_越南,Vietnam,123_菲律宾,Philippines,0.0,0.0,,半球|0.5,输,大,负
1070656.0,1124.0,2014/11/25 17:00,1562.0,890.0,4-0,1-0,东南锦,AFF Cup,123_菲律宾,Philippines,160_印度尼西亚,Indonesia,0.0,1.0,,平手|0,赢,大,胜
1070654.0,1124.0,2014/11/22 17:00,1562.0,880.0,4-1,2-1,东南锦,AFF Cup,123_菲律宾,Philippines,183_老挝,Laos,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1069867.0,1366.0,2014/11/14 20:05,1562.0,1565.0,3-0,2-0,国际友谊,INT FRL,123_菲律宾,Philippines,172_柬埔寨,Cambodia,0.0,0.0,,两球/两球半|2/2.5,赢,小,胜
1069059.0,1366.0,2014/11/09 19:30,886.0,1562.0,3-0,1-0,国际友谊,INT FRL,129_泰国,Thailand,123_菲律宾,Philippines,0.0,0.0,,,,,负
1067883.0,1366.0,2014/11/01 00:50,1562.0,6650.0,3-0,0-0,国际友谊,INT FRL,123_菲律宾,Philippines,165_尼泊尔,Nepal,0.0,1.0,,一球/球半|1/1.5,赢,大,胜
1065650.0,1366.0,2014/10/12 20:00,1562.0,8031.0,5-0,5-0,国际友谊,INT FRL,123_菲律宾,Philippines,158_巴布亚新几内亚,Papua New Guinea,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
1055580.0,1366.0,2014/09/06 19:30,1562.0,1563.0,2-2,0-1,国际友谊,INT FRL,123_菲律宾,Philippines,140_缅甸联邦,Myanmar,0.0,0.0,"90,2-2;;1,2-3;;2",半球/一球|0.5/1,输,大,平
1053622.0,1366.0,2014/09/03 19:00,1562.0,5288.0,5-1,2-0,国际友谊,INT FRL,123_菲律宾,Philippines,134_中国台北,Chinese Taipei,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1050175.0,41.0,2014/08/27 20:10,1562.0,21412.0,3-1,1-0,球会友谊,INT CF,123_菲律宾,Philippines,220_弱鸡,Global FC,0.0,0.0,,,,,胜
984847.0,251.0,2014/05/30 23:59,879.0,1562.0,1-0,0-0,亚挑杯,AFC CC,75_巴勒斯坦,Palestine,123_菲律宾,Philippines,0.0,0.0,,平手/半球|0/0.5,输,小,负
984739.0,251.0,2014/05/27 23:59,882.0,1562.0,2-2,1-2,亚挑杯,AFC CC,150_马尔代夫,Maldives,123_菲律宾,Philippines,0.0,0.0,"90,2-2;;1,3-2;;1",平手|0,走,大,平
983663.0,251.0,2014/05/24 19:00,825.0,1562.0,0-2,0-0,亚挑杯,AFC CC,114_土库曼斯坦,Turkmenistan,123_菲律宾,Philippines,1.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
983660.0,251.0,2014/05/22 19:00,880.0,1562.0,0-2,0-1,亚挑杯,AFC CC,183_老挝,Laos,123_菲律宾,Philippines,0.0,0.0,,受让球半/两球|-1.5/-2,赢,小,胜
983659.0,251.0,2014/05/21 01:00,1562.0,6651.0,0-0,0-0,亚挑杯,AFC CC,123_菲律宾,Philippines,148_阿富汗,Afghanistan,0.0,0.0,,平手/半球|0/0.5,输,小,平
979452.0,41.0,2014/04/27 19:00,1562.0,889.0,0-0,0-0,球会友谊,INT CF,123_菲律宾,Philippines,175_马来西亚,Malaysia,0.0,0.0,,平手/半球|0/0.5,输,小,平
974866.0,41.0,2014/04/14 23:30,3650.0,1562.0,1-1,0-0,球会友谊,INT CF,220_弱鸡,Al-Ahli Doha,123_菲律宾,Philippines,0.0,0.0,,,,,平
