赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393538.0,93.0,2018/11/13 23:00,792.0,5286.0,,,非洲杯,CAF NC,124_苏丹,Sudan,141_赤道几内亚,Equatorial Guinea,0.0,0.0,,,,,
1393537.0,93.0,2018/10/16 23:00,5295.0,792.0,,,非洲杯,CAF NC,109_马达加斯加,Madagascar,124_苏丹,Sudan,0.0,0.0,,,,,
1393534.0,93.0,2018/09/11 23:00,792.0,815.0,,,非洲杯,CAF NC,124_苏丹,Sudan,24_塞内加尔,Senegal,0.0,0.0,,,,,
1393530.0,93.0,2018/09/07 23:00,5286.0,792.0,,,非洲杯,CAF NC,141_赤道几内亚,Equatorial Guinea,124_苏丹,Sudan,0.0,0.0,,,,,
1393532.0,93.0,2018/09/03 23:00,815.0,792.0,,,非洲杯,CAF NC,24_塞内加尔,Senegal,124_苏丹,Sudan,0.0,0.0,,,,,
1499613.0,1052.0,2018/02/04 03:00,734.0,792.0,1-1,0-1,非国锦标,CAF SC,89_利比亚,Libya,124_苏丹,Sudan,0.0,0.0,,平手|0,走,大,平
1498357.0,1052.0,2018/02/01 03:30,792.0,789.0,0-1,0-1,非国锦标,CAF SC,124_苏丹,Sudan,51_尼日利亚,Nigeria,1.0,1.0,,受让平手/半球|-0/-0.5,输,小,负
1496261.0,1052.0,2018/01/28 03:30,807.0,792.0,0-1,0-1,非国锦标,CAF SC,72_赞比亚,Zambia,124_苏丹,Sudan,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1490659.0,1052.0,2018/01/22 03:00,792.0,813.0,0-0,0-0,非国锦标,CAF SC,124_苏丹,Sudan,39_摩洛哥,Morocco,0.0,0.0,,受让一球|-1,赢,小,平
1490658.0,1052.0,2018/01/18 03:30,792.0,5281.0,1-0,1-0,非国锦标,CAF SC,124_苏丹,Sudan,100_毛里塔尼亚,Mauritania,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1490656.0,1052.0,2018/01/14 22:30,812.0,792.0,1-2,0-1,非国锦标,CAF SC,66_几内亚,Guinea,124_苏丹,Sudan,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1443877.0,1052.0,2017/08/19 21:00,792.0,4637.0,1-0,0-0,非国锦标,CAF SC,124_苏丹,Sudan,137_埃塞俄比亚,Ethiopia,0.0,0.0,,,,,胜
1443876.0,1052.0,2017/08/13 21:00,4637.0,792.0,1-1,0-0,非国锦标,CAF SC,137_埃塞俄比亚,Ethiopia,124_苏丹,Sudan,0.0,0.0,,半球|0.5,赢,小,平
1437881.0,1366.0,2017/08/07 21:30,922.0,792.0,2-1,1-1,国际友谊,INT FRL,116_卢旺达,Rwanda,124_苏丹,Sudan,0.0,0.0,,,,,负
1424039.0,1052.0,2017/07/30 01:00,792.0,5294.0,1-0,0-0,非国锦标,CAF SC,124_苏丹,Sudan,143_布隆迪,Burundi,0.0,0.0,,,,,胜
1425197.0,1052.0,2017/07/23 21:00,5294.0,792.0,0-0,0-0,非国锦标,CAF SC,143_布隆迪,Burundi,124_苏丹,Sudan,0.0,0.0,,,,,平
1414971.0,1366.0,2017/07/15 21:00,5294.0,792.0,3-0,0-0,国际友谊,INT FRL,143_布隆迪,Burundi,124_苏丹,Sudan,0.0,0.0,,,,,负
