赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393549.0,93.0,2018/11/13 23:00,969.0,813.0,,,非洲杯,CAF NC,124_马拉维,Malawi,39_摩洛哥,Morocco,0.0,0.0,,,,,
1393547.0,93.0,2018/10/16 23:00,6675.0,969.0,,,非洲杯,CAF NC,130_科摩罗,Comoros,124_马拉维,Malawi,0.0,0.0,,,,,
1393544.0,93.0,2018/09/11 23:00,793.0,969.0,,,非洲杯,CAF NC,45_喀麦隆,Cameroon,124_马拉维,Malawi,0.0,0.0,,,,,
1393541.0,93.0,2018/09/07 23:00,813.0,969.0,,,非洲杯,CAF NC,39_摩洛哥,Morocco,124_马拉维,Malawi,0.0,0.0,,,,,
1393542.0,93.0,2018/09/03 23:00,793.0,969.0,,,非洲杯,CAF NC,45_喀麦隆,Cameroon,124_马拉维,Malawi,0.0,0.0,,,,,
1545777.0,1311.0,2018/06/01 23:30,804.0,969.0,0-0,0-0,南非洲杯,SACC,142_安哥拉,Angola,124_马拉维,Malawi,0.0,0.0,,半球|0.5,赢,小,平
1545776.0,1311.0,2018/05/31 01:30,969.0,920.0,1-1,1-0,南非洲杯,SACC,124_马拉维,Malawi,149_博茨瓦纳,Botswana,0.0,0.0,,平手|0,走,走,平
1545774.0,1311.0,2018/05/29 01:30,4638.0,969.0,1-0,1-0,南非洲杯,SACC,157_毛里求斯,Mauritius,124_马拉维,Malawi,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1524873.0,1366.0,2018/03/27 21:00,802.0,969.0,0-0,0-0,国际友谊,INT FRL,73_乌干达,Uganda,124_马拉维,Malawi,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1476856.0,1366.0,2017/11/11 20:30,969.0,5296.0,1-1,0-1,国际友谊,INT FRL,124_马拉维,Malawi,145_莱索托,Lesotho,0.0,0.0,,,,,平
1469160.0,1366.0,2017/10/07 22:00,4937.0,969.0,1-1,0-1,国际友谊,INT FRL,146_坦桑尼亚,Tanzania,124_马拉维,Malawi,2.0,0.0,,,,,平
1457288.0,1366.0,2017/09/04 22:00,816.0,969.0,0-1,0-1,国际友谊,INT FRL,127_多哥,Togo,124_马拉维,Malawi,0.0,0.0,,,,,胜
1404279.0,1311.0,2017/06/29 23:00,969.0,804.0,0-0,0-0,南非洲杯,SACC,124_马拉维,Malawi,142_安哥拉,Angola,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1404135.0,1311.0,2017/06/27 23:00,969.0,4638.0,0-0,0-0,南非洲杯,SACC,124_马拉维,Malawi,157_毛里求斯,Mauritius,0.0,0.0,,半球/一球|0.5/1,输,小,平
1402359.0,1311.0,2017/06/25 21:00,4937.0,969.0,2-0,2-0,南非洲杯,SACC,146_坦桑尼亚,Tanzania,124_马拉维,Malawi,0.0,0.0,,受让平手/半球|-0/-0.5,输,走,负
