赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1371569.0,95.0,2018/03/27 19:30,1562.0,884.0,2-1,0-0,亚洲杯,AFC,123_菲律宾,Philippines,126_塔吉克斯坦,Tajikistan,1.0,1.0,,平手/半球|0/0.5,输,大,负
1522296.0,1366.0,2018/03/21 19:35,11950.0,884.0,2-1,0-1,国际友谊,INT FRL,220_弱鸡,China U21,126_塔吉克斯坦,Tajikistan,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1371568.0,95.0,2017/11/14 19:00,884.0,877.0,0-0,0-0,亚洲杯,AFC,126_塔吉克斯坦,Tajikistan,138_也门,Yemen,0.0,0.0,,半球|0.5,输,小,平
1371565.0,95.0,2017/10/10 21:00,884.0,6650.0,3-0,1-0,亚洲杯,AFC,126_塔吉克斯坦,Tajikistan,165_尼泊尔,Nepal,0.0,0.0,,球半/两球|1.5/2,赢,走,胜
1371563.0,95.0,2017/09/05 17:15,6650.0,884.0,1-2,0-2,亚洲杯,AFC,165_尼泊尔,Nepal,126_塔吉克斯坦,Tajikistan,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1371562.0,95.0,2017/06/13 23:59,884.0,1562.0,3-4,0-2,亚洲杯,AFC,126_塔吉克斯坦,Tajikistan,123_菲律宾,Philippines,0.0,0.0,,平手/半球|0/0.5,输,大,负
1371560.0,95.0,2017/03/28 23:59,877.0,884.0,2-1,1-1,亚洲杯,AFC,138_也门,Yemen,126_塔吉克斯坦,Tajikistan,0.0,0.0,,受让半球|-0.5,输,大,负
1371888.0,1366.0,2017/03/23 23:59,900.0,884.0,1-1,0-1,国际友谊,INT FRL,122_巴林,Bahrain,126_塔吉克斯坦,Tajikistan,0.0,0.0,,一球/球半|1/1.5,赢,小,平
1327481.0,1366.0,2016/11/13 19:00,884.0,6651.0,1-0,0-0,国际友谊,INT FRL,126_塔吉克斯坦,Tajikistan,148_阿富汗,Afghanistan,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1327400.0,1366.0,2016/11/09 20:00,884.0,825.0,3-0,2-0,国际友谊,INT FRL,126_塔吉克斯坦,Tajikistan,114_土库曼斯坦,Turkmenistan,1.0,0.0,,平手/半球|0/0.5,赢,大,胜
