赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1196393.0,653.0,2016/09/07 08:15,801.0,1494.0,9-3,4-2,北美预选,WCPCA,128_危地马拉,Guatemala,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,三球/三球半|3/3.5,赢,大,胜
1196391.0,653.0,2016/09/03 07:00,912.0,801.0,2-2,1-1,北美预选,WCPCA,80_特立尼达和多巴哥,Trinidad   Tobago,128_危地马拉,Guatemala,0.0,1.0,,半球|0.5,赢,大,平
1291428.0,1366.0,2016/08/11 09:30,798.0,801.0,0-0,0-0,国际友谊,INT FRL,53_巴拿马,Panama,128_危地马拉,Guatemala,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1243644.0,1366.0,2016/06/02 08:30,801.0,777.0,1-1,0-0,国际友谊,INT FRL,128_危地马拉,Guatemala,52_委内瑞拉,Venezuela,0.0,0.0,,受让一球|-1,赢,小,平
1243473.0,1366.0,2016/05/29 11:00,801.0,748.0,1-7,1-2,国际友谊,INT FRL,128_危地马拉,Guatemala,90_阿美尼亚,Armenia,0.0,0.0,,平手|0,输,大,负
1196389.0,653.0,2016/03/30 07:25,797.0,801.0,4-0,2-0,北美预选,WCPCA,25_美国,USA,128_危地马拉,Guatemala,0.0,0.0,,球半/两球|1.5/2,输,大,负
1196388.0,653.0,2016/03/26 10:05,801.0,797.0,2-0,2-0,北美预选,WCPCA,128_危地马拉,Guatemala,25_美国,USA,0.0,0.0,,受让一球|-1,赢,小,胜
1223683.0,1366.0,2016/03/03 10:00,801.0,796.0,1-0,1-0,国际友谊,INT FRL,128_危地马拉,Guatemala,90_萨尔瓦多,El Salvador,0.0,0.0,,,,,胜
1215270.0,1366.0,2016/02/11 10:00,801.0,794.0,3-1,2-1,国际友谊,INT FRL,128_危地马拉,Guatemala,67_洪都拉斯,Honduras,0.0,0.0,,平手|0,赢,大,胜
1196385.0,653.0,2015/11/18 03:30,1494.0,801.0,0-4,0-2,北美预选,WCPCA,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,128_危地马拉,Guatemala,0.0,0.0,,受让一球/球半|-1/-1.5,赢,大,胜
1196920.0,653.0,2015/11/14 09:05,801.0,912.0,1-2,0-0,北美预选,WCPCA,128_危地马拉,Guatemala,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,平手/半球|0/0.5,输,大,负
1192326.0,1366.0,2015/10/14 11:30,801.0,796.0,1-1,1-0,国际友谊,INT FRL,128_危地马拉,Guatemala,90_萨尔瓦多,El Salvador,0.0,0.0,,平手/半球|0/0.5,输,小,平
1192318.0,1366.0,2015/10/09 09:05,794.0,801.0,1-1,1-0,国际友谊,INT FRL,67_洪都拉斯,Honduras,128_危地马拉,Guatemala,0.0,0.0,,半球|0.5,赢,小,平
1183610.0,653.0,2015/09/09 10:05,801.0,8028.0,2-0,0-0,北美预选,WCPCA,128_危地马拉,Guatemala,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,球半|1.5,赢,小,胜
1183617.0,653.0,2015/09/05 08:05,8028.0,801.0,1-0,0-0,北美预选,WCPCA,139_安提瓜和巴布达,Antigua   Barbuda,128_危地马拉,Guatemala,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1129126.0,232.0,2015/07/16 06:00,1991.0,801.0,1-0,0-0,美金杯,CGC,181_古巴,cuba,128_危地马拉,Guatemala,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,负
1129124.0,232.0,2015/07/13 09:10,801.0,819.0,0-0,0-0,美金杯,CGC,128_危地马拉,Guatemala,17_墨西哥,Mexico,1.0,0.0,,受让两球半/三球|-2.5/-3,赢,小,平
1129122.0,232.0,2015/07/10 07:05,912.0,801.0,3-1,3-0,美金杯,CGC,80_特立尼达和多巴哥,Trinidad   Tobago,128_危地马拉,Guatemala,0.0,0.0,,平手|0,输,大,负
1137701.0,1366.0,2015/07/04 07:05,797.0,801.0,4-0,1-0,国际友谊,INT FRL,25_美国,USA,128_危地马拉,Guatemala,0.0,0.0,,球半/两球|1.5/2,输,大,负
1129428.0,653.0,2015/06/16 06:30,5293.0,801.0,0-1,0-1,北美预选,WCPCA,184_百慕大群岛,Bermuda,128_危地马拉,Guatemala,0.0,0.0,,受让一球|-1,走,小,胜
1129422.0,653.0,2015/06/13 10:05,801.0,5293.0,0-0,0-0,北美预选,WCPCA,128_危地马拉,Guatemala,184_百慕大群岛,Bermuda,0.0,0.0,,球半/两球|1.5/2,输,小,平
1129022.0,1366.0,2015/06/07 06:05,767.0,801.0,5-1,3-0,国际友谊,INT FRL,22_乌拉圭,Uruguay,128_危地马拉,Guatemala,0.0,0.0,,球半/两球|1.5/2,输,大,负
1128531.0,1366.0,2015/05/31 06:00,819.0,801.0,3-0,1-0,国际友谊,INT FRL,17_墨西哥,Mexico,128_危地马拉,Guatemala,0.0,0.0,,球半/两球|1.5/2,输,小,负
1111949.0,1366.0,2015/04/01 11:10,796.0,801.0,0-0,0-0,国际友谊,INT FRL,90_萨尔瓦多,El Salvador,128_危地马拉,Guatemala,0.0,0.0,,平手|0,走,小,平
1110335.0,1366.0,2015/03/28 04:20,795.0,801.0,1-0,1-0,国际友谊,INT FRL,95_加拿大,Canada,128_危地马拉,Guatemala,0.0,0.0,,平手/半球|0/0.5,输,小,负
1066004.0,1366.0,2014/10/15 09:00,774.0,801.0,1-0,1-0,国际友谊,INT FRL,11_秘鲁,Peru,128_危地马拉,Guatemala,0.0,0.0,,一球/球半|1/1.5,赢,小,负
1057464.0,424.0,2014/09/14 12:00,801.0,914.0,1-2,1-1,中美杯,UNCAFNC,128_危地马拉,Guatemala,27_哥斯达黎加,Costa Rica,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1053662.0,424.0,2014/09/11 10:00,794.0,801.0,0-2,0-1,中美杯,UNCAFNC,67_洪都拉斯,Honduras,128_危地马拉,Guatemala,0.0,0.0,,半球|0.5,赢,小,胜
1053659.0,424.0,2014/09/08 07:10,801.0,5092.0,2-1,1-0,中美杯,UNCAFNC,128_危地马拉,Guatemala,171_伯利兹,Belize,0.0,0.0,,一球/球半|1/1.5,输,大,胜
1053658.0,424.0,2014/09/04 09:45,796.0,801.0,1-2,0-1,中美杯,UNCAFNC,90_萨尔瓦多,El Salvador,128_危地马拉,Guatemala,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1047676.0,41.0,2014/08/24 05:00,801.0,1991.0,1-0,0-0,球会友谊,INT CF,128_危地马拉,Guatemala,181_古巴,cuba,0.0,0.0,,,,,胜
918503.0,220.0,2013/09/06 18:25,903.0,801.0,3-0,0-0,麒麟杯,KIR Cup,56_日本,Japan,128_危地马拉,Guatemala,0.0,0.0,,球半/两球|1.5/2,输,小,负
857410.0,41.0,2013/07/06 11:00,797.0,801.0,6-0,1-0,球会友谊,INT CF,25_美国,USA,128_危地马拉,Guatemala,0.0,0.0,,一球/球半|1/1.5,输,大,负
850624.0,41.0,2013/06/15 10:00,801.0,766.0,0-4,0-3,球会友谊,INT CF,128_危地马拉,Guatemala,4_阿根廷,Argentina,0.0,0.0,,受让球半|-1.5,输,大,负
