赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542713.0,95.0,2019/01/15 01:00,887.0,886.0,,,亚洲杯,AFC,78_阿联酋,United Arab Emirates,129_泰国,Thailand,0.0,0.0,,,,,
1542710.0,95.0,2019/01/10 19:00,900.0,886.0,,,亚洲杯,AFC,122_巴林,Bahrain,129_泰国,Thailand,0.0,0.0,,,,,
1542709.0,95.0,2019/01/06 19:00,886.0,893.0,,,亚洲杯,AFC,129_泰国,Thailand,102_印度,India,0.0,0.0,,,,,
1543780.0,1366.0,2018/06/02 19:30,886.0,896.0,0-2,0-1,国际友谊,INT FRL,129_泰国,Thailand,70_中国,China,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1523877.0,1366.0,2018/03/25 20:30,886.0,752.0,2-3,1-2,国际友谊,INT FRL,129_泰国,Thailand,28_斯洛伐克,Slovakia,0.0,0.0,,受让一球|-1,走,大,负
1519558.0,1366.0,2018/03/22 20:30,886.0,788.0,0-0,0-0,国际友谊,INT FRL,129_泰国,Thailand,93_加蓬,Gabon,0.0,0.0,"90,0-0;;;4-2;1",受让平手/半球|-0/-0.5,赢,小,平
1466907.0,1366.0,2017/10/08 20:30,886.0,921.0,1-0,0-0,国际友谊,INT FRL,129_泰国,Thailand,105_肯尼亚,Kenya,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1466901.0,1366.0,2017/10/05 20:00,1563.0,886.0,1-3,0-2,国际友谊,INT FRL,140_缅甸联邦,Myanmar,129_泰国,Thailand,0.0,0.0,,,,,胜
1237356.0,648.0,2017/09/05 18:00,913.0,886.0,2-1,0-0,亚洲预选,FIFA WCQL,36_澳大利亚,Australia,129_泰国,Thailand,0.0,0.0,,三球/三球半|3/3.5,赢,小,负
1237362.0,648.0,2017/08/31 20:00,886.0,874.0,1-2,0-1,亚洲预选,FIFA WCQL,129_泰国,Thailand,82_伊拉克,Iraq,1.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1417842.0,758.0,2017/07/16 20:30,886.0,33788.0,0-0,0-0,泰王杯,KCTH,129_泰国,Thailand,220_弱鸡,Belarus B,0.0,0.0,,平手/半球|0/0.5,输,小,平
1414877.0,1366.0,2017/07/14 20:30,886.0,876.0,3-0,1-0,国际友谊,INT FRL,129_泰国,Thailand,119_朝鲜,Korea DPR,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1237370.0,648.0,2017/06/13 20:00,886.0,887.0,1-1,0-0,亚洲预选,FIFA WCQL,129_泰国,Thailand,78_阿联酋,United Arab Emirates,0.0,0.0,,受让一球|-1,赢,小,平
1391057.0,1366.0,2017/06/06 23:00,875.0,886.0,2-0,0-0,国际友谊,INT FRL,77_乌兹别克,Uzbekistan,129_泰国,Thailand,0.0,0.0,,一球/球半|1/1.5,输,小,负
1237375.0,648.0,2017/03/28 18:35,903.0,886.0,4-0,2-0,亚洲预选,FIFA WCQL,56_日本,Japan,129_泰国,Thailand,0.0,0.0,,两球半|2.5,输,大,负
1237381.0,648.0,2017/03/23 20:00,886.0,891.0,0-3,0-1,亚洲预选,FIFA WCQL,129_泰国,Thailand,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1335200.0,1124.0,2016/12/17 20:00,886.0,890.0,2-0,1-0,东南锦,AFF Cup,129_泰国,Thailand,160_印度尼西亚,Indonesia,0.0,1.0,,球半|1.5,赢,小,胜
1334490.0,1124.0,2016/12/14 20:00,890.0,886.0,2-1,0-1,东南锦,AFF Cup,160_印度尼西亚,Indonesia,129_泰国,Thailand,0.0,0.0,,受让半球|-0.5,输,大,负
1332639.0,1124.0,2016/12/08 20:00,886.0,1563.0,4-0,1-0,东南锦,AFF Cup,129_泰国,Thailand,140_缅甸联邦,Myanmar,0.0,0.0,,两球|2,赢,大,胜
1332641.0,1124.0,2016/12/04 19:30,1563.0,886.0,0-2,0-1,东南锦,AFF Cup,140_缅甸联邦,Myanmar,129_泰国,Thailand,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,胜
1328477.0,1124.0,2016/11/25 20:00,1562.0,886.0,0-1,0-0,东南锦,AFF Cup,123_菲律宾,Philippines,129_泰国,Thailand,0.0,0.0,,平手|0,赢,小,胜
1328480.0,1124.0,2016/11/22 16:30,886.0,892.0,1-0,0-0,东南锦,AFF Cup,129_泰国,Thailand,173_新加坡,Singapore,0.0,0.0,,一球/球半|1/1.5,输,小,胜
