赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393634.0,93.0,2018/11/13 23:00,823.0,4636.0,,,非洲杯,CAF NC,23_突尼斯,Tunisia,132_斯威士兰,Swaziland,0.0,0.0,,,,,
1393632.0,93.0,2018/10/16 23:00,4636.0,5302.0,,,非洲杯,CAF NC,132_斯威士兰,Swaziland,106_尼日尔,Niger,0.0,0.0,,,,,
1393629.0,93.0,2018/09/11 23:00,4636.0,735.0,,,非洲杯,CAF NC,132_斯威士兰,Swaziland,30_埃及,Egypt,0.0,0.0,,,,,
1393626.0,93.0,2018/09/07 23:00,4636.0,823.0,,,非洲杯,CAF NC,132_斯威士兰,Swaziland,23_突尼斯,Tunisia,0.0,0.0,,,,,
1393628.0,93.0,2018/09/03 23:00,735.0,4636.0,,,非洲杯,CAF NC,30_埃及,Egypt,132_斯威士兰,Swaziland,0.0,0.0,,,,,
1548495.0,1311.0,2018/06/06 01:30,4636.0,920.0,0-2,0-1,南非洲杯,SACC,132_斯威士兰,Swaziland,149_博茨瓦纳,Botswana,0.0,0.0,,受让平手/半球|-0/-0.5,输,走,负
1547462.0,1311.0,2018/06/02 23:30,5296.0,4636.0,1-0,0-0,南非洲杯,SACC,145_莱索托,Lesotho,132_斯威士兰,Swaziland,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1545734.0,1366.0,2018/05/25 20:00,921.0,4636.0,0-1,0-0,国际友谊,INT FRL,105_肯尼亚,Kenya,132_斯威士兰,Swaziland,0.0,0.0,,半球|0.5,赢,小,胜
1525321.0,1366.0,2018/03/27 18:00,5289.0,4636.0,0-0,0-0,国际友谊,INT FRL,192_塞舌尔,Seychelles,132_斯威士兰,Swaziland,0.0,0.0,,,,,平
1424992.0,1052.0,2017/07/22 21:00,807.0,4636.0,3-0,3-0,非国锦标,CAF SC,72_赞比亚,Zambia,132_斯威士兰,Swaziland,0.0,0.0,,,,,负
1414978.0,1052.0,2017/07/16 21:00,4636.0,807.0,0-4,0-2,非国锦标,CAF SC,132_斯威士兰,Swaziland,72_赞比亚,Zambia,0.0,0.0,,,,,负
1409745.0,1311.0,2017/07/05 01:30,4494.0,4636.0,1-0,0-0,南非洲杯,SACC,111_纳米比亚,Namibia,132_斯威士兰,Swaziland,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1408003.0,1311.0,2017/07/03 01:30,4636.0,14862.0,1-2,0-1,南非洲杯,SACC,132_斯威士兰,Swaziland,106_津巴布韦,Zimbabwe,0.0,0.0,,受让半球|-0.5,输,大,负
1392571.0,93.0,2017/06/10 23:00,5302.0,4636.0,0-0,0-0,非洲杯,CAF NC,106_尼日尔,Niger,132_斯威士兰,Swaziland,0.0,0.0,,半球|0.5,赢,小,平
1129719.0,93.0,2016/09/04 21:00,969.0,4636.0,1-0,1-0,非洲杯,CAF NC,124_马拉维,Malawi,132_斯威士兰,Swaziland,0.0,0.0,,半球|0.5,输,小,负
1255346.0,1366.0,2016/06/25 22:00,4636.0,811.0,1-0,1-0,国际友谊,INT FRL,132_斯威士兰,Swaziland,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,受让半球|-0.5,赢,小,胜
1251719.0,1366.0,2016/06/22 23:59,803.0,4636.0,5-1,0-1,国际友谊,INT FRL,78_南非,South Africa,132_斯威士兰,Swaziland,0.0,1.0,,半球/一球|0.5/1,输,大,负
1248732.0,1366.0,2016/06/19 22:00,807.0,4636.0,0-0,0-0,国际友谊,INT FRL,72_赞比亚,Zambia,132_斯威士兰,Swaziland,0.0,0.0,"90,0-0;;;2-4;2",受让半球/一球|-0.5/-1,输,小,平
1247579.0,1366.0,2016/06/15 23:59,4636.0,5295.0,1-0,0-0,国际友谊,INT FRL,132_斯威士兰,Swaziland,109_马达加斯加,Madagascar,0.0,0.0,,,,,胜
1245975.0,1366.0,2016/06/13 23:59,4636.0,5289.0,4-0,2-0,国际友谊,INT FRL,132_斯威士兰,Swaziland,192_塞舌尔,Seychelles,0.0,0.0,,,,,胜
1245822.0,41.0,2016/06/11 22:00,14862.0,4636.0,2-2,0-1,球会友谊,INT CF,106_津巴布韦,Zimbabwe,132_斯威士兰,Swaziland,0.0,0.0,,,,,平
1129716.0,93.0,2016/06/05 21:00,4636.0,812.0,1-0,0-0,非洲杯,CAF NC,132_斯威士兰,Swaziland,66_几内亚,Guinea,0.0,0.0,,,,,胜
1129715.0,93.0,2016/03/28 21:00,14862.0,4636.0,4-0,0-0,非洲杯,CAF NC,106_津巴布韦,Zimbabwe,132_斯威士兰,Swaziland,0.0,0.0,,一球|1,输,大,负
1129713.0,93.0,2016/03/25 21:00,4636.0,14862.0,1-1,1-1,非洲杯,CAF NC,132_斯威士兰,Swaziland,106_津巴布韦,Zimbabwe,0.0,0.0,,平手/半球|0/0.5,输,走,平
1197319.0,651.0,2015/11/17 23:00,789.0,4636.0,2-0,0-0,非洲预选,WCPAF,51_尼日利亚,Nigeria,132_斯威士兰,Swaziland,0.0,1.0,,球半/两球|1.5/2,输,小,负
1196954.0,651.0,2015/11/14 01:00,4636.0,789.0,0-0,0-0,非洲预选,WCPAF,132_斯威士兰,Swaziland,51_尼日利亚,Nigeria,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,平
1190101.0,651.0,2015/10/17 22:00,4636.0,6975.0,2-1,2-1,非洲预选,WCPAF,132_斯威士兰,Swaziland,187_吉布提,Djibouti,0.0,0.0,,,,,胜
1190112.0,651.0,2015/10/09 21:00,6975.0,4636.0,0-6,0-1,非洲预选,WCPAF,187_吉布提,Djibouti,132_斯威士兰,Swaziland,0.0,0.0,,,,,胜
1129710.0,93.0,2015/09/06 21:00,4636.0,969.0,2-2,1-2,非洲杯,CAF NC,132_斯威士兰,Swaziland,124_马拉维,Malawi,0.0,0.0,,平手|0,走,大,平
1130056.0,1052.0,2015/07/04 22:30,804.0,4636.0,2-0,1-0,非国锦标,CAF SC,142_安哥拉,Angola,132_斯威士兰,Swaziland,0.0,0.0,,,,,负
1130050.0,1052.0,2015/06/21 21:00,4636.0,804.0,2-2,0-1,非国锦标,CAF SC,132_斯威士兰,Swaziland,142_安哥拉,Angola,0.0,0.0,,,,,平
1129709.0,93.0,2015/06/13 02:00,812.0,4636.0,1-2,0-1,非洲杯,CAF NC,66_几内亚,Guinea,132_斯威士兰,Swaziland,0.0,0.0,,球半|1.5,赢,大,胜
1128133.0,1311.0,2015/05/22 23:00,5295.0,4636.0,1-1,1-0,南非洲杯,SACC,109_马达加斯加,Madagascar,132_斯威士兰,Swaziland,0.0,0.0,,平手|0,走,小,平
1128000.0,1311.0,2015/05/21 01:30,4636.0,5296.0,2-0,1-0,南非洲杯,SACC,132_斯威士兰,Swaziland,145_莱索托,Lesotho,0.0,0.0,,平手|0,赢,小,胜
1127960.0,1311.0,2015/05/19 01:30,4937.0,4636.0,0-1,0-1,南非洲杯,SACC,146_坦桑尼亚,Tanzania,132_斯威士兰,Swaziland,0.0,0.0,,,,,胜
1110156.0,1366.0,2015/03/26 01:00,4636.0,803.0,1-3,0-0,国际友谊,INT FRL,132_斯威士兰,Swaziland,78_南非,South Africa,0.0,0.0,,受让球半/两球|-1.5/-2,输,大,负
1079535.0,41.0,2015/01/10 23:00,791.0,4636.0,5-1,2-1,球会友谊,INT CF,44_布基纳法索,Burkina Faso,132_斯威士兰,Swaziland,0.0,0.0,,,,,负
1070638.0,1366.0,2014/11/16 21:30,4636.0,4937.0,1-1,1-0,国际友谊,INT FRL,132_斯威士兰,Swaziland,146_坦桑尼亚,Tanzania,0.0,0.0,,,,,平
1066127.0,1366.0,2014/10/16 01:00,4636.0,14862.0,0-2,0-0,国际友谊,INT FRL,132_斯威士兰,Swaziland,106_津巴布韦,Zimbabwe,0.0,0.0,,,,,负
1056503.0,41.0,2014/09/11 02:30,4494.0,4636.0,1-1,0-0,球会友谊,INT CF,111_纳米比亚,Namibia,132_斯威士兰,Swaziland,1.0,0.0,,,,,平
983316.0,93.0,2014/06/01 00:30,5290.0,4636.0,1-0,0-0,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,132_斯威士兰,Swaziland,0.0,0.0,,,,,负
983302.0,93.0,2014/05/18 21:00,4636.0,5290.0,1-1,0-1,非洲杯,CAF NC,132_斯威士兰,Swaziland,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,平
982106.0,41.0,2014/05/12 01:00,920.0,4636.0,1-4,1-1,球会友谊,INT CF,149_博茨瓦纳,Botswana,132_斯威士兰,Swaziland,0.0,0.0,,,,,胜
964932.0,41.0,2014/03/09 21:00,5296.0,4636.0,0-1,0-0,球会友谊,INT CF,145_莱索托,Lesotho,132_斯威士兰,Swaziland,0.0,0.0,,,,,胜
963893.0,41.0,2014/03/07 21:00,5296.0,4636.0,0-1,0-0,球会友谊,INT CF,145_莱索托,Lesotho,132_斯威士兰,Swaziland,0.0,0.0,,,,,胜
936934.0,41.0,2013/11/16 02:30,4636.0,803.0,0-3,0-0,球会友谊,INT CF,132_斯威士兰,Swaziland,78_南非,South Africa,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,负
871169.0,1311.0,2013/07/11 21:00,4636.0,5296.0,0-2,0-2,南非洲杯,SACC,132_斯威士兰,Swaziland,145_莱索托,Lesotho,0.0,0.0,,,,,负
871348.0,1311.0,2013/07/10 21:00,921.0,4636.0,2-0,1-0,南非洲杯,SACC,105_肯尼亚,Kenya,132_斯威士兰,Swaziland,0.0,0.0,,,,,负
866330.0,1311.0,2013/07/07 23:00,920.0,4636.0,0-0,0-0,南非洲杯,SACC,149_博茨瓦纳,Botswana,132_斯威士兰,Swaziland,0.0,0.0,,,,,平
852984.0,1052.0,2013/06/29 23:00,804.0,4636.0,1-0,1-0,非国锦标,CAF SC,142_安哥拉,Angola,132_斯威士兰,Swaziland,0.0,0.0,,,,,负
852982.0,1052.0,2013/06/23 21:00,4636.0,804.0,0-1,0-1,非国锦标,CAF SC,132_斯威士兰,Swaziland,142_安哥拉,Angola,0.0,0.0,,,,,负
831262.0,41.0,2013/03/23 01:35,735.0,4636.0,10-0,3-0,球会友谊,INT CF,30_埃及,Egypt,132_斯威士兰,Swaziland,0.0,0.0,,,,,负
810704.0,41.0,2013/01/18 01:00,791.0,4636.0,3-0,1-0,球会友谊,INT CF,44_布基纳法索,Burkina Faso,132_斯威士兰,Swaziland,0.0,0.0,,,,,负
798770.0,41.0,2012/11/11 21:30,4636.0,5296.0,0-0,0-0,球会友谊,INT CF,132_斯威士兰,Swaziland,145_莱索托,Lesotho,0.0,0.0,,,,,平
793399.0,41.0,2012/10/14 22:00,5296.0,4636.0,0-1,0-0,球会友谊,INT CF,145_莱索托,Lesotho,132_斯威士兰,Swaziland,0.0,0.0,,,,,胜
793799.0,41.0,2012/10/12 21:00,5296.0,4636.0,2-1,0-0,球会友谊,INT CF,145_莱索托,Lesotho,132_斯威士兰,Swaziland,0.0,0.0,,,,,负
646764.0,651.0,2011/11/15 22:30,811.0,4636.0,5-1,1-0,非洲预选,WCPAF,43_刚果民主共和国,Democratic Rep Congo,132_斯威士兰,Swaziland,0.0,0.0,,,,,负
646754.0,651.0,2011/11/11 22:00,4636.0,811.0,1-3,0-2,非洲预选,WCPAF,132_斯威士兰,Swaziland,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,,,,负
407004.0,93.0,2011/10/08 21:00,4636.0,806.0,0-1,0-0,非洲杯,CAF NC,132_斯威士兰,Swaziland,96_刚果,Congo,0.0,0.0,,,,小,负
407003.0,93.0,2011/09/03 02:00,810.0,4636.0,2-0,1-0,非洲杯,CAF NC,50_加纳,Ghana,132_斯威士兰,Swaziland,0.0,0.0,,,,,负
407000.0,93.0,2011/06/05 21:00,4636.0,792.0,1-2,0-0,非洲杯,CAF NC,132_斯威士兰,Swaziland,124_苏丹,Sudan,0.0,0.0,,,,大,负
406998.0,93.0,2011/03/28 01:00,792.0,4636.0,3-0,1-0,非洲杯,CAF NC,124_苏丹,Sudan,132_斯威士兰,Swaziland,0.0,0.0,,,,大,负
516130.0,41.0,2011/02/10 01:00,4636.0,807.0,0-4,0-1,球会友谊,INT CF,132_斯威士兰,Swaziland,72_赞比亚,Zambia,0.0,0.0,,,,,负
406996.0,93.0,2010/10/10 22:30,806.0,4636.0,3-1,2-1,非洲杯,CAF NC,96_刚果,Congo,132_斯威士兰,Swaziland,0.0,0.0,,,,,负
406995.0,93.0,2010/09/05 21:00,4636.0,810.0,0-3,0-1,非洲杯,CAF NC,132_斯威士兰,Swaziland,50_加纳,Ghana,0.0,0.0,,,,,负
433716.0,41.0,2010/08/11 20:00,5292.0,4636.0,2-1,1-0,球会友谊,INT CF,108_莫桑比克,Mozambique,132_斯威士兰,Swaziland,0.0,0.0,,,,,负
362205.0,41.0,2010/01/23 22:00,803.0,4636.0,6-2,3-1,球会友谊,INT CF,78_南非,South Africa,132_斯威士兰,Swaziland,0.0,1.0,,,,,负
346059.0,41.0,2009/10/20 19:30,920.0,4636.0,1-0,0-0,球会友谊,INT CF,149_博茨瓦纳,Botswana,132_斯威士兰,Swaziland,0.0,0.0,,,,,负
327165.0,41.0,2009/09/05 22:00,4494.0,4636.0,1-1,1-1,球会友谊,INT CF,111_纳米比亚,Namibia,132_斯威士兰,Swaziland,0.0,0.0,,,,,平
317105.0,41.0,2009/08/12 19:00,5292.0,4636.0,1-0,1-0,球会友谊,INT CF,108_莫桑比克,Mozambique,132_斯威士兰,Swaziland,0.0,0.0,,,,,负
205792.0,651.0,2008/10/11 23:30,816.0,4636.0,6-0,3-0,非洲预选,WCPAF,127_多哥,Togo,132_斯威士兰,Swaziland,0.0,0.0,,,,大,负
205788.0,651.0,2008/06/21 20:00,807.0,4636.0,1-0,0-0,非洲预选,WCPAF,72_赞比亚,Zambia,132_斯威士兰,Swaziland,0.0,1.0,,,,小,负
205787.0,651.0,2008/06/15 21:00,4636.0,807.0,0-0,0-0,非洲预选,WCPAF,132_斯威士兰,Swaziland,72_赞比亚,Zambia,0.0,0.0,,,,小,平
205785.0,651.0,2008/06/08 21:00,4636.0,816.0,2-1,0-0,非洲预选,WCPAF,132_斯威士兰,Swaziland,127_多哥,Togo,0.0,0.0,,,,大,胜
162953.0,93.0,2007/09/09 21:00,4636.0,5297.0,0-0,0-0,非洲杯,CAF NC,132_斯威士兰,Swaziland,206_厄立特里亚,Eritrea,0.0,0.0,,,,,平
134748.0,93.0,2007/06/17 22:30,804.0,4636.0,3-0,2-0,非洲杯,CAF NC,142_安哥拉,Angola,132_斯威士兰,Swaziland,0.0,0.0,,,,,负
