赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393599.0,93.0,2018/11/13 23:00,811.0,814.0,,,非洲杯,CAF NC,43_刚果民主共和国,Democratic Rep Congo,133_利比里亚,Liberia,0.0,0.0,,,,,
1393597.0,93.0,2018/10/16 23:00,814.0,14862.0,,,非洲杯,CAF NC,133_利比里亚,Liberia,106_津巴布韦,Zimbabwe,0.0,0.0,,,,,
1393595.0,93.0,2018/09/11 23:00,814.0,806.0,,,非洲杯,CAF NC,133_利比里亚,Liberia,96_刚果,Congo,0.0,0.0,,,,,
1393591.0,93.0,2018/09/07 23:00,814.0,811.0,,,非洲杯,CAF NC,133_利比里亚,Liberia,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,,,,
1393593.0,93.0,2018/09/03 23:00,806.0,814.0,,,非洲杯,CAF NC,96_刚果,Congo,133_利比里亚,Liberia,0.0,0.0,,,,,
1460473.0,1023.0,2017/09/10 02:00,815.0,814.0,0-0,0-0,西非杯,WAFU,24_塞内加尔,Senegal,133_利比里亚,Liberia,0.0,0.0,,,,,平
1421496.0,1052.0,2017/07/24 01:00,5281.0,814.0,0-1,0-1,非国锦标,CAF SC,100_毛里塔尼亚,Mauritania,133_利比里亚,Liberia,0.0,0.0,,,,,胜
1380946.0,1052.0,2017/07/16 23:59,814.0,5281.0,0-2,0-1,非国锦标,CAF SC,133_利比里亚,Liberia,100_毛里塔尼亚,Mauritania,0.0,0.0,,,,,负
1392565.0,93.0,2017/06/11 21:00,14862.0,814.0,3-0,1-0,非洲杯,CAF NC,106_津巴布韦,Zimbabwe,133_利比里亚,Liberia,0.0,0.0,,一球|1,输,大,负
1392831.0,1366.0,2017/06/05 23:59,814.0,5290.0,1-0,0-0,国际友谊,INT FRL,133_利比里亚,Liberia,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,胜
1330085.0,1366.0,2016/11/15 21:10,921.0,814.0,1-0,0-0,国际友谊,INT FRL,105_肯尼亚,Kenya,133_利比里亚,Liberia,0.0,0.0,,半球/一球|0.5/1,输,小,负
