赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1548655.0,1366.0,2018/06/08 22:30,5288.0,921.0,0-4,0-0,国际友谊,INT FRL,134_中国台北,Chinese Taipei,105_肯尼亚,Kenya,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,负
1548205.0,1366.0,2018/06/05 22:30,5288.0,2363.0,0-1,0-1,国际友谊,INT FRL,134_中国台北,Chinese Taipei,120_新西兰,New Zealand,0.0,0.0,,受让球半|-1.5,赢,小,负
1547375.0,1366.0,2018/06/01 22:30,893.0,5288.0,5-0,2-0,国际友谊,INT FRL,102_印度,India,134_中国台北,Chinese Taipei,0.0,0.0,,一球/球半|1/1.5,输,大,负
1371558.0,95.0,2018/03/27 19:00,5288.0,892.0,1-0,1-0,亚洲杯,AFC,134_中国台北,Chinese Taipei,173_新加坡,Singapore,0.0,0.0,,半球|0.5,赢,小,胜
1481959.0,428.0,2017/12/05 19:00,5288.0,880.0,2-0,2-0,四国赛,INT FRLW,134_中国台北,Chinese Taipei,183_老挝,Laos,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1481077.0,428.0,2017/12/04 19:00,5288.0,1564.0,3-1,1-0,四国赛,INT FRLW,134_中国台北,Chinese Taipei,191_东帝汶,Timor Leste,0.0,0.0,,球半|1.5,赢,大,胜
1481824.0,428.0,2017/12/03 19:00,5288.0,1562.0,3-0,1-0,四国赛,INT FRLW,134_中国台北,Chinese Taipei,123_菲律宾,Philippines,0.0,1.0,,受让平手/半球|-0/-0.5,赢,大,胜
1371556.0,95.0,2017/11/14 18:00,825.0,5288.0,2-1,2-0,亚洲杯,AFC,114_土库曼斯坦,Turkmenistan,134_中国台北,Chinese Taipei,0.0,0.0,,球半|1.5,赢,走,负
1371554.0,95.0,2017/10/10 18:00,5288.0,900.0,2-1,0-1,亚洲杯,AFC,134_中国台北,Chinese Taipei,122_巴林,Bahrain,0.0,0.0,,受让一球|-1,赢,小,胜
1466904.0,1366.0,2017/10/05 19:00,5288.0,5768.0,4-2,1-1,国际友谊,INT FRL,134_中国台北,Chinese Taipei,189_蒙古,Mongolia,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1371552.0,95.0,2017/09/05 23:59,900.0,5288.0,5-0,2-0,亚洲杯,AFC,122_巴林,Bahrain,134_中国台北,Chinese Taipei,0.0,0.0,,球半/两球|1.5/2,输,大,负
1371549.0,95.0,2017/06/10 21:00,892.0,5288.0,1-2,1-1,亚洲杯,AFC,173_新加坡,Singapore,134_中国台北,Chinese Taipei,0.0,0.0,,球半|1.5,赢,大,胜
1371548.0,95.0,2017/03/26 18:05,5288.0,825.0,1-3,1-2,亚洲杯,AFC,134_中国台北,Chinese Taipei,114_土库曼斯坦,Turkmenistan,0.0,1.0,,受让半球|-0.5,输,大,负
1371325.0,1366.0,2017/03/22 19:00,883.0,5288.0,1-1,0-0,国际友谊,INT FRL,112_越南,Vietnam,134_中国台北,Chinese Taipei,0.0,0.0,,两球|2,赢,小,平
1327374.0,53.0,2016/11/12 15:00,5288.0,5769.0,2-0,1-0,东亚杯,EASTC,134_中国台北,Chinese Taipei,192_关岛,Guam Island,0.0,1.0,,平手/半球|0/0.5,赢,小,胜
1328366.0,53.0,2016/11/09 20:00,888.0,5288.0,4-2,1-0,东亚杯,EASTC,144_中国香港,Hong Kong,134_中国台北,Chinese Taipei,0.0,0.0,,一球/球半|1/1.5,输,大,负
1327372.0,53.0,2016/11/06 15:00,876.0,5288.0,2-0,1-0,东亚杯,EASTC,119_朝鲜,Korea DPR,134_中国台北,Chinese Taipei,0.0,0.0,,两球|2,走,小,负
1307450.0,95.0,2016/10/11 19:00,5288.0,1564.0,2-1,1-0,亚洲杯,AFC,134_中国台北,Chinese Taipei,191_东帝汶,Timor Leste,0.0,0.0,,半球/一球|0.5/1,赢,走,胜
1307446.0,95.0,2016/10/08 19:00,1564.0,5288.0,1-2,1-2,亚洲杯,AFC,191_东帝汶,Timor Leste,134_中国台北,Chinese Taipei,0.0,0.0,,受让平手/半球|-0/-0.5,赢,走,胜
1258091.0,53.0,2016/07/04 15:00,5288.0,3325.0,3-2,1-1,东亚杯,EASTC,134_中国台北,Chinese Taipei,186_中国澳门,Macau of China,0.0,0.0,,,,,胜
1258089.0,53.0,2016/07/02 15:00,5768.0,5288.0,0-2,0-0,东亚杯,EASTC,189_蒙古,Mongolia,134_中国台北,Chinese Taipei,0.0,0.0,,,,,胜
1257449.0,53.0,2016/06/30 15:00,5288.0,10002.0,8-1,4-0,东亚杯,EASTC,134_中国台北,Chinese Taipei,220_弱鸡,Northern Mariana Island,0.0,1.0,,,,,胜
1243720.0,95.0,2016/06/07 20:00,1565.0,5288.0,2-0,1-0,亚洲杯,AFC,172_柬埔寨,Cambodia,134_中国台北,Chinese Taipei,0.0,0.0,,平手|0,输,小,负
1243713.0,95.0,2016/06/02 19:00,5288.0,1565.0,2-2,2-2,亚洲杯,AFC,134_中国台北,Chinese Taipei,172_柬埔寨,Cambodia,1.0,1.0,,半球|0.5,输,大,平
1124711.0,648.0,2016/03/24 20:00,883.0,5288.0,4-1,3-1,亚洲预选,FIFA WCQL,112_越南,Vietnam,134_中国台北,Chinese Taipei,0.0,0.0,,两球/两球半|2/2.5,输,大,负
1229015.0,1366.0,2016/03/19 19:00,5288.0,5769.0,3-2,1-2,国际友谊,INT FRL,134_中国台北,Chinese Taipei,192_关岛,Guam Island,0.0,0.0,,平手|0,赢,大,胜
1124713.0,648.0,2015/11/17 19:00,5288.0,874.0,0-2,0-1,亚洲预选,FIFA WCQL,134_中国台北,Chinese Taipei,82_伊拉克,Iraq,0.0,0.0,,受让两球半/三球|-2.5/-3,赢,小,负
1124716.0,648.0,2015/11/12 20:00,886.0,5288.0,4-2,1-1,亚洲预选,FIFA WCQL,129_泰国,Thailand,134_中国台北,Chinese Taipei,0.0,0.0,,两球半/三球|2.5/3,赢,大,负
1124717.0,648.0,2015/10/13 20:00,890.0,5288.0,取消,,亚洲预选,FIFA WCQL,160_印度尼西亚,Indonesia,134_中国台北,Chinese Taipei,0.0,0.0,,,,,
1192634.0,41.0,2015/10/09 19:00,5288.0,3325.0,5-1,2-1,球会友谊,INT CF,134_中国台北,Chinese Taipei,186_中国澳门,Macau of China,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1124722.0,648.0,2015/09/08 19:00,5288.0,883.0,1-2,0-0,亚洲预选,FIFA WCQL,134_中国台北,Chinese Taipei,112_越南,Vietnam,0.0,0.0,,受让球半|-1.5,赢,大,负
1124724.0,648.0,2015/09/03 20:30,874.0,5288.0,5-1,1-0,亚洲预选,FIFA WCQL,82_伊拉克,Iraq,134_中国台北,Chinese Taipei,0.0,0.0,,三球半|3.5,输,大,负
1124725.0,648.0,2015/06/16 19:30,5288.0,886.0,0-2,0-2,亚洲预选,FIFA WCQL,134_中国台北,Chinese Taipei,129_泰国,Thailand,0.0,0.0,,受让球半|-1.5,输,小,负
1124727.0,648.0,2015/06/11 19:00,5288.0,890.0,取消,,亚洲预选,FIFA WCQL,134_中国台北,Chinese Taipei,160_印度尼西亚,Indonesia,0.0,0.0,,,,,
1107461.0,648.0,2015/03/17 20:15,3627.0,5288.0,0-2,0-1,亚洲预选,FIFA WCQL,190_文莱,Brunei Darussalam,134_中国台北,Chinese Taipei,0.0,0.0,,,,,胜
1106069.0,648.0,2015/03/12 19:00,5288.0,3627.0,0-1,0-1,亚洲预选,FIFA WCQL,134_中国台北,Chinese Taipei,190_文莱,Brunei Darussalam,0.0,0.0,,,,,负
1069678.0,53.0,2014/11/19 19:00,5288.0,876.0,0-0,0-0,东亚杯,EASTC,134_中国台北,Chinese Taipei,119_朝鲜,Korea DPR,0.0,0.0,,,,,平
1069676.0,53.0,2014/11/16 19:00,5288.0,888.0,0-1,0-0,东亚杯,EASTC,134_中国台北,Chinese Taipei,144_中国香港,Hong Kong,0.0,0.0,,,,,负
1069674.0,53.0,2014/11/13 19:00,5288.0,5769.0,1-2,0-2,东亚杯,EASTC,134_中国台北,Chinese Taipei,192_关岛,Guam Island,0.0,0.0,,,,,负
1064663.0,1366.0,2014/10/08 19:00,5288.0,1565.0,0-2,0-0,国际友谊,INT FRL,134_中国台北,Chinese Taipei,172_柬埔寨,Cambodia,0.0,0.0,,,,,负
1055579.0,1366.0,2014/09/06 16:00,879.0,5288.0,3-3,2-0,国际友谊,INT FRL,75_巴勒斯坦,Palestine,134_中国台北,Chinese Taipei,0.0,0.0,"90,3-3;;1,7-3;;1",球半|1.5,赢,大,平
1053622.0,1366.0,2014/09/03 19:00,1562.0,5288.0,5-1,2-0,国际友谊,INT FRL,123_菲律宾,Philippines,134_中国台北,Chinese Taipei,0.0,0.0,,一球/球半|1/1.5,输,大,负
931613.0,41.0,2013/10/13 16:00,5288.0,3353.0,0-1,0-1,球会友谊,INT CF,134_中国台北,Chinese Taipei,201_巴基斯坦,Pakistan,0.0,0.0,,平手|0,输,小,负
931653.0,41.0,2013/10/11 19:00,1562.0,5288.0,1-2,1-1,球会友谊,INT CF,123_菲律宾,Philippines,134_中国台北,Chinese Taipei,0.0,0.0,,球半/两球|1.5/2,赢,小,胜
824277.0,251.0,2013/03/06 17:30,5288.0,5769.0,0-3,0-1,亚挑杯,AFC CC,134_中国台北,Chinese Taipei,192_关岛,Guam Island,0.0,0.0,,,,小,负
824692.0,251.0,2013/03/04 20:15,1563.0,5288.0,1-1,1-0,亚挑杯,AFC CC,140_缅甸联邦,Myanmar,134_中国台北,Chinese Taipei,0.0,0.0,,,,小,平
824173.0,251.0,2013/03/02 17:30,893.0,5288.0,2-1,1-0,亚挑杯,AFC CC,102_印度,India,134_中国台北,Chinese Taipei,0.0,0.0,,,,大,负
803434.0,53.0,2012/12/09 17:00,913.0,5288.0,8-0,5-0,东亚杯,EASTC,36_澳大利亚,Australia,134_中国台北,Chinese Taipei,0.0,0.0,,,,大,负
803432.0,53.0,2012/12/07 20:30,888.0,5288.0,2-0,2-0,东亚杯,EASTC,144_中国香港,Hong Kong,134_中国台北,Chinese Taipei,0.0,0.0,,,,小,负
803429.0,53.0,2012/12/05 17:50,5288.0,5769.0,1-1,0-0,东亚杯,EASTC,134_中国台北,Chinese Taipei,192_关岛,Guam Island,0.0,0.0,,,,小,平
803426.0,53.0,2012/12/01 17:10,5288.0,876.0,1-6,0-3,东亚杯,EASTC,134_中国台北,Chinese Taipei,119_朝鲜,Korea DPR,0.0,0.0,,,,大,负
789853.0,428.0,2012/09/29 19:30,1562.0,5288.0,3-1,3-0,四国赛,INT FRLW,123_菲律宾,Philippines,134_中国台北,Chinese Taipei,0.0,0.0,,,,大,负
789281.0,428.0,2012/09/27 16:00,5288.0,5769.0,2-0,2-0,四国赛,INT FRLW,134_中国台北,Chinese Taipei,192_关岛,Guam Island,0.0,0.0,,,,小,胜
787987.0,41.0,2012/09/25 16:00,5288.0,3325.0,2-2,0-1,球会友谊,INT CF,134_中国台北,Chinese Taipei,186_中国澳门,Macau of China,0.0,0.0,,,,大,平
677064.0,41.0,2012/02/29 20:00,888.0,5288.0,5-1,3-1,球会友谊,INT CF,144_中国香港,Hong Kong,134_中国台北,Chinese Taipei,0.0,0.0,,,,大,负
637758.0,41.0,2011/10/04 19:00,5288.0,888.0,0-6,0-4,球会友谊,INT CF,134_中国台北,Chinese Taipei,144_中国香港,Hong Kong,0.0,1.0,,,,,负
638716.0,41.0,2011/10/02 19:00,5288.0,1562.0,0-0,0-0,球会友谊,INT CF,134_中国台北,Chinese Taipei,123_菲律宾,Philippines,0.0,0.0,,,,,平
637068.0,41.0,2011/09/30 19:00,5288.0,3325.0,3-0,3-0,球会友谊,INT CF,134_中国台北,Chinese Taipei,186_中国澳门,Macau of China,0.0,0.0,,,,,胜
575102.0,41.0,2011/07/18 19:30,892.0,5288.0,3-2,1-0,球会友谊,INT CF,173_新加坡,Singapore,134_中国台北,Chinese Taipei,0.0,0.0,,,,大,负
567923.0,648.0,2011/07/03 19:00,5288.0,889.0,3-2,2-2,亚洲预选,FIFA WCQL,134_中国台北,Chinese Taipei,175_马来西亚,Malaysia,0.0,0.0,,,,大,胜
565520.0,648.0,2011/06/29 20:45,889.0,5288.0,2-1,1-0,亚洲预选,FIFA WCQL,175_马来西亚,Malaysia,134_中国台北,Chinese Taipei,0.0,0.0,,,,小,负
531510.0,251.0,2011/03/25 19:30,5288.0,3353.0,0-2,0-1,亚挑杯,AFC CC,134_中国台北,Chinese Taipei,201_巴基斯坦,Pakistan,0.0,0.0,,,,小,负
531508.0,251.0,2011/03/23 19:30,5288.0,825.0,0-2,0-0,亚挑杯,AFC CC,134_中国台北,Chinese Taipei,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,小,负
531506.0,251.0,2011/03/21 19:30,893.0,5288.0,3-0,1-0,亚挑杯,AFC CC,102_印度,India,134_中国台北,Chinese Taipei,0.0,0.0,,,,大,负
516035.0,251.0,2011/02/16 19:00,880.0,5288.0,1-1,0-0,亚挑杯,AFC CC,183_老挝,Laos,134_中国台北,Chinese Taipei,0.0,0.0,,,,小,平
516031.0,251.0,2011/02/10 19:00,5288.0,880.0,5-2,3-0,亚挑杯,AFC CC,134_中国台北,Chinese Taipei,183_老挝,Laos,0.0,0.0,,,,,胜
497221.0,41.0,2010/11/24 19:30,890.0,5288.0,2-0,2-0,球会友谊,INT CF,160_印度尼西亚,Indonesia,134_中国台北,Chinese Taipei,0.0,0.0,,,,小,负
480702.0,41.0,2010/10/12 19:30,5288.0,888.0,1-1,1-0,球会友谊,INT CF,134_中国台北,Chinese Taipei,144_中国香港,Hong Kong,0.0,0.0,,,,小,平
480482.0,41.0,2010/10/10 19:30,5288.0,1562.0,1-1,0-0,球会友谊,INT CF,134_中国台北,Chinese Taipei,123_菲律宾,Philippines,0.0,0.0,,,,,平
480119.0,41.0,2010/10/09 19:30,5288.0,3325.0,7-1,3-0,球会友谊,INT CF,134_中国台北,Chinese Taipei,186_中国澳门,Macau of China,0.0,0.0,,,,,胜
360514.0,41.0,2010/01/16 18:00,5288.0,1562.0,0-0,0-0,球会友谊,INT CF,134_中国台北,Chinese Taipei,123_菲律宾,Philippines,0.0,0.0,,,,,平
321616.0,53.0,2009/08/27 19:00,5288.0,876.0,1-2,0-1,东亚杯,EASTC,134_中国台北,Chinese Taipei,119_朝鲜,Korea DPR,0.0,0.0,,,,大,负
321614.0,53.0,2009/08/25 19:00,5288.0,5769.0,4-2,1-2,东亚杯,EASTC,134_中国台北,Chinese Taipei,192_关岛,Guam Island,0.0,0.0,,,,大,胜
321612.0,53.0,2009/08/23 19:00,5288.0,888.0,0-4,0-2,东亚杯,EASTC,134_中国台北,Chinese Taipei,144_中国香港,Hong Kong,0.0,0.0,,,,大,负
274543.0,251.0,2009/04/08 21:00,5288.0,3627.0,5-0,3-0,亚挑杯,AFC CC,134_中国台北,Chinese Taipei,190_文莱,Brunei Darussalam,0.0,0.0,,,,,胜
274541.0,251.0,2009/04/06 22:30,824.0,5288.0,2-1,0-0,亚挑杯,AFC CC,200_斯里兰卡,Sri Lanka,134_中国台北,Chinese Taipei,0.0,0.0,,,,,负
274539.0,251.0,2009/04/04 22:30,3353.0,5288.0,1-1,0-0,亚挑杯,AFC CC,201_巴基斯坦,Pakistan,134_中国台北,Chinese Taipei,0.0,0.0,,,,,平
205300.0,41.0,2008/05/27 20:15,893.0,5288.0,2-2,1-1,球会友谊,INT CF,102_印度,India,134_中国台北,Chinese Taipei,0.0,0.0,,,,,平
205087.0,41.0,2008/05/24 19:00,893.0,5288.0,3-0,0-0,球会友谊,INT CF,102_印度,India,134_中国台北,Chinese Taipei,0.0,0.0,,,,,负
199815.0,251.0,2008/04/06 18:30,824.0,5288.0,2-2,0-0,亚挑杯,AFC CC,200_斯里兰卡,Sri Lanka,134_中国台北,Chinese Taipei,0.0,1.0,,,,,平
199813.0,251.0,2008/04/04 18:30,5288.0,5769.0,4-1,4-1,亚挑杯,AFC CC,134_中国台北,Chinese Taipei,192_关岛,Guam Island,0.0,0.0,,,,,胜
199776.0,251.0,2008/04/02 18:30,5288.0,3353.0,1-2,1-2,亚挑杯,AFC CC,134_中国台北,Chinese Taipei,201_巴基斯坦,Pakistan,0.0,0.0,,,,,负
167902.0,648.0,2007/10/28 18:00,5288.0,875.0,0-2,0-0,亚洲预选,FIFA WCQL,134_中国台北,Chinese Taipei,77_乌兹别克,Uzbekistan,0.0,0.0,,,,小,负
166122.0,648.0,2007/10/13 19:00,875.0,5288.0,9-0,5-0,亚洲预选,FIFA WCQL,77_乌兹别克,Uzbekistan,134_中国台北,Chinese Taipei,0.0,0.0,,,,,负
138292.0,53.0,2007/06/24 15:00,3325.0,5288.0,2-7,0-2,东亚杯,EASTC,186_中国澳门,Macau of China,134_中国台北,Chinese Taipei,0.0,0.0,,,,大,胜
135615.0,53.0,2007/06/19 15:00,5288.0,888.0,1-1,0-0,东亚杯,EASTC,134_中国台北,Chinese Taipei,144_中国香港,Hong Kong,0.0,1.0,,,,小,平
