赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502195.0,1864.0,2018/11/20 01:00,901.0,763.0,,,欧国联,UEFA  NL,104_格鲁吉亚,Georgia,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,,,,
1502193.0,1864.0,2018/11/15 23:00,763.0,631.0,,,欧国联,UEFA  NL,135_哈萨克斯坦,Kazakhstan,131_拉脱维亚,Latvia,0.0,0.0,,,,,
1502191.0,1864.0,2018/10/16 22:00,763.0,894.0,,,欧国联,UEFA  NL,135_哈萨克斯坦,Kazakhstan,136_安道尔,Andorra,0.0,0.0,,,,,
1502189.0,1864.0,2018/10/13 23:59,631.0,763.0,,,欧国联,UEFA  NL,131_拉脱维亚,Latvia,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,,,,
1502188.0,1864.0,2018/09/11 02:45,894.0,763.0,,,欧国联,UEFA  NL,136_安道尔,Andorra,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,,,,
1502185.0,1864.0,2018/09/06 22:00,763.0,901.0,,,欧国联,UEFA  NL,135_哈萨克斯坦,Kazakhstan,104_格鲁吉亚,Georgia,0.0,0.0,,,,,
1547565.0,1366.0,2018/06/05 22:00,763.0,758.0,3-0,2-0,国际友谊,INT FRL,135_哈萨克斯坦,Kazakhstan,118_阿塞拜疆,Azerbaijan,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1521481.0,1366.0,2018/03/26 23:59,769.0,763.0,2-1,1-0,国际友谊,INT FRL,42_保加利亚,Bulgaria,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,半球/一球|0.5/1,输,大,负
1519560.0,1366.0,2018/03/24 02:00,745.0,763.0,2-3,1-3,国际友谊,INT FRL,54_匈牙利,Hungary,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1198527.0,650.0,2017/10/08 23:59,763.0,748.0,1-1,0-1,欧洲预选,WCPEU,135_哈萨克斯坦,Kazakhstan,90_阿美尼亚,Armenia,0.0,0.0,,平手|0,走,小,平
1198526.0,650.0,2017/10/06 02:45,635.0,763.0,3-1,2-0,欧洲预选,WCPEU,40_罗马尼亚,Romania,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,球半|1.5,输,大,负
1198522.0,650.0,2017/09/05 02:45,637.0,763.0,3-0,1-0,欧洲预选,WCPEU,7_波兰,Poland,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,两球/两球半|2/2.5,输,小,负
1198518.0,650.0,2017/09/01 23:59,763.0,5282.0,0-3,0-1,欧洲预选,WCPEU,135_哈萨克斯坦,Kazakhstan,46_黑山,Montenegro,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
