赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502196.0,1864.0,2018/11/20 01:00,894.0,631.0,,,欧国联,UEFA  NL,136_安道尔,Andorra,131_拉脱维亚,Latvia,0.0,0.0,,,,,
1502194.0,1864.0,2018/11/17 03:45,894.0,901.0,,,欧国联,UEFA  NL,136_安道尔,Andorra,104_格鲁吉亚,Georgia,0.0,0.0,,,,,
1502191.0,1864.0,2018/10/16 22:00,763.0,894.0,,,欧国联,UEFA  NL,135_哈萨克斯坦,Kazakhstan,136_安道尔,Andorra,0.0,0.0,,,,,
1502190.0,1864.0,2018/10/13 23:59,901.0,894.0,,,欧国联,UEFA  NL,104_格鲁吉亚,Georgia,136_安道尔,Andorra,0.0,0.0,,,,,
1502188.0,1864.0,2018/09/11 02:45,894.0,763.0,,,欧国联,UEFA  NL,136_安道尔,Andorra,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,,,,
1502186.0,1864.0,2018/09/07 02:45,631.0,894.0,,,欧国联,UEFA  NL,131_拉脱维亚,Latvia,136_安道尔,Andorra,0.0,0.0,,,,,
1547463.0,1366.0,2018/06/03 23:00,894.0,790.0,0-0,0-0,国际友谊,INT FRL,136_安道尔,Andorra,63_佛得角,Cape Verde,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,平
1521954.0,1366.0,2018/03/22 01:00,894.0,764.0,1-0,1-0,国际友谊,INT FRL,136_安道尔,Andorra,182_列支敦士登,Liechtenstein,0.0,0.0,,受让半球|-0.5,赢,小,胜
1198438.0,650.0,2017/10/11 02:45,631.0,894.0,4-0,2-0,欧洲预选,WCPEU,131_拉脱维亚,Latvia,136_安道尔,Andorra,0.0,0.0,,球半/两球|1.5/2,输,大,负
1198436.0,650.0,2017/10/08 02:45,894.0,765.0,0-2,0-0,欧洲预选,WCPEU,136_安道尔,Andorra,3_葡萄牙,Portugal,0.0,0.0,,受让三球半/四球|-3.5/-4,赢,小,负
1198431.0,650.0,2017/09/03 23:59,754.0,894.0,1-0,1-0,欧洲预选,WCPEU,97_法罗群岛,Faroe Islands,136_安道尔,Andorra,0.0,0.0,,一球|1,走,小,负
1198429.0,650.0,2017/09/01 02:45,648.0,894.0,3-0,1-0,欧洲预选,WCPEU,8_瑞士,Switzerland,136_安道尔,Andorra,0.0,0.0,,四球/四球半|4/4.5,赢,小,负
1198425.0,650.0,2017/06/10 02:45,894.0,745.0,1-0,1-0,欧洲预选,WCPEU,136_安道尔,Andorra,54_匈牙利,Hungary,0.0,0.0,,受让两球/两球半|-2/-2.5,赢,小,胜
1198423.0,650.0,2017/03/26 01:00,894.0,754.0,0-0,0-0,欧洲预选,WCPEU,136_安道尔,Andorra,97_法罗群岛,Faroe Islands,0.0,1.0,,受让一球|-1,赢,小,平
1360849.0,1366.0,2017/02/23 01:30,907.0,894.0,0-2,0-1,国际友谊,INT FRL,204_圣马力诺,San Marino,136_安道尔,Andorra,0.0,0.0,,受让半球|-0.5,赢,小,胜
1198419.0,650.0,2016/11/14 01:00,745.0,894.0,4-0,2-0,欧洲预选,WCPEU,54_匈牙利,Hungary,136_安道尔,Andorra,0.0,0.0,,三球|3,输,大,负
1198418.0,650.0,2016/10/11 02:45,894.0,648.0,1-2,0-1,欧洲预选,WCPEU,136_安道尔,Andorra,8_瑞士,Switzerland,0.0,0.0,,受让三球/三球半|-3/-3.5,赢,小,负
1198413.0,650.0,2016/10/08 02:45,765.0,894.0,6-0,3-0,欧洲预选,WCPEU,3_葡萄牙,Portugal,136_安道尔,Andorra,0.0,2.0,,四球/四球半|4/4.5,输,大,负
1198411.0,650.0,2016/09/07 02:45,894.0,631.0,0-1,0-0,欧洲预选,WCPEU,136_安道尔,Andorra,131_拉脱维亚,Latvia,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,负
1244099.0,1366.0,2016/06/01 23:59,636.0,894.0,2-0,1-0,国际友谊,INT FRL,88_爱沙尼亚,Estonia,136_安道尔,Andorra,0.0,1.0,,球半/两球|1.5/2,输,小,负
1243435.0,1366.0,2016/05/26 23:59,758.0,894.0,0-0,0-0,国际友谊,INT FRL,118_阿塞拜疆,Azerbaijan,136_安道尔,Andorra,0.0,0.0,,一球/球半|1/1.5,赢,小,平
1229344.0,1366.0,2016/03/28 23:00,894.0,751.0,0-1,0-1,国际友谊,INT FRL,136_安道尔,Andorra,166_摩尔多瓦,Moldova,0.0,0.0,,受让球半|-1.5,赢,小,负
1197324.0,1366.0,2015/11/13 02:00,894.0,821.0,0-1,0-1,国际友谊,INT FRL,136_安道尔,Andorra,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,负
974936.0,67.0,2015/10/14 02:45,7384.0,894.0,2-0,0-0,欧洲杯,EURO  Cup,19_威尔士,Wales,136_安道尔,Andorra,0.0,0.0,,三球|3,赢,小,负
974938.0,67.0,2015/10/11 02:45,894.0,645.0,1-4,0-2,欧洲杯,EURO  Cup,136_安道尔,Andorra,5_比利时,Belgium,0.0,0.0,,受让三球半|-3.5,赢,大,负
974941.0,67.0,2015/09/07 02:45,782.0,894.0,3-0,3-0,欧洲杯,EURO  Cup,38_波黑,Bosnia-Herzegovina,136_安道尔,Andorra,1.0,1.0,,四球|4,赢,小,负
974944.0,67.0,2015/09/04 02:45,760.0,894.0,4-0,4-0,欧洲杯,EURO  Cup,99_以色列,Israel,136_安道尔,Andorra,0.0,0.0,,两球半/三球|2.5/3,输,大,负
974946.0,67.0,2015/06/13 02:45,894.0,753.0,1-3,1-2,欧洲杯,EURO  Cup,136_安道尔,Andorra,92_塞浦路斯,Cyprus,0.0,0.0,,受让球半|-1.5,输,大,负
1129048.0,1366.0,2015/06/06 22:00,894.0,5286.0,0-1,0-1,国际友谊,INT FRL,136_安道尔,Andorra,141_赤道几内亚,Equatorial Guinea,0.0,0.0,,,,,负
974949.0,67.0,2015/03/29 03:45,894.0,782.0,0-3,0-1,欧洲杯,EURO  Cup,136_安道尔,Andorra,38_波黑,Bosnia-Herzegovina,0.0,0.0,,受让两球半|-2.5,输,小,负
974954.0,67.0,2014/11/17 01:00,753.0,894.0,5-0,3-0,欧洲杯,EURO  Cup,92_塞浦路斯,Cyprus,136_安道尔,Andorra,0.0,0.0,,两球|2,输,大,负
974956.0,67.0,2014/10/14 02:45,894.0,760.0,1-4,1-2,欧洲杯,EURO  Cup,136_安道尔,Andorra,99_以色列,Israel,0.0,0.0,,受让两球半|-2.5,输,大,负
974959.0,67.0,2014/10/11 02:45,645.0,894.0,6-0,3-0,欧洲杯,EURO  Cup,5_比利时,Belgium,136_安道尔,Andorra,0.0,0.0,,三球半/四球|3.5/4,输,大,负
974963.0,67.0,2014/09/10 02:45,894.0,7384.0,1-2,1-1,欧洲杯,EURO  Cup,136_安道尔,Andorra,19_威尔士,Wales,0.0,0.0,,受让两球|-2,赢,走,负
969256.0,1366.0,2014/03/26 22:00,894.0,890.0,0-1,0-0,国际友谊,INT FRL,136_安道尔,Andorra,160_印度尼西亚,Indonesia,0.0,0.0,,,,,负
962609.0,1366.0,2014/03/06 02:00,894.0,751.0,0-3,0-2,国际友谊,INT FRL,136_安道尔,Andorra,166_摩尔多瓦,Moldova,0.0,0.0,,,,,负
775669.0,650.0,2013/10/16 02:00,745.0,894.0,2-0,0-0,欧洲预选,WCPEU,54_匈牙利,Hungary,136_安道尔,Andorra,0.0,1.0,,三球半|3.5,赢,小,负
775664.0,650.0,2013/10/12 02:30,894.0,635.0,0-4,0-1,欧洲预选,WCPEU,136_安道尔,Andorra,40_罗马尼亚,Romania,0.0,0.0,,受让两球半|-2.5,输,大,负
775662.0,650.0,2013/09/11 02:30,894.0,646.0,0-2,0-0,欧洲预选,WCPEU,136_安道尔,Andorra,21_荷兰,Netherlands,0.0,0.0,,受让三球半|-3.5,赢,小,负
775658.0,650.0,2013/09/07 02:00,762.0,894.0,5-0,2-0,欧洲预选,WCPEU,41_土耳其,Turkey,136_安道尔,Andorra,0.0,0.0,,三球半|3.5,输,大,负
904030.0,41.0,2013/08/15 01:00,751.0,894.0,1-1,1-1,球会友谊,INT CF,166_摩尔多瓦,Moldova,136_安道尔,Andorra,0.0,0.0,,球半/两球|1.5/2,赢,小,平
663939.0,650.0,2013/03/27 01:00,636.0,894.0,2-0,1-0,欧洲预选,WCPEU,88_爱沙尼亚,Estonia,136_安道尔,Andorra,0.0,0.0,,,,小,负
775654.0,650.0,2013/03/23 02:15,894.0,762.0,0-2,0-2,欧洲预选,WCPEU,136_安道尔,Andorra,41_土耳其,Turkey,0.0,0.0,,,,小,负
798713.0,41.0,2012/11/15 02:00,894.0,756.0,0-2,0-1,球会友谊,INT CF,136_安道尔,Andorra,20_冰岛,Iceland,0.0,0.0,,,,,负
775653.0,650.0,2012/10/17 01:00,894.0,636.0,0-1,0-0,欧洲预选,WCPEU,136_安道尔,Andorra,88_爱沙尼亚,Estonia,0.0,0.0,,,,小,负
775649.0,650.0,2012/10/13 02:30,646.0,894.0,3-0,2-0,欧洲预选,WCPEU,21_荷兰,Netherlands,136_安道尔,Andorra,0.0,0.0,,,,小,负
775645.0,650.0,2012/09/12 01:30,635.0,894.0,4-0,2-0,欧洲预选,WCPEU,40_罗马尼亚,Romania,136_安道尔,Andorra,0.0,0.0,,,,小,负
693369.0,650.0,2012/09/08 02:30,894.0,745.0,0-5,0-2,欧洲预选,WCPEU,136_安道尔,Andorra,54_匈牙利,Hungary,1.0,0.0,,,,大,负
764190.0,41.0,2012/08/14 23:00,764.0,894.0,1-0,1-0,球会友谊,INT CF,182_列支敦士登,Liechtenstein,136_安道尔,Andorra,0.0,0.0,,,,小,负
