赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393588.0,93.0,2018/11/13 23:00,5290.0,4637.0,,,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,137_埃塞俄比亚,Ethiopia,0.0,0.0,,,,,
1393586.0,93.0,2018/10/16 23:00,4637.0,810.0,,,非洲杯,CAF NC,137_埃塞俄比亚,Ethiopia,50_加纳,Ghana,0.0,0.0,,,,,
1393585.0,93.0,2018/09/11 23:00,921.0,4637.0,,,非洲杯,CAF NC,105_肯尼亚,Kenya,137_埃塞俄比亚,Ethiopia,0.0,0.0,,,,,
1393580.0,93.0,2018/09/07 23:00,4637.0,5290.0,,,非洲杯,CAF NC,137_埃塞俄比亚,Ethiopia,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,
1393583.0,93.0,2018/09/03 23:00,4637.0,921.0,,,非洲杯,CAF NC,137_埃塞俄比亚,Ethiopia,105_肯尼亚,Kenya,0.0,0.0,,,,,
1483872.0,581.0,2017/12/10 20:00,4637.0,802.0,1-1,1-0,中东非杯,CECAFA Cup,137_埃塞俄比亚,Ethiopia,73_乌干达,Uganda,0.0,2.0,,受让半球/一球|-0.5/-1,赢,小,平
1482082.0,581.0,2017/12/07 20:00,5294.0,4637.0,4-1,1-1,中东非杯,CECAFA Cup,143_布隆迪,Burundi,137_埃塞俄比亚,Ethiopia,0.0,0.0,,平手|0,输,大,负
1482091.0,581.0,2017/12/05 20:00,20868.0,4637.0,0-3,0-1,中东非杯,CECAFA Cup,153_南苏丹,South Sudan,137_埃塞俄比亚,Ethiopia,0.0,0.0,,受让半球|-0.5,赢,大,胜
1476855.0,1052.0,2017/11/12 21:30,922.0,4637.0,0-0,0-0,非国锦标,CAF SC,116_卢旺达,Rwanda,137_埃塞俄比亚,Ethiopia,0.0,0.0,,,,,平
1477146.0,1052.0,2017/11/05 21:30,4637.0,922.0,2-3,1-0,非国锦标,CAF SC,137_埃塞俄比亚,Ethiopia,116_卢旺达,Rwanda,0.0,0.0,,,,,负
1468026.0,41.0,2017/10/01 23:00,920.0,4637.0,2-0,0-0,球会友谊,INT CF,149_博茨瓦纳,Botswana,137_埃塞俄比亚,Ethiopia,0.0,0.0,,,,,负
1443877.0,1052.0,2017/08/19 21:00,792.0,4637.0,1-0,0-0,非国锦标,CAF SC,124_苏丹,Sudan,137_埃塞俄比亚,Ethiopia,0.0,0.0,,,,,负
1443876.0,1052.0,2017/08/13 21:00,4637.0,792.0,1-1,0-0,非国锦标,CAF SC,137_埃塞俄比亚,Ethiopia,124_苏丹,Sudan,0.0,0.0,,半球|0.5,输,小,平
1436200.0,41.0,2017/08/05 21:00,807.0,4637.0,0-0,0-0,球会友谊,INT CF,72_赞比亚,Zambia,137_埃塞俄比亚,Ethiopia,0.0,0.0,,,,,平
1421495.0,1052.0,2017/07/23 23:59,4637.0,6975.0,3-0,0-0,非国锦标,CAF SC,137_埃塞俄比亚,Ethiopia,187_吉布提,Djibouti,0.0,0.0,,,,,胜
1414972.0,1052.0,2017/07/15 20:00,6975.0,4637.0,1-5,0-1,非国锦标,CAF SC,187_吉布提,Djibouti,137_埃塞俄比亚,Ethiopia,0.0,0.0,,,,,胜
1392564.0,93.0,2017/06/11 23:30,810.0,4637.0,5-0,3-0,非洲杯,CAF NC,50_加纳,Ghana,137_埃塞俄比亚,Ethiopia,0.0,0.0,,两球|2,输,大,负
1389648.0,1366.0,2017/06/03 21:20,4637.0,802.0,0-0,0-0,国际友谊,INT FRL,137_埃塞俄比亚,Ethiopia,73_乌干达,Uganda,0.0,0.0,,平手|0,走,小,平
1129695.0,93.0,2016/09/03 21:10,4637.0,5289.0,2-1,1-1,非洲杯,CAF NC,137_埃塞俄比亚,Ethiopia,192_塞舌尔,Seychelles,0.0,0.0,,球半|1.5,输,大,胜
1129692.0,93.0,2016/06/05 21:00,5296.0,4637.0,1-2,0-1,非洲杯,CAF NC,145_莱索托,Lesotho,137_埃塞俄比亚,Ethiopia,0.0,0.0,,,,,胜
1129690.0,93.0,2016/03/29 22:00,4637.0,18406.0,3-3,1-1,非洲杯,CAF NC,137_埃塞俄比亚,Ethiopia,57_阿尔及利亚,Algeria,0.0,0.0,,受让一球/球半|-1/-1.5,赢,大,平
1129688.0,93.0,2016/03/26 03:30,18406.0,4637.0,7-1,2-0,非洲杯,CAF NC,57_阿尔及利亚,Algeria,137_埃塞俄比亚,Ethiopia,0.0,0.0,,两球|2,输,大,负
1205274.0,1052.0,2016/01/25 22:00,4637.0,804.0,1-2,0-0,非国锦标,CAF SC,137_埃塞俄比亚,Ethiopia,142_安哥拉,Angola,0.0,0.0,,平手|0,输,大,负
1205276.0,1052.0,2016/01/21 23:59,793.0,4637.0,0-0,0-0,非国锦标,CAF SC,45_喀麦隆,Cameroon,137_埃塞俄比亚,Ethiopia,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1205279.0,1052.0,2016/01/17 21:00,811.0,4637.0,3-0,1-0,非国锦标,CAF SC,43_刚果民主共和国,Democratic Rep Congo,137_埃塞俄比亚,Ethiopia,0.0,0.0,,半球|0.5,输,大,负
1204892.0,41.0,2016/01/09 21:00,4637.0,5302.0,1-1,0-1,球会友谊,INT CF,137_埃塞俄比亚,Ethiopia,106_尼日尔,Niger,0.0,0.0,,,,,平
1201043.0,581.0,2015/12/05 17:45,4637.0,792.0,1-1,0-0,中东非杯,CECAFA Cup,137_埃塞俄比亚,Ethiopia,124_苏丹,Sudan,0.0,0.0,"90,1-1;;;5-4;1",,,,平
1200951.0,581.0,2015/12/03 20:45,4637.0,802.0,0-0,0-0,中东非杯,CECAFA Cup,137_埃塞俄比亚,Ethiopia,73_乌干达,Uganda,0.0,0.0,"90,0-0;;1,0-0;3-5;2",受让平手/半球|-0/-0.5,赢,小,平
1200453.0,581.0,2015/11/30 20:30,4637.0,4937.0,1-1,0-1,中东非杯,CECAFA Cup,137_埃塞俄比亚,Ethiopia,146_坦桑尼亚,Tanzania,0.0,0.0,"90,1-1;;;4-3;1",平手/半球|0/0.5,输,小,平
1198899.0,581.0,2015/11/28 20:30,4637.0,4937.0,1-1,0-0,中东非杯,CECAFA Cup,137_埃塞俄比亚,Ethiopia,146_坦桑尼亚,Tanzania,0.0,0.0,,,,,平
1198897.0,581.0,2015/11/25 20:35,4637.0,6976.0,2-0,1-0,中东非杯,CECAFA Cup,137_埃塞俄比亚,Ethiopia,206_索马里,Somalia,0.0,0.0,,两球/两球半|2/2.5,输,小,胜
