赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542731.0,95.0,2019/01/16 20:00,877.0,883.0,,,亚洲杯,AFC,138_也门,Yemen,112_越南,Vietnam,0.0,0.0,,,,,
1542729.0,95.0,2019/01/12 20:00,874.0,877.0,,,亚洲杯,AFC,82_伊拉克,Iraq,138_也门,Yemen,0.0,0.0,,,,,
1542726.0,95.0,2019/01/07 22:00,877.0,783.0,,,亚洲杯,AFC,138_也门,Yemen,34_伊朗,Iran,0.0,0.0,,,,,
1371570.0,95.0,2018/03/27 23:15,877.0,6650.0,2-1,1-1,亚洲杯,AFC,138_也门,Yemen,165_尼泊尔,Nepal,0.0,0.0,,两球|2,输,小,胜
1485917.0,161.0,2017/12/29 23:30,874.0,877.0,3-0,0-0,海湾运,GC,82_伊拉克,Iraq,138_也门,Yemen,0.0,0.0,,一球/球半|1/1.5,输,大,负
1485914.0,161.0,2017/12/26 22:30,877.0,900.0,0-1,0-1,海湾运,GC,138_也门,Yemen,122_巴林,Bahrain,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,负
1485912.0,161.0,2017/12/23 22:30,904.0,877.0,4-0,3-0,海湾运,GC,103_卡塔尔,Qatar,138_也门,Yemen,0.0,0.0,,一球|1,输,大,负
1485221.0,1366.0,2017/12/15 20:30,902.0,877.0,1-0,0-0,国际友谊,INT FRL,101_阿曼,Oman,138_也门,Yemen,0.0,0.0,,一球/球半|1/1.5,赢,小,负
1371568.0,95.0,2017/11/14 19:00,884.0,877.0,0-0,0-0,亚洲杯,AFC,126_塔吉克斯坦,Tajikistan,138_也门,Yemen,0.0,0.0,,半球|0.5,赢,小,平
1371566.0,95.0,2017/10/10 23:00,877.0,1562.0,1-1,0-0,亚洲杯,AFC,138_也门,Yemen,123_菲律宾,Philippines,0.0,0.0,,平手/半球|0/0.5,输,小,平
1371564.0,95.0,2017/09/05 19:30,1562.0,877.0,2-2,1-1,亚洲杯,AFC,123_菲律宾,Philippines,138_也门,Yemen,0.0,0.0,,一球|1,赢,大,平
1371561.0,95.0,2017/06/13 17:15,6650.0,877.0,0-0,0-0,亚洲杯,AFC,165_尼泊尔,Nepal,138_也门,Yemen,0.0,0.0,,受让球半|-1.5,输,小,平
1387866.0,1366.0,2017/05/13 23:00,735.0,877.0,1-0,1-0,国际友谊,INT FRL,30_埃及,Egypt,138_也门,Yemen,1.0,0.0,,,,,负
1371560.0,95.0,2017/03/28 23:59,877.0,884.0,2-1,1-1,亚洲杯,AFC,138_也门,Yemen,126_塔吉克斯坦,Tajikistan,0.0,0.0,,受让半球|-0.5,赢,大,胜
1371327.0,1366.0,2017/03/22 23:00,877.0,879.0,0-1,0-0,国际友谊,INT FRL,138_也门,Yemen,75_巴勒斯坦,Palestine,0.0,0.0,,受让半球|-0.5,输,小,负
1243722.0,95.0,2016/06/08 03:00,877.0,882.0,2-0,1-0,亚洲杯,AFC,138_也门,Yemen,150_马尔代夫,Maldives,0.0,0.0,,球半/两球|1.5/2,赢,小,胜
1243717.0,95.0,2016/06/02 23:59,882.0,877.0,0-2,0-1,亚洲杯,AFC,150_马尔代夫,Maldives,138_也门,Yemen,0.0,0.0,,受让半球|-0.5,赢,小,胜
1124752.0,648.0,2016/03/24 23:30,900.0,877.0,3-0,1-0,亚洲预选,FIFA WCQL,122_巴林,Bahrain,138_也门,Yemen,0.0,0.0,,球半|1.5,输,大,负
1124755.0,648.0,2015/11/17 23:30,877.0,875.0,1-3,0-2,亚洲预选,FIFA WCQL,138_也门,Yemen,77_乌兹别克,Uzbekistan,0.0,0.0,,受让球半/两球|-1.5/-2,输,大,负
1124758.0,648.0,2015/11/12 20:00,1562.0,877.0,0-1,0-0,亚洲预选,FIFA WCQL,123_菲律宾,Philippines,138_也门,Yemen,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1124760.0,648.0,2015/10/13 15:30,876.0,877.0,1-0,1-0,亚洲预选,FIFA WCQL,119_朝鲜,Korea DPR,138_也门,Yemen,0.0,0.0,,两球|2,赢,小,负
1124769.0,648.0,2015/09/08 23:59,877.0,900.0,0-4,0-2,亚洲预选,FIFA WCQL,138_也门,Yemen,122_巴林,Bahrain,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1124774.0,648.0,2015/09/03 22:00,875.0,877.0,1-0,0-0,亚洲预选,FIFA WCQL,77_乌兹别克,Uzbekistan,138_也门,Yemen,0.0,1.0,,两球|2,赢,小,负
1180913.0,1366.0,2015/08/28 23:00,902.0,877.0,1-0,1-0,国际友谊,INT FRL,101_阿曼,Oman,138_也门,Yemen,0.0,0.0,,一球/球半|1/1.5,赢,小,负
1124779.0,648.0,2015/06/16 23:59,877.0,1562.0,0-2,0-0,亚洲预选,FIFA WCQL,138_也门,Yemen,123_菲律宾,Philippines,0.0,0.0,,平手/半球|0/0.5,输,小,负
1124783.0,648.0,2015/06/11 23:59,877.0,876.0,0-1,0-0,亚洲预选,FIFA WCQL,138_也门,Yemen,119_朝鲜,Korea DPR,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1107458.0,648.0,2015/03/23 23:30,3353.0,877.0,0-0,0-0,亚洲预选,FIFA WCQL,201_巴基斯坦,Pakistan,138_也门,Yemen,0.0,0.0,,受让一球|-1,输,小,平
1106071.0,648.0,2015/03/12 23:30,877.0,3353.0,3-1,1-0,亚洲预选,FIFA WCQL,138_也门,Yemen,201_巴基斯坦,Pakistan,0.0,0.0,,一球|1,赢,大,胜
1082591.0,1366.0,2015/01/22 22:15,736.0,877.0,0-0,0-0,国际友谊,INT FRL,68_芬兰,Finland,138_也门,Yemen,0.0,0.0,,球半|1.5,赢,小,平
