赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1536291.0,1366.0,2018/04/29 07:00,8028.0,799.0,0-2,0-1,国际友谊,INT FRL,139_安提瓜和巴布达,Antigua   Barbuda,55_牙买加,Jamaica,1.0,0.0,,,,,负
1527771.0,1366.0,2018/04/02 04:00,8028.0,7293.0,0-0,0-0,国际友谊,INT FRL,139_安提瓜和巴布达,Antigua   Barbuda,168_多米尼克,Dominica,0.0,0.0,,,,,平
1521480.0,1366.0,2018/03/26 06:15,799.0,8028.0,1-1,0-0,国际友谊,INT FRL,55_牙买加,Jamaica,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,平
1518976.0,1366.0,2018/03/22 07:00,8028.0,5293.0,3-2,1-1,国际友谊,INT FRL,139_安提瓜和巴布达,Antigua   Barbuda,184_百慕大群岛,Bermuda,0.0,0.0,,,,,胜
1331456.0,1366.0,2016/11/23 07:00,8028.0,636.0,0-1,0-1,国际友谊,INT FRL,139_安提瓜和巴布达,Antigua   Barbuda,88_爱沙尼亚,Estonia,0.0,0.0,,,,,负
1320734.0,188.0,2016/10/09 07:15,8028.0,7492.0,2-0,1-0,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,166_波多黎各,Puerto Rico,0.0,0.0,,,,,胜
1320733.0,188.0,2016/10/06 08:00,17976.0,8028.0,3-0,1-0,美加杯,CGC CZ,84_库拉索,Curacao,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,负
1244338.0,188.0,2016/06/08 07:30,8028.0,7296.0,5-1,0-0,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,159_格瑞那达,Grenada,0.0,0.0,,,,,胜
1244142.0,188.0,2016/06/05 07:30,7492.0,8028.0,1-1,1-1,美加杯,CGC CZ,166_波多黎各,Puerto Rico,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,"90,1-1;;1,2-1;;1",,,,平
1229849.0,188.0,2016/03/30 08:00,821.0,8028.0,1-0,0-0,美加杯,CGC CZ,110_圣基茨和尼维斯,St. Kitts and Nevis,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,负
1229847.0,188.0,2016/03/24 07:30,8028.0,7300.0,2-1,2-1,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,180_阿鲁巴,Aruba,0.0,0.0,,,,,胜
1196270.0,41.0,2015/11/05 05:30,1494.0,8028.0,2-1,0-1,球会友谊,INT CF,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,负
1183610.0,653.0,2015/09/09 10:05,801.0,8028.0,2-0,0-0,北美预选,WCPCA,128_危地马拉,Guatemala,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,球半|1.5,输,小,负
1183617.0,653.0,2015/09/05 08:05,8028.0,801.0,1-0,0-0,北美预选,WCPCA,139_安提瓜和巴布达,Antigua   Barbuda,128_危地马拉,Guatemala,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1129426.0,653.0,2015/06/15 07:00,20478.0,8028.0,1-4,0-0,北美预选,WCPCA,220_弱鸡,Santa Lucia,139_安提瓜和巴布达,Antigua   Barbuda,2.0,0.0,,受让一球/球半|-1/-1.5,赢,大,胜
1129415.0,653.0,2015/06/11 07:05,8028.0,20478.0,1-3,1-1,北美预选,WCPCA,139_安提瓜和巴布达,Antigua   Barbuda,220_弱鸡,Santa Lucia,0.0,0.0,,半球/一球|0.5/1,输,大,负
1109751.0,1366.0,2015/03/23 06:00,8028.0,7302.0,1-0,1-0,国际友谊,INT FRL,139_安提瓜和巴布达,Antigua   Barbuda,205_英属维津群岛,British Virgin Islands,0.0,0.0,,,,,胜
1108277.0,1366.0,2015/03/16 06:00,8028.0,7293.0,1-0,1-0,国际友谊,INT FRL,139_安提瓜和巴布达,Antigua   Barbuda,168_多米尼克,Dominica,0.0,0.0,,,,,胜
1069081.0,188.0,2014/11/17 06:30,8028.0,16239.0,0-2,0-0,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,220_弱鸡,Martinique,0.0,1.0,,,,,负
1069079.0,188.0,2014/11/15 09:00,799.0,8028.0,3-0,2-0,美加杯,CGC CZ,55_牙买加,Jamaica,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,负
1069077.0,188.0,2014/11/13 06:30,909.0,8028.0,2-2,2-0,美加杯,CGC CZ,87_海地,Haiti,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,平
1064641.0,188.0,2014/10/13 06:20,912.0,8028.0,1-0,1-0,美加杯,CGC CZ,80_特立尼达和多巴哥,Trinidad   Tobago,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,负
1064638.0,188.0,2014/10/11 06:00,7538.0,8028.0,0-0,0-0,美加杯,CGC CZ,160_多米尼加共和国,Dominican Republic,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,平
1064636.0,188.0,2014/10/09 06:05,8028.0,8026.0,2-1,0-1,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,175_圣路西亚,St. Lucia,0.0,0.0,,,,,胜
1053723.0,188.0,2014/09/08 07:00,8028.0,1494.0,2-1,0-1,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,胜
1053720.0,188.0,2014/09/06 07:10,8028.0,7538.0,2-1,0-1,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,160_多米尼加共和国,Dominican Republic,0.0,1.0,,,,,胜
1053718.0,188.0,2014/09/04 07:00,8028.0,7297.0,6-0,3-0,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,206_安圭拉,Anguilla,0.0,0.0,,,,,胜
804521.0,188.0,2012/12/12 07:15,8028.0,909.0,0-1,0-1,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,87_海地,Haiti,0.0,0.0,,,,,负
804519.0,188.0,2012/12/10 07:00,8028.0,912.0,2-0,0-0,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,,,,胜
804517.0,188.0,2012/12/08 08:00,8028.0,7538.0,1-2,1-0,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,负
708286.0,653.0,2012/10/17 07:15,799.0,8028.0,4-1,2-0,北美预选,WCPCA,55_牙买加,Jamaica,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,大,负
708284.0,653.0,2012/10/13 07:00,8028.0,797.0,1-2,1-1,北美预选,WCPCA,139_安提瓜和巴布达,Antigua   Barbuda,25_美国,USA,0.0,0.0,,,,走,负
708281.0,653.0,2012/09/12 07:00,8028.0,801.0,0-1,0-1,北美预选,WCPCA,139_安提瓜和巴布达,Antigua   Barbuda,128_危地马拉,Guatemala,0.0,0.0,,,,小,负
708280.0,653.0,2012/09/08 10:00,801.0,8028.0,3-1,0-1,北美预选,WCPCA,128_危地马拉,Guatemala,139_安提瓜和巴布达,Antigua   Barbuda,0.0,1.0,,,,大,负
708277.0,653.0,2012/06/13 07:00,8028.0,799.0,0-0,0-0,北美预选,WCPCA,139_安提瓜和巴布达,Antigua   Barbuda,55_牙买加,Jamaica,0.0,0.0,,,,小,平
708275.0,653.0,2012/06/09 07:30,797.0,8028.0,3-1,2-0,北美预选,WCPCA,25_美国,USA,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,大,负
689920.0,41.0,2012/04/02 04:00,1494.0,8028.0,1-2,0-1,球会友谊,INT CF,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,胜
679628.0,41.0,2012/03/04 06:00,8028.0,821.0,0-1,0-0,球会友谊,INT CF,139_安提瓜和巴布达,Antigua   Barbuda,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,负
677042.0,41.0,2012/03/01 05:00,8028.0,912.0,0-4,0-1,球会友谊,INT CF,139_安提瓜和巴布达,Antigua   Barbuda,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,,,,负
646980.0,653.0,2011/11/16 04:00,909.0,8028.0,2-1,0-1,北美预选,WCPCA,87_海地,Haiti,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,负
647164.0,653.0,2011/11/12 07:00,8028.0,909.0,1-0,0-0,北美预选,WCPCA,139_安提瓜和巴布达,Antigua   Barbuda,87_海地,Haiti,0.0,0.0,,,,,胜
640901.0,653.0,2011/10/12 07:00,8028.0,7295.0,10-0,5-0,北美预选,WCPCA,139_安提瓜和巴布达,Antigua   Barbuda,198_美属维津群岛,US Virgin Islands,0.0,0.0,,,,,胜
