赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1545127.0,1366.0,2018/05/26 19:35,896.0,1563.0,1-0,1-0,国际友谊,INT FRL,70_中国,China,140_缅甸联邦,Myanmar,0.0,0.0,,两球半|2.5,赢,小,负
1371510.0,95.0,2018/03/27 19:30,1563.0,3325.0,1-0,0-0,亚洲杯,AFC,140_缅甸联邦,Myanmar,186_中国澳门,Macau of China,0.0,0.0,,两球半|2.5,输,小,胜
1371504.0,95.0,2018/03/22 14:00,885.0,1563.0,5-1,2-0,亚洲杯,AFC,116_吉尔吉斯斯坦,Kyrgyzstan,140_缅甸联邦,Myanmar,0.0,0.0,,半球/一球|0.5/1,输,大,负
1371508.0,95.0,2017/11/14 22:30,893.0,1563.0,2-2,1-2,亚洲杯,AFC,102_印度,India,140_缅甸联邦,Myanmar,0.0,0.0,,半球|0.5,赢,大,平
1476833.0,1366.0,2017/11/09 19:30,1565.0,1563.0,1-2,0-1,国际友谊,INT FRL,172_柬埔寨,Cambodia,140_缅甸联邦,Myanmar,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1371506.0,95.0,2017/10/10 20:30,1563.0,885.0,2-2,0-1,亚洲杯,AFC,140_缅甸联邦,Myanmar,116_吉尔吉斯斯坦,Kyrgyzstan,0.0,0.0,,平手/半球|0/0.5,输,大,平
1466901.0,1366.0,2017/10/05 20:00,1563.0,886.0,1-3,0-2,国际友谊,INT FRL,140_缅甸联邦,Myanmar,129_泰国,Thailand,0.0,0.0,,,,,负
1449132.0,1366.0,2017/08/29 17:30,1563.0,889.0,1-0,0-0,国际友谊,INT FRL,140_缅甸联邦,Myanmar,175_马来西亚,Malaysia,0.0,0.0,,,,,胜
1371501.0,95.0,2017/06/13 19:30,3325.0,1563.0,0-4,0-2,亚洲杯,AFC,186_中国澳门,Macau of China,140_缅甸联邦,Myanmar,0.0,0.0,,受让一球/球半|-1/-1.5,赢,大,胜
1391058.0,1366.0,2017/06/06 21:00,892.0,1563.0,1-1,0-0,国际友谊,INT FRL,173_新加坡,Singapore,140_缅甸联邦,Myanmar,0.0,0.0,,,,,平
1371500.0,95.0,2017/03/28 19:30,1563.0,893.0,0-1,0-0,亚洲杯,AFC,140_缅甸联邦,Myanmar,102_印度,India,0.0,0.0,,平手/半球|0/0.5,输,小,负
1371458.0,1366.0,2017/03/21 17:00,890.0,1563.0,1-3,1-1,国际友谊,INT FRL,160_印度尼西亚,Indonesia,140_缅甸联邦,Myanmar,0.0,0.0,,一球|1,赢,大,胜
