赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393538.0,93.0,2018/11/13 23:00,792.0,5286.0,,,非洲杯,CAF NC,124_苏丹,Sudan,141_赤道几内亚,Equatorial Guinea,0.0,0.0,,,,,
1393536.0,93.0,2018/10/16 23:00,5286.0,815.0,,,非洲杯,CAF NC,141_赤道几内亚,Equatorial Guinea,24_塞内加尔,Senegal,0.0,0.0,,,,,
1393535.0,93.0,2018/09/11 23:00,5295.0,5286.0,,,非洲杯,CAF NC,109_马达加斯加,Madagascar,141_赤道几内亚,Equatorial Guinea,0.0,0.0,,,,,
1393530.0,93.0,2018/09/07 23:00,5286.0,792.0,,,非洲杯,CAF NC,141_赤道几内亚,Equatorial Guinea,124_苏丹,Sudan,0.0,0.0,,,,,
1393533.0,93.0,2018/09/03 23:00,5286.0,5295.0,,,非洲杯,CAF NC,141_赤道几内亚,Equatorial Guinea,109_马达加斯加,Madagascar,0.0,0.0,,,,,
1546687.0,1366.0,2018/05/28 20:00,921.0,5286.0,1-0,0-0,国际友谊,INT FRL,105_肯尼亚,Kenya,141_赤道几内亚,Equatorial Guinea,0.0,0.0,,半球|0.5,输,小,负
1490672.0,1052.0,2018/01/24 03:00,5286.0,789.0,1-3,1-0,非国锦标,CAF SC,141_赤道几内亚,Equatorial Guinea,51_尼日利亚,Nigeria,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,负
1490670.0,1052.0,2018/01/20 03:30,922.0,5286.0,1-0,0-0,非国锦标,CAF SC,116_卢旺达,Rwanda,141_赤道几内亚,Equatorial Guinea,0.0,0.0,,半球|0.5,输,小,负
1490667.0,1052.0,2018/01/16 00:30,734.0,5286.0,3-0,2-0,非国锦标,CAF SC,89_利比亚,Libya,141_赤道几内亚,Equatorial Guinea,0.0,0.0,,半球|0.5,输,大,负
1457117.0,41.0,2017/09/03 23:00,5286.0,808.0,1-2,0-1,球会友谊,INT CF,141_赤道几内亚,Equatorial Guinea,81_贝宁,Benin,0.0,0.0,,,,,负
1380961.0,1052.0,2017/08/19 23:59,788.0,5286.0,0-3,0-0,非国锦标,CAF SC,93_加蓬,Gabon,141_赤道几内亚,Equatorial Guinea,0.0,0.0,,,,,胜
1380956.0,1052.0,2017/08/12 23:59,5286.0,788.0,3-0,0-0,非国锦标,CAF SC,141_赤道几内亚,Equatorial Guinea,93_加蓬,Gabon,0.0,0.0,,,,,胜
1392574.0,93.0,2017/06/11 05:00,815.0,5286.0,3-0,1-0,非洲杯,CAF NC,24_塞内加尔,Senegal,141_赤道几内亚,Equatorial Guinea,0.0,0.0,,球半|1.5,输,大,负
1320295.0,1366.0,2016/10/11 22:30,897.0,5286.0,1-1,0-0,国际友谊,INT FRL,84_黎巴嫩,Lebanon,141_赤道几内亚,Equatorial Guinea,1.0,0.0,,平手|0,走,走,平
1129615.0,93.0,2016/09/04 23:59,5286.0,20868.0,4-0,0-0,非洲杯,CAF NC,141_赤道几内亚,Equatorial Guinea,153_南苏丹,South Sudan,0.0,0.0,,,,,胜
1129613.0,93.0,2016/06/12 23:00,808.0,5286.0,2-1,1-0,非洲杯,CAF NC,81_贝宁,Benin,141_赤道几内亚,Equatorial Guinea,0.0,1.0,,球半|1.5,赢,大,负
1129612.0,93.0,2016/03/28 23:59,5286.0,817.0,0-1,0-0,非洲杯,CAF NC,141_赤道几内亚,Equatorial Guinea,71_马里,Mali,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1129609.0,93.0,2016/03/26 03:00,817.0,5286.0,1-0,0-0,非洲杯,CAF NC,71_马里,Mali,141_赤道几内亚,Equatorial Guinea,0.0,0.0,,一球/球半|1/1.5,赢,小,负
1196518.0,651.0,2015/11/15 23:00,5286.0,813.0,1-0,1-0,非洲预选,WCPAF,141_赤道几内亚,Equatorial Guinea,39_摩洛哥,Morocco,0.0,0.0,,受让半球|-0.5,赢,小,胜
