赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393558.0,93.0,2018/11/13 23:00,5294.0,788.0,,,非洲杯,CAF NC,143_布隆迪,Burundi,93_加蓬,Gabon,0.0,0.0,,,,,
1393556.0,93.0,2018/10/16 23:00,20868.0,5294.0,,,非洲杯,CAF NC,153_南苏丹,South Sudan,143_布隆迪,Burundi,0.0,0.0,,,,,
1393554.0,93.0,2018/09/11 23:00,5294.0,817.0,,,非洲杯,CAF NC,143_布隆迪,Burundi,71_马里,Mali,0.0,0.0,,,,,
1393550.0,93.0,2018/09/07 23:00,788.0,5294.0,,,非洲杯,CAF NC,93_加蓬,Gabon,143_布隆迪,Burundi,0.0,0.0,,,,,
1393552.0,93.0,2018/09/03 23:00,817.0,5294.0,,,非洲杯,CAF NC,71_马里,Mali,143_布隆迪,Burundi,0.0,0.0,,,,,
1485481.0,581.0,2017/12/17 18:00,5294.0,802.0,1-2,1-0,中东非杯,CECAFA Cup,143_布隆迪,Burundi,73_乌干达,Uganda,0.0,0.0,,受让半球|-0.5,输,大,负
1484600.0,581.0,2017/12/14 20:05,921.0,5294.0,0-0,0-0,中东非杯,CECAFA Cup,105_肯尼亚,Kenya,143_布隆迪,Burundi,0.0,0.0,"90,0-0;;1,1-0;;1",半球/一球|0.5/1,赢,小,平
1483490.0,581.0,2017/12/11 20:00,20868.0,5294.0,0-0,0-0,中东非杯,CECAFA Cup,153_南苏丹,South Sudan,143_布隆迪,Burundi,0.0,0.0,,受让球半|-1.5,输,小,平
1482082.0,581.0,2017/12/07 20:00,5294.0,4637.0,4-1,1-1,中东非杯,CECAFA Cup,143_布隆迪,Burundi,137_埃塞俄比亚,Ethiopia,0.0,0.0,,平手|0,赢,大,胜
1482089.0,581.0,2017/12/04 20:00,802.0,5294.0,0-0,0-0,中东非杯,CECAFA Cup,73_乌干达,Uganda,143_布隆迪,Burundi,0.0,0.0,,一球|1,赢,小,平
1424039.0,1052.0,2017/07/30 01:00,792.0,5294.0,1-0,0-0,非国锦标,CAF SC,124_苏丹,Sudan,143_布隆迪,Burundi,0.0,0.0,,,,,负
1425197.0,1052.0,2017/07/23 21:00,5294.0,792.0,0-0,0-0,非国锦标,CAF SC,143_布隆迪,Burundi,124_苏丹,Sudan,0.0,0.0,,,,,平
1414971.0,1366.0,2017/07/15 21:00,5294.0,792.0,3-0,0-0,国际友谊,INT FRL,143_布隆迪,Burundi,124_苏丹,Sudan,0.0,0.0,,,,,胜
1392560.0,93.0,2017/06/10 21:00,5294.0,20868.0,3-0,3-0,非洲杯,CAF NC,143_布隆迪,Burundi,153_南苏丹,South Sudan,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1374028.0,1366.0,2017/03/28 21:00,4937.0,5294.0,2-1,1-0,国际友谊,INT FRL,146_坦桑尼亚,Tanzania,143_布隆迪,Burundi,0.0,0.0,,,,,负
1369462.0,1366.0,2017/03/13 21:00,5294.0,6975.0,1-0,1-0,国际友谊,INT FRL,143_布隆迪,Burundi,187_吉布提,Djibouti,0.0,0.0,,,,,胜
1129706.0,93.0,2016/09/05 01:30,5302.0,5294.0,0-0,0-0,非洲杯,CAF NC,106_尼日尔,Niger,143_布隆迪,Burundi,0.0,0.0,,,,,平
1129704.0,93.0,2016/06/04 21:00,5294.0,815.0,0-2,0-2,非洲杯,CAF NC,143_布隆迪,Burundi,24_塞内加尔,Senegal,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1129702.0,93.0,2016/03/29 23:00,4494.0,5294.0,1-3,1-1,非洲杯,CAF NC,111_纳米比亚,Namibia,143_布隆迪,Burundi,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1129700.0,93.0,2016/03/26 21:00,5294.0,4494.0,1-3,0-0,非洲杯,CAF NC,143_布隆迪,Burundi,111_纳米比亚,Namibia,0.0,0.0,,半球|0.5,输,大,负
1198905.0,581.0,2015/11/28 18:30,802.0,5294.0,1-0,0-0,中东非杯,CECAFA Cup,73_乌干达,Uganda,143_布隆迪,Burundi,0.0,0.0,,,,,负
1198903.0,581.0,2015/11/25 19:00,921.0,5294.0,1-1,1-1,中东非杯,CECAFA Cup,105_肯尼亚,Kenya,143_布隆迪,Burundi,0.0,0.0,,平手/半球|0/0.5,赢,走,平
1198900.0,581.0,2015/11/21 20:20,5294.0,7183.0,1-0,1-0,中东非杯,CECAFA Cup,143_布隆迪,Burundi,220_弱鸡,Zanzibar,0.0,0.0,,半球|0.5,赢,小,胜
1196514.0,651.0,2015/11/15 22:30,811.0,5294.0,2-2,1-1,非洲预选,WCPAF,43_刚果民主共和国,Democratic Rep Congo,143_布隆迪,Burundi,0.0,0.0,,一球/球半|1/1.5,赢,大,平
1196531.0,651.0,2015/11/12 21:30,5294.0,811.0,2-3,1-1,非洲预选,WCPAF,143_布隆迪,Burundi,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1194091.0,1052.0,2015/10/25 21:00,4637.0,5294.0,3-0,1-0,非国锦标,CAF SC,137_埃塞俄比亚,Ethiopia,143_布隆迪,Burundi,0.0,0.0,,,,,负
1194089.0,1052.0,2015/10/17 21:30,5294.0,4637.0,2-0,1-0,非国锦标,CAF SC,143_布隆迪,Burundi,137_埃塞俄比亚,Ethiopia,0.0,1.0,,,,,胜
1190096.0,651.0,2015/10/13 21:00,5294.0,5289.0,2-0,0-0,非洲预选,WCPAF,143_布隆迪,Burundi,192_塞舌尔,Seychelles,0.0,0.0,,球半|1.5,赢,小,胜
1190116.0,651.0,2015/10/07 20:30,5289.0,5294.0,0-1,0-1,非洲预选,WCPAF,192_塞舌尔,Seychelles,143_布隆迪,Burundi,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1129698.0,93.0,2015/09/05 21:30,5294.0,5302.0,2-0,1-0,非洲杯,CAF NC,143_布隆迪,Burundi,106_尼日尔,Niger,0.0,0.0,,半球|0.5,赢,走,胜
1130044.0,1052.0,2015/07/04 21:00,5294.0,6975.0,2-0,2-0,非国锦标,CAF SC,143_布隆迪,Burundi,187_吉布提,Djibouti,0.0,0.0,,,,,胜
1130041.0,1052.0,2015/06/22 02:30,6975.0,5294.0,1-1,0-1,非国锦标,CAF SC,187_吉布提,Djibouti,143_布隆迪,Burundi,0.0,0.0,,,,,平
1129697.0,93.0,2015/06/14 03:00,815.0,5294.0,3-1,1-0,非洲杯,CAF NC,24_塞内加尔,Senegal,143_布隆迪,Burundi,0.0,0.0,,球半/两球|1.5/2,输,大,负
1110344.0,1366.0,2015/03/25 22:30,4638.0,5294.0,2-2,2-1,国际友谊,INT FRL,157_毛里求斯,Mauritius,143_布隆迪,Burundi,0.0,0.0,,,,,平
1054649.0,41.0,2014/09/07 21:30,5294.0,4937.0,2-0,2-0,球会友谊,INT CF,143_布隆迪,Burundi,146_坦桑尼亚,Tanzania,0.0,0.0,,,,,胜
1006370.0,41.0,2014/07/15 22:00,921.0,5294.0,0-0,0-0,球会友谊,INT CF,105_肯尼亚,Kenya,143_布隆迪,Burundi,1.0,0.0,,,,,平
983319.0,93.0,2014/06/01 21:30,920.0,5294.0,1-0,0-0,非洲杯,CAF NC,149_博茨瓦纳,Botswana,143_布隆迪,Burundi,0.0,0.0,,半球|0.5,输,小,负
983305.0,93.0,2014/05/18 21:30,5294.0,920.0,0-0,0-0,非洲杯,CAF NC,143_布隆迪,Burundi,149_博茨瓦纳,Botswana,0.0,1.0,,,,,平
963579.0,1366.0,2014/03/05 21:30,5294.0,922.0,1-1,1-1,国际友谊,INT FRL,143_布隆迪,Burundi,116_卢旺达,Rwanda,0.0,0.0,,,,,平
945453.0,1052.0,2014/01/23 01:00,5294.0,811.0,1-2,1-2,非国锦标,CAF SC,143_布隆迪,Burundi,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
945452.0,1052.0,2014/01/19 02:00,5294.0,5281.0,3-2,1-1,非国锦标,CAF SC,143_布隆迪,Burundi,100_毛里塔尼亚,Mauritania,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
945450.0,1052.0,2014/01/15 02:00,788.0,5294.0,0-0,0-0,非国锦标,CAF SC,93_加蓬,Gabon,143_布隆迪,Burundi,0.0,0.0,,半球|0.5,赢,小,平
940636.0,581.0,2013/12/08 19:00,807.0,5294.0,0-0,0-0,中东非杯,CECAFA Cup,72_赞比亚,Zambia,143_布隆迪,Burundi,0.0,0.0,"90,0-0;;;4-3;1",一球|1,赢,小,平
939364.0,581.0,2013/12/04 19:00,4937.0,5294.0,1-0,1-0,中东非杯,CECAFA Cup,146_坦桑尼亚,Tanzania,143_布隆迪,Burundi,0.0,0.0,,平手/半球|0/0.5,输,小,负
