赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1371521.0,95.0,2018/03/27 16:30,876.0,888.0,2-0,2-0,亚洲杯,AFC,119_朝鲜,Korea DPR,144_中国香港,Hong Kong,0.0,0.0,,,,,负
1509759.0,610.0,2018/02/19 16:00,888.0,9695.0,3-4,1-1,贺岁杯,LNY CUP,144_中国香港,Hong Kong,220_弱鸡,Hong Kong League XI,0.0,0.0,,,,,负
1488217.0,413.0,2018/01/07 15:30,2073.0,888.0,2-0,1-0,省港杯,GDHKCUP,220_弱鸡,guangdong,144_中国香港,Hong Kong,0.0,0.0,"90,2-0;2-2;1,2-0;2-4;2",半球/一球|0.5/1,输,小,负
1488671.0,413.0,2018/01/04 20:00,888.0,2073.0,2-0,0-0,省港杯,GDHKCUP,144_中国香港,Hong Kong,220_弱鸡,guangdong,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1371520.0,95.0,2017/11/14 20:00,888.0,897.0,0-1,0-1,亚洲杯,AFC,144_中国香港,Hong Kong,84_黎巴嫩,Lebanon,1.0,0.0,,受让一球|-1,走,小,负
1477017.0,1366.0,2017/11/09 20:00,888.0,900.0,0-2,0-0,国际友谊,INT FRL,144_中国香港,Hong Kong,122_巴林,Bahrain,0.0,0.0,,受让半球|-0.5,输,小,负
1371513.0,95.0,2017/10/10 20:00,888.0,889.0,2-0,1-0,亚洲杯,AFC,144_中国香港,Hong Kong,175_马来西亚,Malaysia,0.0,1.0,,平手/半球|0/0.5,赢,小,胜
1466905.0,1366.0,2017/10/05 20:00,888.0,880.0,4-0,2-0,国际友谊,INT FRL,144_中国香港,Hong Kong,183_老挝,Laos,0.0,0.0,,两球/两球半|2/2.5,赢,大,胜
1371517.0,95.0,2017/09/05 20:45,889.0,888.0,1-1,0-0,亚洲杯,AFC,175_马来西亚,Malaysia,144_中国香港,Hong Kong,2.0,0.0,,半球|0.5,赢,小,平
1455192.0,41.0,2017/09/02 15:00,888.0,3325.0,4-0,4-0,球会友谊,INT CF,144_中国香港,Hong Kong,186_中国澳门,Macau of China,0.0,0.0,,,,,胜
1449134.0,1366.0,2017/08/31 19:30,892.0,888.0,1-1,0-1,国际友谊,INT FRL,173_新加坡,Singapore,144_中国香港,Hong Kong,1.0,0.0,,平手/半球|0/0.5,赢,小,平
1371516.0,95.0,2017/06/13 20:00,888.0,876.0,1-1,1-0,亚洲杯,AFC,144_中国香港,Hong Kong,119_朝鲜,Korea DPR,0.0,0.0,,受让一球|-1,赢,小,平
1392695.0,1366.0,2017/06/07 20:00,888.0,881.0,0-0,0-0,国际友谊,INT FRL,144_中国香港,Hong Kong,113_约旦,Jordan,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,平
1371512.0,95.0,2017/03/28 23:00,897.0,888.0,2-0,2-0,亚洲杯,AFC,84_黎巴嫩,Lebanon,144_中国香港,Hong Kong,0.0,0.0,,一球/球半|1/1.5,输,小,负
1371890.0,1366.0,2017/03/23 23:59,881.0,888.0,4-0,2-0,国际友谊,INT FRL,113_约旦,Jordan,144_中国香港,Hong Kong,0.0,0.0,,一球|1,输,大,负
1338285.0,413.0,2017/01/04 20:00,888.0,2073.0,1-1,1-0,省港杯,GDHKCUP,144_中国香港,Hong Kong,220_弱鸡,guangdong,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1337447.0,413.0,2017/01/01 15:30,2073.0,888.0,3-2,2-1,省港杯,GDHKCUP,220_弱鸡,guangdong,144_中国香港,Hong Kong,0.0,0.0,,半球/一球|0.5/1,输,大,负
1328367.0,53.0,2016/11/12 18:00,888.0,876.0,0-1,0-1,东亚杯,EASTC,144_中国香港,Hong Kong,119_朝鲜,Korea DPR,0.0,0.0,,受让一球|-1,走,小,负
