赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393657.0,93.0,2018/11/13 23:00,790.0,5296.0,,,非洲杯,CAF NC,63_佛得角,Cape Verde,145_莱索托,Lesotho,0.0,0.0,,,,,
1393655.0,93.0,2018/10/16 23:00,5296.0,4937.0,,,非洲杯,CAF NC,145_莱索托,Lesotho,146_坦桑尼亚,Tanzania,0.0,0.0,,,,,
1393653.0,93.0,2018/09/11 23:00,5296.0,802.0,,,非洲杯,CAF NC,145_莱索托,Lesotho,73_乌干达,Uganda,0.0,0.0,,,,,
1393649.0,93.0,2018/09/07 23:00,5296.0,790.0,,,非洲杯,CAF NC,145_莱索托,Lesotho,63_佛得角,Cape Verde,0.0,0.0,,,,,
1393651.0,93.0,2018/09/03 23:00,802.0,5296.0,,,非洲杯,CAF NC,73_乌干达,Uganda,145_莱索托,Lesotho,0.0,0.0,,,,,
1549036.0,1311.0,2018/06/09 01:30,5295.0,5296.0,0-1,0-1,南非洲杯,SACC,109_马达加斯加,Madagascar,145_莱索托,Lesotho,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1548487.0,1311.0,2018/06/07 01:30,5296.0,14862.0,0-0,0-0,南非洲杯,SACC,145_莱索托,Lesotho,106_津巴布韦,Zimbabwe,0.0,0.0,"90,0-0;;1,0-0;1-3;",受让半球/一球|-0.5/-1,赢,小,平
1547462.0,1311.0,2018/06/02 23:30,5296.0,4636.0,1-0,0-0,南非洲杯,SACC,145_莱索托,Lesotho,132_斯威士兰,Swaziland,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1524878.0,1366.0,2018/03/28 02:00,4494.0,5296.0,2-1,0-1,国际友谊,INT FRL,111_纳米比亚,Namibia,145_莱索托,Lesotho,0.0,0.0,,,,,负
1523623.0,1366.0,2018/03/24 22:00,920.0,5296.0,1-0,0-0,国际友谊,INT FRL,149_博茨瓦纳,Botswana,145_莱索托,Lesotho,0.0,0.0,,平手/半球|0/0.5,输,小,负
1476856.0,1366.0,2017/11/11 20:30,969.0,5296.0,1-1,0-1,国际友谊,INT FRL,124_马拉维,Malawi,145_莱索托,Lesotho,0.0,0.0,,,,,平
1477518.0,1366.0,2017/11/08 19:00,5296.0,14862.0,1-0,0-0,国际友谊,INT FRL,145_莱索托,Lesotho,106_津巴布韦,Zimbabwe,0.0,0.0,,,,,胜
1421498.0,1052.0,2017/07/23 21:00,5296.0,6675.0,1-0,1-0,非国锦标,CAF SC,145_莱索托,Lesotho,130_科摩罗,Comoros,0.0,0.0,,,,,胜
1414973.0,1052.0,2017/07/15 20:00,6675.0,5296.0,2-0,0-0,非国锦标,CAF SC,130_科摩罗,Comoros,145_莱索托,Lesotho,0.0,0.0,,,,,负
1410378.0,1311.0,2017/07/08 01:30,4937.0,5296.0,0-0,0-0,南非洲杯,SACC,146_坦桑尼亚,Tanzania,145_莱索托,Lesotho,0.0,0.0,"90,0-0;;;4-2;1",半球|0.5,赢,小,平
1409857.0,1311.0,2017/07/06 01:30,5296.0,14862.0,3-4,1-1,南非洲杯,SACC,145_莱索托,Lesotho,106_津巴布韦,Zimbabwe,0.0,0.0,,受让半球|-0.5,输,大,负
1404123.0,1311.0,2017/07/01 23:30,4494.0,5296.0,0-0,0-0,南非洲杯,SACC,111_纳米比亚,Namibia,145_莱索托,Lesotho,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1392576.0,93.0,2017/06/11 01:00,4937.0,5296.0,1-1,1-1,非洲杯,CAF NC,146_坦桑尼亚,Tanzania,145_莱索托,Lesotho,0.0,0.0,,半球|0.5,赢,小,平
1391056.0,1366.0,2017/06/04 21:00,5296.0,5281.0,1-0,1-0,国际友谊,INT FRL,145_莱索托,Lesotho,100_毛里塔尼亚,Mauritania,0.0,0.0,,,,,胜
1374025.0,1366.0,2017/03/29 01:00,5292.0,5296.0,1-0,0-0,国际友谊,INT FRL,108_莫桑比克,Mozambique,145_莱索托,Lesotho,0.0,0.0,,,,,负
1129694.0,93.0,2016/09/05 03:30,18406.0,5296.0,6-0,5-0,非洲杯,CAF NC,57_阿尔及利亚,Algeria,145_莱索托,Lesotho,0.0,0.0,,三球|3,输,大,负
1251075.0,41.0,2016/06/21 23:59,5296.0,807.0,2-3,1-1,球会友谊,INT CF,145_莱索托,Lesotho,72_赞比亚,Zambia,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1248309.0,1366.0,2016/06/18 22:00,803.0,5296.0,1-1,0-1,国际友谊,INT FRL,78_南非,South Africa,145_莱索托,Lesotho,1.0,0.0,"90,1-1;;;4-2;1",半球/一球|0.5/1,赢,小,平
1246975.0,1366.0,2016/06/16 23:59,969.0,5296.0,0-1,0-0,国际友谊,INT FRL,124_马拉维,Malawi,145_莱索托,Lesotho,0.0,0.0,,,,,胜
1247524.0,1366.0,2016/06/14 23:59,804.0,5296.0,0-2,0-1,国际友谊,INT FRL,142_安哥拉,Angola,145_莱索托,Lesotho,1.0,0.0,,,,,胜
