赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393656.0,93.0,2018/11/13 23:00,4937.0,802.0,,,非洲杯,CAF NC,146_坦桑尼亚,Tanzania,73_乌干达,Uganda,0.0,0.0,,,,,
1393655.0,93.0,2018/10/16 23:00,5296.0,4937.0,,,非洲杯,CAF NC,145_莱索托,Lesotho,146_坦桑尼亚,Tanzania,0.0,0.0,,,,,
1393652.0,93.0,2018/09/11 23:00,4937.0,790.0,,,非洲杯,CAF NC,146_坦桑尼亚,Tanzania,63_佛得角,Cape Verde,0.0,0.0,,,,,
1393648.0,93.0,2018/09/07 23:00,802.0,4937.0,,,非洲杯,CAF NC,73_乌干达,Uganda,146_坦桑尼亚,Tanzania,0.0,0.0,,,,,
1393650.0,93.0,2018/09/03 23:00,790.0,4937.0,,,非洲杯,CAF NC,63_佛得角,Cape Verde,146_坦桑尼亚,Tanzania,0.0,0.0,,,,,
1523160.0,1366.0,2018/03/27 21:00,4937.0,811.0,2-0,0-0,国际友谊,INT FRL,146_坦桑尼亚,Tanzania,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,,,,胜
1518977.0,1366.0,2018/03/23 01:00,18406.0,4937.0,4-1,2-1,国际友谊,INT FRL,57_阿尔及利亚,Algeria,146_坦桑尼亚,Tanzania,0.0,0.0,,球半/两球|1.5/2,输,大,负
1482708.0,581.0,2017/12/11 21:05,921.0,4937.0,1-0,1-0,中东非杯,CECAFA Cup,105_肯尼亚,Kenya,146_坦桑尼亚,Tanzania,0.0,0.0,,半球/一球|0.5/1,输,小,负
1483860.0,581.0,2017/12/09 19:00,922.0,4937.0,2-1,1-1,中东非杯,CECAFA Cup,116_卢旺达,Rwanda,146_坦桑尼亚,Tanzania,0.0,0.0,,平手/半球|0/0.5,输,大,负
1482442.0,581.0,2017/12/07 19:00,4937.0,7183.0,1-2,1-0,中东非杯,CECAFA Cup,146_坦桑尼亚,Tanzania,220_弱鸡,Zanzibar,0.0,0.0,,半球/一球|0.5/1,输,大,负
1482439.0,581.0,2017/12/03 21:15,734.0,4937.0,0-0,0-0,中东非杯,CECAFA Cup,89_利比亚,Libya,146_坦桑尼亚,Tanzania,0.0,0.0,,半球|0.5,赢,小,平
1476843.0,1366.0,2017/11/12 23:00,808.0,4937.0,1-1,1-0,国际友谊,INT FRL,81_贝宁,Benin,146_坦桑尼亚,Tanzania,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1469160.0,1366.0,2017/10/07 22:00,4937.0,969.0,1-1,0-1,国际友谊,INT FRL,146_坦桑尼亚,Tanzania,124_马拉维,Malawi,2.0,0.0,,,,,平
1424402.0,1052.0,2017/07/22 21:30,922.0,4937.0,0-0,0-0,非国锦标,CAF SC,116_卢旺达,Rwanda,146_坦桑尼亚,Tanzania,0.0,0.0,,,,,平
1414979.0,1052.0,2017/07/15 21:00,4937.0,922.0,1-1,1-1,非国锦标,CAF SC,146_坦桑尼亚,Tanzania,116_卢旺达,Rwanda,0.0,0.0,,,,,平
1410378.0,1311.0,2017/07/08 01:30,4937.0,5296.0,0-0,0-0,南非洲杯,SACC,146_坦桑尼亚,Tanzania,145_莱索托,Lesotho,0.0,0.0,"90,0-0;;;4-2;1",半球|0.5,输,小,平
1409856.0,1311.0,2017/07/05 23:00,807.0,4937.0,4-2,2-1,南非洲杯,SACC,72_赞比亚,Zambia,146_坦桑尼亚,Tanzania,0.0,0.0,,平手/半球|0/0.5,输,大,负
1406596.0,1311.0,2017/07/02 23:00,803.0,4937.0,0-1,0-1,南非洲杯,SACC,78_南非,South Africa,146_坦桑尼亚,Tanzania,0.0,0.0,,半球|0.5,赢,小,胜
1404278.0,1311.0,2017/06/29 23:00,4937.0,4638.0,1-1,0-0,南非洲杯,SACC,146_坦桑尼亚,Tanzania,157_毛里求斯,Mauritius,0.0,0.0,,半球|0.5,输,走,平
1404136.0,1311.0,2017/06/28 01:30,804.0,4937.0,0-0,0-0,南非洲杯,SACC,142_安哥拉,Angola,146_坦桑尼亚,Tanzania,0.0,0.0,,平手|0,走,小,平
1402359.0,1311.0,2017/06/25 21:00,4937.0,969.0,2-0,2-0,南非洲杯,SACC,146_坦桑尼亚,Tanzania,124_马拉维,Malawi,0.0,0.0,,受让平手/半球|-0/-0.5,赢,走,胜
1392576.0,93.0,2017/06/11 01:00,4937.0,5296.0,1-1,1-1,非洲杯,CAF NC,146_坦桑尼亚,Tanzania,145_莱索托,Lesotho,0.0,0.0,,半球|0.5,输,小,平
1374028.0,1366.0,2017/03/28 21:00,4937.0,5294.0,2-1,1-0,国际友谊,INT FRL,146_坦桑尼亚,Tanzania,143_布隆迪,Burundi,0.0,0.0,,,,,胜
1372312.0,1366.0,2017/03/25 21:00,4937.0,920.0,2-0,1-0,国际友谊,INT FRL,146_坦桑尼亚,Tanzania,149_博茨瓦纳,Botswana,0.0,0.0,,,,,胜
1329715.0,1366.0,2016/11/13 21:00,14862.0,4937.0,3-0,1-0,国际友谊,INT FRL,106_津巴布韦,Zimbabwe,146_坦桑尼亚,Tanzania,0.0,0.0,,半球/一球|0.5/1,输,大,负
1129665.0,93.0,2016/09/03 23:59,789.0,4937.0,1-0,0-0,非洲杯,CAF NC,51_尼日利亚,Nigeria,146_坦桑尼亚,Tanzania,0.0,0.0,,球半|1.5,赢,小,负
1129663.0,93.0,2016/06/04 21:00,4937.0,735.0,0-2,0-1,非洲杯,CAF NC,146_坦桑尼亚,Tanzania,30_埃及,Egypt,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,负
1243464.0,1366.0,2016/05/29 21:00,921.0,4937.0,1-1,1-1,国际友谊,INT FRL,105_肯尼亚,Kenya,146_坦桑尼亚,Tanzania,0.0,0.0,,半球|0.5,赢,走,平
1129661.0,93.0,2016/03/28 21:00,4937.0,5291.0,取消,,非洲杯,CAF NC,146_坦桑尼亚,Tanzania,168_乍得,Chad,0.0,0.0,,,,,
1129658.0,93.0,2016/03/23 22:30,5291.0,4937.0,取消,,非洲杯,CAF NC,168_乍得,Chad,146_坦桑尼亚,Tanzania,0.0,0.0,,,,,
1200453.0,581.0,2015/11/30 20:30,4637.0,4937.0,1-1,0-1,中东非杯,CECAFA Cup,137_埃塞俄比亚,Ethiopia,146_坦桑尼亚,Tanzania,0.0,0.0,"90,1-1;;;4-3;1",平手/半球|0/0.5,赢,小,平
1198899.0,581.0,2015/11/28 20:30,4637.0,4937.0,1-1,0-0,中东非杯,CECAFA Cup,137_埃塞俄比亚,Ethiopia,146_坦桑尼亚,Tanzania,0.0,0.0,,,,,平
1198896.0,581.0,2015/11/24 20:30,922.0,4937.0,1-2,0-1,中东非杯,CECAFA Cup,116_卢旺达,Rwanda,146_坦桑尼亚,Tanzania,0.0,0.0,,半球|0.5,赢,大,胜
1198895.0,581.0,2015/11/22 19:00,6976.0,4937.0,0-4,0-2,中东非杯,CECAFA Cup,206_索马里,Somalia,146_坦桑尼亚,Tanzania,0.0,0.0,,受让两球/两球半|-2/-2.5,赢,大,胜
1196517.0,651.0,2015/11/18 02:15,18406.0,4937.0,7-0,3-0,非洲预选,WCPAF,57_阿尔及利亚,Algeria,146_坦桑尼亚,Tanzania,0.0,1.0,,球半/两球|1.5/2,输,大,负
