赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502183.0,1864.0,2018/11/21 03:45,642.0,905.0,,,欧国联,UEFA  NL,37_塞尔维亚,Serbia,147_立陶宛,Lithuania,0.0,0.0,,,,,
1502182.0,1864.0,2018/11/18 03:45,635.0,905.0,,,欧国联,UEFA  NL,40_罗马尼亚,Romania,147_立陶宛,Lithuania,0.0,0.0,,,,,
1502180.0,1864.0,2018/10/15 02:45,905.0,5282.0,,,欧国联,UEFA  NL,147_立陶宛,Lithuania,46_黑山,Montenegro,0.0,0.0,,,,,
1502178.0,1864.0,2018/10/12 02:45,905.0,635.0,,,欧国联,UEFA  NL,147_立陶宛,Lithuania,40_罗马尼亚,Romania,0.0,0.0,,,,,
1502176.0,1864.0,2018/09/11 02:45,5282.0,905.0,,,欧国联,UEFA  NL,46_黑山,Montenegro,147_立陶宛,Lithuania,0.0,0.0,,,,,
1502173.0,1864.0,2018/09/08 02:45,905.0,642.0,,,欧国联,UEFA  NL,147_立陶宛,Lithuania,37_塞尔维亚,Serbia,0.0,0.0,,,,,
1543818.0,1366.0,2018/06/12 23:59,637.0,905.0,4-0,2-0,国际友谊,INT FRL,7_波兰,Poland,147_立陶宛,Lithuania,0.0,0.0,,球半|1.5,输,大,负
1549112.0,1366.0,2018/06/08 23:00,783.0,905.0,1-0,0-0,国际友谊,INT FRL,34_伊朗,Iran,147_立陶宛,Lithuania,0.0,0.0,,一球|1,走,小,负
1543762.0,668.0,2018/06/05 23:59,905.0,631.0,1-1,0-0,波罗杯,Baltic Cup,147_立陶宛,Lithuania,131_拉脱维亚,Latvia,0.0,0.0,,平手/半球|0/0.5,输,走,平
1543737.0,668.0,2018/05/30 23:59,636.0,905.0,2-0,2-0,波罗杯,Baltic Cup,88_爱沙尼亚,Estonia,147_立陶宛,Lithuania,0.0,0.0,,半球|0.5,输,走,负
1521488.0,1366.0,2018/03/27 23:00,748.0,905.0,0-1,0-1,国际友谊,INT FRL,90_阿美尼亚,Armenia,147_立陶宛,Lithuania,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1519567.0,1366.0,2018/03/24 23:00,901.0,905.0,4-0,4-0,国际友谊,INT FRL,104_格鲁吉亚,Georgia,147_立陶宛,Lithuania,0.0,0.0,,半球|0.5,输,大,负
1198558.0,650.0,2017/10/08 23:59,905.0,744.0,0-1,0-1,欧洲预选,WCPEU,147_立陶宛,Lithuania,16_英格兰,England,0.0,0.0,,受让球半|-1.5,赢,小,负
1198555.0,650.0,2017/10/06 02:45,755.0,905.0,1-1,1-0,欧洲预选,WCPEU,185_马耳他,Malta,147_立陶宛,Lithuania,0.0,0.0,,受让平手/半球|-0/-0.5,输,走,平
1198552.0,650.0,2017/09/05 02:45,632.0,905.0,4-0,1-0,欧洲预选,WCPEU,64_斯洛文尼亚,Slovenia,147_立陶宛,Lithuania,0.0,0.0,,球半|1.5,输,大,负
1198550.0,650.0,2017/09/02 02:45,905.0,641.0,0-3,0-2,欧洲预选,WCPEU,147_立陶宛,Lithuania,32_苏格兰,Scotland,0.0,0.0,,受让半球|-0.5,输,大,负
1198547.0,650.0,2017/06/11 02:45,905.0,752.0,1-2,0-1,欧洲预选,WCPEU,147_立陶宛,Lithuania,28_斯洛伐克,Slovakia,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1198542.0,650.0,2017/03/26 23:59,744.0,905.0,2-0,1-0,欧洲预选,WCPEU,16_英格兰,England,147_立陶宛,Lithuania,0.0,0.0,,两球半|2.5,赢,小,负
1371252.0,1366.0,2017/03/23 01:00,747.0,905.0,3-0,0-0,国际友谊,INT FRL,48_捷克,Czech,147_立陶宛,Lithuania,0.0,0.0,,球半|1.5,输,大,负
1198539.0,650.0,2016/11/12 03:45,752.0,905.0,4-0,3-0,欧洲预选,WCPEU,28_斯洛伐克,Slovakia,147_立陶宛,Lithuania,0.0,0.0,,一球/球半|1/1.5,输,大,负
1198537.0,650.0,2016/10/12 02:45,905.0,755.0,2-0,0-0,欧洲预选,WCPEU,147_立陶宛,Lithuania,185_马耳他,Malta,0.0,1.0,,一球|1,赢,小,胜
1198534.0,650.0,2016/10/09 02:45,641.0,905.0,1-1,0-0,欧洲预选,WCPEU,32_苏格兰,Scotland,147_立陶宛,Lithuania,0.0,0.0,,一球|1,赢,小,平
1198531.0,650.0,2016/09/04 23:59,905.0,632.0,2-2,2-0,欧洲预选,WCPEU,147_立陶宛,Lithuania,64_斯洛文尼亚,Slovenia,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,平
1244102.0,1366.0,2016/06/06 23:59,637.0,905.0,0-0,0-0,国际友谊,INT FRL,7_波兰,Poland,147_立陶宛,Lithuania,0.0,0.0,,球半|1.5,赢,小,平
1244109.0,668.0,2016/06/02 00:30,631.0,905.0,2-1,0-0,波罗杯,Baltic Cup,131_拉脱维亚,Latvia,147_立陶宛,Lithuania,0.0,0.0,,平手/半球|0/0.5,输,大,负
