赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1371534.0,95.0,2018/03/27 19:00,6651.0,1565.0,2-1,2-0,亚洲杯,AFC,148_阿富汗,Afghanistan,172_柬埔寨,Cambodia,0.0,0.0,,球半|1.5,输,大,胜
1371531.0,95.0,2017/11/14 20:00,883.0,6651.0,0-0,0-0,亚洲杯,AFC,112_越南,Vietnam,148_阿富汗,Afghanistan,0.0,0.0,,球半|1.5,赢,小,平
1371530.0,95.0,2017/10/10 18:00,6651.0,881.0,3-3,1-2,亚洲杯,AFC,148_阿富汗,Afghanistan,113_约旦,Jordan,0.0,0.0,,受让一球/球半|-1/-1.5,赢,大,平
1371527.0,95.0,2017/09/06 01:00,881.0,6651.0,4-1,3-0,亚洲杯,AFC,113_约旦,Jordan,148_阿富汗,Afghanistan,0.0,0.0,,球半|1.5,输,大,负
1449133.0,1366.0,2017/08/30 23:15,902.0,6651.0,2-0,1-0,国际友谊,INT FRL,101_阿曼,Oman,148_阿富汗,Afghanistan,0.0,0.0,,一球/球半|1/1.5,输,小,负
1371526.0,95.0,2017/06/13 19:30,1565.0,6651.0,1-0,0-0,亚洲杯,AFC,172_柬埔寨,Cambodia,148_阿富汗,Afghanistan,0.0,0.0,,受让一球|-1,输,小,负
1391054.0,1366.0,2017/06/07 01:00,6651.0,882.0,2-1,1-1,国际友谊,INT FRL,148_阿富汗,Afghanistan,150_马尔代夫,Maldives,0.0,0.0,,半球|0.5,赢,大,胜
1371524.0,95.0,2017/03/28 22:00,6651.0,883.0,1-1,0-0,亚洲杯,AFC,148_阿富汗,Afghanistan,112_越南,Vietnam,0.0,0.0,,受让半球|-0.5,赢,小,平
1371889.0,1366.0,2017/03/24 00:15,6651.0,892.0,2-1,1-0,国际友谊,INT FRL,148_阿富汗,Afghanistan,173_新加坡,Singapore,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1327481.0,1366.0,2016/11/13 19:00,884.0,6651.0,1-0,0-0,国际友谊,INT FRL,126_塔吉克斯坦,Tajikistan,148_阿富汗,Afghanistan,0.0,0.0,,半球/一球|0.5/1,输,小,负
1320296.0,1366.0,2016/10/11 20:45,889.0,6651.0,1-1,1-1,国际友谊,INT FRL,175_马来西亚,Malaysia,148_阿富汗,Afghanistan,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1306166.0,1366.0,2016/09/05 20:30,897.0,6651.0,2-0,0-0,国际友谊,INT FRL,84_黎巴嫩,Lebanon,148_阿富汗,Afghanistan,0.0,1.0,,球半|1.5,输,小,负
1124690.0,648.0,2016/03/29 18:30,6651.0,892.0,2-1,1-0,亚洲预选,FIFA WCQL,148_阿富汗,Afghanistan,173_新加坡,Singapore,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1124691.0,648.0,2016/03/24 18:30,903.0,6651.0,5-0,1-0,亚洲预选,FIFA WCQL,56_日本,Japan,148_阿富汗,Afghanistan,0.0,0.0,,四球半|4.5,输,小,负
