赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502111.0,1864.0,2018/11/18 03:45,771.0,765.0,,,欧国联,UEFA  NL,14_意大利,Italy,3_葡萄牙,Portugal,0.0,0.0,,,,,
1502110.0,1864.0,2018/10/15 02:45,637.0,771.0,,,欧国联,UEFA  NL,7_波兰,Poland,14_意大利,Italy,0.0,0.0,,,,,
1502108.0,1864.0,2018/09/11 02:45,765.0,771.0,,,欧国联,UEFA  NL,3_葡萄牙,Portugal,14_意大利,Italy,0.0,0.0,,,,,
1502107.0,1864.0,2018/09/08 02:45,771.0,637.0,,,欧国联,UEFA  NL,14_意大利,Italy,7_波兰,Poland,0.0,0.0,,,,,
1543786.0,1366.0,2018/06/05 02:45,771.0,646.0,1-1,0-0,国际友谊,INT FRL,14_意大利,Italy,21_荷兰,Netherlands,1.0,0.0,,半球|0.5,输,小,平
1543751.0,1366.0,2018/06/02 03:00,649.0,771.0,3-1,2-1,国际友谊,INT FRL,9_法国,France,14_意大利,Italy,0.0,0.0,,半球/一球|0.5/1,输,大,负
1543732.0,1366.0,2018/05/29 02:45,771.0,891.0,2-1,1-0,国际友谊,INT FRL,14_意大利,Italy,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,球半|1.5,输,大,胜
1521504.0,1366.0,2018/03/28 03:00,744.0,771.0,1-1,1-0,国际友谊,INT FRL,16_英格兰,England,14_意大利,Italy,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1521022.0,1366.0,2018/03/24 03:45,766.0,771.0,2-0,0-0,国际友谊,INT FRL,4_阿根廷,Argentina,14_意大利,Italy,0.0,0.0,,半球|0.5,输,小,负
1472473.0,650.0,2017/11/14 03:45,771.0,644.0,0-0,0-0,欧洲预选,WCPEU,14_意大利,Italy,18_瑞典,Sweden,0.0,0.0,,一球|1,输,小,平
1472351.0,650.0,2017/11/11 03:45,644.0,771.0,1-0,0-0,欧洲预选,WCPEU,18_瑞典,Sweden,14_意大利,Italy,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1198589.0,650.0,2017/10/10 02:45,761.0,771.0,0-1,0-0,欧洲预选,WCPEU,60_阿尔巴尼亚,Albania,14_意大利,Italy,0.0,0.0,,受让一球|-1,走,小,胜
1198584.0,650.0,2017/10/07 02:45,771.0,770.0,1-1,1-0,欧洲预选,WCPEU,14_意大利,Italy,73_马其顿,FYR Macedonia,0.0,0.0,,两球半|2.5,输,小,平
1198581.0,650.0,2017/09/06 02:45,771.0,760.0,1-0,0-0,欧洲预选,WCPEU,14_意大利,Italy,99_以色列,Israel,0.0,0.0,,两球|2,输,小,胜
1198580.0,650.0,2017/09/03 02:45,772.0,771.0,3-0,2-0,欧洲预选,WCPEU,6_西班牙,Spain,14_意大利,Italy,0.0,0.0,,半球|0.5,输,大,负
1198575.0,650.0,2017/06/12 02:45,771.0,764.0,5-0,1-0,欧洲预选,WCPEU,14_意大利,Italy,182_列支敦士登,Liechtenstein,0.0,0.0,,四球半|4.5,赢,小,胜
1390581.0,1366.0,2017/06/08 02:45,771.0,767.0,3-0,1-0,国际友谊,INT FRL,14_意大利,Italy,22_乌拉圭,Uruguay,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1391412.0,1366.0,2017/06/01 03:30,771.0,907.0,8-0,4-0,国际友谊,INT FRL,14_意大利,Italy,204_圣马力诺,San Marino,0.0,0.0,,四球/四球半|4/4.5,赢,大,胜
1366892.0,1366.0,2017/03/29 02:45,646.0,771.0,1-2,1-2,国际友谊,INT FRL,21_荷兰,Netherlands,14_意大利,Italy,0.0,0.0,,平手|0,赢,大,胜
1198574.0,650.0,2017/03/25 03:45,771.0,761.0,2-0,1-0,欧洲预选,WCPEU,14_意大利,Italy,60_阿尔巴尼亚,Albania,0.0,0.0,,球半/两球|1.5/2,赢,小,胜
1328257.0,1366.0,2016/11/16 03:45,771.0,650.0,0-0,0-0,国际友谊,INT FRL,14_意大利,Italy,1_德国,Germany,0.0,0.0,,平手|0,走,小,平
1198570.0,650.0,2016/11/13 03:45,764.0,771.0,0-4,0-4,欧洲预选,WCPEU,182_列支敦士登,Liechtenstein,14_意大利,Italy,0.0,0.0,,受让两球半|-2.5,赢,大,胜
1198568.0,650.0,2016/10/10 02:45,770.0,771.0,2-3,0-1,欧洲预选,WCPEU,73_马其顿,FYR Macedonia,14_意大利,Italy,0.0,0.0,,受让球半|-1.5,输,大,胜
1198563.0,650.0,2016/10/07 02:45,771.0,772.0,1-1,0-0,欧洲预选,WCPEU,14_意大利,Italy,6_西班牙,Spain,0.0,0.0,,平手|0,走,走,平
1198562.0,650.0,2016/09/06 02:45,760.0,771.0,1-3,1-2,欧洲预选,WCPEU,99_以色列,Israel,14_意大利,Italy,0.0,1.0,,受让半球/一球|-0.5/-1,赢,大,胜
1305632.0,1366.0,2016/09/02 03:00,771.0,649.0,1-3,1-2,国际友谊,INT FRL,14_意大利,Italy,9_法国,France,0.0,0.0,,平手|0,输,大,负
1256719.0,67.0,2016/07/03 03:00,650.0,771.0,1-1,0-0,欧洲杯,EURO  Cup,1_德国,Germany,14_意大利,Italy,0.0,0.0,"90,1-1;;1,1-1;6-5;1",平手/半球|0/0.5,赢,走,平
1251746.0,67.0,2016/06/27 23:59,771.0,772.0,2-0,1-0,欧洲杯,EURO  Cup,14_意大利,Italy,6_西班牙,Spain,0.0,0.0,,受让半球|-0.5,赢,走,胜
1201943.0,67.0,2016/06/23 03:00,771.0,630.0,0-1,0-0,欧洲杯,EURO  Cup,14_意大利,Italy,32_爱尔兰,Ireland,0.0,0.0,,半球/一球|0.5/1,输,小,负
