赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1371546.0,95.0,2018/03/27 23:59,882.0,7818.0,7-0,1-0,亚洲杯,AFC,150_马尔代夫,Maldives,188_不丹,Bhutan,0.0,0.0,,,,,胜
1520452.0,1366.0,2018/03/23 19:30,892.0,882.0,3-2,1-1,国际友谊,INT FRL,173_新加坡,Singapore,150_马尔代夫,Maldives,0.0,0.0,,半球/一球|0.5/1,输,大,负
1371544.0,95.0,2017/11/14 22:00,879.0,882.0,8-1,4-0,亚洲杯,AFC,75_巴勒斯坦,Palestine,150_马尔代夫,Maldives,0.0,0.0,,两球半/三球|2.5/3,输,大,负
1371541.0,95.0,2017/10/10 23:59,882.0,902.0,1-3,1-2,亚洲杯,AFC,150_马尔代夫,Maldives,101_阿曼,Oman,0.0,0.0,,受让两球|-2,走,大,负
1371540.0,95.0,2017/09/05 23:15,902.0,882.0,5-0,1-0,亚洲杯,AFC,101_阿曼,Oman,150_马尔代夫,Maldives,0.0,0.0,,两球|2,输,大,负
1371537.0,95.0,2017/06/13 20:00,7818.0,882.0,0-2,0-1,亚洲杯,AFC,188_不丹,Bhutan,150_马尔代夫,Maldives,0.0,0.0,,受让两球半/三球|-2.5/-3,输,小,胜
1391054.0,1366.0,2017/06/07 01:00,6651.0,882.0,2-1,1-1,国际友谊,INT FRL,148_阿富汗,Afghanistan,150_马尔代夫,Maldives,0.0,0.0,,半球|0.5,输,大,负
1371536.0,95.0,2017/03/28 23:59,882.0,879.0,0-3,0-0,亚洲杯,AFC,150_马尔代夫,Maldives,75_巴勒斯坦,Palestine,0.0,0.0,,受让半球|-0.5,输,大,负
1307451.0,95.0,2016/10/11 19:00,880.0,882.0,1-1,0-0,亚洲杯,AFC,183_老挝,Laos,150_马尔代夫,Maldives,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,平
1307448.0,95.0,2016/09/06 23:59,882.0,880.0,4-0,1-0,亚洲杯,AFC,150_马尔代夫,Maldives,183_老挝,Laos,0.0,0.0,,,,,胜
1306168.0,1366.0,2016/09/01 23:59,882.0,3352.0,5-0,0-0,国际友谊,INT FRL,150_马尔代夫,Maldives,197_孟加拉国,Bangladesh,0.0,0.0,,,,,胜
1243722.0,95.0,2016/06/08 03:00,877.0,882.0,2-0,1-0,亚洲杯,AFC,138_也门,Yemen,150_马尔代夫,Maldives,0.0,0.0,,球半/两球|1.5/2,输,小,负
1243717.0,95.0,2016/06/02 23:59,882.0,877.0,0-2,0-1,亚洲杯,AFC,150_马尔代夫,Maldives,138_也门,Yemen,0.0,0.0,,受让半球|-0.5,输,小,负
1124649.0,648.0,2016/03/29 23:59,882.0,7818.0,4-2,1-1,亚洲预选,FIFA WCQL,150_马尔代夫,Maldives,188_不丹,Bhutan,0.0,0.0,,两球半|2.5,输,大,胜
1124652.0,648.0,2016/03/24 19:35,896.0,882.0,4-0,2-0,亚洲预选,FIFA WCQL,70_中国,China,150_马尔代夫,Maldives,0.0,0.0,,三球半/四球|3.5/4,输,小,负
1206457.0,1366.0,2016/01/19 19:30,882.0,6650.0,1-4,0-1,国际友谊,INT FRL,150_马尔代夫,Maldives,165_尼泊尔,Nepal,0.0,0.0,,,,,负
1205052.0,41.0,2016/01/16 17:00,900.0,882.0,1-1,0-1,球会友谊,INT CF,122_巴林,Bahrain,150_马尔代夫,Maldives,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1205609.0,41.0,2016/01/16 17:00,5202.0,882.0,1-1,0-1,球会友谊,INT CF,220_弱鸡,Bahrain U23,150_马尔代夫,Maldives,0.0,0.0,,,,,平
1205252.0,1366.0,2016/01/14 20:30,5126.0,882.0,0-2,0-2,国际友谊,INT FRL,220_弱鸡,Bangladesh U23,150_马尔代夫,Maldives,0.0,0.0,,,,,胜
1205078.0,1366.0,2016/01/11 16:50,882.0,1565.0,3-2,2-2,国际友谊,INT FRL,150_马尔代夫,Maldives,172_柬埔寨,Cambodia,0.0,0.0,,,,,胜
1203832.0,307.0,2015/12/31 18:00,893.0,882.0,3-2,2-1,黄金杯,SAFF,102_印度,India,150_马尔代夫,Maldives,0.0,0.0,,半球/一球|0.5/1,输,大,负
1202527.0,307.0,2015/12/28 21:00,882.0,6651.0,1-4,1-2,黄金杯,SAFF,150_马尔代夫,Maldives,148_阿富汗,Afghanistan,0.0,0.0,,受让半球|-0.5,输,大,负
1202525.0,307.0,2015/12/26 18:00,882.0,3352.0,3-1,1-0,黄金杯,SAFF,150_马尔代夫,Maldives,197_孟加拉国,Bangladesh,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1202523.0,307.0,2015/12/24 18:00,882.0,7818.0,3-1,2-1,黄金杯,SAFF,150_马尔代夫,Maldives,188_不丹,Bhutan,0.0,0.0,,两球|2,走,大,胜
1124656.0,648.0,2015/11/12 18:50,882.0,888.0,0-1,0-1,亚洲预选,FIFA WCQL,150_马尔代夫,Maldives,144_中国香港,Hong Kong,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1124657.0,648.0,2015/10/13 23:30,904.0,882.0,4-0,1-0,亚洲预选,FIFA WCQL,103_卡塔尔,Qatar,150_马尔代夫,Maldives,0.0,0.0,,三球半|3.5,输,走,负
1124660.0,648.0,2015/10/08 20:00,7818.0,882.0,3-4,0-3,亚洲预选,FIFA WCQL,188_不丹,Bhutan,150_马尔代夫,Maldives,0.0,0.0,,受让两球/两球半|-2/-2.5,输,大,胜
1185175.0,648.0,2015/09/08 19:35,896.0,882.0,3-0,1-0,亚洲预选,FIFA WCQL,70_中国,China,150_马尔代夫,Maldives,0.0,0.0,,两球半/三球|2.5/3,输,小,负
1180843.0,1366.0,2015/09/03 20:00,1562.0,882.0,2-0,0-0,国际友谊,INT FRL,123_菲律宾,Philippines,150_马尔代夫,Maldives,0.0,0.0,,一球/球半|1/1.5,输,小,负
1168038.0,1366.0,2015/08/05 22:00,5295.0,882.0,4-0,0-0,国际友谊,INT FRL,109_马达加斯加,Madagascar,150_马尔代夫,Maldives,0.0,0.0,,,,,负
1166785.0,41.0,2015/08/02 23:59,882.0,5289.0,4-1,0-0,球会友谊,INT CF,150_马尔代夫,Maldives,192_塞舌尔,Seychelles,0.0,0.0,,,,,胜
1124666.0,648.0,2015/06/16 20:00,888.0,882.0,2-0,0-0,亚洲预选,FIFA WCQL,144_中国香港,Hong Kong,150_马尔代夫,Maldives,0.0,0.0,,一球/球半|1/1.5,输,小,负
1124667.0,648.0,2015/06/11 23:59,882.0,904.0,0-1,0-0,亚洲预选,FIFA WCQL,150_马尔代夫,Maldives,103_卡塔尔,Qatar,0.0,0.0,,受让球半|-1.5,赢,小,负
1110843.0,1366.0,2015/03/26 23:59,882.0,884.0,0-2,0-1,国际友谊,INT FRL,150_马尔代夫,Maldives,126_塔吉克斯坦,Tajikistan,0.0,0.0,,平手|0,输,小,负
984851.0,251.0,2014/05/29 23:59,6651.0,882.0,0-0,0-0,亚挑杯,AFC CC,148_阿富汗,Afghanistan,150_马尔代夫,Maldives,0.0,0.0,"90,0-0;;1,1-1;8-7;1",受让平手/半球|-0/-0.5,输,小,平
984739.0,251.0,2014/05/27 23:59,882.0,1562.0,2-2,1-2,亚挑杯,AFC CC,150_马尔代夫,Maldives,123_菲律宾,Philippines,0.0,0.0,"90,2-2;;1,3-2;;1",平手|0,走,大,平
983657.0,251.0,2014/05/23 23:59,882.0,879.0,0-0,0-0,亚挑杯,AFC CC,150_马尔代夫,Maldives,75_巴勒斯坦,Palestine,0.0,0.0,,平手|0,走,小,平
983655.0,251.0,2014/05/21 23:59,882.0,885.0,2-0,0-0,亚挑杯,AFC CC,150_马尔代夫,Maldives,116_吉尔吉斯斯坦,Kyrgyzstan,0.0,1.0,,受让平手/半球|-0/-0.5,赢,小,胜
