赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1482713.0,1366.0,2017/12/15 12:00,6661.0,2865.0,3-2,2-2,国际友谊,INT FRL,156_瓦努阿图,Vanuatu,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,负
1482709.0,1366.0,2017/12/12 16:00,6662.0,2865.0,0-1,0-0,国际友谊,INT FRL,154_新喀里多尼亚,New Caledonia,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,胜
1483668.0,1366.0,2017/12/09 12:00,2865.0,8059.0,6-0,3-0,国际友谊,INT FRL,151_所罗门群岛,Solomon Islands,220_弱鸡,Tuvalu,0.0,0.0,,,,,胜
1482085.0,1366.0,2017/12/06 13:00,2865.0,6124.0,0-0,0-0,国际友谊,INT FRL,151_所罗门群岛,Solomon Islands,168_斐济,Fiji,0.0,0.0,,,,,平
1481981.0,1366.0,2017/12/02 09:00,8033.0,2865.0,0-8,0-3,国际友谊,INT FRL,206_汤加,Tonga,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,胜
1453637.0,649.0,2017/09/05 11:00,2865.0,2363.0,2-2,1-2,大洋预选,WCPO,151_所罗门群岛,Solomon Islands,120_新西兰,New Zealand,0.0,0.0,,,,,平
1453057.0,649.0,2017/09/01 15:35,2363.0,2865.0,6-1,3-0,大洋预选,WCPO,120_新西兰,New Zealand,151_所罗门群岛,Solomon Islands,0.0,0.0,,两球/两球半|2/2.5,输,大,负
1328463.0,649.0,2017/06/13 15:00,8031.0,2865.0,1-2,1-2,大洋预选,WCPO,158_巴布亚新几内亚,Papua New Guinea,151_所罗门群岛,Solomon Islands,1.0,0.0,,平手/半球|0/0.5,赢,大,胜
1328462.0,649.0,2017/06/09 12:00,2865.0,8031.0,3-2,2-0,大洋预选,WCPO,151_所罗门群岛,Solomon Islands,158_巴布亚新几内亚,Papua New Guinea,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1390591.0,1366.0,2017/05/28 11:00,6124.0,2865.0,1-0,0-0,国际友谊,INT FRL,168_斐济,Fiji,151_所罗门群岛,Solomon Islands,0.0,1.0,,,,,负
1390306.0,1366.0,2017/05/25 15:00,6124.0,2865.0,1-1,1-1,国际友谊,INT FRL,168_斐济,Fiji,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,平
1328459.0,649.0,2016/11/13 12:00,2865.0,8030.0,1-0,0-0,大洋预选,WCPO,151_所罗门群岛,Solomon Islands,152_塔希提群岛,Tahiti,0.0,0.0,,,,,胜
1328452.0,649.0,2016/11/08 13:00,8030.0,2865.0,1-0,0-0,大洋预选,WCPO,152_塔希提群岛,Tahiti,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,负
1321854.0,1366.0,2016/10/08 13:00,2865.0,6662.0,0-1,0-0,国际友谊,INT FRL,151_所罗门群岛,Solomon Islands,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,负
1320856.0,1366.0,2016/10/05 13:00,2865.0,6662.0,0-3,0-0,国际友谊,INT FRL,151_所罗门群岛,Solomon Islands,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,负
