赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393551.0,93.0,2018/11/16 23:00,20868.0,817.0,,,非洲杯,CAF NC,153_南苏丹,South Sudan,71_马里,Mali,0.0,0.0,,,,,
1393559.0,93.0,2018/11/13 23:00,817.0,20868.0,,,非洲杯,CAF NC,71_马里,Mali,153_南苏丹,South Sudan,0.0,0.0,,,,,
1393556.0,93.0,2018/10/16 23:00,20868.0,5294.0,,,非洲杯,CAF NC,153_南苏丹,South Sudan,143_布隆迪,Burundi,0.0,0.0,,,,,
1393555.0,93.0,2018/09/11 23:00,20868.0,788.0,,,非洲杯,CAF NC,153_南苏丹,South Sudan,93_加蓬,Gabon,0.0,0.0,,,,,
1393553.0,93.0,2018/09/03 23:00,788.0,20868.0,,,非洲杯,CAF NC,93_加蓬,Gabon,153_南苏丹,South Sudan,0.0,0.0,,,,,
1483490.0,581.0,2017/12/11 20:00,20868.0,5294.0,0-0,0-0,中东非杯,CECAFA Cup,153_南苏丹,South Sudan,143_布隆迪,Burundi,0.0,0.0,,受让球半|-1.5,赢,小,平
1482710.0,581.0,2017/12/08 20:00,802.0,20868.0,5-1,3-1,中东非杯,CECAFA Cup,73_乌干达,Uganda,153_南苏丹,South Sudan,0.0,0.0,,球半/两球|1.5/2,输,大,负
1482091.0,581.0,2017/12/05 20:00,20868.0,4637.0,0-3,0-1,中东非杯,CECAFA Cup,153_南苏丹,South Sudan,137_埃塞俄比亚,Ethiopia,0.0,0.0,,受让半球|-0.5,输,大,负
1424401.0,1052.0,2017/07/22 21:00,802.0,20868.0,5-1,2-0,非国锦标,CAF SC,73_乌干达,Uganda,153_南苏丹,South Sudan,0.0,0.0,,,,,负
1414977.0,1052.0,2017/07/14 21:30,20868.0,802.0,0-0,0-0,非国锦标,CAF SC,153_南苏丹,South Sudan,73_乌干达,Uganda,0.0,0.0,,,,,平
1392560.0,93.0,2017/06/10 21:00,5294.0,20868.0,3-0,3-0,非洲杯,CAF NC,143_布隆迪,Burundi,153_南苏丹,South Sudan,0.0,0.0,,半球/一球|0.5/1,输,大,负
1380941.0,1052.0,2017/04/30 21:00,20868.0,6976.0,2-0,0-0,非国锦标,CAF SC,153_南苏丹,South Sudan,206_索马里,Somalia,0.0,0.0,,,,,胜
1380668.0,1052.0,2017/04/22 18:00,6976.0,20868.0,1-2,0-1,非国锦标,CAF SC,206_索马里,Somalia,153_南苏丹,South Sudan,0.0,0.0,,,,,胜
1371445.0,93.0,2017/03/28 21:30,20868.0,6975.0,6-0,4-0,非洲杯,CAF NC,153_南苏丹,South Sudan,187_吉布提,Djibouti,0.0,0.0,,,,,胜
1371441.0,93.0,2017/03/23 00:20,6975.0,20868.0,2-0,0-0,非洲杯,CAF NC,187_吉布提,Djibouti,153_南苏丹,South Sudan,0.0,0.0,,,,,负
1129615.0,93.0,2016/09/04 23:59,5286.0,20868.0,4-0,0-0,非洲杯,CAF NC,141_赤道几内亚,Equatorial Guinea,153_南苏丹,South Sudan,0.0,0.0,,,,,负
1129614.0,93.0,2016/06/04 21:30,20868.0,817.0,0-3,0-1,非洲杯,CAF NC,153_南苏丹,South Sudan,71_马里,Mali,1.0,0.0,,,,,负
1129611.0,93.0,2016/03/27 23:00,808.0,20868.0,4-1,2-0,非洲杯,CAF NC,81_贝宁,Benin,153_南苏丹,South Sudan,0.0,0.0,,一球/球半|1/1.5,输,大,负
1129610.0,93.0,2016/03/23 21:30,20868.0,808.0,1-2,0-1,非洲杯,CAF NC,153_南苏丹,South Sudan,81_贝宁,Benin,0.0,0.0,,平手|0,输,大,负
1200598.0,581.0,2015/12/01 18:00,20868.0,792.0,0-0,0-0,中东非杯,CECAFA Cup,153_南苏丹,South Sudan,124_苏丹,Sudan,0.0,0.0,"90,0-0;;;3-5;2",平手|0,走,小,平
1198910.0,581.0,2015/11/27 19:00,20868.0,969.0,2-0,1-0,中东非杯,CECAFA Cup,153_南苏丹,South Sudan,124_马拉维,Malawi,0.0,0.0,,,,,胜
1198909.0,581.0,2015/11/25 20:45,20868.0,792.0,0-0,0-0,中东非杯,CECAFA Cup,153_南苏丹,South Sudan,124_苏丹,Sudan,0.0,0.0,,受让半球|-0.5,赢,小,平
1198906.0,581.0,2015/11/23 19:00,20868.0,6975.0,2-0,1-0,中东非杯,CECAFA Cup,153_南苏丹,South Sudan,187_吉布提,Djibouti,0.0,0.0,,球半/两球|1.5/2,赢,小,胜
