赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1523607.0,1366.0,2018/03/24 14:00,8030.0,6662.0,4-3,1-1,国际友谊,INT FRL,152_塔希提群岛,Tahiti,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,负
1482712.0,1366.0,2017/12/15 09:00,6124.0,6662.0,4-1,1-0,国际友谊,INT FRL,168_斐济,Fiji,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,负
1482709.0,1366.0,2017/12/12 16:00,6662.0,2865.0,0-1,0-0,国际友谊,INT FRL,154_新喀里多尼亚,New Caledonia,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,负
1483038.0,1366.0,2017/12/09 06:00,8033.0,6662.0,2-4,1-1,国际友谊,INT FRL,206_汤加,Tonga,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,胜
1483580.0,1366.0,2017/12/05 16:00,8059.0,6662.0,2-1,1-0,国际友谊,INT FRL,220_弱鸡,Tuvalu,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,负
1481567.0,1366.0,2017/12/02 12:00,6661.0,6662.0,2-1,1-0,国际友谊,INT FRL,156_瓦努阿图,Vanuatu,154_新喀里多尼亚,New Caledonia,0.0,1.0,,,,,负
1480553.0,1366.0,2017/11/26 14:05,6662.0,636.0,1-1,0-0,国际友谊,INT FRL,154_新喀里多尼亚,New Caledonia,88_爱沙尼亚,Estonia,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,平
1328458.0,649.0,2017/06/11 14:00,6662.0,6124.0,2-1,1-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,168_斐济,Fiji,0.0,0.0,,半球|0.5,赢,大,胜
1328457.0,649.0,2017/06/07 12:00,6124.0,6662.0,2-2,1-2,大洋预选,WCPO,168_斐济,Fiji,154_新喀里多尼亚,New Caledonia,0.0,1.0,,受让平手/半球|-0/-0.5,输,大,平
1328454.0,649.0,2016/11/15 14:00,6662.0,2363.0,0-0,0-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,120_新西兰,New Zealand,1.0,0.0,,受让球半|-1.5,赢,小,平
1328453.0,649.0,2016/11/12 10:00,2363.0,6662.0,2-0,1-0,大洋预选,WCPO,120_新西兰,New Zealand,154_新喀里多尼亚,New Caledonia,0.0,0.0,,球半/两球|1.5/2,输,小,负
1321854.0,1366.0,2016/10/08 13:00,2865.0,6662.0,0-1,0-0,国际友谊,INT FRL,151_所罗门群岛,Solomon Islands,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,胜
1320856.0,1366.0,2016/10/05 13:00,2865.0,6662.0,0-3,0-0,国际友谊,INT FRL,151_所罗门群岛,Solomon Islands,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,胜
1251750.0,1366.0,2016/06/22 16:20,6662.0,889.0,1-2,1-0,国际友谊,INT FRL,154_新喀里多尼亚,New Caledonia,175_马来西亚,Malaysia,0.0,1.0,,,,,负
1245791.0,649.0,2016/06/08 14:10,2363.0,6662.0,1-0,0-0,大洋预选,WCPO,120_新西兰,New Zealand,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,负
1243610.0,649.0,2016/06/05 17:00,8030.0,6662.0,1-1,0-0,大洋预选,WCPO,152_塔希提群岛,Tahiti,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,平
1243608.0,649.0,2016/06/01 17:00,6662.0,8032.0,7-0,4-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,194_萨摩亚,Samoa,0.0,0.0,,,,,胜
1243605.0,649.0,2016/05/29 14:00,8031.0,6662.0,1-1,1-0,大洋预选,WCPO,158_巴布亚新几内亚,Papua New Guinea,154_新喀里多尼亚,New Caledonia,1.0,0.0,,,,,平
1231533.0,41.0,2016/03/26 12:00,6661.0,6662.0,2-1,0-0,球会友谊,INT CF,156_瓦努阿图,Vanuatu,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,负
778457.0,649.0,2013/03/26 15:00,6662.0,8030.0,1-0,0-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,152_塔希提群岛,Tahiti,0.0,0.0,,,,,胜
778455.0,649.0,2013/03/22 14:45,2363.0,6662.0,2-1,1-0,大洋预选,WCPO,120_新西兰,New Zealand,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,负
778452.0,649.0,2012/10/16 16:30,6662.0,2865.0,5-0,4-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,胜
778451.0,649.0,2012/10/12 12:00,2865.0,6662.0,2-6,1-2,大洋预选,WCPO,151_所罗门群岛,Solomon Islands,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,胜
789045.0,41.0,2012/09/26 17:00,6662.0,8030.0,0-1,0-0,球会友谊,INT CF,154_新喀里多尼亚,New Caledonia,152_塔希提群岛,Tahiti,0.0,0.0,,,,,负
778449.0,649.0,2012/09/12 14:00,8030.0,6662.0,0-4,0-0,大洋预选,WCPO,152_塔希提群岛,Tahiti,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,胜
778447.0,649.0,2012/09/07 15:00,6662.0,2363.0,0-2,0-2,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,120_新西兰,New Zealand,0.0,0.0,,,,,负
709562.0,649.0,2012/06/10 12:00,6662.0,8030.0,0-1,0-1,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,152_塔希提群岛,Tahiti,0.0,0.0,,,,,负
709137.0,649.0,2012/06/08 12:00,2363.0,6662.0,0-2,0-0,大洋预选,WCPO,120_新西兰,New Zealand,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,胜
707731.0,649.0,2012/06/05 09:00,6662.0,8032.0,9-0,6-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,194_萨摩亚,Samoa,0.0,0.0,,,,,胜
707730.0,649.0,2012/06/03 12:00,8030.0,6662.0,4-3,3-0,大洋预选,WCPO,152_塔希提群岛,Tahiti,154_新喀里多尼亚,New Caledonia,0.0,2.0,,,,,负
707728.0,649.0,2012/06/01 12:00,6661.0,6662.0,2-5,0-1,大洋预选,WCPO,156_瓦努阿图,Vanuatu,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,胜
541877.0,41.0,2011/04/07 14:00,8030.0,6662.0,1-0,0-0,球会友谊,INT CF,152_塔希提群岛,Tahiti,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,负
541064.0,41.0,2011/04/04 12:00,8030.0,6662.0,1-3,0-1,球会友谊,INT CF,152_塔希提群岛,Tahiti,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,胜
203908.0,649.0,2008/09/10 15:35,2363.0,6662.0,3-0,0-0,大洋预选,WCPO,120_新西兰,New Zealand,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,小,负
203910.0,649.0,2008/09/06 14:00,6662.0,2363.0,1-3,0-1,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,120_新西兰,New Zealand,0.0,0.0,,,,,负
203915.0,649.0,2008/06/21 12:00,6662.0,6661.0,3-0,1-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,156_瓦努阿图,Vanuatu,0.0,1.0,,,,,胜
203913.0,649.0,2008/06/14 11:00,6661.0,6662.0,1-1,0-0,大洋预选,WCPO,156_瓦努阿图,Vanuatu,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,平
203917.0,649.0,2007/11/21 16:00,6662.0,6124.0,4-0,2-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,168_斐济,Fiji,0.0,0.0,,,,,胜
203919.0,649.0,2007/11/17 11:00,6124.0,6662.0,3-3,2-0,大洋预选,WCPO,168_斐济,Fiji,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,平
203921.0,649.0,2007/09/08 13:00,6662.0,6124.0,1-0,0-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,168_斐济,Fiji,0.0,0.0,,,,,胜
203922.0,649.0,2007/09/06 10:00,2865.0,6662.0,2-3,1-1,大洋预选,WCPO,151_所罗门群岛,Solomon Islands,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,胜
203932.0,649.0,2007/09/04 10:00,6662.0,6124.0,1-1,1-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,168_斐济,Fiji,0.0,0.0,,,,,平
203929.0,649.0,2007/08/30 13:00,6662.0,8034.0,3-0,1-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,194_库克,Cook Islands,0.0,0.0,,,,,胜
203926.0,649.0,2007/08/28 10:00,8059.0,6662.0,0-1,0-0,大洋预选,WCPO,220_弱鸡,Tuvalu,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,胜
203924.0,649.0,2007/08/26 10:00,8030.0,6662.0,0-1,0-1,大洋预选,WCPO,152_塔希提群岛,Tahiti,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,胜
