赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1547465.0,1366.0,2018/06/04 07:00,1992.0,5092.0,0-0,0-0,国际友谊,INT FRL,155_巴巴多斯,Barbados,171_伯利兹,Belize,0.0,0.0,,,,,平
1524257.0,1366.0,2018/03/26 04:00,1992.0,5293.0,0-0,0-0,国际友谊,INT FRL,155_巴巴多斯,Barbados,184_百慕大群岛,Bermuda,0.0,0.0,,,,,平
1474510.0,1366.0,2017/10/29 07:00,5293.0,1992.0,2-3,2-0,国际友谊,INT FRL,184_百慕大群岛,Bermuda,155_巴巴多斯,Barbados,0.0,0.0,,,,,胜
1410538.0,1366.0,2017/07/07 08:30,7296.0,1992.0,0-2,0-1,国际友谊,INT FRL,159_格瑞那达,Grenada,155_巴巴多斯,Barbados,0.0,0.0,,,,,胜
1410122.0,1366.0,2017/07/05 06:00,1494.0,1992.0,4-2,1-2,国际友谊,INT FRL,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,155_巴巴多斯,Barbados,0.0,0.0,,,,,负
1406506.0,1366.0,2017/07/01 05:30,7293.0,1992.0,2-1,1-1,国际友谊,INT FRL,168_多米尼克,Dominica,155_巴巴多斯,Barbados,0.0,0.0,,,,,负
1386357.0,41.0,2017/05/07 08:00,821.0,1992.0,2-1,1-1,球会友谊,INT CF,110_圣基茨和尼维斯,St. Kitts and Nevis,155_巴巴多斯,Barbados,0.0,0.0,,,,,负
1373866.0,1366.0,2017/03/27 08:00,1992.0,16239.0,2-1,0-0,国际友谊,INT FRL,155_巴巴多斯,Barbados,220_弱鸡,Martinique,0.0,1.0,,,,,胜
1368363.0,1366.0,2017/03/11 07:00,912.0,1992.0,2-0,2-0,国际友谊,INT FRL,80_特立尼达和多巴哥,Trinidad   Tobago,155_巴巴多斯,Barbados,0.0,0.0,,球半/两球|1.5/2,输,小,负
1229858.0,188.0,2016/03/30 04:00,7538.0,1992.0,2-0,0-0,美加杯,CGC CZ,160_多米尼加共和国,Dominican Republic,155_巴巴多斯,Barbados,0.0,1.0,,,,,负
1229856.0,188.0,2016/03/24 08:00,1992.0,17976.0,1-0,0-0,美加杯,CGC CZ,155_巴巴多斯,Barbados,84_库拉索,Curacao,0.0,0.0,,,,,胜
1181984.0,1366.0,2015/08/29 05:00,1494.0,1992.0,2-2,0-0,国际友谊,INT FRL,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,155_巴巴多斯,Barbados,0.0,0.0,,,,,平
1129427.0,653.0,2015/06/15 07:30,1992.0,7300.0,1-0,0-0,北美预选,WCPCA,155_巴巴多斯,Barbados,180_阿鲁巴,Aruba,0.0,0.0,,半球|0.5,赢,小,胜
1129417.0,653.0,2015/06/11 08:00,7300.0,1992.0,0-2,0-2,北美预选,WCPCA,180_阿鲁巴,Aruba,155_巴巴多斯,Barbados,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1126852.0,1366.0,2015/05/11 07:30,1992.0,821.0,1-3,1-1,国际友谊,INT FRL,155_巴巴多斯,Barbados,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,负
1110379.0,653.0,2015/03/27 03:30,7295.0,1992.0,0-4,0-2,北美预选,WCPCA,198_美属维津群岛,US Virgin Islands,155_巴巴多斯,Barbados,0.0,0.0,,,,,胜
1109724.0,653.0,2015/03/23 07:00,1992.0,7295.0,0-1,0-1,北美预选,WCPCA,155_巴巴多斯,Barbados,198_美属维津群岛,US Virgin Islands,1.0,0.0,,,,,负
1088082.0,41.0,2015/02/02 07:00,1992.0,8029.0,2-2,2-2,球会友谊,INT CF,155_巴巴多斯,Barbados,164_圭亚那,Guyana,0.0,0.0,,,,,平
