赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1482713.0,1366.0,2017/12/15 12:00,6661.0,2865.0,3-2,2-2,国际友谊,INT FRL,156_瓦努阿图,Vanuatu,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,胜
1483670.0,1366.0,2017/12/12 12:00,6661.0,8059.0,10-0,2-0,国际友谊,INT FRL,156_瓦努阿图,Vanuatu,220_弱鸡,Tuvalu,0.0,0.0,,,,,胜
1483039.0,1366.0,2017/12/09 09:00,6661.0,6124.0,1-1,0-1,国际友谊,INT FRL,156_瓦努阿图,Vanuatu,168_斐济,Fiji,0.0,0.0,,,,,平
1482086.0,1366.0,2017/12/06 16:00,6661.0,8033.0,5-0,2-0,国际友谊,INT FRL,156_瓦努阿图,Vanuatu,206_汤加,Tonga,0.0,0.0,,,,,胜
1481567.0,1366.0,2017/12/02 12:00,6661.0,6662.0,2-1,1-0,国际友谊,INT FRL,156_瓦努阿图,Vanuatu,154_新喀里多尼亚,New Caledonia,0.0,1.0,,,,,胜
1478939.0,1366.0,2017/11/23 11:00,6661.0,636.0,0-1,0-1,国际友谊,INT FRL,156_瓦努阿图,Vanuatu,88_爱沙尼亚,Estonia,0.0,0.0,,受让球半/两球|-1.5/-2,赢,小,负
1243603.0,649.0,2016/06/04 14:00,6124.0,6661.0,2-3,0-2,大洋预选,WCPO,168_斐济,Fiji,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,胜
1243601.0,649.0,2016/05/31 14:00,6661.0,2363.0,0-5,0-5,大洋预选,WCPO,156_瓦努阿图,Vanuatu,120_新西兰,New Zealand,0.0,0.0,,,,,负
1243600.0,649.0,2016/05/28 17:00,6661.0,2865.0,0-1,0-1,大洋预选,WCPO,156_瓦努阿图,Vanuatu,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,负
1231533.0,41.0,2016/03/26 12:00,6661.0,6662.0,2-1,0-0,球会友谊,INT CF,156_瓦努阿图,Vanuatu,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,胜
1197239.0,1366.0,2015/11/10 12:00,6661.0,6124.0,2-1,2-0,国际友谊,INT FRL,156_瓦努阿图,Vanuatu,168_斐济,Fiji,0.0,0.0,,,,,胜
1196940.0,1366.0,2015/11/07 12:05,6661.0,6124.0,1-1,1-0,国际友谊,INT FRL,156_瓦努阿图,Vanuatu,168_斐济,Fiji,0.0,0.0,,,,,平
707732.0,649.0,2012/06/05 12:00,8030.0,6661.0,4-1,2-0,大洋预选,WCPO,152_塔希提群岛,Tahiti,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,负
707729.0,649.0,2012/06/03 09:00,6661.0,8032.0,5-0,2-0,大洋预选,WCPO,156_瓦努阿图,Vanuatu,194_萨摩亚,Samoa,0.0,0.0,,,,,胜
707728.0,649.0,2012/06/01 12:00,6661.0,6662.0,2-5,0-1,大洋预选,WCPO,156_瓦努阿图,Vanuatu,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,负
580938.0,41.0,2011/07/30 12:00,6661.0,2865.0,2-0,0-0,球会友谊,INT CF,156_瓦努阿图,Vanuatu,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,胜
580953.0,41.0,2011/07/27 12:00,6661.0,2865.0,0-0,0-0,球会友谊,INT CF,156_瓦努阿图,Vanuatu,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,平
571456.0,41.0,2011/07/15 15:00,6124.0,6661.0,1-2,0-2,球会友谊,INT CF,168_斐济,Fiji,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,胜
572000.0,41.0,2011/07/13 15:00,6124.0,6661.0,2-0,0-0,球会友谊,INT CF,168_斐济,Fiji,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,负
569157.0,41.0,2011/07/08 12:00,2865.0,6661.0,2-1,0-0,球会友谊,INT CF,151_所罗门群岛,Solomon Islands,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,负
203909.0,649.0,2008/09/10 11:00,6661.0,6124.0,2-1,0-0,大洋预选,WCPO,156_瓦努阿图,Vanuatu,168_斐济,Fiji,1.0,0.0,,,,,胜
203911.0,649.0,2008/09/06 11:00,6124.0,6661.0,2-0,1-0,大洋预选,WCPO,168_斐济,Fiji,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,负
203915.0,649.0,2008/06/21 12:00,6662.0,6661.0,3-0,1-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,156_瓦努阿图,Vanuatu,0.0,1.0,,,,,负
203913.0,649.0,2008/06/14 11:00,6661.0,6662.0,1-1,0-0,大洋预选,WCPO,156_瓦努阿图,Vanuatu,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,平
203916.0,649.0,2007/11/21 13:00,2363.0,6661.0,4-1,3-0,大洋预选,WCPO,120_新西兰,New Zealand,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,负
203918.0,649.0,2007/11/17 11:00,6661.0,2363.0,1-2,1-0,大洋预选,WCPO,156_瓦努阿图,Vanuatu,120_新西兰,New Zealand,0.0,0.0,,,,,负
203920.0,649.0,2007/09/08 09:30,2865.0,6661.0,0-2,0-1,大洋预选,WCPO,151_所罗门群岛,Solomon Islands,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,胜
203923.0,649.0,2007/09/06 13:00,6124.0,6661.0,3-0,1-0,大洋预选,WCPO,168_斐济,Fiji,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,负
203944.0,649.0,2007/09/04 07:30,8033.0,6661.0,1-4,0-3,大洋预选,WCPO,206_汤加,Tonga,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,胜
203943.0,649.0,2007/09/02 09:30,6661.0,2865.0,0-2,0-0,大洋预选,WCPO,156_瓦努阿图,Vanuatu,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,负
203940.0,649.0,2007/08/30 10:00,8035.0,6661.0,0-15,0-5,大洋预选,WCPO,194_美属萨摩亚,American Samoa,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,胜
203937.0,649.0,2007/08/26 15:30,8032.0,6661.0,0-4,0-2,大洋预选,WCPO,194_萨摩亚,Samoa,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,胜
