赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1545778.0,1311.0,2018/06/01 23:30,920.0,4638.0,6-0,4-0,南非洲杯,SACC,149_博茨瓦纳,Botswana,157_毛里求斯,Mauritius,0.0,0.0,,半球|0.5,输,大,负
1545775.0,1311.0,2018/05/30 23:00,804.0,4638.0,1-0,0-0,南非洲杯,SACC,142_安哥拉,Angola,157_毛里求斯,Mauritius,0.0,0.0,,平手/半球|0/0.5,输,小,负
1545774.0,1311.0,2018/05/29 01:30,4638.0,969.0,1-0,1-0,南非洲杯,SACC,157_毛里求斯,Mauritius,124_马拉维,Malawi,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1521485.0,1366.0,2018/03/27 18:00,5768.0,4638.0,0-2,0-2,国际友谊,INT FRL,189_蒙古,Mongolia,157_毛里求斯,Mauritius,0.0,0.0,,,,,胜
1523244.0,1366.0,2018/03/22 20:00,3325.0,4638.0,0-1,0-1,国际友谊,INT FRL,186_中国澳门,Macau of China,157_毛里求斯,Mauritius,0.0,0.0,,,,,胜
1477181.0,1366.0,2017/11/12 23:30,816.0,4638.0,6-0,2-0,国际友谊,INT FRL,127_多哥,Togo,157_毛里求斯,Mauritius,0.0,0.0,,,,,负
1449598.0,1366.0,2017/08/22 20:00,821.0,4638.0,1-1,0-1,国际友谊,INT FRL,110_圣基茨和尼维斯,St. Kitts and Nevis,157_毛里求斯,Mauritius,0.0,0.0,,,,,平
1447989.0,1366.0,2017/08/19 22:30,893.0,4638.0,2-1,1-1,国际友谊,INT FRL,102_印度,India,157_毛里求斯,Mauritius,0.0,0.0,,,,,负
1421494.0,1052.0,2017/07/23 23:30,804.0,4638.0,3-2,2-2,非国锦标,CAF SC,142_安哥拉,Angola,157_毛里求斯,Mauritius,0.0,0.0,,,,,负
1414975.0,1052.0,2017/07/16 19:30,4638.0,804.0,0-1,0-1,非国锦标,CAF SC,157_毛里求斯,Mauritius,142_安哥拉,Angola,0.0,0.0,,,,,负
1404278.0,1311.0,2017/06/29 23:00,4937.0,4638.0,1-1,0-0,南非洲杯,SACC,146_坦桑尼亚,Tanzania,157_毛里求斯,Mauritius,0.0,0.0,,半球|0.5,赢,走,平
1404135.0,1311.0,2017/06/27 23:00,969.0,4638.0,0-0,0-0,南非洲杯,SACC,124_马拉维,Malawi,157_毛里求斯,Mauritius,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1402360.0,1311.0,2017/06/25 23:30,4638.0,804.0,0-1,0-1,南非洲杯,SACC,157_毛里求斯,Mauritius,142_安哥拉,Angola,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1380942.0,1052.0,2017/04/29 18:00,5289.0,4638.0,1-1,0-1,非国锦标,CAF SC,192_塞舌尔,Seychelles,157_毛里求斯,Mauritius,0.0,0.0,,,,,平
1380667.0,1052.0,2017/04/22 20:00,4638.0,5289.0,2-1,1-0,非国锦标,CAF SC,157_毛里求斯,Mauritius,192_塞舌尔,Seychelles,0.0,0.0,,,,,胜
1371444.0,93.0,2017/03/28 20:00,4638.0,6675.0,1-1,1-1,非洲杯,CAF NC,157_毛里求斯,Mauritius,130_科摩罗,Comoros,1.0,0.0,,,,,平
1371442.0,93.0,2017/03/24 20:00,6675.0,4638.0,2-0,0-0,非洲杯,CAF NC,130_科摩罗,Comoros,157_毛里求斯,Mauritius,0.0,1.0,,,,,负
1129677.0,93.0,2016/09/04 01:30,5292.0,4638.0,1-0,0-0,非洲杯,CAF NC,108_莫桑比克,Mozambique,157_毛里求斯,Mauritius,0.0,0.0,,,,,负
1246974.0,1366.0,2016/06/16 23:59,804.0,4638.0,0-2,0-2,国际友谊,INT FRL,142_安哥拉,Angola,157_毛里求斯,Mauritius,1.0,1.0,,,,,胜
1247526.0,1366.0,2016/06/15 02:30,4638.0,969.0,0-1,0-0,国际友谊,INT FRL,157_毛里求斯,Mauritius,124_马拉维,Malawi,0.0,0.0,,,,,负
1246751.0,41.0,2016/06/12 22:00,5296.0,4638.0,3-0,2-0,球会友谊,INT CF,145_莱索托,Lesotho,157_毛里求斯,Mauritius,0.0,0.0,,,,,负
1129674.0,93.0,2016/06/05 19:00,4638.0,810.0,0-2,0-0,非洲杯,CAF NC,157_毛里求斯,Mauritius,50_加纳,Ghana,0.0,0.0,,受让球半/两球|-1.5/-2,输,小,负
1129673.0,93.0,2016/03/29 21:30,922.0,4638.0,5-0,3-0,非洲杯,CAF NC,116_卢旺达,Rwanda,157_毛里求斯,Mauritius,0.0,0.0,,球半|1.5,输,大,负
1129671.0,93.0,2016/03/26 19:00,4638.0,922.0,1-0,0-0,非洲杯,CAF NC,157_毛里求斯,Mauritius,116_卢旺达,Rwanda,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1190105.0,651.0,2015/10/11 21:00,921.0,4638.0,0-0,0-0,非洲预选,WCPAF,105_肯尼亚,Kenya,157_毛里求斯,Mauritius,0.0,0.0,,球半/两球|1.5/2,赢,小,平
1190119.0,651.0,2015/10/07 22:30,4638.0,921.0,2-5,0-2,非洲预选,WCPAF,157_毛里求斯,Mauritius,105_肯尼亚,Kenya,0.0,0.0,,受让半球|-0.5,输,大,负
1129668.0,93.0,2015/09/06 19:00,4638.0,5292.0,1-0,0-0,非洲杯,CAF NC,157_毛里求斯,Mauritius,108_莫桑比克,Mozambique,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1130057.0,1052.0,2015/07/05 19:00,4638.0,803.0,0-2,0-0,非国锦标,CAF SC,157_毛里求斯,Mauritius,78_南非,South Africa,0.0,0.0,,受让一球|-1,输,小,负
1130051.0,1052.0,2015/06/20 21:00,803.0,4638.0,3-0,3-0,非国锦标,CAF SC,78_南非,South Africa,157_毛里求斯,Mauritius,0.0,1.0,,球半|1.5,输,大,负
