赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1328463.0,649.0,2017/06/13 15:00,8031.0,2865.0,1-2,1-2,大洋预选,WCPO,158_巴布亚新几内亚,Papua New Guinea,151_所罗门群岛,Solomon Islands,1.0,0.0,,平手/半球|0/0.5,输,大,负
1328462.0,649.0,2017/06/09 12:00,2865.0,8031.0,3-2,2-0,大洋预选,WCPO,151_所罗门群岛,Solomon Islands,158_巴布亚新几内亚,Papua New Guinea,0.0,0.0,,平手/半球|0/0.5,输,大,负
1328461.0,649.0,2017/03/29 13:00,8030.0,8031.0,1-2,0-0,大洋预选,WCPO,152_塔希提群岛,Tahiti,158_巴布亚新几内亚,Papua New Guinea,0.0,0.0,,,,,胜
1328460.0,649.0,2017/03/23 14:00,8031.0,8030.0,1-3,1-0,大洋预选,WCPO,158_巴布亚新几内亚,Papua New Guinea,152_塔希提群岛,Tahiti,1.0,0.0,,,,,负
1329938.0,1366.0,2016/11/14 15:05,889.0,8031.0,2-1,1-1,国际友谊,INT FRL,175_马来西亚,Malaysia,158_巴布亚新几内亚,Papua New Guinea,0.0,0.0,,半球/一球|0.5/1,输,大,负
1329040.0,1366.0,2016/11/11 19:00,783.0,8031.0,8-1,2-0,国际友谊,INT FRL,34_伊朗,Iran,158_巴布亚新几内亚,Papua New Guinea,0.0,0.0,,,,,负
1245976.0,649.0,2016/06/11 14:10,2363.0,8031.0,0-0,0-0,大洋预选,WCPO,120_新西兰,New Zealand,158_巴布亚新几内亚,Papua New Guinea,0.0,0.0,"90,0-0;;1,0-0;4-2;1",,,,平
1245792.0,649.0,2016/06/08 17:40,8031.0,2865.0,2-1,1-1,大洋预选,WCPO,158_巴布亚新几内亚,Papua New Guinea,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,胜
1243609.0,649.0,2016/06/05 14:10,8031.0,8032.0,8-0,2-0,大洋预选,WCPO,158_巴布亚新几内亚,Papua New Guinea,194_萨摩亚,Samoa,0.0,1.0,,,,,胜
1243607.0,649.0,2016/06/01 14:00,8031.0,8030.0,2-2,1-0,大洋预选,WCPO,158_巴布亚新几内亚,Papua New Guinea,152_塔希提群岛,Tahiti,0.0,1.0,,,,,平
1243605.0,649.0,2016/05/29 14:00,8031.0,6662.0,1-1,1-0,大洋预选,WCPO,158_巴布亚新几内亚,Papua New Guinea,154_新喀里多尼亚,New Caledonia,1.0,0.0,,,,,平
1231542.0,1366.0,2016/03/27 10:00,2865.0,8031.0,1-2,1-1,国际友谊,INT FRL,151_所罗门群岛,Solomon Islands,158_巴布亚新几内亚,Papua New Guinea,0.0,0.0,,,,,胜
1231048.0,1366.0,2016/03/24 12:00,2865.0,8031.0,2-0,2-0,国际友谊,INT FRL,151_所罗门群岛,Solomon Islands,158_巴布亚新几内亚,Papua New Guinea,0.0,0.0,,,,,负
1065650.0,1366.0,2014/10/12 20:00,1562.0,8031.0,5-0,5-0,国际友谊,INT FRL,123_菲律宾,Philippines,158_巴布亚新几内亚,Papua New Guinea,0.0,0.0,,球半/两球|1.5/2,输,大,负
1054115.0,1366.0,2014/09/06 19:30,892.0,8031.0,2-1,2-0,国际友谊,INT FRL,173_新加坡,Singapore,158_巴布亚新几内亚,Papua New Guinea,0.0,0.0,,一球/球半|1/1.5,赢,大,负
707725.0,649.0,2012/06/06 09:00,8031.0,6124.0,1-1,0-1,大洋预选,WCPO,158_巴布亚新几内亚,Papua New Guinea,168_斐济,Fiji,0.0,0.0,,,,,平
707723.0,649.0,2012/06/04 09:00,8031.0,2363.0,1-2,0-1,大洋预选,WCPO,158_巴布亚新几内亚,Papua New Guinea,120_新西兰,New Zealand,0.0,1.0,,,,,负
708359.0,649.0,2012/06/02 12:00,2865.0,8031.0,1-0,1-0,大洋预选,WCPO,151_所罗门群岛,Solomon Islands,158_巴布亚新几内亚,Papua New Guinea,0.0,0.0,,,,,负
