赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1482112.0,1366.0,2017/12/03 08:00,821.0,7296.0,1-0,0-0,国际友谊,INT FRL,110_圣基茨和尼维斯,St. Kitts and Nevis,159_格瑞那达,Grenada,0.0,0.0,,,,,负
1477923.0,1366.0,2017/11/12 07:30,912.0,7296.0,2-2,0-0,国际友谊,INT FRL,80_特立尼达和多巴哥,Trinidad   Tobago,159_格瑞那达,Grenada,0.0,0.0,,,,,平
1451455.0,41.0,2017/10/25 07:00,7296.0,798.0,0-5,0-3,球会友谊,INT CF,159_格瑞那达,Grenada,53_巴拿马,Panama,0.0,0.0,,,,,负
1469158.0,1366.0,2017/10/08 04:00,7296.0,8029.0,1-0,0-0,国际友谊,INT FRL,159_格瑞那达,Grenada,164_圭亚那,Guyana,0.0,0.0,,,,,胜
1410538.0,1366.0,2017/07/07 08:30,7296.0,1992.0,0-2,0-1,国际友谊,INT FRL,159_格瑞那达,Grenada,155_巴巴多斯,Barbados,0.0,0.0,,,,,负
1406594.0,41.0,2017/07/01 08:30,7296.0,8026.0,2-0,1-0,球会友谊,INT CF,159_格瑞那达,Grenada,175_圣路西亚,St. Lucia,0.0,0.0,,,,,胜
1393072.0,1366.0,2017/06/11 05:30,7296.0,5293.0,1-2,1-0,国际友谊,INT FRL,159_格瑞那达,Grenada,184_百慕大群岛,Bermuda,0.0,0.0,,,,,负
1391071.0,1366.0,2017/06/09 04:00,7296.0,5293.0,2-2,1-1,国际友谊,INT FRL,159_格瑞那达,Grenada,184_百慕大群岛,Bermuda,0.0,0.0,,,,,平
1384620.0,1366.0,2017/04/30 07:30,7296.0,912.0,2-2,1-0,国际友谊,INT FRL,159_格瑞那达,Grenada,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,,,,平
1244338.0,188.0,2016/06/08 07:30,8028.0,7296.0,5-1,0-0,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,159_格瑞那达,Grenada,0.0,0.0,,,,,负
1244336.0,188.0,2016/06/02 08:00,7296.0,7492.0,3-3,3-1,美加杯,CGC CZ,159_格瑞那达,Grenada,166_波多黎各,Puerto Rico,0.0,0.0,"90,3-3;;1,3-3;3-4;2",,,,平
1229852.0,188.0,2016/03/30 04:15,7295.0,7296.0,1-2,0-1,美加杯,CGC CZ,198_美属维津群岛,US Virgin Islands,159_格瑞那达,Grenada,0.0,0.0,,,,,胜
1229850.0,188.0,2016/03/23 08:15,7296.0,26522.0,5-0,0-0,美加杯,CGC CZ,159_格瑞那达,Grenada,220_弱鸡,Sint Maarten,0.0,0.0,,,,,胜
1229393.0,1366.0,2016/03/20 08:00,7296.0,912.0,2-2,1-1,国际友谊,INT FRL,159_格瑞那达,Grenada,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,受让球半|-1.5,赢,大,平
1183615.0,653.0,2015/09/09 07:15,909.0,7296.0,3-0,2-0,北美预选,WCPCA,87_海地,Haiti,159_格瑞那达,Grenada,0.0,0.0,,球半/两球|1.5/2,输,大,负
1183620.0,653.0,2015/09/05 04:15,7296.0,909.0,1-3,1-2,北美预选,WCPCA,159_格瑞那达,Grenada,87_海地,Haiti,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,负
1129430.0,653.0,2015/06/17 03:40,7296.0,7492.0,2-0,1-0,北美预选,WCPCA,159_格瑞那达,Grenada,166_波多黎各,Puerto Rico,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1129421.0,653.0,2015/06/13 08:00,7492.0,7296.0,1-0,1-0,北美预选,WCPCA,166_波多黎各,Puerto Rico,159_格瑞那达,Grenada,0.0,0.0,,半球|0.5,输,小,负
1127531.0,1366.0,2015/05/17 05:30,8026.0,7296.0,0-2,0-1,国际友谊,INT FRL,175_圣路西亚,St. Lucia,159_格瑞那达,Grenada,1.0,0.0,,,,,胜
1116589.0,1366.0,2015/05/15 05:30,7296.0,7293.0,1-2,1-1,国际友谊,INT FRL,159_格瑞那达,Grenada,168_多米尼克,Dominica,0.0,0.0,,,,,负
1127193.0,1366.0,2015/05/13 05:30,7296.0,1494.0,2-3,1-1,国际友谊,INT FRL,159_格瑞那达,Grenada,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,负
1111219.0,1366.0,2015/03/30 08:30,8029.0,7296.0,2-0,2-0,国际友谊,INT FRL,164_圭亚那,Guyana,159_格瑞那达,Grenada,0.0,0.0,,,,,负
1105430.0,41.0,2015/03/09 02:00,5293.0,7296.0,2-0,1-0,球会友谊,INT CF,184_百慕大群岛,Bermuda,159_格瑞那达,Grenada,0.0,0.0,,,,,负
1104966.0,41.0,2015/03/07 08:30,5293.0,7296.0,2-2,2-1,球会友谊,INT CF,184_百慕大群岛,Bermuda,159_格瑞那达,Grenada,1.0,0.0,,,,,平
