赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502118.0,1864.0,2018/11/18 22:00,744.0,768.0,,,欧国联,UEFA  NL,16_英格兰,England,15_克罗地亚,Croatia,0.0,0.0,,,,,
1502117.0,1864.0,2018/11/16 03:45,768.0,772.0,,,欧国联,UEFA  NL,15_克罗地亚,Croatia,6_西班牙,Spain,0.0,0.0,,,,,
1502115.0,1864.0,2018/10/13 02:45,768.0,744.0,,,欧国联,UEFA  NL,15_克罗地亚,Croatia,16_英格兰,England,0.0,0.0,,,,,
1502114.0,1864.0,2018/09/12 02:45,772.0,768.0,,,欧国联,UEFA  NL,6_西班牙,Spain,15_克罗地亚,Croatia,0.0,0.0,,,,,
1483049.0,75.0,2018/07/02 02:00,768.0,638.0,,,世界杯,World Cup,15_克罗地亚,Croatia,12_丹麦,Denmark,0.0,0.0,,,,,
1482845.0,75.0,2018/06/27 02:00,756.0,768.0,1-2,0-0,世界杯,World Cup,20_冰岛,Iceland,15_克罗地亚,Croatia,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1482843.0,75.0,2018/06/22 02:00,766.0,768.0,0-3,0-0,世界杯,World Cup,4_阿根廷,Argentina,15_克罗地亚,Croatia,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1482842.0,75.0,2018/06/17 03:00,768.0,789.0,2-0,1-0,世界杯,World Cup,15_克罗地亚,Croatia,51_尼日利亚,Nigeria,0.0,0.0,,半球|0.5,赢,小,胜
1543758.0,1366.0,2018/06/08 23:59,768.0,815.0,2-1,0-0,国际友谊,INT FRL,15_克罗地亚,Croatia,24_塞内加尔,Senegal,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1543743.0,1366.0,2018/06/03 22:00,778.0,768.0,2-0,0-0,国际友谊,INT FRL,2_巴西,Brazil,15_克罗地亚,Croatia,0.0,0.0,,一球/球半|1/1.5,输,小,负
1521510.0,1366.0,2018/03/28 10:00,819.0,768.0,0-1,0-0,国际友谊,INT FRL,17_墨西哥,Mexico,15_克罗地亚,Croatia,0.0,0.0,,半球|0.5,赢,小,胜
1519564.0,1366.0,2018/03/24 08:30,774.0,768.0,2-0,1-0,国际友谊,INT FRL,11_秘鲁,Peru,15_克罗地亚,Croatia,1.0,0.0,,受让半球|-0.5,输,小,负
1472471.0,650.0,2017/11/13 03:45,757.0,768.0,0-0,0-0,欧洲预选,WCPEU,47_希腊,Greece,15_克罗地亚,Croatia,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,平
1472349.0,650.0,2017/11/10 03:45,768.0,757.0,4-1,3-1,欧洲预选,WCPEU,15_克罗地亚,Croatia,47_希腊,Greece,0.0,0.0,,一球|1,赢,大,胜
1198629.0,650.0,2017/10/10 02:45,634.0,768.0,0-2,0-0,欧洲预选,WCPEU,35_乌克兰,Ukraine,15_克罗地亚,Croatia,0.0,0.0,,平手|0,赢,小,胜
1198626.0,650.0,2017/10/07 02:45,768.0,736.0,1-1,0-0,欧洲预选,WCPEU,15_克罗地亚,Croatia,68_芬兰,Finland,0.0,0.0,,两球|2,输,小,平
1198624.0,650.0,2017/09/06 02:45,762.0,768.0,1-0,0-0,欧洲预选,WCPEU,41_土耳其,Turkey,15_克罗地亚,Croatia,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1311359.0,650.0,2017/09/03 20:30,768.0,5764.0,1-0,0-0,欧洲预选,WCPEU,15_克罗地亚,Croatia,178_科索沃,Kosovo,0.0,0.0,,三球半|3.5,输,小,胜
1198621.0,650.0,2017/06/12 02:45,756.0,768.0,1-0,0-0,欧洲预选,WCPEU,20_冰岛,Iceland,15_克罗地亚,Croatia,0.0,0.0,,受让半球|-0.5,输,小,负
1389493.0,1366.0,2017/05/28 07:30,819.0,768.0,1-2,0-2,国际友谊,INT FRL,17_墨西哥,Mexico,15_克罗地亚,Croatia,0.0,1.0,,球半|1.5,赢,大,胜
1372104.0,1366.0,2017/03/28 23:59,636.0,768.0,3-0,1-0,国际友谊,INT FRL,88_爱沙尼亚,Estonia,15_克罗地亚,Croatia,0.0,0.0,,受让一球|-1,输,大,负
1198619.0,650.0,2017/03/25 03:45,768.0,634.0,1-0,1-0,欧洲预选,WCPEU,15_克罗地亚,Croatia,35_乌克兰,Ukraine,0.0,0.0,,一球|1,走,小,胜
1341520.0,1726.0,2017/01/14 15:35,896.0,768.0,1-1,0-1,中国杯,China Cup,70_中国,China,15_克罗地亚,Croatia,0.0,0.0,"90,1-1;;;4-3;1",受让半球/一球|-0.5/-1,输,小,平
1338848.0,1726.0,2017/01/11 19:35,780.0,768.0,1-1,1-0,中国杯,China Cup,10_智利,Chile,15_克罗地亚,Croatia,0.0,0.0,"90,1-1;;;4-1;1",半球|0.5,赢,小,平
1328248.0,1366.0,2016/11/16 04:00,759.0,768.0,0-3,0-2,国际友谊,INT FRL,25_北爱尔兰,Northern Ireland,15_克罗地亚,Croatia,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1198616.0,650.0,2016/11/13 01:00,768.0,756.0,2-0,1-0,欧洲预选,WCPEU,15_克罗地亚,Croatia,20_冰岛,Iceland,1.0,0.0,,一球|1,赢,小,胜
1198614.0,650.0,2016/10/09 23:59,736.0,768.0,0-1,0-1,欧洲预选,WCPEU,68_芬兰,Finland,15_克罗地亚,Croatia,0.0,0.0,,受让一球|-1,走,小,胜
1311364.0,650.0,2016/10/07 02:45,5764.0,768.0,0-6,0-3,欧洲预选,WCPEU,178_科索沃,Kosovo,15_克罗地亚,Croatia,0.0,0.0,,受让一球|-1,赢,大,胜
1198610.0,650.0,2016/09/06 02:45,768.0,762.0,1-1,1-1,欧洲预选,WCPEU,15_克罗地亚,Croatia,41_土耳其,Turkey,0.0,0.0,,半球/一球|0.5/1,输,小,平
1252616.0,67.0,2016/06/26 03:00,768.0,765.0,0-0,0-0,欧洲杯,EURO  Cup,15_克罗地亚,Croatia,3_葡萄牙,Portugal,0.0,0.0,"90,0-0;;1,0-1;;2",平手|0,走,小,平
1201937.0,67.0,2016/06/22 03:00,768.0,772.0,2-1,1-1,欧洲杯,EURO  Cup,15_克罗地亚,Croatia,6_西班牙,Spain,0.0,0.0,,受让半球|-0.5,赢,大,胜
1201939.0,67.0,2016/06/17 23:59,747.0,768.0,2-2,0-1,欧洲杯,EURO  Cup,48_捷克,Czech,15_克罗地亚,Croatia,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,平
1201872.0,67.0,2016/06/12 21:00,768.0,762.0,1-0,1-0,欧洲杯,EURO  Cup,15_克罗地亚,Croatia,41_土耳其,Turkey,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1244108.0,1366.0,2016/06/05 02:15,768.0,907.0,10-0,6-0,国际友谊,INT FRL,15_克罗地亚,Croatia,204_圣马力诺,San Marino,0.0,0.0,,五球|5,赢,大,胜
1243463.0,1366.0,2016/05/28 02:30,768.0,751.0,1-0,1-0,国际友谊,INT FRL,15_克罗地亚,Croatia,166_摩尔多瓦,Moldova,0.0,0.0,,球半/两球|1.5/2,输,小,胜
1229372.0,1366.0,2016/03/27 01:00,745.0,768.0,1-1,0-1,国际友谊,INT FRL,54_匈牙利,Hungary,15_克罗地亚,Croatia,0.0,0.0,,受让半球|-0.5,输,小,平
1228600.0,1366.0,2016/03/24 01:00,768.0,760.0,2-0,2-0,国际友谊,INT FRL,15_克罗地亚,Croatia,99_以色列,Israel,0.0,0.0,,一球/球半|1/1.5,赢,小,胜
1196951.0,1366.0,2015/11/17 23:59,746.0,768.0,1-3,1-0,国际友谊,INT FRL,62_俄罗斯,Russia,15_克罗地亚,Croatia,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
975158.0,67.0,2015/10/14 02:45,755.0,768.0,0-1,0-1,欧洲杯,EURO  Cup,185_马耳他,Malta,15_克罗地亚,Croatia,0.0,0.0,,受让两球|-2,输,小,胜
975159.0,67.0,2015/10/11 02:45,768.0,769.0,3-0,2-0,欧洲杯,EURO  Cup,15_克罗地亚,Croatia,42_保加利亚,Bulgaria,1.0,0.0,,一球/球半|1/1.5,赢,大,胜
975164.0,67.0,2015/09/06 23:59,640.0,768.0,2-0,0-0,欧洲杯,EURO  Cup,58_挪威,Norway,15_克罗地亚,Croatia,0.0,0.0,,受让平手/半球|-0/-0.5,输,走,负
975167.0,67.0,2015/09/03 23:59,758.0,768.0,0-0,0-0,欧洲杯,EURO  Cup,118_阿塞拜疆,Azerbaijan,15_克罗地亚,Croatia,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,平
