赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1338283.0,188.0,2017/01/07 07:00,8027.0,909.0,2-4,0-2,美加杯,CGC CZ,160_苏利南共和国,Suriname,87_海地,Haiti,1.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1338282.0,188.0,2017/01/05 07:00,912.0,8027.0,1-1,0-0,美加杯,CGC CZ,80_特立尼达和多巴哥,Trinidad   Tobago,160_苏利南共和国,Suriname,0.0,0.0,,一球/球半|1/1.5,赢,小,平
1320727.0,188.0,2016/11/14 07:00,799.0,8027.0,1-0,1-0,美加杯,CGC CZ,55_牙买加,Jamaica,160_苏利南共和国,Suriname,1.0,0.0,,,,,负
1320728.0,188.0,2016/10/09 03:30,8027.0,8029.0,1-1,0-1,美加杯,CGC CZ,160_苏利南共和国,Suriname,164_圭亚那,Guyana,0.0,0.0,"90,1-1;;1,3-2;;1",,,,平
1244139.0,188.0,2016/06/05 03:00,8027.0,1494.0,2-1,0-0,美加杯,CGC CZ,160_苏利南共和国,Suriname,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,胜
1244348.0,188.0,2016/06/02 08:00,821.0,8027.0,1-0,1-0,美加杯,CGC CZ,110_圣基茨和尼维斯,St. Kitts and Nevis,160_苏利南共和国,Suriname,0.0,0.0,,,,,负
1229864.0,188.0,2016/03/30 03:30,8027.0,5691.0,3-2,3-2,美加杯,CGC CZ,160_苏利南共和国,Suriname,220_弱鸡,Guadeloupe,0.0,0.0,,,,,胜
1231044.0,188.0,2016/03/24 08:00,5691.0,8027.0,0-0,0-0,美加杯,CGC CZ,220_弱鸡,Guadeloupe,160_苏利南共和国,Suriname,0.0,0.0,,,,,平
1219621.0,41.0,2016/02/22 08:30,8029.0,8027.0,2-0,1-0,球会友谊,INT CF,164_圭亚那,Guyana,160_苏利南共和国,Suriname,0.0,0.0,,,,,负
1129429.0,653.0,2015/06/17 03:30,8027.0,5091.0,1-3,1-1,北美预选,WCPCA,160_苏利南共和国,Suriname,115_尼加拉瓜,Nicaragua,1.0,0.0,,平手/半球|0/0.5,输,大,负
1129389.0,653.0,2015/06/08 08:00,5091.0,8027.0,1-0,1-0,北美预选,WCPCA,115_尼加拉瓜,Nicaragua,160_苏利南共和国,Suriname,0.0,0.0,,半球|0.5,输,小,负
1128001.0,1366.0,2015/05/21 01:00,8027.0,17976.0,2-3,1-1,国际友谊,INT FRL,160_苏利南共和国,Suriname,84_库拉索,Curacao,0.0,0.0,,,,,负
1124526.0,1366.0,2015/05/01 07:00,8027.0,8029.0,1-0,0-0,国际友谊,INT FRL,160_苏利南共和国,Suriname,164_圭亚那,Guyana,0.0,0.0,,,,,胜
1088139.0,1366.0,2015/02/02 05:00,8027.0,7300.0,1-0,0-0,国际友谊,INT FRL,160_苏利南共和国,Suriname,180_阿鲁巴,Aruba,0.0,0.0,,,,,胜
1053711.0,188.0,2014/09/08 06:00,16239.0,8027.0,0-0,0-0,美加杯,CGC CZ,220_弱鸡,Martinique,160_苏利南共和国,Suriname,0.0,0.0,,,,,平
1053708.0,188.0,2014/09/06 06:00,8027.0,19782.0,0-0,0-0,美加杯,CGC CZ,160_苏利南共和国,Suriname,220_弱鸡,Bonaire,0.0,0.0,,,,,平
1053706.0,188.0,2014/09/04 06:00,1992.0,8027.0,1-1,0-0,美加杯,CGC CZ,155_巴巴多斯,Barbados,160_苏利南共和国,Suriname,0.0,0.0,,,,,平
938455.0,41.0,2013/11/17 09:00,17976.0,8027.0,1-3,1-1,球会友谊,INT CF,84_库拉索,Curacao,160_苏利南共和国,Suriname,0.0,0.0,,,,,胜
798943.0,188.0,2012/11/19 06:00,8027.0,1494.0,1-0,1-0,美加杯,CGC CZ,160_苏利南共和国,Suriname,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,胜
798942.0,188.0,2012/11/17 08:00,912.0,8027.0,3-0,1-0,美加杯,CGC CZ,80_特立尼达和多巴哥,Trinidad   Tobago,160_苏利南共和国,Suriname,0.0,0.0,,,,,负
798939.0,188.0,2012/11/15 06:00,1991.0,8027.0,5-0,2-0,美加杯,CGC CZ,181_古巴,cuba,160_苏利南共和国,Suriname,0.0,0.0,,,,,负
777674.0,188.0,2012/09/10 05:00,16239.0,8027.0,2-2,2-1,美加杯,CGC CZ,220_弱鸡,Martinique,160_苏利南共和国,Suriname,0.0,0.0,,,,,平
777671.0,188.0,2012/09/08 06:00,7302.0,8027.0,0-4,0-0,美加杯,CGC CZ,205_英属维津群岛,British Virgin Islands,160_苏利南共和国,Suriname,0.0,0.0,,,,,胜
777669.0,188.0,2012/09/06 06:00,7304.0,8027.0,1-7,0-2,美加杯,CGC CZ,199_蒙塞拉特岛,Montserrat,160_苏利南共和国,Suriname,0.0,0.0,,,,,胜
727943.0,41.0,2012/07/16 07:30,7300.0,8027.0,1-0,1-0,球会友谊,INT CF,180_阿鲁巴,Aruba,160_苏利南共和国,Suriname,0.0,1.0,,,,,负
724444.0,41.0,2012/07/14 07:10,19782.0,8027.0,0-8,0-3,球会友谊,INT CF,220_弱鸡,Bonaire,160_苏利南共和国,Suriname,0.0,0.0,,,,,胜
655199.0,41.0,2011/12/02 08:00,8027.0,7300.0,0-0,0-0,球会友谊,INT CF,160_苏利南共和国,Suriname,180_阿鲁巴,Aruba,0.0,0.0,"90,0-0;;;4-5;2",,,,平
646961.0,653.0,2011/11/16 09:30,796.0,8027.0,4-0,1-0,北美预选,WCPCA,90_萨尔瓦多,El Salvador,160_苏利南共和国,Suriname,0.0,0.0,,,,大,负
646958.0,653.0,2011/11/12 07:00,8027.0,796.0,1-3,0-1,北美预选,WCPCA,160_苏利南共和国,Suriname,90_萨尔瓦多,El Salvador,0.0,0.0,,,,,负
640262.0,653.0,2011/10/12 05:00,8027.0,7538.0,1-3,0-1,北美预选,WCPCA,160_苏利南共和国,Suriname,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,负
637919.0,653.0,2011/10/08 08:30,7306.0,8027.0,0-1,0-0,北美预选,WCPCA,202_开曼群岛,Cayman Islands,160_苏利南共和国,Suriname,0.0,0.0,,,,,胜
636000.0,41.0,2011/09/26 05:00,8027.0,17976.0,2-2,0-0,球会友谊,INT CF,160_苏利南共和国,Suriname,84_库拉索,Curacao,0.0,0.0,,,,,平
621673.0,653.0,2011/09/07 03:00,7538.0,8027.0,1-1,0-1,北美预选,WCPCA,160_多米尼加共和国,Dominican Republic,160_苏利南共和国,Suriname,0.0,0.0,,,,,平
619691.0,653.0,2011/09/03 05:00,8027.0,7306.0,1-0,1-0,北美预选,WCPCA,160_苏利南共和国,Suriname,202_开曼群岛,Cayman Islands,0.0,0.0,,,,,胜
485772.0,188.0,2010/11/15 02:00,7293.0,8027.0,0-5,0-1,美加杯,CGC CZ,168_多米尼克,Dominica,160_苏利南共和国,Suriname,0.0,0.0,,,,,胜
485770.0,188.0,2010/11/13 01:30,8027.0,1991.0,3-3,1-1,美加杯,CGC CZ,160_苏利南共和国,Suriname,181_古巴,cuba,0.0,0.0,,,,,平
485769.0,188.0,2010/11/11 04:35,8028.0,8027.0,2-1,2-1,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,160_苏利南共和国,Suriname,0.0,0.0,,,,,负
479410.0,188.0,2010/10/18 07:00,8027.0,8029.0,0-2,0-1,美加杯,CGC CZ,160_苏利南共和国,Suriname,164_圭亚那,Guyana,0.0,0.0,,,,,负
479408.0,188.0,2010/10/16 08:00,8027.0,8026.0,2-1,2-0,美加杯,CGC CZ,160_苏利南共和国,Suriname,175_圣路西亚,St. Lucia,0.0,0.0,,,,,胜
479406.0,188.0,2010/10/14 08:00,8027.0,7305.0,2-1,0-0,美加杯,CGC CZ,160_苏利南共和国,Suriname,220_弱鸡,Netherlands Antilles,0.0,0.0,,,,,胜
232662.0,653.0,2008/11/20 03:30,8027.0,909.0,1-1,1-1,北美预选,WCPCA,160_苏利南共和国,Suriname,87_海地,Haiti,0.0,0.0,,,,小,平
232660.0,653.0,2008/10/16 10:00,796.0,8027.0,3-0,2-0,北美预选,WCPCA,90_萨尔瓦多,El Salvador,160_苏利南共和国,Suriname,0.0,0.0,,,,走,负
232657.0,653.0,2008/10/12 03:30,8027.0,914.0,1-4,0-2,北美预选,WCPCA,160_苏利南共和国,Suriname,27_哥斯达黎加,Costa Rica,0.0,0.0,,,,大,负
232656.0,653.0,2008/09/11 03:30,8027.0,796.0,0-2,0-2,北美预选,WCPCA,160_苏利南共和国,Suriname,90_萨尔瓦多,El Salvador,0.0,0.0,,,,小,负
