赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1524258.0,1366.0,2018/03/26 05:00,7538.0,821.0,2-1,0-0,国际友谊,INT FRL,160_多米尼加共和国,Dominican Republic,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,胜
1523247.0,1366.0,2018/03/23 07:00,7538.0,7298.0,4-0,3-0,国际友谊,INT FRL,160_多米尼加共和国,Dominican Republic,202_特克斯和凯科斯群岛,Turks Caicos Islands,0.0,0.0,,,,,胜
1478590.0,1366.0,2017/11/12 04:00,7538.0,5091.0,1-0,0-0,国际友谊,INT FRL,160_多米尼加共和国,Dominican Republic,115_尼加拉瓜,Nicaragua,0.0,0.0,,,,,胜
1477885.0,1366.0,2017/11/09 08:30,5091.0,7538.0,0-3,0-1,国际友谊,INT FRL,115_尼加拉瓜,Nicaragua,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,胜
1320737.0,188.0,2016/10/09 04:00,7538.0,16239.0,1-2,0-1,美加杯,CGC CZ,160_多米尼加共和国,Dominican Republic,220_弱鸡,Martinique,0.0,1.0,,,,,负
1320736.0,188.0,2016/10/06 07:00,912.0,7538.0,4-0,3-0,美加杯,CGC CZ,80_特立尼达和多巴哥,Trinidad   Tobago,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,负
1306985.0,1366.0,2016/08/31 08:30,7492.0,7538.0,0-1,0-1,国际友谊,INT FRL,166_波多黎各,Puerto Rico,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,胜
1303468.0,1366.0,2016/08/29 04:00,7538.0,7492.0,5-0,2-0,国际友谊,INT FRL,160_多米尼加共和国,Dominican Republic,166_波多黎各,Puerto Rico,0.0,0.0,,,,,胜
1244347.0,188.0,2016/06/08 04:00,7538.0,20412.0,2-1,0-1,美加杯,CGC CZ,160_多米尼加共和国,Dominican Republic,220_弱鸡,French Guiana,0.0,0.0,,,,,胜
1244346.0,188.0,2016/06/05 08:00,5293.0,7538.0,0-1,0-1,美加杯,CGC CZ,184_百慕大群岛,Bermuda,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,胜
1229858.0,188.0,2016/03/30 04:00,7538.0,1992.0,2-0,0-0,美加杯,CGC CZ,160_多米尼加共和国,Dominican Republic,155_巴巴多斯,Barbados,0.0,1.0,,,,,胜
1229857.0,188.0,2016/03/27 06:45,17976.0,7538.0,2-1,0-0,美加杯,CGC CZ,84_库拉索,Curacao,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,负
1129424.0,653.0,2015/06/15 06:00,5092.0,7538.0,3-0,2-0,北美预选,WCPCA,171_伯利兹,Belize,160_多米尼加共和国,Dominican Republic,0.0,0.0,,平手|0,输,大,负
1129418.0,653.0,2015/06/12 04:00,7538.0,5092.0,1-2,0-1,北美预选,WCPCA,160_多米尼加共和国,Dominican Republic,171_伯利兹,Belize,0.0,0.0,,一球|1,输,大,负
1127341.0,1366.0,2015/05/14 04:00,7538.0,7306.0,6-0,3-0,国际友谊,INT FRL,160_多米尼加共和国,Dominican Republic,202_开曼群岛,Cayman Islands,0.0,0.0,,,,,胜
1110339.0,1366.0,2015/03/26 04:00,7538.0,1991.0,0-3,0-3,国际友谊,INT FRL,160_多米尼加共和国,Dominican Republic,181_古巴,cuba,0.0,0.0,,,,,负
1064640.0,188.0,2014/10/13 04:00,8026.0,7538.0,2-3,0-1,美加杯,CGC CZ,175_圣路西亚,St. Lucia,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,胜
1064638.0,188.0,2014/10/11 06:00,7538.0,8028.0,0-0,0-0,美加杯,CGC CZ,160_多米尼加共和国,Dominican Republic,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,平
1064637.0,188.0,2014/10/09 08:20,912.0,7538.0,6-1,4-0,美加杯,CGC CZ,80_特立尼达和多巴哥,Trinidad   Tobago,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,负
1053722.0,188.0,2014/09/08 05:00,7297.0,7538.0,0-10,0-4,美加杯,CGC CZ,206_安圭拉,Anguilla,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,胜
1053720.0,188.0,2014/09/06 07:10,8028.0,7538.0,2-1,0-1,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,160_多米尼加共和国,Dominican Republic,0.0,1.0,,,,,负
1053719.0,188.0,2014/09/04 05:00,7538.0,1494.0,0-1,0-1,美加杯,CGC CZ,160_多米尼加共和国,Dominican Republic,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,负
1051043.0,1366.0,2014/08/31 05:30,796.0,7538.0,2-0,1-0,国际友谊,INT FRL,90_萨尔瓦多,El Salvador,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,负
982888.0,1366.0,2014/05/15 21:30,5187.0,7538.0,1-1,0-1,国际友谊,INT FRL,220_弱鸡,Indonesia U23,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,平
904024.0,41.0,2013/08/15 08:00,7538.0,914.0,0-4,0-0,球会友谊,INT CF,160_多米尼加共和国,Dominican Republic,27_哥斯达黎加,Costa Rica,0.0,0.0,,,,,负
830276.0,41.0,2013/03/25 03:00,7538.0,909.0,3-1,2-0,球会友谊,INT CF,160_多米尼加共和国,Dominican Republic,87_海地,Haiti,0.0,0.0,,,,,胜
804520.0,188.0,2012/12/12 05:00,912.0,7538.0,2-1,1-0,美加杯,CGC CZ,80_特立尼达和多巴哥,Trinidad   Tobago,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,负
804518.0,188.0,2012/12/10 05:00,7538.0,909.0,1-2,1-2,美加杯,CGC CZ,160_多米尼加共和国,Dominican Republic,87_海地,Haiti,0.0,0.0,,,,,负
804517.0,188.0,2012/12/08 08:00,8028.0,7538.0,1-2,1-0,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,胜
795776.0,188.0,2012/10/28 06:00,7492.0,7538.0,1-3,0-1,美加杯,CGC CZ,166_波多黎各,Puerto Rico,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,胜
795774.0,188.0,2012/10/26 06:30,7538.0,16239.0,1-1,1-0,美加杯,CGC CZ,160_多米尼加共和国,Dominican Republic,220_弱鸡,Martinique,0.0,0.0,,,,,平
795773.0,188.0,2012/10/24 08:00,5691.0,7538.0,0-2,0-1,美加杯,CGC CZ,220_弱鸡,Guadeloupe,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,胜
777679.0,188.0,2012/09/28 06:00,7538.0,7293.0,2-1,0-0,美加杯,CGC CZ,160_多米尼加共和国,Dominican Republic,168_多米尼克,Dominica,0.0,0.0,,,,,胜
777678.0,188.0,2012/09/26 08:00,1992.0,7538.0,0-1,0-0,美加杯,CGC CZ,155_巴巴多斯,Barbados,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,胜
787640.0,188.0,2012/09/24 06:00,7300.0,7538.0,2-2,2-1,美加杯,CGC CZ,180_阿鲁巴,Aruba,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,平
777675.0,188.0,2012/09/24 06:00,7300.0,7538.0,2-2,2-1,美加杯,CGC CZ,180_阿鲁巴,Aruba,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,平
646960.0,653.0,2011/11/15 08:30,7306.0,7538.0,1-1,0-1,北美预选,WCPCA,202_开曼群岛,Cayman Islands,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,平
646959.0,653.0,2011/11/12 03:00,7538.0,7306.0,4-0,2-0,北美预选,WCPCA,160_多米尼加共和国,Dominican Republic,202_开曼群岛,Cayman Islands,0.0,0.0,,,,,胜
640262.0,653.0,2011/10/12 05:00,8027.0,7538.0,1-3,0-1,北美预选,WCPCA,160_苏利南共和国,Suriname,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,胜
637918.0,653.0,2011/10/08 03:00,7538.0,796.0,1-2,0-1,北美预选,WCPCA,160_多米尼加共和国,Dominican Republic,90_萨尔瓦多,El Salvador,1.0,0.0,,,,,负
621673.0,653.0,2011/09/07 03:00,7538.0,8027.0,1-1,0-1,北美预选,WCPCA,160_多米尼加共和国,Dominican Republic,160_苏利南共和国,Suriname,0.0,0.0,,,,,平
619692.0,653.0,2011/09/03 09:30,796.0,7538.0,3-2,0-0,北美预选,WCPCA,90_萨尔瓦多,El Salvador,160_多米尼加共和国,Dominican Republic,0.0,1.0,,,,,负
558687.0,653.0,2011/07/11 03:30,7538.0,7297.0,4-0,3-0,北美预选,WCPCA,160_多米尼加共和国,Dominican Republic,206_安圭拉,Anguilla,0.0,0.0,,,,,胜
558683.0,653.0,2011/07/09 03:30,7297.0,7538.0,0-2,0-2,北美预选,WCPCA,206_安圭拉,Anguilla,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,胜
479415.0,188.0,2010/10/18 02:00,7538.0,7293.0,0-1,1-1,美加杯,CGC CZ,160_多米尼加共和国,Dominican Republic,168_多米尼克,Dominica,0.0,0.0,,,,,负
479413.0,188.0,2010/10/14 22:00,7538.0,7302.0,17-0,4-0,美加杯,CGC CZ,160_多米尼加共和国,Dominican Republic,205_英属维津群岛,British Virgin Islands,0.0,0.0,,,,,胜
185410.0,653.0,2008/03/27 08:00,7492.0,7538.0,0-0,0-0,北美预选,WCPCA,166_波多黎各,Puerto Rico,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,小,平
