赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1492330.0,1366.0,2018/01/14 20:00,890.0,756.0,1-4,1-1,国际友谊,INT FRL,160_印度尼西亚,Indonesia,20_冰岛,Iceland,0.0,0.0,,受让两球半/三球|-2.5/-3,输,大,负
1490802.0,1366.0,2018/01/11 19:30,890.0,756.0,0-6,0-1,国际友谊,INT FRL,160_印度尼西亚,Indonesia,20_冰岛,Iceland,0.0,0.0,,受让球半|-1.5,输,大,负
1481979.0,1366.0,2017/12/04 22:35,5768.0,890.0,2-3,1-3,国际友谊,INT FRL,189_蒙古,Mongolia,160_印度尼西亚,Indonesia,0.0,0.0,,,,,胜
1481569.0,1366.0,2017/12/02 22:30,890.0,3627.0,4-0,2-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,190_文莱,Brunei Darussalam,0.0,0.0,,,,,胜
1480554.0,1366.0,2017/11/25 19:30,890.0,8029.0,2-1,1-1,国际友谊,INT FRL,160_印度尼西亚,Indonesia,164_圭亚那,Guyana,0.0,0.0,,,,,胜
1468711.0,1366.0,2017/10/04 22:30,890.0,1565.0,3-1,2-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,172_柬埔寨,Cambodia,0.0,0.0,,,,,胜
1455195.0,1366.0,2017/09/02 17:00,890.0,6124.0,0-0,0-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,168_斐济,Fiji,0.0,0.0,,半球/一球|0.5/1,输,小,平
1394396.0,1366.0,2017/06/13 22:30,890.0,7492.0,0-0,0-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,166_波多黎各,Puerto Rico,0.0,0.0,,半球|0.5,输,小,平
1391060.0,1366.0,2017/06/08 19:45,1565.0,890.0,0-2,0-1,国际友谊,INT FRL,172_柬埔寨,Cambodia,160_印度尼西亚,Indonesia,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,胜
1371458.0,1366.0,2017/03/21 17:00,890.0,1563.0,1-3,1-1,国际友谊,INT FRL,160_印度尼西亚,Indonesia,140_缅甸联邦,Myanmar,0.0,0.0,,一球|1,输,大,负
1335200.0,1124.0,2016/12/17 20:00,886.0,890.0,2-0,1-0,东南锦,AFF Cup,129_泰国,Thailand,160_印度尼西亚,Indonesia,0.0,1.0,,球半|1.5,输,小,负
1334490.0,1124.0,2016/12/14 20:00,890.0,886.0,2-1,0-1,东南锦,AFF Cup,160_印度尼西亚,Indonesia,129_泰国,Thailand,0.0,0.0,,受让半球|-0.5,赢,大,胜
1332640.0,1124.0,2016/12/07 20:00,883.0,890.0,2-1,0-0,东南锦,AFF Cup,112_越南,Vietnam,160_印度尼西亚,Indonesia,1.0,0.0,"90,2-1;3-3;1,2-2;;2",一球|1,走,大,负
1332642.0,1124.0,2016/12/03 20:00,890.0,883.0,2-1,1-1,东南锦,AFF Cup,160_印度尼西亚,Indonesia,112_越南,Vietnam,0.0,0.0,,平手|0,赢,大,胜
1328478.0,1124.0,2016/11/25 20:00,892.0,890.0,1-2,1-0,东南锦,AFF Cup,173_新加坡,Singapore,160_印度尼西亚,Indonesia,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1328479.0,1124.0,2016/11/22 20:00,890.0,1562.0,2-2,1-1,东南锦,AFF Cup,160_印度尼西亚,Indonesia,123_菲律宾,Philippines,0.0,0.0,,平手|0,走,大,平
1328482.0,1124.0,2016/11/19 16:30,886.0,890.0,4-2,2-0,东南锦,AFF Cup,129_泰国,Thailand,160_印度尼西亚,Indonesia,0.0,0.0,,半球/一球|0.5/1,输,大,负
1327405.0,1366.0,2016/11/08 20:00,883.0,890.0,3-2,1-1,国际友谊,INT FRL,112_越南,Vietnam,160_印度尼西亚,Indonesia,0.0,0.0,,半球/一球|0.5/1,输,大,负
1327542.0,1366.0,2016/11/04 18:30,1563.0,890.0,0-0,0-0,国际友谊,INT FRL,140_缅甸联邦,Myanmar,160_印度尼西亚,Indonesia,0.0,0.0,,平手|0,走,小,平
1322062.0,1366.0,2016/10/09 17:45,890.0,883.0,2-2,2-2,国际友谊,INT FRL,160_印度尼西亚,Indonesia,112_越南,Vietnam,0.0,0.0,,平手|0,走,大,平
1306171.0,1366.0,2016/09/06 22:00,890.0,889.0,3-0,3-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,175_马来西亚,Malaysia,0.0,0.0,,半球|0.5,赢,大,胜
1124709.0,648.0,2016/03/20 20:00,886.0,890.0,取消,,亚洲预选,FIFA WCQL,129_泰国,Thailand,160_印度尼西亚,Indonesia,0.0,0.0,,,,,
1124714.0,648.0,2015/11/09 20:00,890.0,883.0,取消,,亚洲预选,FIFA WCQL,160_印度尼西亚,Indonesia,112_越南,Vietnam,0.0,0.0,,,,,
1124715.0,648.0,2015/11/08 20:00,874.0,890.0,取消,,亚洲预选,FIFA WCQL,82_伊拉克,Iraq,160_印度尼西亚,Indonesia,0.0,0.0,,,,,
1124717.0,648.0,2015/10/13 20:00,890.0,5288.0,取消,,亚洲预选,FIFA WCQL,160_印度尼西亚,Indonesia,134_中国台北,Chinese Taipei,0.0,0.0,,,,,
1124720.0,648.0,2015/10/08 19:55,890.0,886.0,取消,,亚洲预选,FIFA WCQL,160_印度尼西亚,Indonesia,129_泰国,Thailand,0.0,0.0,,,,,
1124723.0,648.0,2015/09/03 20:00,883.0,890.0,取消,,亚洲预选,FIFA WCQL,112_越南,Vietnam,160_印度尼西亚,Indonesia,0.0,0.0,,,,,
1124726.0,648.0,2015/06/16 20:00,890.0,874.0,取消,,亚洲预选,FIFA WCQL,160_印度尼西亚,Indonesia,82_伊拉克,Iraq,0.0,0.0,,,,,
1124727.0,648.0,2015/06/11 19:00,5288.0,890.0,取消,,亚洲预选,FIFA WCQL,134_中国台北,Chinese Taipei,160_印度尼西亚,Indonesia,0.0,0.0,,,,,
1111218.0,1366.0,2015/03/30 18:00,890.0,1563.0,2-1,0-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,140_缅甸联邦,Myanmar,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1110155.0,1366.0,2015/03/25 18:00,890.0,793.0,0-1,0-1,国际友谊,INT FRL,160_印度尼西亚,Indonesia,45_喀麦隆,Cameroon,0.0,0.0,,受让两球半|-2.5,赢,小,负
1070658.0,1124.0,2014/11/28 20:00,890.0,880.0,5-1,2-1,东南锦,AFF Cup,160_印度尼西亚,Indonesia,183_老挝,Laos,1.0,0.0,,球半/两球|1.5/2,赢,大,胜
1070656.0,1124.0,2014/11/25 17:00,1562.0,890.0,4-0,1-0,东南锦,AFF Cup,123_菲律宾,Philippines,160_印度尼西亚,Indonesia,0.0,1.0,,平手|0,输,大,负
1070655.0,1124.0,2014/11/22 20:00,883.0,890.0,2-2,1-1,东南锦,AFF Cup,112_越南,Vietnam,160_印度尼西亚,Indonesia,0.0,0.0,,半球/一球|0.5/1,赢,大,平
1069802.0,1366.0,2014/11/15 21:30,890.0,899.0,0-2,0-1,国际友谊,INT FRL,160_印度尼西亚,Indonesia,76_叙利亚,Syrian,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1069703.0,1366.0,2014/11/11 18:00,890.0,1564.0,4-0,3-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,191_东帝汶,Timor Leste,0.0,0.0,,,,,胜
1059869.0,1366.0,2014/09/25 16:30,890.0,1565.0,1-0,1-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,172_柬埔寨,Cambodia,0.0,0.0,,三球半/四球|3.5/4,输,小,胜
1057250.0,1366.0,2014/09/14 18:00,890.0,889.0,2-0,0-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,175_马来西亚,Malaysia,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1056222.0,1366.0,2014/09/09 18:00,890.0,877.0,0-0,0-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,138_也门,Yemen,0.0,0.0,,一球/球半|1/1.5,输,小,平
1005330.0,41.0,2014/07/15 03:00,904.0,890.0,2-2,1-1,球会友谊,INT CF,103_卡塔尔,Qatar,160_印度尼西亚,Indonesia,0.0,0.0,,两球|2,赢,大,平
988292.0,1366.0,2014/06/25 16:30,890.0,6650.0,2-0,1-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,165_尼泊尔,Nepal,0.0,0.0,,球半/两球|1.5/2,赢,小,胜
988048.0,1366.0,2014/06/21 17:30,890.0,3353.0,4-0,2-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,201_巴基斯坦,Pakistan,0.0,1.0,,一球/球半|1/1.5,赢,大,胜
969396.0,41.0,2014/03/29 22:00,1991.0,890.0,1-0,1-0,球会友谊,INT CF,181_古巴,cuba,160_印度尼西亚,Indonesia,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
969256.0,1366.0,2014/03/26 22:00,894.0,890.0,0-1,0-0,国际友谊,INT FRL,136_安道尔,Andorra,160_印度尼西亚,Indonesia,0.0,0.0,,,,,胜
813735.0,95.0,2014/03/06 01:30,891.0,890.0,1-0,0-0,亚洲杯,AFC,65_沙特阿拉伯,Saudi Arabia,160_印度尼西亚,Indonesia,0.0,0.0,,两球/两球半|2/2.5,赢,小,负
813732.0,95.0,2013/11/19 20:00,890.0,874.0,0-2,0-2,亚洲杯,AFC,160_印度尼西亚,Indonesia,82_伊拉克,Iraq,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,负
813730.0,95.0,2013/11/15 19:30,896.0,890.0,1-0,1-0,亚洲杯,AFC,70_中国,China,160_印度尼西亚,Indonesia,0.0,0.0,,两球/两球半|2/2.5,赢,小,负
935089.0,41.0,2013/11/01 20:30,890.0,885.0,4-0,2-0,球会友谊,INT CF,160_印度尼西亚,Indonesia,116_吉尔吉斯斯坦,Kyrgyzstan,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
813728.0,95.0,2013/10/15 20:00,890.0,896.0,1-1,0-1,亚洲杯,AFC,160_印度尼西亚,Indonesia,70_中国,China,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,平
904038.0,41.0,2013/08/14 21:45,890.0,1562.0,2-0,1-0,球会友谊,INT CF,160_印度尼西亚,Indonesia,123_菲律宾,Philippines,0.0,0.0,,半球|0.5,赢,小,胜
849898.0,41.0,2013/06/07 21:30,890.0,646.0,0-3,0-0,球会友谊,INT CF,160_印度尼西亚,Indonesia,21_荷兰,Netherlands,0.0,0.0,,受让两球半/三球|-2.5/-3,输,小,负
813727.0,95.0,2013/03/23 20:00,890.0,891.0,1-2,1-1,亚洲杯,AFC,160_印度尼西亚,Indonesia,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,,,大,负
813724.0,95.0,2013/02/06 21:30,874.0,890.0,1-0,0-0,亚洲杯,AFC,82_伊拉克,Iraq,160_印度尼西亚,Indonesia,0.0,0.0,,,,小,负
813216.0,41.0,2013/01/31 22:00,881.0,890.0,5-0,2-0,球会友谊,INT CF,113_约旦,Jordan,160_印度尼西亚,Indonesia,0.0,0.0,,,,大,负
801983.0,1124.0,2012/12/01 20:45,889.0,890.0,2-0,2-0,东南锦,AFF Cup,175_马来西亚,Malaysia,160_印度尼西亚,Indonesia,0.0,0.0,,,,小,负
801980.0,1124.0,2012/11/28 18:00,890.0,892.0,1-0,0-0,东南锦,AFF Cup,160_印度尼西亚,Indonesia,173_新加坡,Singapore,0.0,1.0,,,,小,胜
801978.0,1124.0,2012/11/25 18:00,890.0,880.0,2-2,1-1,东南锦,AFF Cup,160_印度尼西亚,Indonesia,183_老挝,Laos,1.0,1.0,,,,大,平
801968.0,41.0,2012/11/17 18:20,890.0,793.0,0-0,0-0,球会友谊,INT CF,160_印度尼西亚,Indonesia,45_喀麦隆,Cameroon,0.0,0.0,,,,小,平
798914.0,41.0,2012/11/14 16:30,890.0,1564.0,1-0,0-0,球会友谊,INT CF,160_印度尼西亚,Indonesia,191_东帝汶,Timor Leste,0.0,0.0,,,,小,胜
