赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393569.0,93.0,2018/11/13 23:00,18406.0,5039.0,,,非洲杯,CAF NC,57_阿尔及利亚,Algeria,163_冈比亚,Gambia,0.0,0.0,,,,,
1393567.0,93.0,2018/10/16 23:00,5039.0,808.0,,,非洲杯,CAF NC,163_冈比亚,Gambia,81_贝宁,Benin,0.0,0.0,,,,,
1393565.0,93.0,2018/09/11 23:00,5039.0,816.0,,,非洲杯,CAF NC,163_冈比亚,Gambia,127_多哥,Togo,0.0,0.0,,,,,
1393561.0,93.0,2018/09/07 23:00,5039.0,18406.0,,,非洲杯,CAF NC,163_冈比亚,Gambia,57_阿尔及利亚,Algeria,0.0,0.0,,,,,
1393563.0,93.0,2018/09/03 23:00,816.0,5039.0,,,非洲杯,CAF NC,127_多哥,Togo,163_冈比亚,Gambia,0.0,0.0,,,,,
1522301.0,1366.0,2018/03/24 01:00,5039.0,8025.0,1-1,0-0,国际友谊,INT FRL,163_冈比亚,Gambia,121_中非共和国,Central African Republic,0.0,0.0,,半球|0.5,输,走,平
1460228.0,1023.0,2017/09/09 23:00,810.0,5039.0,1-0,0-0,西非杯,WAFU,50_加纳,Ghana,163_冈比亚,Gambia,0.0,0.0,,,,,负
1380952.0,1052.0,2017/07/23 01:00,817.0,5039.0,4-0,0-0,非国锦标,CAF SC,71_马里,Mali,163_冈比亚,Gambia,0.0,0.0,,,,,负
1380947.0,1052.0,2017/07/16 00:30,5039.0,817.0,0-0,0-0,非国锦标,CAF SC,163_冈比亚,Gambia,71_马里,Mali,0.0,0.0,,,,,平
1393086.0,93.0,2017/06/11 23:00,808.0,5039.0,1-0,0-0,非洲杯,CAF NC,81_贝宁,Benin,163_冈比亚,Gambia,0.0,0.0,,一球/球半|1/1.5,赢,小,负
1372168.0,1366.0,2017/03/27 22:30,8025.0,5039.0,1-2,1-1,国际友谊,INT FRL,121_中非共和国,Central African Republic,163_冈比亚,Gambia,0.0,0.0,,,,,胜
1372098.0,1366.0,2017/03/24 00:05,813.0,5039.0,2-1,1-1,国际友谊,INT FRL,39_摩洛哥,Morocco,163_冈比亚,Gambia,0.0,0.0,,,,,负
1129730.0,93.0,2016/09/03 22:30,793.0,5039.0,2-0,1-0,非洲杯,CAF NC,45_喀麦隆,Cameroon,163_冈比亚,Gambia,0.0,0.0,,球半|1.5,输,小,负
1129728.0,93.0,2016/06/05 01:00,5039.0,803.0,0-4,0-2,非洲杯,CAF NC,163_冈比亚,Gambia,78_南非,South Africa,0.0,0.0,,,,,负
1244270.0,1366.0,2016/05/31 03:00,5039.0,807.0,0-0,0-0,国际友谊,INT FRL,163_冈比亚,Gambia,72_赞比亚,Zambia,0.0,0.0,,,,,平
1129726.0,93.0,2016/03/30 00:30,5039.0,5281.0,0-0,0-0,非洲杯,CAF NC,163_冈比亚,Gambia,100_毛里塔尼亚,Mauritania,0.0,0.0,,半球|0.5,输,小,平
1129725.0,93.0,2016/03/26 00:30,5281.0,5039.0,2-1,1-0,非洲杯,CAF NC,100_毛里塔尼亚,Mauritania,163_冈比亚,Gambia,0.0,0.0,,平手/半球|0/0.5,输,大,负
1190107.0,651.0,2015/10/13 22:00,4494.0,5039.0,2-1,1-1,非洲预选,WCPAF,111_纳米比亚,Namibia,163_冈比亚,Gambia,0.0,0.0,,,,,负
1190120.0,651.0,2015/10/10 01:00,5039.0,4494.0,1-1,0-0,非洲预选,WCPAF,163_冈比亚,Gambia,111_纳米比亚,Namibia,0.0,0.0,,平手|0,走,走,平
1129722.0,93.0,2015/09/07 00:30,5039.0,793.0,0-1,0-0,非洲杯,CAF NC,163_冈比亚,Gambia,45_喀麦隆,Cameroon,0.0,0.0,,受让半球|-0.5,输,小,负
1130028.0,1052.0,2015/07/05 00:30,5039.0,815.0,0-1,0-1,非国锦标,CAF SC,163_冈比亚,Gambia,24_塞内加尔,Senegal,0.0,0.0,,,,,负
1130024.0,1052.0,2015/06/21 01:00,815.0,5039.0,3-1,2-1,非国锦标,CAF SC,24_塞内加尔,Senegal,163_冈比亚,Gambia,0.0,0.0,,,,,负
1129721.0,93.0,2015/06/14 01:00,803.0,5039.0,0-0,0-0,非洲杯,CAF NC,78_南非,South Africa,163_冈比亚,Gambia,0.0,0.0,,一球/球半|1/1.5,赢,小,平
1129553.0,1366.0,2015/06/09 21:00,802.0,5039.0,1-1,0-0,国际友谊,INT FRL,73_乌干达,Uganda,163_冈比亚,Gambia,0.0,0.0,,,,,平
1111058.0,1366.0,2015/03/28 03:00,5039.0,5281.0,1-0,1-0,国际友谊,INT FRL,163_冈比亚,Gambia,100_毛里塔尼亚,Mauritania,0.0,0.0,,,,,胜
983309.0,93.0,2014/05/31 18:00,5289.0,5039.0,3-0,0-0,非洲杯,CAF NC,192_塞舌尔,Seychelles,163_冈比亚,Gambia,0.0,0.0,,,,,负
983296.0,93.0,2014/05/18 18:00,5039.0,5289.0,0-3,0-0,非洲杯,CAF NC,163_冈比亚,Gambia,192_塞舌尔,Seychelles,0.0,0.0,,,,,负
829567.0,651.0,2013/09/08 00:30,5039.0,4937.0,2-0,1-0,非洲预选,WCPAF,163_冈比亚,Gambia,146_坦桑尼亚,Tanzania,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
829565.0,651.0,2013/06/16 04:00,813.0,5039.0,2-0,1-0,非洲预选,WCPAF,39_摩洛哥,Morocco,163_冈比亚,Gambia,0.0,0.0,,球半|1.5,输,小,负
829563.0,651.0,2013/06/09 00:30,5039.0,809.0,0-3,0-1,非洲预选,WCPAF,163_冈比亚,Gambia,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,受让一球|-1,输,大,负
829561.0,651.0,2013/03/24 01:00,809.0,5039.0,3-0,0-0,非洲预选,WCPAF,61_科特迪瓦,Cote D Ivoire,163_冈比亚,Gambia,0.0,0.0,,,,走,负
824070.0,41.0,2013/03/03 01:00,5039.0,5281.0,0-0,0-0,球会友谊,INT CF,163_冈比亚,Gambia,100_毛里塔尼亚,Mauritania,0.0,0.0,,,,,平
