赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1480554.0,1366.0,2017/11/25 19:30,890.0,8029.0,2-1,1-1,国际友谊,INT FRL,160_印度尼西亚,Indonesia,164_圭亚那,Guyana,0.0,0.0,,,,,负
1477925.0,1366.0,2017/11/15 07:35,912.0,8029.0,1-1,0-1,国际友谊,INT FRL,80_特立尼达和多巴哥,Trinidad   Tobago,164_圭亚那,Guyana,0.0,0.0,,,,,平
1469158.0,1366.0,2017/10/08 04:00,7296.0,8029.0,1-0,0-0,国际友谊,INT FRL,159_格瑞那达,Grenada,164_圭亚那,Guyana,0.0,0.0,,,,,负
1320729.0,188.0,2016/10/12 08:00,8029.0,799.0,2-2,2-0,美加杯,CGC CZ,164_圭亚那,Guyana,55_牙买加,Jamaica,1.0,0.0,"90,2-2;;1,2-4;;2",,,,平
1320728.0,188.0,2016/10/09 03:30,8027.0,8029.0,1-1,0-1,美加杯,CGC CZ,160_苏利南共和国,Suriname,164_圭亚那,Guyana,0.0,0.0,"90,1-1;;1,3-2;;1",,,,平
1244343.0,188.0,2016/06/05 04:15,7295.0,8029.0,0-7,0-4,美加杯,CGC CZ,198_美属维津群岛,US Virgin Islands,164_圭亚那,Guyana,0.0,0.0,,,,,胜
1244342.0,188.0,2016/06/02 08:00,8029.0,17976.0,2-5,1-2,美加杯,CGC CZ,164_圭亚那,Guyana,84_库拉索,Curacao,0.0,0.0,,,,,负
1229861.0,188.0,2016/03/30 07:30,7492.0,8029.0,0-1,0-0,美加杯,CGC CZ,166_波多黎各,Puerto Rico,164_圭亚那,Guyana,0.0,0.0,,,,,胜
1229859.0,188.0,2016/03/23 07:00,8029.0,7297.0,7-0,5-0,美加杯,CGC CZ,164_圭亚那,Guyana,206_安圭拉,Anguilla,0.0,0.0,,,,,胜
1219621.0,41.0,2016/02/22 08:30,8029.0,8027.0,2-0,1-0,球会友谊,INT CF,164_圭亚那,Guyana,160_苏利南共和国,Suriname,0.0,0.0,,,,,胜
1129425.0,653.0,2015/06/15 07:00,8029.0,1494.0,4-4,1-2,北美预选,WCPCA,164_圭亚那,Guyana,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,平手/半球|0/0.5,输,大,平
1129414.0,653.0,2015/06/11 03:30,1494.0,8029.0,2-2,0-1,北美预选,WCPCA,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,164_圭亚那,Guyana,0.0,0.0,,半球|0.5,赢,大,平
1124526.0,1366.0,2015/05/01 07:00,8027.0,8029.0,1-0,0-0,国际友谊,INT FRL,160_苏利南共和国,Suriname,164_圭亚那,Guyana,0.0,0.0,,,,,负
1111219.0,1366.0,2015/03/30 08:30,8029.0,7296.0,2-0,2-0,国际友谊,INT FRL,164_圭亚那,Guyana,159_格瑞那达,Grenada,0.0,0.0,,,,,胜
1109710.0,41.0,2015/03/23 08:30,8029.0,8026.0,2-0,1-0,球会友谊,INT CF,164_圭亚那,Guyana,175_圣路西亚,St. Lucia,0.0,0.0,,,,,胜
1088082.0,41.0,2015/02/02 07:00,1992.0,8029.0,2-2,2-2,球会友谊,INT CF,155_巴巴多斯,Barbados,164_圭亚那,Guyana,0.0,0.0,,,,,平
1053729.0,188.0,2014/09/08 08:30,821.0,8029.0,2-0,0-0,美加杯,CGC CZ,110_圣基茨和尼维斯,St. Kitts and Nevis,164_圭亚那,Guyana,0.0,0.0,,,,,负
1053727.0,188.0,2014/09/06 05:30,8029.0,8026.0,0-2,0-1,美加杯,CGC CZ,164_圭亚那,Guyana,175_圣路西亚,St. Lucia,0.0,0.0,,,,,负
1053724.0,188.0,2014/09/04 05:30,7293.0,8029.0,0-0,0-0,美加杯,CGC CZ,168_多米尼克,Dominica,164_圭亚那,Guyana,0.0,0.0,,,,,平
798937.0,188.0,2012/11/19 06:00,8029.0,20412.0,4-3,1-1,美加杯,CGC CZ,164_圭亚那,Guyana,220_弱鸡,French Guiana,0.0,0.0,,,,,胜
798936.0,188.0,2012/11/17 08:00,7296.0,8029.0,2-1,0-0,美加杯,CGC CZ,159_格瑞那达,Grenada,164_圭亚那,Guyana,0.0,0.0,,,,,负
798933.0,188.0,2012/11/15 06:00,909.0,8029.0,1-0,0-0,美加杯,CGC CZ,87_海地,Haiti,164_圭亚那,Guyana,0.0,0.0,,,,,负
795771.0,188.0,2012/10/26 08:30,8026.0,8029.0,0-3,0-3,美加杯,CGC CZ,175_圣路西亚,St. Lucia,164_圭亚那,Guyana,0.0,0.0,,,,,胜
795768.0,188.0,2012/10/24 06:00,17976.0,8029.0,1-2,0-2,美加杯,CGC CZ,84_库拉索,Curacao,164_圭亚那,Guyana,0.0,0.0,,,,,胜
795187.0,188.0,2012/10/22 05:00,8029.0,1494.0,1-2,0-1,美加杯,CGC CZ,164_圭亚那,Guyana,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,负
708297.0,653.0,2012/10/17 09:00,914.0,8029.0,7-0,2-0,北美预选,WCPCA,27_哥斯达黎加,Costa Rica,164_圭亚那,Guyana,0.0,1.0,,,,大,负
708296.0,653.0,2012/10/13 09:00,8029.0,819.0,0-5,0-0,北美预选,WCPCA,164_圭亚那,Guyana,17_墨西哥,Mexico,0.0,0.0,,,,大,负
708294.0,653.0,2012/09/12 08:00,8029.0,796.0,2-3,1-1,北美预选,WCPCA,164_圭亚那,Guyana,90_萨尔瓦多,El Salvador,0.0,0.0,,,,大,负
708291.0,653.0,2012/09/08 09:30,796.0,8029.0,2-2,2-1,北美预选,WCPCA,90_萨尔瓦多,El Salvador,164_圭亚那,Guyana,0.0,0.0,,,,大,平
765468.0,41.0,2012/08/16 08:30,773.0,8029.0,2-0,0-0,球会友谊,INT CF,49_玻利维亚,Bolivia,164_圭亚那,Guyana,0.0,0.0,,,,,负
708289.0,653.0,2012/06/13 08:00,8029.0,914.0,0-4,0-2,北美预选,WCPCA,164_圭亚那,Guyana,27_哥斯达黎加,Costa Rica,0.0,0.0,,,,大,负
708287.0,653.0,2012/06/09 08:00,819.0,8029.0,3-1,2-0,北美预选,WCPCA,17_墨西哥,Mexico,164_圭亚那,Guyana,0.0,0.0,,,,走,负
705932.0,41.0,2012/05/19 09:05,799.0,8029.0,1-0,0-0,球会友谊,INT CF,55_牙买加,Jamaica,164_圭亚那,Guyana,0.0,0.0,,,,,负
677232.0,41.0,2012/03/01 08:00,8029.0,801.0,0-2,0-1,球会友谊,INT CF,164_圭亚那,Guyana,128_危地马拉,Guatemala,0.0,0.0,,,,,负
674187.0,41.0,2012/02/22 08:00,7296.0,8029.0,1-0,1-0,球会友谊,INT CF,159_格瑞那达,Grenada,164_圭亚那,Guyana,0.0,0.0,,,,,负
