赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1371570.0,95.0,2018/03/27 23:15,877.0,6650.0,2-1,1-1,亚洲杯,AFC,138_也门,Yemen,165_尼泊尔,Nepal,0.0,0.0,,两球|2,赢,小,负
1371567.0,95.0,2017/11/14 16:15,6650.0,1562.0,0-0,0-0,亚洲杯,AFC,165_尼泊尔,Nepal,123_菲律宾,Philippines,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,平
1371565.0,95.0,2017/10/10 21:00,884.0,6650.0,3-0,1-0,亚洲杯,AFC,126_塔吉克斯坦,Tajikistan,165_尼泊尔,Nepal,0.0,0.0,,球半/两球|1.5/2,输,走,负
1371563.0,95.0,2017/09/05 17:15,6650.0,884.0,1-2,0-2,亚洲杯,AFC,165_尼泊尔,Nepal,126_塔吉克斯坦,Tajikistan,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1371561.0,95.0,2017/06/13 17:15,6650.0,877.0,0-0,0-0,亚洲杯,AFC,165_尼泊尔,Nepal,138_也门,Yemen,0.0,0.0,,受让球半|-1.5,赢,小,平
1392658.0,1366.0,2017/06/06 21:30,893.0,6650.0,2-0,0-0,国际友谊,INT FRL,102_印度,India,165_尼泊尔,Nepal,0.0,1.0,,球半|1.5,输,小,负
1371559.0,95.0,2017/03/28 20:00,1562.0,6650.0,4-1,3-1,亚洲杯,AFC,123_菲律宾,Philippines,165_尼泊尔,Nepal,0.0,1.0,,球半/两球|1.5/2,输,大,负
1330083.0,1702.0,2016/11/15 19:30,6650.0,3325.0,1-0,1-0,亚足杯,Sub foot cup,165_尼泊尔,Nepal,186_中国澳门,Macau of China,0.0,0.0,,,,,胜
1329287.0,1702.0,2016/11/12 16:30,6650.0,880.0,1-1,0-1,亚足杯,Sub foot cup,165_尼泊尔,Nepal,183_老挝,Laos,0.0,0.0,"90,1-1;;1,2-2;3-0;1",受让平手/半球|-0/-0.5,赢,小,平
1328390.0,1702.0,2016/11/08 19:30,6650.0,3627.0,3-0,1-0,亚足杯,Sub foot cup,165_尼泊尔,Nepal,190_文莱,Brunei Darussalam,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1327913.0,1702.0,2016/11/05 19:30,1564.0,6650.0,0-0,0-0,亚足杯,Sub foot cup,191_东帝汶,Timor Leste,165_尼泊尔,Nepal,0.0,0.0,,受让一球|-1,输,小,平
1244144.0,1366.0,2016/05/29 19:30,880.0,6650.0,1-1,0-0,国际友谊,INT FRL,183_老挝,Laos,165_尼泊尔,Nepal,0.0,0.0,,,,,平
1231655.0,1366.0,2016/03/27 21:00,19558.0,6650.0,1-1,0-1,国际友谊,INT FRL,220_弱鸡,Malaysia U22,165_尼泊尔,Nepal,0.0,0.0,,一球/球半|1/1.5,赢,小,平
1207046.0,1366.0,2016/01/22 19:00,5202.0,6650.0,0-3,0-1,国际友谊,INT FRL,220_弱鸡,Bahrain U23,165_尼泊尔,Nepal,2.0,1.0,,,,,胜
1206457.0,1366.0,2016/01/19 19:30,882.0,6650.0,1-4,0-1,国际友谊,INT FRL,150_马尔代夫,Maldives,165_尼泊尔,Nepal,0.0,0.0,,,,,胜
1205227.0,1366.0,2016/01/15 20:30,3352.0,6650.0,0-0,0-0,国际友谊,INT FRL,197_孟加拉国,Bangladesh,165_尼泊尔,Nepal,0.0,0.0,,半球|0.5,赢,小,平
1205180.0,41.0,2016/01/13 17:00,6650.0,824.0,1-0,1-0,球会友谊,INT CF,165_尼泊尔,Nepal,200_斯里兰卡,Sri Lanka,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1204728.0,41.0,2016/01/09 16:50,889.0,6650.0,0-0,0-0,球会友谊,INT CF,175_马来西亚,Malaysia,165_尼泊尔,Nepal,0.0,0.0,,,,,平
1202520.0,307.0,2015/12/27 21:00,893.0,6650.0,4-1,1-1,黄金杯,SAFF,102_印度,India,165_尼泊尔,Nepal,0.0,0.0,,球半|1.5,输,大,负
1202517.0,307.0,2015/12/23 21:00,6650.0,824.0,0-1,0-0,黄金杯,SAFF,165_尼泊尔,Nepal,200_斯里兰卡,Sri Lanka,0.0,0.0,,半球|0.5,输,小,负
1202279.0,1366.0,2015/12/17 19:00,3352.0,6650.0,1-0,1-0,国际友谊,INT FRL,197_孟加拉国,Bangladesh,165_尼泊尔,Nepal,0.0,0.0,,,,,负
1183444.0,1366.0,2015/08/31 21:30,893.0,6650.0,0-0,0-0,国际友谊,INT FRL,102_印度,India,165_尼泊尔,Nepal,0.0,0.0,,球半|1.5,赢,小,平
1107457.0,648.0,2015/03/17 17:45,6650.0,893.0,0-0,0-0,亚洲预选,FIFA WCQL,165_尼泊尔,Nepal,102_印度,India,0.0,0.0,,受让半球|-0.5,赢,小,平
1106070.0,648.0,2015/03/12 21:30,893.0,6650.0,2-0,0-0,亚洲预选,FIFA WCQL,102_印度,India,165_尼泊尔,Nepal,0.0,0.0,,球半|1.5,输,小,负
1067883.0,1366.0,2014/11/01 00:50,1562.0,6650.0,3-0,0-0,国际友谊,INT FRL,123_菲律宾,Philippines,165_尼泊尔,Nepal,0.0,1.0,,一球/球半|1/1.5,输,大,负
988292.0,1366.0,2014/06/25 16:30,890.0,6650.0,2-0,1-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,165_尼泊尔,Nepal,0.0,0.0,,球半/两球|1.5/2,输,小,负
973506.0,41.0,2014/04/12 01:45,1562.0,6650.0,3-0,2-0,球会友谊,INT CF,123_菲律宾,Philippines,165_尼泊尔,Nepal,0.0,0.0,,半球/一球|0.5/1,输,大,负
969125.0,1366.0,2014/03/25 23:15,877.0,6650.0,2-0,0-0,国际友谊,INT FRL,138_也门,Yemen,165_尼泊尔,Nepal,0.0,0.0,,平手/半球|0/0.5,输,小,负
938518.0,41.0,2013/11/19 20:30,893.0,6650.0,2-0,1-0,球会友谊,INT CF,102_印度,India,165_尼泊尔,Nepal,0.0,0.0,,一球|1,输,小,负
921370.0,307.0,2013/09/08 20:45,6650.0,6651.0,0-1,0-1,黄金杯,SAFF,165_尼泊尔,Nepal,148_阿富汗,Afghanistan,0.0,0.0,,平手/半球|0/0.5,输,小,负
916280.0,307.0,2013/09/05 17:45,6650.0,893.0,2-1,0-0,黄金杯,SAFF,165_尼泊尔,Nepal,102_印度,India,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
916279.0,307.0,2013/09/03 20:45,6650.0,3353.0,1-1,0-1,黄金杯,SAFF,165_尼泊尔,Nepal,201_巴基斯坦,Pakistan,0.0,0.0,,半球|0.5,输,小,平
916276.0,307.0,2013/08/31 20:45,6650.0,3352.0,2-0,2-0,黄金杯,SAFF,165_尼泊尔,Nepal,197_孟加拉国,Bangladesh,0.0,0.0,,,,,胜
905419.0,41.0,2013/08/13 23:59,9035.0,6650.0,0-1,0-0,球会友谊,INT CF,220_弱鸡,Al-Ittifaq,165_尼泊尔,Nepal,0.0,0.0,,,,,胜
901213.0,41.0,2013/08/08 02:15,5202.0,6650.0,2-0,1-0,球会友谊,INT CF,220_弱鸡,Bahrain U23,165_尼泊尔,Nepal,0.0,0.0,,,,,负
824292.0,251.0,2013/03/06 21:00,6650.0,879.0,0-0,0-0,亚挑杯,AFC CC,165_尼泊尔,Nepal,75_巴勒斯坦,Palestine,0.0,0.0,,,,小,平
824684.0,251.0,2013/03/04 19:20,6650.0,3352.0,0-2,0-1,亚挑杯,AFC CC,165_尼泊尔,Nepal,197_孟加拉国,Bangladesh,0.0,1.0,,,,小,负
824172.0,251.0,2013/03/02 19:20,6650.0,10002.0,6-0,3-0,亚挑杯,AFC CC,165_尼泊尔,Nepal,220_弱鸡,Northern Mariana Island,0.0,0.0,,,,小,胜
818804.0,41.0,2013/02/09 16:45,6650.0,3353.0,0-1,0-0,球会友谊,INT CF,165_尼泊尔,Nepal,201_巴基斯坦,Pakistan,0.0,0.0,,,,,负
817043.0,41.0,2013/02/06 16:50,6650.0,3353.0,0-1,0-0,球会友谊,INT CF,165_尼泊尔,Nepal,201_巴基斯坦,Pakistan,0.0,0.0,,,,,负
774814.0,851.0,2012/08/30 21:30,899.0,6650.0,2-0,1-0,内鲁盃,ONC,76_叙利亚,Syrian,165_尼泊尔,Nepal,0.0,0.0,,,,小,负
772712.0,851.0,2012/08/28 22:00,893.0,6650.0,0-0,0-0,内鲁盃,ONC,102_印度,India,165_尼泊尔,Nepal,0.0,1.0,,,,小,平
770675.0,851.0,2012/08/26 21:30,6650.0,793.0,0-5,0-2,内鲁盃,ONC,165_尼泊尔,Nepal,45_喀麦隆,Cameroon,0.0,0.0,,,,大,负
771284.0,851.0,2012/08/23 21:30,882.0,6650.0,2-1,1-0,内鲁盃,ONC,150_马尔代夫,Maldives,165_尼泊尔,Nepal,0.0,0.0,,,,大,负
680689.0,251.0,2012/03/12 17:15,6650.0,825.0,0-3,0-1,亚挑杯,AFC CC,165_尼泊尔,Nepal,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,大,负
680687.0,251.0,2012/03/10 19:15,6650.0,882.0,0-1,0-0,亚挑杯,AFC CC,165_尼泊尔,Nepal,150_马尔代夫,Maldives,0.0,0.0,,,,小,负
680685.0,251.0,2012/03/08 19:15,6650.0,879.0,0-2,0-1,亚挑杯,AFC CC,165_尼泊尔,Nepal,75_巴勒斯坦,Palestine,0.0,0.0,,,,走,负
657294.0,307.0,2011/12/09 20:30,6650.0,6651.0,0-0,0-0,黄金杯,SAFF,165_尼泊尔,Nepal,148_阿富汗,Afghanistan,0.0,0.0,"90,0-0;;1,0-1;;2",,,小,平
655146.0,307.0,2011/12/06 17:30,6650.0,3353.0,1-1,1-0,黄金杯,SAFF,165_尼泊尔,Nepal,201_巴基斯坦,Pakistan,0.0,0.0,,,,走,平
655144.0,307.0,2011/12/04 17:30,3352.0,6650.0,0-1,0-0,黄金杯,SAFF,197_孟加拉国,Bangladesh,165_尼泊尔,Nepal,0.0,0.0,,,,小,胜
655143.0,307.0,2011/12/02 20:30,882.0,6650.0,1-1,1-0,黄金杯,SAFF,150_马尔代夫,Maldives,165_尼泊尔,Nepal,0.0,0.0,,,,小,平
644870.0,41.0,2011/10/28 19:00,7111.0,6650.0,0-1,0-0,球会友谊,INT CF,220_弱鸡,Cambodia U23,165_尼泊尔,Nepal,0.0,0.0,,,,,胜
642525.0,41.0,2011/10/15 17:20,5189.0,6650.0,2-0,0-0,球会友谊,INT CF,220_弱鸡,Malaysia U23,165_尼泊尔,Nepal,0.0,0.0,,,,小,负
640890.0,41.0,2011/10/11 19:00,1562.0,6650.0,4-0,2-0,球会友谊,INT CF,123_菲律宾,Philippines,165_尼泊尔,Nepal,0.0,0.0,,,,大,负
574349.0,648.0,2011/07/28 17:45,6650.0,881.0,1-1,0-0,亚洲预选,FIFA WCQL,165_尼泊尔,Nepal,113_约旦,Jordan,0.0,0.0,,,,小,平
574330.0,648.0,2011/07/23 23:59,881.0,6650.0,9-0,4-0,亚洲预选,FIFA WCQL,113_约旦,Jordan,165_尼泊尔,Nepal,0.0,0.0,,,,大,负
567918.0,648.0,2011/07/02 17:45,1564.0,6650.0,0-5,0-1,亚洲预选,FIFA WCQL,191_东帝汶,Timor Leste,165_尼泊尔,Nepal,0.0,0.0,,,,大,胜
565523.0,648.0,2011/06/29 17:45,6650.0,1564.0,2-1,1-0,亚洲预选,FIFA WCQL,165_尼泊尔,Nepal,191_东帝汶,Timor Leste,0.0,0.0,,,,小,胜
531520.0,251.0,2011/04/11 17:45,6650.0,824.0,0-0,0-0,亚挑杯,AFC CC,165_尼泊尔,Nepal,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,小,平
531519.0,251.0,2011/04/09 17:45,6650.0,876.0,0-1,0-1,亚挑杯,AFC CC,165_尼泊尔,Nepal,119_朝鲜,Korea DPR,1.0,0.0,,,,小,负
