赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1394396.0,1366.0,2017/06/13 22:30,890.0,7492.0,0-0,0-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,166_波多黎各,Puerto Rico,0.0,0.0,,半球|0.5,赢,小,平
1320735.0,188.0,2016/10/12 07:30,7492.0,17976.0,2-2,2-0,美加杯,CGC CZ,166_波多黎各,Puerto Rico,84_库拉索,Curacao,0.0,0.0,"90,2-2;;1,2-4;;2",,,,平
1320734.0,188.0,2016/10/09 07:15,8028.0,7492.0,2-0,1-0,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,166_波多黎各,Puerto Rico,0.0,0.0,,,,,负
1309704.0,1366.0,2016/09/03 22:30,893.0,7492.0,4-1,3-1,国际友谊,INT FRL,102_印度,India,166_波多黎各,Puerto Rico,0.0,0.0,,平手/半球|0/0.5,输,大,负
1306985.0,1366.0,2016/08/31 08:30,7492.0,7538.0,0-1,0-1,国际友谊,INT FRL,166_波多黎各,Puerto Rico,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,负
1303468.0,1366.0,2016/08/29 04:00,7538.0,7492.0,5-0,2-0,国际友谊,INT FRL,160_多米尼加共和国,Dominican Republic,166_波多黎各,Puerto Rico,0.0,0.0,,,,,负
1244142.0,188.0,2016/06/05 07:30,7492.0,8028.0,1-1,1-1,美加杯,CGC CZ,166_波多黎各,Puerto Rico,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,"90,1-1;;1,2-1;;1",,,,平
1244336.0,188.0,2016/06/02 08:00,7296.0,7492.0,3-3,3-1,美加杯,CGC CZ,159_格瑞那达,Grenada,166_波多黎各,Puerto Rico,0.0,0.0,"90,3-3;;1,3-3;3-4;2",,,,平
1242856.0,1366.0,2016/05/22 23:59,7492.0,797.0,1-3,1-2,国际友谊,INT FRL,166_波多黎各,Puerto Rico,25_美国,USA,0.0,0.0,,受让球半/两球|-1.5/-2,输,大,负
1229861.0,188.0,2016/03/30 07:30,7492.0,8029.0,0-1,0-0,美加杯,CGC CZ,166_波多黎各,Puerto Rico,164_圭亚那,Guyana,0.0,0.0,,,,,负
1229860.0,188.0,2016/03/27 05:00,7492.0,7297.0,4-0,2-0,美加杯,CGC CZ,166_波多黎各,Puerto Rico,206_安圭拉,Anguilla,0.0,0.0,,,,,胜
1129430.0,653.0,2015/06/17 03:40,7296.0,7492.0,2-0,1-0,北美预选,WCPCA,159_格瑞那达,Grenada,166_波多黎各,Puerto Rico,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1129421.0,653.0,2015/06/13 08:00,7492.0,7296.0,1-0,1-0,北美预选,WCPCA,166_波多黎各,Puerto Rico,159_格瑞那达,Grenada,0.0,0.0,,半球|0.5,赢,小,胜
1129142.0,1366.0,2015/06/06 06:30,5293.0,7492.0,1-1,1-1,国际友谊,INT FRL,184_百慕大群岛,Bermuda,166_波多黎各,Puerto Rico,0.0,0.0,,,,,平
1111141.0,1366.0,2015/03/31 07:30,7492.0,795.0,0-3,0-1,国际友谊,INT FRL,166_波多黎各,Puerto Rico,95_加拿大,Canada,0.0,0.0,,受让球半|-1.5,输,大,负
1053717.0,188.0,2014/09/08 05:30,7492.0,7296.0,2-2,1-0,美加杯,CGC CZ,166_波多黎各,Puerto Rico,159_格瑞那达,Grenada,1.0,0.0,,,,,平
