赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502208.0,1864.0,2018/11/19 01:00,751.0,749.0,,,欧国联,UEFA  NL,166_摩尔多瓦,Moldova,84_卢森堡,Luxembourg,0.0,0.0,,,,,
1502206.0,1864.0,2018/11/16 03:45,907.0,751.0,,,欧国联,UEFA  NL,204_圣马力诺,San Marino,166_摩尔多瓦,Moldova,0.0,0.0,,,,,
1502204.0,1864.0,2018/10/16 02:45,750.0,751.0,,,欧国联,UEFA  NL,93_白俄罗斯,Belarus,166_摩尔多瓦,Moldova,0.0,0.0,,,,,
1502201.0,1864.0,2018/10/13 02:45,751.0,907.0,,,欧国联,UEFA  NL,166_摩尔多瓦,Moldova,204_圣马力诺,San Marino,0.0,0.0,,,,,
1502199.0,1864.0,2018/09/12 02:45,751.0,750.0,,,欧国联,UEFA  NL,166_摩尔多瓦,Moldova,93_白俄罗斯,Belarus,0.0,0.0,,,,,
1502198.0,1864.0,2018/09/09 02:45,749.0,751.0,,,欧国联,UEFA  NL,84_卢森堡,Luxembourg,166_摩尔多瓦,Moldova,0.0,0.0,,,,,
1543767.0,1366.0,2018/06/16 02:00,751.0,755.0,推迟,,国际友谊,INT FRL,166_摩尔多瓦,Moldova,185_马耳他,Malta,0.0,0.0,,,,,
1547573.0,1366.0,2018/06/04 23:00,751.0,748.0,0-0,0-0,国际友谊,INT FRL,166_摩尔多瓦,Moldova,90_阿美尼亚,Armenia,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,平
1546791.0,1366.0,2018/05/31 20:00,751.0,806.0,推迟,,国际友谊,INT FRL,166_摩尔多瓦,Moldova,96_刚果,Congo,0.0,0.0,,,,,
1522284.0,1366.0,2018/03/28 02:00,809.0,751.0,2-1,2-0,国际友谊,INT FRL,61_科特迪瓦,Cote D Ivoire,166_摩尔多瓦,Moldova,0.0,0.0,,球半/两球|1.5/2,赢,走,负
1511479.0,1366.0,2018/02/27 01:30,891.0,751.0,3-0,1-0,国际友谊,INT FRL,65_沙特阿拉伯,Saudi Arabia,166_摩尔多瓦,Moldova,0.0,0.0,,半球/一球|0.5/1,输,大,负
1496200.0,1366.0,2018/01/30 23:59,758.0,751.0,0-0,0-0,国际友谊,INT FRL,118_阿塞拜疆,Azerbaijan,166_摩尔多瓦,Moldova,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1495977.0,1366.0,2018/01/27 21:00,751.0,898.0,0-1,0-0,国际友谊,INT FRL,166_摩尔多瓦,Moldova,59_韩国,Korea Republic,0.0,0.0,,受让一球|-1,走,小,负
1198497.0,650.0,2017/10/10 02:45,751.0,647.0,0-1,0-0,欧洲预选,WCPEU,166_摩尔多瓦,Moldova,29_奥地利,Austria,1.0,0.0,,受让一球/球半|-1/-1.5,赢,小,负
1198495.0,650.0,2017/10/07 02:45,630.0,751.0,2-0,2-0,欧洲预选,WCPEU,32_爱尔兰,Ireland,166_摩尔多瓦,Moldova,0.0,1.0,,两球/两球半|2/2.5,赢,小,负
1198491.0,650.0,2017/09/06 02:45,751.0,7384.0,0-2,0-0,欧洲预选,WCPEU,166_摩尔多瓦,Moldova,19_威尔士,Wales,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,负
1198489.0,650.0,2017/09/02 23:59,642.0,751.0,3-0,2-0,欧洲预选,WCPEU,37_塞尔维亚,Serbia,166_摩尔多瓦,Moldova,0.0,0.0,,两球|2,输,走,负
1198486.0,650.0,2017/06/11 23:59,751.0,901.0,2-2,2-0,欧洲预选,WCPEU,166_摩尔多瓦,Moldova,104_格鲁吉亚,Georgia,0.0,0.0,,平手|0,走,大,平
1391064.0,1366.0,2017/06/07 01:30,760.0,751.0,1-1,0-0,国际友谊,INT FRL,99_以色列,Israel,166_摩尔多瓦,Moldova,0.0,0.0,,球半|1.5,赢,小,平
1372100.0,1366.0,2017/03/28 00:15,762.0,751.0,3-1,2-0,国际友谊,INT FRL,41_土耳其,Turkey,166_摩尔多瓦,Moldova,0.0,0.0,,球半|1.5,输,大,负
1198484.0,650.0,2017/03/25 03:45,647.0,751.0,2-0,0-0,欧洲预选,WCPEU,29_奥地利,Austria,166_摩尔多瓦,Moldova,0.0,0.0,,球半/两球|1.5/2,输,小,负
1370055.0,1366.0,2017/03/20 01:00,907.0,751.0,0-2,0-1,国际友谊,INT FRL,204_圣马力诺,San Marino,166_摩尔多瓦,Moldova,0.0,0.0,,受让球半/两球|-1.5/-2,赢,小,胜
1343282.0,1366.0,2017/01/17 23:00,904.0,751.0,1-1,1-1,国际友谊,INT FRL,103_卡塔尔,Qatar,166_摩尔多瓦,Moldova,0.0,0.0,,一球/球半|1/1.5,赢,小,平
1198480.0,650.0,2016/11/13 01:00,901.0,751.0,1-1,1-0,欧洲预选,WCPEU,104_格鲁吉亚,Georgia,166_摩尔多瓦,Moldova,0.0,0.0,,半球/一球|0.5/1,赢,走,平
1198478.0,650.0,2016/10/10 02:45,751.0,630.0,1-3,1-1,欧洲预选,WCPEU,166_摩尔多瓦,Moldova,32_爱尔兰,Ireland,0.0,0.0,,受让一球|-1,输,大,负
1198473.0,650.0,2016/10/07 02:45,751.0,642.0,0-3,0-2,欧洲预选,WCPEU,166_摩尔多瓦,Moldova,37_塞尔维亚,Serbia,0.0,0.0,,受让一球|-1,输,大,负
1198471.0,650.0,2016/09/06 02:45,7384.0,751.0,4-0,2-0,欧洲预选,WCPEU,19_威尔士,Wales,166_摩尔多瓦,Moldova,0.0,0.0,,一球/球半|1/1.5,输,大,负
1244115.0,1366.0,2016/06/03 23:59,648.0,751.0,2-1,1-0,国际友谊,INT FRL,8_瑞士,Switzerland,166_摩尔多瓦,Moldova,0.0,0.0,,球半|1.5,赢,大,负
1243463.0,1366.0,2016/05/28 02:30,768.0,751.0,1-0,1-0,国际友谊,INT FRL,15_克罗地亚,Croatia,166_摩尔多瓦,Moldova,0.0,0.0,,球半/两球|1.5/2,赢,小,负
1229344.0,1366.0,2016/03/28 23:00,894.0,751.0,0-1,0-1,国际友谊,INT FRL,136_安道尔,Andorra,166_摩尔多瓦,Moldova,0.0,0.0,,受让球半|-1.5,输,小,胜
1229357.0,1366.0,2016/03/24 22:00,755.0,751.0,0-0,0-0,国际友谊,INT FRL,185_马耳他,Malta,166_摩尔多瓦,Moldova,0.0,0.0,,平手|0,走,小,平
1196946.0,1366.0,2015/11/18 01:00,758.0,751.0,2-1,1-1,国际友谊,INT FRL,118_阿塞拜疆,Azerbaijan,166_摩尔多瓦,Moldova,0.0,0.0,,平手/半球|0/0.5,输,大,负
975123.0,67.0,2015/10/12 23:59,644.0,751.0,2-0,1-0,欧洲杯,EURO  Cup,18_瑞典,Sweden,166_摩尔多瓦,Moldova,0.0,0.0,,两球|2,走,小,负
975128.0,67.0,2015/10/10 02:45,751.0,746.0,1-2,0-0,欧洲杯,EURO  Cup,166_摩尔多瓦,Moldova,62_俄罗斯,Russia,0.0,0.0,,受让球半|-1.5,赢,大,负
975130.0,67.0,2015/09/09 02:45,751.0,5282.0,0-2,0-1,欧洲杯,EURO  Cup,166_摩尔多瓦,Moldova,46_黑山,Montenegro,0.0,0.0,,受让半球|-0.5,输,小,负
975132.0,67.0,2015/09/06 02:45,647.0,751.0,1-0,0-0,欧洲杯,EURO  Cup,29_奥地利,Austria,166_摩尔多瓦,Moldova,0.0,0.0,,球半/两球|1.5/2,赢,小,负
975136.0,67.0,2015/06/14 23:59,764.0,751.0,1-1,1-1,欧洲杯,EURO  Cup,182_列支敦士登,Liechtenstein,166_摩尔多瓦,Moldova,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,平
1129537.0,1366.0,2015/06/10 01:00,749.0,751.0,0-0,0-0,国际友谊,INT FRL,84_卢森堡,Luxembourg,166_摩尔多瓦,Moldova,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,平
975139.0,67.0,2015/03/28 03:45,751.0,644.0,0-2,0-0,欧洲杯,EURO  Cup,166_摩尔多瓦,Moldova,18_瑞典,Sweden,0.0,1.0,,受让一球/球半|-1/-1.5,输,小,负
1098257.0,1366.0,2015/02/18 23:59,751.0,763.0,1-1,0-0,国际友谊,INT FRL,166_摩尔多瓦,Moldova,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,平手/半球|0/0.5,输,小,平
1096314.0,1366.0,2015/02/14 23:00,635.0,751.0,2-1,1-1,国际友谊,INT FRL,40_罗马尼亚,Romania,166_摩尔多瓦,Moldova,0.0,0.0,,一球/球半|1/1.5,赢,大,负
975142.0,67.0,2014/11/16 01:00,751.0,764.0,0-1,0-0,欧洲杯,EURO  Cup,166_摩尔多瓦,Moldova,182_列支敦士登,Liechtenstein,0.0,0.0,,球半|1.5,输,小,负
975146.0,67.0,2014/10/12 23:59,746.0,751.0,1-1,0-0,欧洲杯,EURO  Cup,62_俄罗斯,Russia,166_摩尔多瓦,Moldova,0.0,0.0,,两球/两球半|2/2.5,赢,小,平
975149.0,67.0,2014/10/10 02:45,751.0,647.0,1-2,1-1,欧洲杯,EURO  Cup,166_摩尔多瓦,Moldova,29_奥地利,Austria,0.0,1.0,,受让半球/一球|-0.5/-1,输,大,负
975150.0,67.0,2014/09/09 02:45,5282.0,751.0,2-0,1-0,欧洲杯,EURO  Cup,46_黑山,Montenegro,166_摩尔多瓦,Moldova,0.0,0.0,,一球/球半|1/1.5,输,小,负
1053261.0,1366.0,2014/09/04 01:00,634.0,751.0,1-0,0-0,国际友谊,INT FRL,35_乌克兰,Ukraine,166_摩尔多瓦,Moldova,0.0,0.0,,球半|1.5,赢,小,负
985371.0,1366.0,2014/06/07 22:20,793.0,751.0,1-0,1-0,国际友谊,INT FRL,45_喀麦隆,Cameroon,166_摩尔多瓦,Moldova,0.0,0.0,,球半|1.5,赢,小,负
